ds,yhat30,symbol
2022-02-05,470.0718078613281,BNB
2022-02-06,455.2176818847656,BNB
2022-02-07,449.89447021484375,BNB
2022-02-08,428.29742431640625,BNB
2022-02-09,423.8242492675781,BNB
2022-02-10,459.00103759765625,BNB
2022-02-11,476.8631896972656,BNB
2022-02-12,481.6880798339844,BNB
2022-02-13,499.65350341796875,BNB
2022-02-14,509.99609375,BNB
2022-02-15,517.7477416992188,BNB
2022-02-16,499.37420654296875,BNB
2022-02-17,511.5523376464844,BNB
2022-02-18,489.95147705078125,BNB
2022-02-19,466.7449035644531,BNB
2022-02-20,422.0655517578125,BNB
2022-02-21,401.0033874511719,BNB
2022-02-22,431.731689453125,BNB
2022-02-23,414.86492919921875,BNB
2022-02-24,402.5179748535156,BNB
2022-02-25,411.5630798339844,BNB
2022-02-26,435.33380126953125,BNB
2022-02-27,413.4416809082031,BNB
2022-02-28,437.6297912597656,BNB
2022-03-01,456.02899169921875,BNB
2022-03-02,453.8340759277344,BNB
2022-03-03,454.6106262207031,BNB
