ds,yhat30,symbol
2022-01-27,-2.5189551706716884e-06,Compound
2022-01-28,-1.4261048590924474e-06,Compound
2022-01-29,-1.6484898424096173e-06,Compound
2022-01-30,-1.575708665768616e-06,Compound
2022-01-31,-1.6211913589359028e-06,Compound
2022-02-01,-8.838110829856305e-07,Compound
2022-02-02,-2.7184048576600617e-06,Compound
2022-02-03,-2.6583650196698727e-06,Compound
2022-02-04,-1.5655162997063599e-06,Compound
2022-02-05,-1.7878998050946393e-06,Compound
2022-02-06,-1.7151199926956906e-06,Compound
2022-02-07,-1.7605982520763064e-06,Compound
2022-02-08,-1.0232225804429618e-06,Compound
2022-02-09,-2.857814706658246e-06,Compound
2022-02-10,-2.797776460283785e-06,Compound
2022-02-11,-1.704926262391382e-06,Compound
2022-02-12,-1.9273113593953894e-06,Compound
2022-02-13,-1.8545268858360942e-06,Compound
2022-02-14,-1.9000096926902188e-06,Compound
2022-02-15,-1.1626325431279838e-06,Compound
2022-02-16,-2.997226374645834e-06,Compound
2022-02-17,-2.9371879008976975e-06,Compound
2022-02-18,-1.844336225076404e-06,Compound
2022-02-19,-2.066718252535793e-06,Compound
2022-02-20,-1.9939384401368443e-06,Compound
2022-02-21,-2.0394211333041312e-06,Compound
2022-02-22,-1.3020425058130058e-06,Compound
