ds,yhat30,symbol
2022-02-05,222.23187255859375,Kusama
2022-02-06,216.18972778320312,Kusama
2022-02-07,204.41116333007812,Kusama
2022-02-08,211.35675048828125,Kusama
2022-02-09,219.9063720703125,Kusama
2022-02-10,217.65130615234375,Kusama
2022-02-11,214.91656494140625,Kusama
2022-02-12,222.3791046142578,Kusama
2022-02-13,215.72540283203125,Kusama
2022-02-14,218.60623168945312,Kusama
2022-02-15,227.5783233642578,Kusama
2022-02-16,215.67466735839844,Kusama
2022-02-17,227.39144897460938,Kusama
2022-02-18,213.3538818359375,Kusama
2022-02-19,195.92965698242188,Kusama
2022-02-20,203.1117401123047,Kusama
2022-02-21,169.69761657714844,Kusama
2022-02-22,173.83755493164062,Kusama
2022-02-23,156.13751220703125,Kusama
2022-02-24,144.83152770996094,Kusama
2022-02-25,153.44496154785156,Kusama
2022-02-26,147.054443359375,Kusama
2022-02-27,144.2654266357422,Kusama
2022-02-28,158.62106323242188,Kusama
2022-03-01,150.69761657714844,Kusama
2022-03-02,147.2073974609375,Kusama
2022-03-03,156.99569702148438,Kusama
