ds,yhat30,symbol
2022-02-05,28.256591796875,OKB
2022-02-06,27.814769744873047,OKB
2022-02-07,27.530792236328125,OKB
2022-02-08,28.196565628051758,OKB
2022-02-09,27.52069091796875,OKB
2022-02-10,28.486282348632812,OKB
2022-02-11,28.091581344604492,OKB
2022-02-12,28.22866439819336,OKB
2022-02-13,28.75929069519043,OKB
2022-02-14,29.473560333251953,OKB
2022-02-15,29.311845779418945,OKB
2022-02-16,29.102542877197266,OKB
2022-02-17,29.573022842407227,OKB
2022-02-18,28.75503158569336,OKB
2022-02-19,29.51518440246582,OKB
2022-02-20,29.394128799438477,OKB
2022-02-21,28.915063858032227,OKB
2022-02-22,29.312829971313477,OKB
2022-02-23,28.179027557373047,OKB
2022-02-24,29.361042022705078,OKB
2022-02-25,29.116436004638672,OKB
2022-02-26,28.248374938964844,OKB
2022-02-27,29.819063186645508,OKB
2022-02-28,29.254714965820312,OKB
2022-03-01,28.95475959777832,OKB
2022-03-02,29.312837600708008,OKB
2022-03-03,29.523656845092773,OKB
