ds,yhat30,symbol
2022-02-04,36280.99609375,wrapped bitcoin
2022-02-05,35514.6328125,wrapped bitcoin
2022-02-06,34862.515625,wrapped bitcoin
2022-02-07,34309.26953125,wrapped bitcoin
2022-02-08,32103.806640625,wrapped bitcoin
2022-02-09,30413.8125,wrapped bitcoin
2022-02-10,32479.958984375,wrapped bitcoin
2022-02-11,31176.1328125,wrapped bitcoin
2022-02-12,31816.71484375,wrapped bitcoin
2022-02-13,33790.6328125,wrapped bitcoin
2022-02-14,31585.21875,wrapped bitcoin
2022-02-15,33709.01171875,wrapped bitcoin
2022-02-16,31590.36328125,wrapped bitcoin
2022-02-17,31166.474609375,wrapped bitcoin
2022-02-18,30790.748046875,wrapped bitcoin
2022-02-19,29798.125,wrapped bitcoin
2022-02-20,29509.19921875,wrapped bitcoin
2022-02-21,28434.21875,wrapped bitcoin
2022-02-22,26301.4375,wrapped bitcoin
2022-02-23,27849.5,wrapped bitcoin
2022-02-24,26211.634765625,wrapped bitcoin
2022-02-25,26063.3359375,wrapped bitcoin
2022-02-26,26785.091796875,wrapped bitcoin
2022-02-27,26371.921875,wrapped bitcoin
2022-02-28,26025.529296875,wrapped bitcoin
2022-03-01,27915.24609375,wrapped bitcoin
2022-03-02,27830.3359375,wrapped bitcoin
