volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
589,0.6548,0.51,0.75,0.9,0.51,2021-04-29 04:00:00,7,ACAHW
5061,0.6943,0.680349,0.71,0.71,0.6781,2021-04-30 04:00:00,25,ACAHW
109555,0.7041000000000001,0.7401,0.7000000000000001,0.7401,0.669603,2021-05-03 04:00:00,626,ACAHW
6750,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,2021-05-04 04:00:00,9,ACAHW
6002,0.68,0.68,0.68,0.68,0.68,2021-05-05 04:00:00,5,ACAHW
41578,0.6513,0.68,0.6509,0.7000000000000001,0.6208,2021-05-06 04:00:00,67,ACAHW
10143,0.7000000000000001,0.6998989999999999,0.7000000000000001,0.7000000000000001,0.6998989999999999,2021-05-07 04:00:00,30,ACAHW
41000,0.7006,0.7495,0.7000000000000001,0.7495,0.7000000000000001,2021-05-10 04:00:00,17,ACAHW
21085,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,2021-05-11 04:00:00,11,ACAHW
34726,0.6539,0.6998989999999999,0.6701,0.6998989999999999,0.6499,2021-05-12 04:00:00,67,ACAHW
1300,0.6715,0.6701,0.67,0.6701,0.67,2021-05-13 04:00:00,19,ACAHW
4600,0.625,0.6202000000000001,0.66505,0.66505,0.62,2021-05-14 04:00:00,6,ACAHW
3936,0.6008,0.6009,0.6009,0.6009,0.6000000000000001,2021-05-17 04:00:00,8,ACAHW
19135,0.6298,0.63,0.63,0.63,0.6288,2021-05-18 04:00:00,47,ACAHW
3100,0.6303000000000001,0.630201,0.6301,0.630848,0.63,2021-05-19 04:00:00,7,ACAHW
17796,0.6462,0.6301,0.65,0.65,0.6201,2021-05-20 04:00:00,46,ACAHW
393,0.6489,0.65,0.65,0.65,0.65,2021-05-21 04:00:00,4,ACAHW
23846,0.65,0.65,0.65,0.65,0.65,2021-05-24 04:00:00,10,ACAHW
34700,0.6542,0.65,0.6798989999999999,0.68,0.6201,2021-05-25 04:00:00,65,ACAHW
106134,0.6306,0.63,0.71,0.71,0.63,2021-05-26 04:00:00,2,ACAHW
57835,0.6899000000000001,1.04,0.6605000000000001,1.04,0.6605000000000001,2021-05-27 04:00:00,193,ACAHW
15075,0.6868000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.68,2021-05-28 04:00:00,54,ACAHW
6757,0.7033,0.7000000000000001,0.67,0.72,0.67,2021-06-01 04:00:00,23,ACAHW
2075,0.67,0.67,0.67,0.67,0.67,2021-06-02 04:00:00,4,ACAHW
2500,0.705,0.71,0.685,0.71,0.685,2021-06-03 04:00:00,2,ACAHW
7250,0.7112,0.709899,0.71,0.7416,0.709001,2021-06-04 04:00:00,39,ACAHW
2500,0.6981,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.68,2021-06-07 04:00:00,42,ACAHW
16316,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,2021-06-08 04:00:00,112,ACAHW
15250,0.6994,0.7000000000000001,0.6836289999999999,0.7000000000000001,0.6836289999999999,2021-06-09 04:00:00,120,ACAHW
11135,0.7125,0.71,0.73,0.73,0.71,2021-06-10 04:00:00,31,ACAHW
39846,0.7030000000000001,0.72,0.749699,0.749699,0.6998989999999999,2021-06-11 04:00:00,56,ACAHW
25811,0.7859,0.7999,0.8,0.80495,0.7600009999999999,2021-06-14 04:00:00,47,ACAHW
9800,0.802,0.7901009999999999,0.8098000000000001,0.8098000000000001,0.7901009999999999,2021-06-16 04:00:00,9,ACAHW
108,0.8398,0.8398,0.8398,0.8398,0.8398,2021-06-17 04:00:00,1,ACAHW
20531,0.8434,0.8499,0.8499,0.85,0.8300000000000001,2021-06-21 04:00:00,32,ACAHW
10669,0.7937000000000001,0.8200000000000001,0.7865000000000001,0.8200000000000001,0.7864,2021-06-22 04:00:00,14,ACAHW
14692,0.7806000000000001,0.7706000000000001,0.839599,0.839599,0.751,2021-06-23 04:00:00,47,ACAHW
1500,0.8113,0.8199000000000001,0.8200000000000001,0.8200000000000001,0.7551009999999999,2021-06-24 04:00:00,5,ACAHW
162,0.8260000000000001,0.8199000000000001,0.8199000000000001,0.8199000000000001,0.8199000000000001,2021-06-25 04:00:00,3,ACAHW
148348,0.8965000000000001,0.8398,0.88,1.105,0.764,2021-06-28 04:00:00,221,ACAHW
113596,0.9209,0.89473,0.9298000000000001,0.935,0.8501000000000001,2021-06-29 04:00:00,408,ACAHW
12017,0.8855000000000001,0.8102,0.88,0.92495,0.8102,2021-06-30 04:00:00,98,ACAHW
18381,0.8538,0.8200000000000001,0.86,0.9199,0.8200000000000001,2021-07-01 04:00:00,46,ACAHW
4900,0.9255,0.9,0.9001,0.9500000000000001,0.9,2021-07-02 04:00:00,12,ACAHW
41114,0.9489000000000001,0.949799,0.9201,0.950101,0.92,2021-07-06 04:00:00,51,ACAHW
8454,0.9885,0.8806,0.8806,0.8806,0.8806,2021-07-07 04:00:00,4,ACAHW
2532,0.8589,0.879899,0.85,0.879899,0.85,2021-07-08 04:00:00,8,ACAHW
12380,0.8491000000000001,0.8499,0.88,0.88,0.8303,2021-07-09 04:00:00,76,ACAHW
54575,0.9357000000000001,0.87,0.9500000000000001,0.9500000000000001,0.87,2021-07-12 04:00:00,98,ACAHW
1947,0.9510000000000001,0.9510000000000001,0.9510000000000001,0.9510000000000001,0.9510000000000001,2021-07-13 04:00:00,10,ACAHW
88744,0.9565,0.97,0.97,0.974501,0.9500000000000001,2021-07-14 04:00:00,373,ACAHW
26554,0.9590000000000001,0.93505,0.97,0.979501,0.910001,2021-07-15 04:00:00,163,ACAHW
2605,0.9555,0.9501000000000001,0.964,0.96413,0.9500000000000001,2021-07-16 04:00:00,12,ACAHW
10311,0.9490000000000001,0.9502,0.9400000000000001,0.950521,0.9400000000000001,2021-07-19 04:00:00,8,ACAHW
9432,0.9432,0.9400000000000001,0.9500000000000001,0.950104,0.9400000000000001,2021-07-20 04:00:00,22,ACAHW
8598,1.0188,0.9500000000000001,1.04,1.05,0.9500000000000001,2021-07-21 04:00:00,27,ACAHW
115342,0.9500000000000001,0.9502,0.931,1.0,0.931,2021-07-22 04:00:00,837,ACAHW
161572,0.9492,0.9510000000000001,0.931,0.9510000000000001,0.931,2021-07-23 04:00:00,355,ACAHW
