volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
142,9.9736,10.0,10.0,10.0,10.0,2021-12-13 05:00:00,10,AEAE
709035,9.8002,9.8,9.82,9.85,9.8,2021-12-14 05:00:00,45,AEAE
134,9.8198,9.82,9.82,9.82,9.82,2021-12-15 05:00:00,6,AEAE
4841,10.0429,10.74,9.833,10.78,9.8051,2021-12-16 05:00:00,27,AEAE
17724,9.8461,9.83,10.03,10.03,9.83,2021-12-17 05:00:00,30,AEAE
29226,9.7481,3.85,9.9,10.0,3.85,2021-12-20 05:00:00,158,AEAE
2431,9.900500000000001,9.94,9.89,9.94,9.89,2021-12-21 05:00:00,11,AEAE
894,9.8923,9.91,9.89,9.91,9.89,2021-12-22 05:00:00,8,AEAE
3188,10.1,9.95,10.15,10.26,9.95,2021-12-23 05:00:00,31,AEAE
427,9.8432,9.84,9.84,9.84,9.84,2021-12-27 05:00:00,9,AEAE
6117,9.8461,9.82,9.9,9.9,9.82,2021-12-28 05:00:00,17,AEAE
810,9.8326,9.84,9.84,9.84,9.81,2021-12-30 05:00:00,8,AEAE
1976,9.8431,9.85,9.85,9.85,9.84,2021-12-31 05:00:00,31,AEAE
90415,9.8525,9.85,9.88,9.88,9.83,2022-01-03 05:00:00,117,AEAE
101,9.872,9.8701,9.8701,9.8701,9.8701,2022-01-04 05:00:00,2,AEAE
205,9.9884,9.99,9.99,9.99,9.99,2022-01-05 05:00:00,4,AEAE
53755,9.8902,9.89,9.9,9.9,9.89,2022-01-06 05:00:00,73,AEAE
1921,9.9204,9.9,10.0,10.0,9.88,2022-01-07 05:00:00,21,AEAE
1533,9.8913,9.89,9.89,9.89,9.89,2022-01-10 05:00:00,14,AEAE
4869,9.8901,9.89,9.89,9.89,9.89,2022-01-11 05:00:00,8,AEAE
6740,9.8899,9.89,9.9,9.9,9.88,2022-01-12 05:00:00,32,AEAE
312133,9.8899,9.88,9.91,9.91,9.87,2022-01-13 05:00:00,18,AEAE
54880,9.8572,9.91,9.855,9.91,9.76,2022-01-18 05:00:00,35,AEAE
7295,9.8559,9.87,9.85,9.87,9.85,2022-01-19 05:00:00,22,AEAE
1761,9.8986,9.9,9.89,9.9,9.89,2022-01-20 05:00:00,7,AEAE
205,9.89,9.89,9.89,9.89,9.89,2022-01-21 05:00:00,2,AEAE
5213,9.8028,9.87,9.8,9.87,9.8,2022-01-24 05:00:00,10,AEAE
34379,9.8237,9.8,9.84,9.84,9.8,2022-01-26 05:00:00,141,AEAE
30921,9.8389,9.84,9.84,9.845,9.83,2022-01-27 05:00:00,154,AEAE
3100,9.8134,9.85,9.82,9.85,9.8,2022-01-28 05:00:00,6,AEAE
9316,9.83,9.83,9.83,9.83,9.83,2022-01-31 05:00:00,37,AEAE
18939,9.8925,9.84,9.93,9.97,9.84,2022-02-01 05:00:00,64,AEAE
19821,9.9082,9.84,9.8601,9.95,9.84,2022-02-02 05:00:00,51,AEAE
1318,9.9064,9.89,9.91,9.91,9.885,2022-02-03 05:00:00,14,AEAE
2500,9.8538,9.86,9.85,9.88,9.85,2022-02-04 05:00:00,7,AEAE
7350,9.8591,9.868,9.93,9.93,9.82,2022-02-07 05:00:00,15,AEAE
1808,9.8303,9.83,9.83,9.83,9.83,2022-02-09 05:00:00,4,AEAE
100454,9.8404,9.84,9.84,9.84,9.84,2022-02-10 05:00:00,32,AEAE
123,9.8415,9.84,9.84,9.84,9.84,2022-02-11 05:00:00,3,AEAE
2547,9.8442,9.83,9.83,9.83,9.83,2022-02-17 05:00:00,13,AEAE
