volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3685,9.7468,10.04,9.75,10.08,9.65,2021-09-23 04:00:00,78,ALPA
16998,9.6735,9.87,9.66,9.87,9.62,2021-09-27 04:00:00,98,ALPA
3589,9.6639,9.6638,9.66,9.68,9.66,2021-09-28 04:00:00,43,ALPA
76162,9.6599,9.66,9.65,9.66,9.65,2021-09-29 04:00:00,53,ALPA
542,9.6797,9.68,9.68,9.68,9.68,2021-09-30 04:00:00,9,ALPA
245,9.6585,9.6552,9.6552,9.6552,9.6552,2021-10-01 04:00:00,9,ALPA
1023,9.6602,9.66,9.66,9.66,9.66,2021-10-04 04:00:00,7,ALPA
6107,9.6735,9.66,9.69,9.69,9.6422,2021-10-05 04:00:00,17,ALPA
33958,9.7018,9.675,9.7,9.7,9.675,2021-10-06 04:00:00,104,ALPA
1566,9.7141,9.67,9.73,9.73,9.67,2021-10-07 04:00:00,17,ALPA
328,9.7627,9.79,9.79,9.79,9.79,2021-10-13 04:00:00,10,ALPA
20097,9.7057,9.7167,9.7,9.72,9.7,2021-10-14 04:00:00,27,ALPA
519,9.716,9.715,9.715,9.715,9.715,2021-10-15 04:00:00,6,ALPA
260,9.6922,9.6694,9.71,9.71,9.6694,2021-10-19 04:00:00,5,ALPA
14300,9.6982,9.7,9.7,9.7,9.68,2021-10-25 04:00:00,51,ALPA
6811,9.7008,9.71,9.71,9.71,9.7,2021-10-26 04:00:00,18,ALPA
4396,9.7083,9.7,9.71,9.71,9.7,2021-10-27 04:00:00,27,ALPA
210,9.7193,9.71,9.71,9.71,9.71,2021-10-28 04:00:00,6,ALPA
309,9.6668,9.66,9.66,9.66,9.66,2021-10-29 04:00:00,8,ALPA
26524,9.7051,9.7,9.75,9.85,9.7,2021-11-01 04:00:00,22,ALPA
2926,9.7815,9.78,9.765,9.81,9.7202,2021-11-02 04:00:00,27,ALPA
5182,9.763,9.71,9.79,9.8,9.71,2021-11-03 04:00:00,57,ALPA
1304,9.7235,9.71,9.79,9.79,9.71,2021-11-09 05:00:00,13,ALPA
599,9.7399,9.75,9.76,9.76,9.71,2021-11-10 05:00:00,11,ALPA
121,9.7012,9.7,9.7,9.7,9.7,2021-11-11 05:00:00,3,ALPA
1121,9.7444,9.7499,9.7499,9.7499,9.7499,2021-11-12 05:00:00,8,ALPA
2215,9.7291,9.73,9.73,9.73,9.73,2021-11-15 05:00:00,9,ALPA
112,9.7097,9.71,9.71,9.71,9.71,2021-11-16 05:00:00,3,ALPA
1001,9.72,9.72,9.72,9.72,9.72,2021-11-17 05:00:00,8,ALPA
2464,9.7167,9.74,9.71,9.74,9.71,2021-11-18 05:00:00,9,ALPA
2427,9.7267,9.73,9.71,9.73,9.71,2021-11-19 05:00:00,9,ALPA
105,9.7106,9.71,9.71,9.71,9.71,2021-11-23 05:00:00,4,ALPA
1000,9.71,9.71,9.71,9.71,9.71,2021-11-26 05:00:00,4,ALPA
12022,9.72,9.72,9.72,9.72,9.72,2021-11-29 05:00:00,18,ALPA
631,9.714,9.7288,9.71,9.7288,9.71,2021-11-30 05:00:00,8,ALPA
31886,9.7034,9.71,9.68,9.71,9.67,2021-12-02 05:00:00,65,ALPA
