volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
394576,13.261,17.9144,12.0688,17.9144,11.0,2022-02-04 05:00:00,5667,ANGH
4447346,19.253,17.1,19.5,23.1,16.47,2022-02-07 05:00:00,54812,ANGH
529385,14.2414,18.25,13.47,18.3126,12.39,2022-02-08 05:00:00,5493,ANGH
397103,12.765,13.82,11.25,13.82,11.17,2022-02-09 05:00:00,4661,ANGH
1060197,13.7661,12.25,12.4,15.99,11.67,2022-02-10 05:00:00,10225,ANGH
281058,11.7396,12.95,12.05,13.2,10.5,2022-02-11 05:00:00,2780,ANGH
109098,11.9557,12.9,12.25,12.9,11.51,2022-02-14 05:00:00,1247,ANGH
160101,11.8836,11.5,11.78,12.81,11.5,2022-02-15 05:00:00,1361,ANGH
131954,11.4581,11.69,11.05,12.0,10.91,2022-02-16 05:00:00,1150,ANGH
20398913,22.8667,10.96,28.88,33.13,10.29,2022-02-17 05:00:00,169107,ANGH
