volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
6371,37.4822,37.49,37.35,37.8272,37.28,2020-02-20 05:00:00,128,ARTNA
8907,37.5005,37.44,37.44,37.79,37.44,2020-02-21 05:00:00,127,ARTNA
12375,37.4233,37.19,37.12,37.85,37.12,2020-02-24 05:00:00,186,ARTNA
13530,37.1448,37.171,36.73,37.62,36.73,2020-02-25 05:00:00,264,ARTNA
8246,37.1223,36.75,37.3,37.44,36.73,2020-02-26 05:00:00,104,ARTNA
19051,36.4349,37.01,35.97,37.1,35.97,2020-02-27 05:00:00,247,ARTNA
43413,34.7633,35.25,34.33,35.7378,34.04,2020-02-28 05:00:00,1036,ARTNA
34509,34.9001,34.86,34.76,35.45,34.5,2020-03-02 05:00:00,410,ARTNA
32273,34.6929,34.75,34.84,35.1336,34.3,2020-03-03 05:00:00,458,ARTNA
17242,35.7503,34.84,36.74,36.74,34.4701,2020-03-04 05:00:00,240,ARTNA
18304,35.5622,36.22,35.49,36.506,34.93,2020-03-05 05:00:00,310,ARTNA
11099,35.2079,34.64,35.53,35.7,34.63,2020-03-06 05:00:00,223,ARTNA
35856,34.9875,34.56,35.32,35.3399,34.56,2020-03-09 04:00:00,430,ARTNA
24203,35.2572,35.37,35.64,35.74,34.68,2020-03-10 04:00:00,387,ARTNA
21806,33.9936,35.07,33.35,35.28,33.15,2020-03-11 04:00:00,478,ARTNA
42818,32.9608,31.54,33.89,34.09,31.52,2020-03-12 04:00:00,638,ARTNA
30186,33.7385,34.95,33.75,35.0,32.155,2020-03-13 04:00:00,541,ARTNA
32575,31.9369,33.0,32.78,33.0,30.06,2020-03-16 04:00:00,534,ARTNA
40016,33.4637,32.91,35.12,35.12,31.245,2020-03-17 04:00:00,607,ARTNA
57150,32.0476,34.22,33.25,34.3,30.1,2020-03-18 04:00:00,897,ARTNA
30966,34.017,32.71,35.18,35.25,32.08,2020-03-19 04:00:00,669,ARTNA
49207,33.309,34.58,32.69,34.58,32.5116,2020-03-20 04:00:00,590,ARTNA
37908,31.5118,33.37,31.24,33.68,30.01,2020-03-23 04:00:00,571,ARTNA
40195,32.6604,32.0,34.0,34.0,30.89,2020-03-24 04:00:00,549,ARTNA
39219,34.4005,33.41,35.28,35.58,32.78,2020-03-25 04:00:00,768,ARTNA
36081,35.5606,34.96,36.03,36.03,34.75,2020-03-26 04:00:00,563,ARTNA
41804,36.3577,34.95,36.06,37.5,34.73,2020-03-27 04:00:00,834,ARTNA
23557,36.5551,36.5,36.98,36.9853,35.77,2020-03-30 04:00:00,403,ARTNA
33477,36.9451,36.96,37.38,37.38,35.755,2020-03-31 04:00:00,618,ARTNA
42210,35.758,36.07,35.64,36.465,35.4341,2020-04-01 04:00:00,603,ARTNA
24245,35.7051,35.82,35.88,36.9499,34.9106,2020-04-02 04:00:00,572,ARTNA
17651,35.3096,35.43,35.17,36.23,34.55,2020-04-03 04:00:00,287,ARTNA
40311,37.2,36.12,37.56,37.74,36.12,2020-04-06 04:00:00,622,ARTNA
32779,36.8041,37.75,36.41,38.0677,35.56,2020-04-07 04:00:00,613,ARTNA
29011,36.2398,36.55,36.3,36.65,35.76,2020-04-08 04:00:00,494,ARTNA
29515,36.9978,36.4,37.4,37.4,36.4,2020-04-09 04:00:00,540,ARTNA
19864,36.9949,36.93,37.41,37.46,36.39,2020-04-13 04:00:00,337,ARTNA
26385,37.1858,37.78,37.2,37.9186,36.77,2020-04-14 04:00:00,413,ARTNA
25463,36.2456,36.78,36.04,36.93,35.68,2020-04-15 04:00:00,531,ARTNA
26747,35.3982,36.11,35.69,36.51,34.6,2020-04-16 04:00:00,694,ARTNA
32493,36.1182,36.2,36.05,36.85,35.39,2020-04-17 04:00:00,508,ARTNA
21232,35.1465,35.36,35.31,35.635,34.53,2020-04-20 04:00:00,350,ARTNA
18753,34.6001,34.52,34.7,34.93,34.23,2020-04-21 04:00:00,502,ARTNA
16221,34.6213,34.94,34.56,35.05,34.25,2020-04-22 04:00:00,335,ARTNA
