volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
225000,0.5,0.5,0.5,0.5,0.5,2021-09-03 04:00:00,8,ASPAW
6370,0.3552,0.35000000000000003,0.45,0.45,0.33,2021-09-07 04:00:00,32,ASPAW
481878,0.4919,0.5,0.465,0.5162,0.44,2021-09-08 04:00:00,507,ASPAW
223253,0.424,0.445,0.42,0.45,0.39480000000000004,2021-09-09 04:00:00,159,ASPAW
45167,0.4152,0.4198,0.41350000000000003,0.42,0.3725,2021-09-10 04:00:00,147,ASPAW
116495,0.4011,0.40540000000000004,0.3926,0.4071,0.392,2021-09-13 04:00:00,114,ASPAW
109990,0.4183,0.4001,0.42010000000000003,0.43,0.39480000000000004,2021-09-14 04:00:00,287,ASPAW
13325,0.4173,0.42010000000000003,0.42010000000000003,0.42010000000000003,0.39480000000000004,2021-09-15 04:00:00,71,ASPAW
76200,0.4038,0.43,0.3951,0.43,0.3951,2021-09-16 04:00:00,36,ASPAW
195400,0.3975,0.39,0.4001,0.40030000000000004,0.39,2021-09-17 04:00:00,29,ASPAW
24901,0.4,0.3995,0.4,0.4,0.3995,2021-09-20 04:00:00,19,ASPAW
51000,0.40180000000000005,0.4,0.49,0.49,0.4,2021-09-21 04:00:00,20,ASPAW
2643,0.41350000000000003,0.43,0.4101,0.43,0.4101,2021-09-24 04:00:00,9,ASPAW
2150,0.42,0.42010000000000003,0.42,0.42010000000000003,0.42,2021-10-01 04:00:00,3,ASPAW
2860,0.5529000000000001,0.589899,0.5501,0.589899,0.5501,2021-10-05 04:00:00,7,ASPAW
61267,0.43,0.43,0.43,0.43,0.43,2021-10-07 04:00:00,5,ASPAW
200,0.47000000000000003,0.47000000000000003,0.46990000000000004,0.47000000000000003,0.46990000000000004,2021-10-08 04:00:00,2,ASPAW
3750,0.42,0.42,0.42,0.42,0.42,2021-10-18 04:00:00,11,ASPAW
490,0.4102,0.4102,0.4102,0.4102,0.4102,2021-10-19 04:00:00,3,ASPAW
207033,0.4395,0.44,0.43510000000000004,0.44010000000000005,0.435,2021-10-21 04:00:00,108,ASPAW
201550,0.44870000000000004,0.44,0.46,0.46,0.44,2021-10-22 04:00:00,32,ASPAW
87705,0.508,0.811,0.4988,0.811,0.45930000000000004,2021-10-25 04:00:00,295,ASPAW
22200,0.5361,0.5,0.5699000000000001,0.5798,0.5,2021-10-26 04:00:00,44,ASPAW
8999,0.5231,0.5221,0.55,0.55,0.522,2021-10-27 04:00:00,23,ASPAW
60140,0.5201,0.56,0.52,0.56,0.52,2021-10-28 04:00:00,3,ASPAW
100,0.5246000000000001,0.5246000000000001,0.5246000000000001,0.5246000000000001,0.5246000000000001,2021-10-29 04:00:00,1,ASPAW
14275,0.5268,0.52,0.54,0.549,0.52,2021-11-01 04:00:00,21,ASPAW
105200,0.54,0.54,0.54,0.54,0.54,2021-11-02 04:00:00,1,ASPAW
3099,0.5357000000000001,0.5227,0.55,0.55,0.5225000000000001,2021-11-03 04:00:00,9,ASPAW
7342,0.5603,0.558,0.56,0.5974,0.558,2021-11-04 04:00:00,10,ASPAW
7500,0.5613,0.5679000000000001,0.5254,0.5680000000000001,0.5254,2021-11-05 04:00:00,24,ASPAW
44950,0.5937,0.55,0.6000000000000001,0.6000000000000001,0.55,2021-11-08 05:00:00,37,ASPAW
180681,0.6003000000000001,0.6000000000000001,0.6000000000000001,0.61,0.6000000000000001,2021-11-09 05:00:00,182,ASPAW
22600,0.6146,0.61,0.62,0.62,0.61,2021-11-10 05:00:00,16,ASPAW
107717,0.6138,0.62,0.62,0.62,0.6000000000000001,2021-11-12 05:00:00,56,ASPAW
5000,0.7000000000000001,0.6999000000000001,0.7000000000000001,0.7000000000000001,0.6999000000000001,2021-11-15 05:00:00,4,ASPAW
19040,0.5822,0.6355000000000001,0.58,0.6355000000000001,0.579,2021-11-16 05:00:00,32,ASPAW
21000,0.6467,0.63,0.64,0.68,0.63,2021-11-17 05:00:00,25,ASPAW
5000,0.6900000000000001,0.6899000000000001,0.6900000000000001,0.6900000000000001,0.6899000000000001,2021-11-18 05:00:00,3,ASPAW
112700,0.6014,0.63,0.6000000000000001,0.63,0.6000000000000001,2021-11-19 05:00:00,63,ASPAW
5600,0.6559,0.5702,0.6021000000000001,0.66,0.5702,2021-11-22 05:00:00,20,ASPAW
7400,0.6377,0.6699,0.5701,0.67,0.5701,2021-11-23 05:00:00,11,ASPAW
5100,0.668,0.5701,0.67,0.67,0.5701,2021-11-24 05:00:00,15,ASPAW
100,0.5803,0.5803,0.5803,0.5803,0.5803,2021-11-26 05:00:00,1,ASPAW
4100,0.5730000000000001,0.5702,0.6299,0.6299,0.55,2021-11-29 05:00:00,14,ASPAW
150,0.5714,0.5714,0.5714,0.5714,0.5714,2021-12-07 05:00:00,1,ASPAW
250,0.5701,0.5701,0.5701,0.5701,0.5701,2021-12-09 05:00:00,1,ASPAW
550,0.5667,0.5679000000000001,0.5702,0.5702,0.5679000000000001,2021-12-10 05:00:00,6,ASPAW
100,0.5702,0.5702,0.5702,0.5702,0.5702,2021-12-13 05:00:00,1,ASPAW
6815,0.5700000000000001,0.5702,0.5700000000000001,0.5702,0.5700000000000001,2021-12-14 05:00:00,5,ASPAW
500,0.585,0.585,0.585,0.585,0.585,2021-12-23 05:00:00,1,ASPAW
1250,0.5724,0.5700000000000001,0.5999,0.5999,0.5700000000000001,2021-12-30 05:00:00,9,ASPAW
1010,0.6000000000000001,0.5999,0.6000000000000001,0.6000000000000001,0.5999,2021-12-31 05:00:00,3,ASPAW
350,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,2022-01-07 05:00:00,4,ASPAW
600,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,2022-01-11 05:00:00,6,ASPAW
