volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
22777,28.1065,28.0401,28.16,28.1726,28.04,2020-02-20 05:00:00,165,BHFAP
16235,28.0536,28.11,27.97,28.1822,27.725,2020-02-21 05:00:00,147,BHFAP
33188,27.6637,27.6687,27.57,27.8106,27.53,2020-02-24 05:00:00,193,BHFAP
41730,27.5269,27.75,27.06,28.555,27.05,2020-02-25 05:00:00,501,BHFAP
41613,27.249,27.5847,27.265,27.6,26.98,2020-02-26 05:00:00,452,BHFAP
45800,26.9283,26.9,26.9,27.43,26.59,2020-02-27 05:00:00,291,BHFAP
72274,26.4606,26.7,26.24,26.8631,26.15,2020-02-28 05:00:00,422,BHFAP
32467,26.9511,26.64,27.04,27.114,26.64,2020-03-02 05:00:00,264,BHFAP
23590,27.4271,27.1731,27.17,27.74,27.1,2020-03-03 05:00:00,211,BHFAP
47288,27.6331,27.3,27.85,27.89,27.21,2020-03-04 05:00:00,254,BHFAP
30919,27.3509,27.64,27.33,27.6518,27.1,2020-03-05 05:00:00,142,BHFAP
91361,26.8778,27.2,26.26,27.2415,26.15,2020-03-06 05:00:00,606,BHFAP
160824,25.0316,25.43,25.06,25.725,23.51,2020-03-09 04:00:00,777,BHFAP
70938,25.2568,25.12,25.95,26.2802,24.25,2020-03-10 04:00:00,370,BHFAP
107188,25.3838,25.51,25.3,25.65,25.11,2020-03-11 04:00:00,628,BHFAP
115389,23.5408,25.04,23.56,25.04,22.6,2020-03-12 04:00:00,738,BHFAP
61632,24.3022,24.0,24.82,24.915,23.305,2020-03-13 04:00:00,414,BHFAP
85915,22.9372,22.75,21.56,24.15,20.0,2020-03-16 04:00:00,492,BHFAP
74660,22.7874,24.7,22.5,24.7,22.42,2020-03-17 04:00:00,414,BHFAP
134414,16.7699,22.17,16.25,22.17,13.01,2020-03-18 04:00:00,487,BHFAP
150806,16.407,14.89,18.59,20.0,13.04,2020-03-19 04:00:00,869,BHFAP
90882,20.0712,20.35,16.33,22.6696,16.33,2020-03-20 04:00:00,429,BHFAP
