volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
8333,0.9012,0.91,0.9,0.91,0.9,2021-06-29 04:00:00,2,BRIVW
450,1.1444,1.15,1.13,1.15,1.13,2021-06-30 04:00:00,3,BRIVW
79492,1.0996,1.15,1.095,1.15,1.09,2021-07-01 04:00:00,72,BRIVW
8196,1.0834,1.09,1.069,1.09,1.06,2021-07-02 04:00:00,47,BRIVW
8754,1.0567,1.07,1.04,1.08,1.035,2021-07-06 04:00:00,30,BRIVW
64422,0.9538000000000001,1.03,0.9351,1.04,0.91,2021-07-07 04:00:00,267,BRIVW
26443,1.0222,0.9401,1.105,1.12,0.9401,2021-07-08 04:00:00,85,BRIVW
28851,1.0157,1.02,1.0,1.05,0.99,2021-07-09 04:00:00,63,BRIVW
33334,0.9956,0.9902000000000001,1.0,1.0,0.99,2021-07-12 04:00:00,46,BRIVW
15416,1.0014,0.9999,1.0201,1.0999,0.9999,2021-07-13 04:00:00,80,BRIVW
5751,1.0194,1.02,1.02,1.02,1.01,2021-07-14 04:00:00,41,BRIVW
19088,1.0645,1.01,1.08,1.11,1.01,2021-07-15 04:00:00,56,BRIVW
3124,1.0445,1.05,1.08,1.08,1.04,2021-07-16 04:00:00,30,BRIVW
4732,1.0138,1.01,1.02,1.065,1.0,2021-07-19 04:00:00,18,BRIVW
32419,0.9946,1.0,1.02,1.03,0.9605,2021-07-20 04:00:00,120,BRIVW
23372,0.9829,0.96,1.01,1.01,0.9599000000000001,2021-07-21 04:00:00,53,BRIVW
3026,1.0056,1.0,1.04,1.04,1.0,2021-07-22 04:00:00,14,BRIVW
1200,1.0658,1.2,1.0399,1.2,1.0399,2021-07-23 04:00:00,3,BRIVW
18405,1.0004,1.0,1.03,1.03,1.0,2021-07-26 04:00:00,28,BRIVW
24638,1.0016,1.01,1.0,1.0336,1.0,2021-07-27 04:00:00,29,BRIVW
31294,1.03,1.03,1.03,1.03,1.03,2021-07-28 04:00:00,55,BRIVW
25963,1.0201,1.03,1.05,1.1,1.0,2021-07-29 04:00:00,89,BRIVW
1557,1.0799,1.1400000000000001,1.05,1.1400000000000001,1.05,2021-07-30 04:00:00,16,BRIVW
212,1.0004,1.0,1.0,1.0,1.0,2021-08-02 04:00:00,2,BRIVW
17152,1.0029,1.0,1.0,1.03,1.0,2021-08-03 04:00:00,84,BRIVW
34635,1.0009,1.01,1.0,1.03,1.0,2021-08-04 04:00:00,72,BRIVW
24961,1.0006,1.0,1.0,1.0395,1.0,2021-08-05 04:00:00,119,BRIVW
20315,0.9507000000000001,0.96,0.9500000000000001,0.97,0.9500000000000001,2021-08-06 04:00:00,125,BRIVW
10000,1.0,1.0,1.0,1.0,1.0,2021-08-09 04:00:00,77,BRIVW
24046,1.0,1.0,1.0,1.0,1.0,2021-08-10 04:00:00,123,BRIVW
600,1.0108,1.0,1.065,1.065,1.0,2021-08-12 04:00:00,2,BRIVW
3332,1.0159,1.0,1.0,1.04,1.0,2021-08-16 04:00:00,27,BRIVW
1678,1.018,1.0,1.0192,1.0192,1.0,2021-08-17 04:00:00,5,BRIVW
1300,1.0119,1.065,1.0,1.0691,1.0,2021-08-18 04:00:00,5,BRIVW
1010,1.0098,1.0,1.0,1.065,1.0,2021-08-19 04:00:00,8,BRIVW
27482,0.9645,1.0,0.9251,1.05,0.8101,2021-08-20 04:00:00,47,BRIVW
790,0.8063,0.8001,0.8101,0.8101,0.8001,2021-08-24 04:00:00,5,BRIVW
702,0.8003,0.8001,0.8,0.8001,0.8,2021-08-25 04:00:00,3,BRIVW
10357,0.7847000000000001,0.8001,0.7502000000000001,0.8002,0.7502000000000001,2021-08-26 04:00:00,57,BRIVW
8672,0.7792,0.7502000000000001,0.77,0.78,0.7501,2021-08-27 04:00:00,144,BRIVW
1430,0.7513000000000001,0.7502000000000001,0.7502000000000001,0.76,0.7502000000000001,2021-09-01 04:00:00,4,BRIVW
1127,0.7543000000000001,0.7695719999999999,0.7501,0.7695719999999999,0.7501,2021-09-07 04:00:00,5,BRIVW
946,0.7449,0.7501,0.733,0.76495,0.733,2021-09-08 04:00:00,7,BRIVW
607,0.7601,0.7798,0.750645,0.7799,0.750645,2021-09-09 04:00:00,4,BRIVW
5408,0.7751,0.745,0.7733,0.78,0.745,2021-09-14 04:00:00,24,BRIVW
11528,0.7906000000000001,0.8,0.71,0.805,0.71,2021-09-15 04:00:00,59,BRIVW
4938,0.6473,0.6901,0.6598,0.6901,0.613,2021-09-16 04:00:00,36,BRIVW
5202,0.7427,0.73,0.66,0.75,0.66,2021-09-17 04:00:00,17,BRIVW
1314,0.6597000000000001,0.66,0.6699,0.6699,0.659,2021-09-20 04:00:00,6,BRIVW
2376,0.7924,0.7999,0.7500009999999999,0.8,0.7500009999999999,2021-09-21 04:00:00,36,BRIVW
1008,0.6638000000000001,0.6399,0.6999000000000001,0.6999000000000001,0.6301,2021-09-23 04:00:00,8,BRIVW
14060,0.7000000000000001,0.7000000000000001,0.6999000000000001,0.7000000000000001,0.6999000000000001,2021-10-01 04:00:00,31,BRIVW
312,0.7333000000000001,0.7498,0.7498,0.7498,0.7498,2021-10-04 04:00:00,25,BRIVW
169,0.75,0.75,0.75,0.75,0.75,2021-10-05 04:00:00,4,BRIVW
4963,0.7106,0.7020000000000001,0.71,0.71,0.7020000000000001,2021-10-07 04:00:00,343,BRIVW
100,0.71,0.71,0.71,0.71,0.71,2021-10-12 04:00:00,1,BRIVW
7021,0.7059000000000001,0.6999000000000001,0.71,0.71,0.6999000000000001,2021-10-13 04:00:00,26,BRIVW
1228,0.7001000000000001,0.7000000000000001,0.7001000000000001,0.7001000000000001,0.7000000000000001,2021-10-14 04:00:00,10,BRIVW
9529,0.7467,0.8,0.705,0.8,0.700101,2021-10-15 04:00:00,77,BRIVW
4830,0.7151000000000001,0.700101,0.72,0.72,0.700101,2021-10-18 04:00:00,18,BRIVW
35685,0.6915,0.66,0.7001000000000001,0.7001000000000001,0.6599,2021-10-19 04:00:00,601,BRIVW
984,0.7082,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,2021-10-21 04:00:00,39,BRIVW
5965,0.7596,0.74,0.8,0.8,0.7000000000000001,2021-10-25 04:00:00,56,BRIVW
50586,0.9793000000000001,0.7968000000000001,1.0,1.08,0.74,2021-10-26 04:00:00,310,BRIVW
30822,1.0302,1.0,1.05,1.07,1.0,2021-10-27 04:00:00,202,BRIVW
110246,1.0402,1.05,1.05,1.105,1.0,2021-10-28 04:00:00,90,BRIVW
645,1.1484,1.09,1.17,1.17,1.09,2021-10-29 04:00:00,6,BRIVW
40824,1.2168,1.16,1.3,1.3,1.15,2021-11-01 04:00:00,222,BRIVW
19921,1.3849,1.3900000000000001,1.26,1.5,1.26,2021-11-02 04:00:00,219,BRIVW
10165,1.3643,1.25,1.31,1.49,1.25,2021-11-03 04:00:00,75,BRIVW
4297,1.3565,1.4100000000000001,1.35,1.4100000000000001,1.27,2021-11-04 04:00:00,35,BRIVW
6836,1.2902,1.3,1.25,1.45,1.25,2021-11-05 04:00:00,30,BRIVW
3621,1.3045,1.26,1.3,1.355,1.26,2021-11-08 05:00:00,16,BRIVW
9016,1.3894,1.3,1.35,1.8399999999999999,1.29,2021-11-09 05:00:00,71,BRIVW
3645,1.3355000000000001,1.33,1.34,1.5629,1.25,2021-11-10 05:00:00,24,BRIVW
3855,1.2574,1.25,1.25,1.29,1.25,2021-11-11 05:00:00,24,BRIVW
7768,1.2135,1.21,1.2,1.2687,1.19,2021-11-12 05:00:00,28,BRIVW
1151,1.2022,1.18,1.2,1.24,1.18,2021-11-15 05:00:00,8,BRIVW
1448,1.2121,1.2,1.18,1.22,1.18,2021-11-16 05:00:00,8,BRIVW
3399,1.246,1.18,1.25,1.25,1.18,2021-11-17 05:00:00,4,BRIVW
22094,1.1826,1.18,1.25,1.26,1.15,2021-11-18 05:00:00,128,BRIVW
5459,1.2157,1.2,1.21,1.2399,1.2,2021-11-19 05:00:00,28,BRIVW
5676,1.2007,1.2,1.19,1.22,1.18,2021-11-22 05:00:00,26,BRIVW
7857,1.1802,1.195,1.15,1.27,1.15,2021-11-23 05:00:00,60,BRIVW
12350,1.156,1.15,1.16,1.2,1.15,2021-11-24 05:00:00,21,BRIVW
800,1.1501000000000001,1.1501000000000001,1.15,1.1501000000000001,1.15,2021-11-26 05:00:00,4,BRIVW
21347,1.1525,1.15,1.1400000000000001,1.16,1.1400000000000001,2021-11-29 05:00:00,58,BRIVW
368,1.1482,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,2021-11-30 05:00:00,4,BRIVW
10715,1.1768,1.15,1.1400000000000001,1.81,1.1400000000000001,2021-12-01 05:00:00,27,BRIVW
100,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,2021-12-02 05:00:00,1,BRIVW
1033,1.1229,1.1301,1.12,1.1301,1.12,2021-12-03 05:00:00,6,BRIVW
18796,1.0482,1.12,1.1,1.53,1.01,2021-12-06 05:00:00,135,BRIVW
6400,1.0027,1.01,1.06,1.06,1.0,2021-12-07 05:00:00,10,BRIVW
931,1.0109,1.0,1.0,1.02,1.0,2021-12-08 05:00:00,11,BRIVW
2377,1.0243,1.01,1.01,1.05,1.01,2021-12-10 05:00:00,14,BRIVW
3870,1.2058,1.3,1.11,1.3,1.11,2021-12-13 05:00:00,14,BRIVW
4159,1.0481,1.02,1.02,1.05,1.0,2021-12-14 05:00:00,26,BRIVW
5857,0.9390000000000001,0.8836,0.9301,0.965,0.8836,2021-12-15 05:00:00,21,BRIVW
4099,0.9580000000000001,1.005,0.9500000000000001,1.005,0.9500000000000001,2021-12-16 05:00:00,7,BRIVW
812,1.0531,1.1332,1.01,1.1332,1.01,2021-12-17 05:00:00,10,BRIVW
405,1.0047,1.01,0.98,1.02,0.98,2021-12-20 05:00:00,5,BRIVW
1138,0.9513,0.97,0.93,0.97,0.93,2021-12-21 05:00:00,13,BRIVW
534,0.9319000000000001,0.93,0.9400000000000001,0.9400000000000001,0.93,2021-12-22 05:00:00,6,BRIVW
4381,0.907,0.9399000000000001,0.8999,0.949799,0.874949,2021-12-23 05:00:00,18,BRIVW
300,0.9433,0.9,0.965,0.965,0.9,2021-12-27 05:00:00,2,BRIVW
700,0.9286000000000001,0.97,0.92,0.98,0.91,2021-12-28 05:00:00,16,BRIVW
600,0.905,0.9,0.9,0.91,0.9,2021-12-29 05:00:00,5,BRIVW
2625,0.8542000000000001,0.85,0.85,0.88,0.85,2021-12-30 05:00:00,28,BRIVW
2850,0.8229000000000001,0.8501000000000001,0.8,0.8501000000000001,0.8,2021-12-31 05:00:00,21,BRIVW
1226,0.8799,0.879799,0.8799,0.8799,0.879799,2022-01-03 05:00:00,4,BRIVW
698,0.8,0.8,0.8,0.8,0.8,2022-01-04 05:00:00,18,BRIVW
705,0.7957000000000001,0.77,0.77,0.77,0.77,2022-01-05 05:00:00,3,BRIVW
1120,0.7753,0.79,0.77,0.79,0.77,2022-01-07 05:00:00,9,BRIVW
600,0.77,0.77,0.77,0.77,0.77,2022-01-10 05:00:00,3,BRIVW
100,0.7899,0.7899,0.7899,0.7899,0.7899,2022-01-11 05:00:00,1,BRIVW
601,0.7949,0.7999,0.77,0.7999,0.77,2022-01-12 05:00:00,4,BRIVW
320,0.76,0.76,0.76,0.76,0.76,2022-01-13 05:00:00,11,BRIVW
8301,0.7554000000000001,0.76,0.75485,0.76,0.7501,2022-01-14 05:00:00,33,BRIVW
5058,0.7505000000000001,0.75,0.774951,0.774951,0.75,2022-01-18 05:00:00,7,BRIVW
1900,0.7648,0.7651,0.7658579999999999,0.769799,0.75,2022-01-20 05:00:00,6,BRIVW
20021,0.7123,0.7399509999999999,0.7101000000000001,0.74,0.71,2022-01-21 05:00:00,22,BRIVW
18570,0.717,0.71,0.700101,0.7699,0.700101,2022-01-24 05:00:00,60,BRIVW
1119,0.7679,0.7699,0.7699,0.77,0.7699,2022-01-25 05:00:00,15,BRIVW
23488,0.7003,0.7599,0.7000000000000001,0.7599,0.7000000000000001,2022-01-26 05:00:00,9,BRIVW
2202,0.6464000000000001,0.7000000000000001,0.6657989999999999,0.7000000000000001,0.5827,2022-01-27 05:00:00,29,BRIVW
1650,0.6411,0.6301,0.64,0.6450009999999999,0.6301,2022-01-28 05:00:00,9,BRIVW
1321,0.5117,0.42010000000000003,0.6399,0.6399,0.42010000000000003,2022-01-31 05:00:00,12,BRIVW
10917,0.6394000000000001,0.639799,0.6199,0.6399,0.6199,2022-02-01 05:00:00,11,BRIVW
2937,0.5905,0.63,0.5750000000000001,0.63,0.5750000000000001,2022-02-02 05:00:00,32,BRIVW
500,0.5750000000000001,0.5749989999999999,0.5749989999999999,0.5749989999999999,0.5749989999999999,2022-02-03 05:00:00,1,BRIVW
2421,0.5121,0.5201,0.5201,0.5201,0.52,2022-02-04 05:00:00,20,BRIVW
1515,0.5281,0.525,0.535,0.555,0.52,2022-02-07 05:00:00,16,BRIVW
1366,0.5326000000000001,0.51,0.5,0.6449,0.5,2022-02-08 05:00:00,9,BRIVW
6670,0.5215000000000001,0.55,0.5,0.55,0.5,2022-02-09 05:00:00,20,BRIVW
3833,0.6651,0.745,0.6499,0.745,0.6211500000000001,2022-02-10 05:00:00,20,BRIVW
100,0.51,0.51,0.51,0.51,0.51,2022-02-11 05:00:00,1,BRIVW
857,0.5349,0.5,0.59,0.609799,0.5,2022-02-14 05:00:00,7,BRIVW
330,0.6158,0.7099000000000001,0.574951,0.7099000000000001,0.574951,2022-02-17 05:00:00,2,BRIVW
