volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4600,9.8708,9.8976,9.81,9.95,9.6701,2021-10-22 04:00:00,26,CCAI
1609,9.7629,9.95,9.7636,9.95,9.69,2021-10-25 04:00:00,14,CCAI
254,9.6926,9.6901,9.6901,9.6901,9.6901,2021-10-26 04:00:00,7,CCAI
210,9.7508,9.75,9.75,9.75,9.75,2021-10-27 04:00:00,4,CCAI
10349,9.7157,9.75,9.7,9.75,9.69,2021-10-28 04:00:00,31,CCAI
30580,9.6967,9.71,9.7,9.71,9.69,2021-10-29 04:00:00,173,CCAI
107245,9.701,9.7,9.725,9.73,9.67,2021-11-01 04:00:00,480,CCAI
1171041,9.7022,9.69,9.73,9.77,9.69,2021-11-02 04:00:00,1435,CCAI
921,9.7321,9.73,9.73,9.73,9.73,2021-11-03 04:00:00,15,CCAI
260417,9.7444,9.73,9.74,9.75,9.73,2021-11-04 04:00:00,133,CCAI
6994,9.7307,9.73,9.73,9.76,9.73,2021-11-05 04:00:00,44,CCAI
5621,9.721,9.72,9.73,9.73,9.72,2021-11-08 05:00:00,8,CCAI
160,9.73,9.73,9.73,9.73,9.73,2021-11-10 05:00:00,2,CCAI
623,9.7304,9.73,9.73,9.73,9.73,2021-11-11 05:00:00,7,CCAI
9746,9.7498,9.76,9.75,9.76,9.7495,2021-11-15 05:00:00,12,CCAI
1213,9.7423,9.72,9.75,9.75,9.7106,2021-11-17 05:00:00,10,CCAI
1777,9.729800000000001,9.7164,9.75,9.75,9.71,2021-11-18 05:00:00,18,CCAI
1264,9.7295,9.71,9.74,9.77,9.71,2021-11-22 05:00:00,8,CCAI
174020,9.7399,9.73,9.74,9.74,9.73,2021-11-23 05:00:00,12,CCAI
11341,9.7155,9.71,9.73,9.73,9.7,2021-11-26 05:00:00,31,CCAI
7488,9.747,9.78,9.74,9.78,9.71,2021-11-29 05:00:00,41,CCAI
5228,9.7409,9.74,9.76,9.76,9.74,2021-11-30 05:00:00,5,CCAI
3748,9.7238,9.72,9.73,9.76,9.71,2021-12-01 05:00:00,21,CCAI
17800,9.737,9.75,9.75,9.75,9.73,2021-12-06 05:00:00,74,CCAI
304,9.7402,9.74,9.74,9.74,9.74,2021-12-07 05:00:00,6,CCAI
692,9.75,9.75,9.75,9.75,9.75,2021-12-08 05:00:00,6,CCAI
1127,9.7911,9.75,9.8,9.8,9.75,2021-12-09 05:00:00,5,CCAI
942,9.7467,9.76,9.745,9.76,9.74,2021-12-10 05:00:00,5,CCAI
807,9.74,9.74,9.74,9.74,9.74,2021-12-13 05:00:00,4,CCAI
372143,9.7201,9.72,9.72,9.72,9.72,2021-12-14 05:00:00,4,CCAI
19318,9.7322,9.74,9.73,9.74,9.73,2021-12-16 05:00:00,19,CCAI
1985,9.7007,9.7,9.7,9.7,9.7,2021-12-17 05:00:00,7,CCAI
2091,9.7268,9.7,9.74,9.74,9.7,2021-12-20 05:00:00,3,CCAI
4207,9.7247,9.74,9.7,9.74,9.7,2021-12-21 05:00:00,6,CCAI
2426,9.74,9.74,9.74,9.74,9.74,2021-12-22 05:00:00,3,CCAI
1705,9.7398,9.74,9.74,9.74,9.74,2021-12-27 05:00:00,3,CCAI
1646,9.7397,9.74,9.74,9.74,9.74,2021-12-28 05:00:00,3,CCAI
100,9.74,9.74,9.74,9.74,9.74,2021-12-29 05:00:00,1,CCAI
355,9.7128,9.69,9.73,9.73,9.69,2021-12-30 05:00:00,5,CCAI
30731,9.7212,9.73,9.72,9.73,9.72,2022-01-03 05:00:00,7,CCAI
2636,9.7396,9.74,9.74,9.74,9.73,2022-01-04 05:00:00,3,CCAI
705,9.74,9.74,9.74,9.74,9.74,2022-01-05 05:00:00,2,CCAI
12565,9.6983,9.66,9.74,9.74,9.66,2022-01-07 05:00:00,85,CCAI
5101,9.7198,9.72,9.71,9.72,9.71,2022-01-10 05:00:00,3,CCAI
134939,9.6947,9.7,9.69,9.7,9.69,2022-01-11 05:00:00,111,CCAI
117,9.7159,9.72,9.72,9.72,9.72,2022-01-12 05:00:00,2,CCAI
16459,9.719899999999999,9.72,9.71,9.72,9.71,2022-01-13 05:00:00,23,CCAI
110,9.72,9.72,9.72,9.72,9.72,2022-01-14 05:00:00,3,CCAI
1412,9.7029,9.7,9.72,9.72,9.7,2022-01-19 05:00:00,7,CCAI
300,9.6833,9.67,9.69,9.69,9.67,2022-01-24 05:00:00,3,CCAI
9643,9.6869,9.68,9.72,9.72,9.63,2022-01-25 05:00:00,30,CCAI
250,9.688,9.68,9.68,9.68,9.68,2022-01-27 05:00:00,2,CCAI
100,9.71,9.71,9.71,9.71,9.71,2022-01-28 05:00:00,1,CCAI
318,9.71,9.71,9.71,9.71,9.71,2022-01-31 05:00:00,1,CCAI
100,9.71,9.71,9.71,9.71,9.71,2022-02-01 05:00:00,1,CCAI
13169,9.7238,9.71,9.73,9.73,9.71,2022-02-02 05:00:00,41,CCAI
1600,9.72,9.72,9.72,9.72,9.72,2022-02-03 05:00:00,16,CCAI
1210,9.72,9.72,9.72,9.72,9.72,2022-02-07 05:00:00,39,CCAI
1426,9.7201,9.72,9.72,9.72,9.72,2022-02-08 05:00:00,11,CCAI
468,9.7172,9.71,9.72,9.72,9.71,2022-02-14 05:00:00,3,CCAI
115,9.72,9.72,9.72,9.72,9.72,2022-02-15 05:00:00,2,CCAI
6079,9.706,9.68,9.705,9.73,9.68,2022-02-17 05:00:00,39,CCAI
