volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
60406,7.7466,7.71,7.74,7.785,7.68,2020-02-20 05:00:00,278,CECE
38121,7.7612,7.79,7.73,7.8,7.695,2020-02-21 05:00:00,305,CECE
58392,7.6819,7.49,7.68,7.79,7.49,2020-02-24 05:00:00,419,CECE
94096,7.6579,7.73,7.62,7.99,7.5600000000000005,2020-02-25 05:00:00,793,CECE
39752,7.4811,7.67,7.48,7.67,7.43,2020-02-26 05:00:00,422,CECE
109157,7.2965,7.39,7.1,7.48,7.08,2020-02-27 05:00:00,833,CECE
105843,6.7968,6.86,6.75,7.0,6.66,2020-02-28 05:00:00,1195,CECE
62319,6.7108,6.75,6.76,6.82,6.55,2020-03-02 05:00:00,611,CECE
107720,6.5687,6.79,6.42,6.89,6.42,2020-03-03 05:00:00,971,CECE
79094,7.0052,6.8100000000000005,7.14,7.2,6.71,2020-03-04 05:00:00,613,CECE
113063,6.7921,6.88,6.72,7.0662,6.62,2020-03-05 05:00:00,1260,CECE
55444,6.5764,6.6,6.59,6.75,6.42,2020-03-06 05:00:00,705,CECE
138994,6.0952,6.14,6.03,6.33,5.95,2020-03-09 04:00:00,1621,CECE
148091,6.0195,6.24,6.19,6.3,5.8100000000000005,2020-03-10 04:00:00,1345,CECE
149700,5.7565,5.98,5.58,6.1,5.55,2020-03-11 04:00:00,1621,CECE
168836,4.9317,5.02,4.71,5.27,4.68,2020-03-12 04:00:00,1035,CECE
188745,4.7006,4.87,4.71,5.13,4.63,2020-03-13 04:00:00,1153,CECE
287233,4.1291,4.31,3.8,4.64,3.74,2020-03-16 04:00:00,2003,CECE
261802,3.9361,3.77,4.36,4.41,3.6496,2020-03-17 04:00:00,1184,CECE
98528,3.7889,4.09,3.71,4.24,3.531,2020-03-18 04:00:00,1007,CECE
172326,4.0285,3.7,4.28,4.62,3.62,2020-03-19 04:00:00,1602,CECE
188997,4.0809,4.23,3.94,4.4305,3.84,2020-03-20 04:00:00,1069,CECE
128713,3.8407,3.95,3.98,4.0,3.65,2020-03-23 04:00:00,1181,CECE
155107,4.3839,4.0,4.49,4.535,3.9248000000000003,2020-03-24 04:00:00,1244,CECE
60715,4.5361,4.45,4.46,4.814,4.36,2020-03-25 04:00:00,608,CECE
104568,4.8074,4.57,4.98,5.01,4.5573,2020-03-26 04:00:00,842,CECE
84759,4.7399000000000004,4.73,4.72,5.2,4.54,2020-03-27 04:00:00,978,CECE
90114,4.5429,4.78,4.62,4.78,4.3,2020-03-30 04:00:00,823,CECE
81566,4.6231,4.59,4.67,4.76,4.48,2020-03-31 04:00:00,741,CECE
105891,4.5009,4.5,4.55,4.59,4.36,2020-04-01 04:00:00,1100,CECE
77560,4.5725,4.5,4.67,4.7,4.48,2020-04-02 04:00:00,886,CECE
67904,4.518,4.64,4.54,4.73,4.44,2020-04-03 04:00:00,643,CECE
75374,4.8579,4.86,4.9,4.94,4.67,2020-04-06 04:00:00,734,CECE
68970,4.7786,5.0,4.69,5.11,4.66,2020-04-07 04:00:00,702,CECE
59717,4.878,4.84,4.87,4.97,4.73,2020-04-08 04:00:00,583,CECE
91281,5.1134,5.06,5.24,5.24,4.9016,2020-04-09 04:00:00,1132,CECE
73704,5.0151,5.21,5.1,5.25,4.77,2020-04-13 04:00:00,751,CECE
59636,5.1957,5.24,5.18,5.4,5.09,2020-04-14 04:00:00,627,CECE
63898,4.8085,4.98,4.8,4.98,4.65,2020-04-15 04:00:00,766,CECE
72830,4.7034,4.87,4.64,5.07,4.59,2020-04-16 04:00:00,1025,CECE
79160,4.8367,4.78,4.78,4.97,4.75,2020-04-17 04:00:00,780,CECE
61620,4.6764,4.61,4.65,4.8,4.565,2020-04-20 04:00:00,642,CECE
53396,4.604,4.52,4.64,4.67,4.52,2020-04-21 04:00:00,711,CECE
47254,4.6818,4.8,4.68,4.93,4.57,2020-04-22 04:00:00,512,CECE
65923,4.7142,4.68,4.68,4.83,4.61,2020-04-23 04:00:00,771,CECE
48491,4.6884,4.69,4.68,4.76,4.6,2020-04-24 04:00:00,478,CECE
80076,4.8891,4.69,4.99,5.04,4.69,2020-04-27 04:00:00,852,CECE
64892,5.1741,5.18,5.15,5.29,5.095,2020-04-28 04:00:00,782,CECE
102641,5.6846,5.4,5.77,5.82,5.33,2020-04-29 04:00:00,1364,CECE
110262,5.4634,5.59,5.42,5.665,5.35,2020-04-30 04:00:00,1114,CECE
81417,5.1417,5.33,5.2,5.358,5.01,2020-05-01 04:00:00,736,CECE
47235,5.0028,5.07,4.98,5.16,4.95,2020-05-04 04:00:00,577,CECE
48716,4.9188,4.93,4.8,5.09,4.8,2020-05-05 04:00:00,709,CECE
69258,4.8178,5.22,4.69,5.3,4.65,2020-05-06 04:00:00,976,CECE
97662,4.7956,4.83,4.7,4.91,4.65,2020-05-07 04:00:00,1093,CECE
74344,4.8326,4.84,4.79,5.15,4.76,2020-05-08 04:00:00,828,CECE
110405,4.7993,4.76,4.87,4.93,4.63,2020-05-11 04:00:00,1008,CECE
92268,4.8657,4.88,4.83,5.0117,4.78,2020-05-12 04:00:00,832,CECE
89320,4.6582,4.71,4.65,4.78,4.57,2020-05-13 04:00:00,1076,CECE
81080,4.6118,4.53,4.72,4.74,4.5,2020-05-14 04:00:00,1095,CECE
53528,4.7542,4.7,4.8,4.85,4.66,2020-05-15 04:00:00,579,CECE
102554,5.1755,5.07,5.25,5.25,5.06,2020-05-18 04:00:00,978,CECE
75731,4.9908,5.19,4.86,5.19,4.83,2020-05-19 04:00:00,735,CECE
47376,5.1044,4.93,5.11,5.2,4.93,2020-05-20 04:00:00,530,CECE
50781,5.088,5.12,5.07,5.18,5.03,2020-05-21 04:00:00,540,CECE
67104,5.1459,5.11,5.17,5.22,5.01,2020-05-22 04:00:00,505,CECE
96772,5.2598,5.3,5.25,5.3525,5.2,2020-05-26 04:00:00,852,CECE
79210,5.4486,5.42,5.51,5.565,5.28,2020-05-27 04:00:00,791,CECE
74561,5.3975,5.65,5.29,5.65,5.28,2020-05-28 04:00:00,741,CECE
89103,5.2717,5.34,5.31,5.44,5.13,2020-05-29 04:00:00,956,CECE
89631,5.302,5.29,5.26,5.5,5.19,2020-06-01 04:00:00,542,CECE
52381,5.2857,5.26,5.31,5.37,5.22,2020-06-02 04:00:00,537,CECE
62156,5.5155,5.46,5.5,5.5645,5.425,2020-06-03 04:00:00,926,CECE
70716,5.6835,5.41,5.76,5.7898,5.41,2020-06-04 04:00:00,822,CECE
249396,6.4062,6.0,6.47,6.611,6.0,2020-06-05 04:00:00,1500,CECE
131314,6.9398,6.64,7.06,7.14,6.6092,2020-06-08 04:00:00,1094,CECE
96750,6.9742,7.03,7.11,7.21,6.71,2020-06-09 04:00:00,978,CECE
134465,6.9101,7.09,6.82,7.1,6.64,2020-06-10 04:00:00,1249,CECE
144844,6.0565,6.45,6.0,6.45,5.93,2020-06-11 04:00:00,1273,CECE
148807,6.0337,6.31,6.12,6.36,5.83,2020-06-12 04:00:00,1497,CECE
138290,6.329,5.82,6.63,6.64,5.82,2020-06-15 04:00:00,1513,CECE
151367,6.8619,6.82,6.86,7.04,6.6,2020-06-16 04:00:00,1416,CECE
80392,6.7847,6.96,6.69,6.985,6.58,2020-06-17 04:00:00,931,CECE
83978,6.5961,6.66,6.65,6.7449,6.46,2020-06-18 04:00:00,1178,CECE
161230,6.5677,6.73,6.35,6.76,6.26,2020-06-19 04:00:00,912,CECE
110527,6.232,6.23,6.25,6.305,6.11,2020-06-22 04:00:00,1361,CECE
87079,6.2828,6.38,6.36,6.41,6.14,2020-06-23 04:00:00,997,CECE
67743,6.1243,6.22,6.08,6.2721,6.03,2020-06-24 04:00:00,1591,CECE
83332,6.0679,6.02,6.12,6.18,5.9565,2020-06-25 04:00:00,957,CECE
376531,6.2943,6.05,6.415,6.5,5.83,2020-06-26 04:00:00,1947,CECE
114578,6.5709,6.57,6.58,6.68,6.46,2020-06-29 04:00:00,1533,CECE
96252,6.6068,6.58,6.59,6.71,6.46,2020-06-30 04:00:00,829,CECE
52455,6.4412,6.59,6.41,6.65,6.36,2020-07-01 04:00:00,677,CECE
29821,6.3943,6.58,6.36,6.5826,6.31,2020-07-02 04:00:00,375,CECE
54481,6.4008,6.53,6.35,6.58,6.26,2020-07-06 04:00:00,531,CECE
40419,6.1702,6.27,6.11,6.38,6.08,2020-07-07 04:00:00,476,CECE
98864,6.049,6.08,6.1,6.175,5.92,2020-07-08 04:00:00,928,CECE
88333,6.0026,6.09,5.99,6.18,5.86,2020-07-09 04:00:00,935,CECE
135675,6.1363,6.04,6.19,6.28,6.03,2020-07-10 04:00:00,1090,CECE
71327,6.2316,6.3,6.17,6.32,6.15,2020-07-13 04:00:00,880,CECE
51446,6.2898,6.17,6.3,6.38,6.14,2020-07-14 04:00:00,700,CECE
112382,6.6806,6.47,6.69,6.8,6.1601,2020-07-15 04:00:00,1213,CECE
96455,6.7285,6.69,6.82,6.85,6.555,2020-07-16 04:00:00,823,CECE
77093,6.8665,6.82,6.83,6.99,6.795,2020-07-17 04:00:00,754,CECE
73330,6.7162,6.78,6.69,6.85,6.67,2020-07-20 04:00:00,592,CECE
41426,6.9459,6.82,6.98,7.0,6.8100000000000005,2020-07-21 04:00:00,544,CECE
59469,6.8822,6.91,6.84,7.0,6.78,2020-07-22 04:00:00,553,CECE
70152,7.021,6.82,7.07,7.11,6.75,2020-07-23 04:00:00,650,CECE
103746,7.1152,7.07,7.05,7.24,7.0207,2020-07-24 04:00:00,769,CECE
82823,6.8627,7.08,6.8,7.14,6.71,2020-07-27 04:00:00,673,CECE
193484,6.8864,6.72,6.73,7.21,6.72,2020-07-28 04:00:00,1428,CECE
59262,6.9791,6.84,7.04,7.18,6.835,2020-07-29 04:00:00,521,CECE
72564,6.9881,6.97,7.01,7.17,6.86,2020-07-30 04:00:00,513,CECE
91215,6.7656,6.92,6.7,7.01,6.62,2020-07-31 04:00:00,1155,CECE
61377,6.8081,6.8100000000000005,6.87,6.94,6.6803,2020-08-03 04:00:00,913,CECE
71707,6.715,6.88,6.8100000000000005,7.03,6.58,2020-08-04 04:00:00,731,CECE
153924,7.4244,7.49,7.4,7.67,7.09,2020-08-05 04:00:00,1187,CECE
138778,7.6653,7.59,7.55,7.9,7.5,2020-08-06 04:00:00,1242,CECE
115313,7.9974,7.65,8.14,8.2254,7.6,2020-08-07 04:00:00,1294,CECE
179582,8.364,8.03,8.46,8.64,7.99,2020-08-10 04:00:00,1944,CECE
135706,8.7236,8.63,8.64,8.96,8.57,2020-08-11 04:00:00,1300,CECE
75273,8.8524,8.78,8.86,8.99,8.3252,2020-08-12 04:00:00,859,CECE
111804,8.6912,8.75,8.61,8.85,8.51,2020-08-13 04:00:00,1071,CECE
