volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2067,29.3127,30.0,27.0,30.0,27.0,2021-02-10 05:00:00,15,CHKEW
189742,22.2348,25.0,22.0,25.0,20.5,2021-02-11 05:00:00,139,CHKEW
15326,23.3368,23.0,23.06,25.0,23.0,2021-02-12 05:00:00,79,CHKEW
70419,23.7497,24.8,23.5,25.0,23.23,2021-02-16 05:00:00,77,CHKEW
90009,23.458,22.5,23.5,23.68,22.5,2021-02-17 05:00:00,172,CHKEW
72096,23.3767,23.55,22.88,23.55,22.7,2021-02-18 05:00:00,46,CHKEW
20121,23.1115,23.03,23.1,23.1,23.03,2021-02-19 05:00:00,48,CHKEW
71653,23.0122,23.0,22.9,23.22,22.5,2021-02-22 05:00:00,181,CHKEW
7005,22.4029,22.2,22.5,22.5,22.2,2021-02-23 05:00:00,10,CHKEW
52867,22.7146,22.5,22.9999,22.9999,22.45,2021-02-24 05:00:00,28,CHKEW
73026,22.1052,23.0,21.3,23.04,21.0,2021-02-25 05:00:00,96,CHKEW
50981,21.7181,21.3,22.09,22.115,21.15,2021-02-26 05:00:00,59,CHKEW
1092,21.9906,22.35,22.0,22.35,21.51,2021-03-01 05:00:00,8,CHKEW
145376,22.9252,22.71,23.0,23.05,22.02,2021-03-02 05:00:00,207,CHKEW
184803,23.452,23.19,23.7,23.7,23.0,2021-03-03 05:00:00,245,CHKEW
17010,23.8922,23.5,23.82,24.02,23.5,2021-03-04 05:00:00,66,CHKEW
17070,22.7001,22.51,22.7,22.75,22.5,2021-03-05 05:00:00,81,CHKEW
55716,22.3513,22.25,23.24,24.19,22.25,2021-03-08 05:00:00,26,CHKEW
26930,22.5515,23.93,23.9799,23.98,23.48,2021-03-09 05:00:00,12,CHKEW
1022,22.5245,22.5,22.5,22.5,22.5,2021-03-10 05:00:00,2,CHKEW
31607,22.0889,22.13,22.0,22.47,22.0,2021-03-11 05:00:00,71,CHKEW
807,22.0585,22.0,22.11,22.11,22.0,2021-03-12 05:00:00,7,CHKEW
40684,22.1236,22.5,22.12,22.51,22.0,2021-03-15 04:00:00,80,CHKEW
1304,22.0998,22.25,22.05,22.25,22.04,2021-03-16 04:00:00,5,CHKEW
23845,22.0126,22.2,22.0,22.2,21.75,2021-03-17 04:00:00,58,CHKEW
387,21.1866,21.02,21.02,21.02,21.02,2021-03-18 04:00:00,10,CHKEW
20098,20.0467,19.5398,20.5,20.5,19.5398,2021-03-19 04:00:00,35,CHKEW
10309,19.8025,19.5,20.0,20.0,19.5,2021-03-22 04:00:00,42,CHKEW
348,19.0634,18.75,19.81,19.81,18.75,2021-03-23 04:00:00,3,CHKEW
49004,18.6644,20.2,18.5,20.2,18.01,2021-03-24 04:00:00,168,CHKEW
60616,18.26,18.01,19.65,19.6539,18.0,2021-03-25 04:00:00,122,CHKEW
12801,22.1111,22.49,22.0,22.5,21.95,2021-04-01 04:00:00,28,CHKEW
286,22.0472,22.0,22.0,22.0,22.0,2021-04-05 04:00:00,4,CHKEW
7775,21.2623,22.01,21.3,22.01,19.55,2021-04-06 04:00:00,68,CHKEW
58402,22.6,22.55,22.0,23.29,19.41,2021-04-08 04:00:00,40,CHKEW
464,21.9914,21.95,22.0,22.0,21.95,2021-04-09 04:00:00,4,CHKEW
1707,22.2499,22.6,22.0,22.6,22.0,2021-04-12 04:00:00,11,CHKEW
2682,22.5304,22.26,21.56,22.6,21.56,2021-04-13 04:00:00,10,CHKEW
