volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
739229,116.9602,116.53,117.54,117.61,115.78,2020-02-20 05:00:00,10097,CHKP
710327,116.7397,117.03,116.34,117.655,116.05,2020-02-21 05:00:00,8520,CHKP
1396330,112.5142,113.27,111.65,114.75,111.02,2020-02-24 05:00:00,18324,CHKP
2829651,107.911,111.92,106.38,111.97,106.17,2020-02-25 05:00:00,31177,CHKP
1964957,105.1904,107.36,103.66,108.18,103.58,2020-02-26 05:00:00,24328,CHKP
2444203,103.0839,101.96,101.64,105.69,100.43,2020-02-27 05:00:00,28631,CHKP
2347045,102.4738,99.34,103.8,104.25,98.9138,2020-02-28 05:00:00,29607,CHKP
1689302,103.0348,104.3,104.12,104.9,101.7,2020-03-02 05:00:00,19600,CHKP
2022344,102.0451,103.53,100.5,104.29,100.31,2020-03-03 05:00:00,24983,CHKP
1170972,103.1138,101.9,104.0,104.06,101.565,2020-03-04 05:00:00,14867,CHKP
1147901,101.0987,99.42,100.58,102.69,99.41,2020-03-05 05:00:00,13809,CHKP
2276908,98.4334,97.92,98.6,100.71,96.4,2020-03-06 05:00:00,25370,CHKP
3008261,93.2858,93.02,91.78,95.87,89.05,2020-03-09 04:00:00,26408,CHKP
3777821,92.1379,94.7,92.74,94.7,89.99,2020-03-10 04:00:00,32945,CHKP
3131624,90.8064,90.58,90.75,92.505,89.75,2020-03-11 04:00:00,32137,CHKP
3532748,82.7318,86.13,82.05,86.2,80.06,2020-03-12 04:00:00,35045,CHKP
2925595,89.3143,87.18,93.67,93.89,85.98,2020-03-13 04:00:00,36381,CHKP
2840756,92.3058,85.23,90.93,95.355,82.41,2020-03-16 04:00:00,32296,CHKP
4341273,98.4981,92.71,99.84,101.69,91.01,2020-03-17 04:00:00,47401,CHKP
2329518,93.9001,95.54,92.07,100.83,90.04,2020-03-18 04:00:00,26602,CHKP
1889366,92.7164,91.76,91.51,95.66,89.2,2020-03-19 04:00:00,23445,CHKP
1538950,91.7764,92.42,89.75,96.395,89.63,2020-03-20 04:00:00,16849,CHKP
1660228,87.2876,89.4,87.5,92.36,83.72,2020-03-23 04:00:00,21424,CHKP
1357181,91.1928,91.04,91.94,92.52,88.67,2020-03-24 04:00:00,16797,CHKP
1363927,93.3356,91.64,93.86,95.285,88.65,2020-03-25 04:00:00,15815,CHKP
1989167,94.9729,93.92,95.5,97.38,93.42,2020-03-26 04:00:00,19751,CHKP
1738363,98.3867,93.4,99.07,101.56,92.01,2020-03-27 04:00:00,20698,CHKP
1720652,98.5376,99.5,99.19,101.1058,96.0,2020-03-30 04:00:00,18457,CHKP
1785734,100.6448,98.29,100.54,102.7,98.01,2020-03-31 04:00:00,18909,CHKP
1327056,98.0686,98.83,98.28,99.405,96.12,2020-04-01 04:00:00,15792,CHKP
1412084,98.7306,98.86,98.74,101.21,97.29,2020-04-02 04:00:00,13284,CHKP
805731,97.6387,97.53,98.31,99.6,96.21,2020-04-03 04:00:00,9007,CHKP
1119179,102.5305,100.8,103.58,104.12,99.01,2020-04-06 04:00:00,15273,CHKP
