volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4812113,6.3343,7.23,5.42,8.78,5.05,2022-01-14 05:00:00,27049,CISO
1119212,5.224,5.48,5.03,5.7,5.0,2022-01-18 05:00:00,5645,CISO
508194,4.3205,4.74,4.22,4.8,4.1,2022-01-19 05:00:00,3405,CISO
3423136,4.6062,4.0,4.82,5.3,3.64,2022-01-20 05:00:00,11980,CISO
531061,4.1611,4.32,4.3,4.59,3.92,2022-01-21 05:00:00,3013,CISO
218877,3.8415,3.9,4.04,4.17,3.52,2022-01-24 05:00:00,1261,CISO
165048,3.8035,4.09,3.66,4.09,3.66,2022-01-25 05:00:00,1011,CISO
134445,3.8851,3.7,3.85,4.0465,3.7,2022-01-26 05:00:00,689,CISO
120576,3.7354000000000003,3.93,3.59,3.93,3.5300000000000002,2022-01-27 05:00:00,780,CISO
88129,3.7432,3.6,3.89,3.89,3.5,2022-01-28 05:00:00,529,CISO
137689,4.0555,4.0,4.21,4.26,3.871,2022-01-31 05:00:00,749,CISO
116399,4.2785,4.11,4.28,4.47,4.1,2022-02-01 05:00:00,861,CISO
37165,4.2277000000000005,4.47,4.12,4.47,4.0567,2022-02-02 05:00:00,362,CISO
50966,3.8198,3.81,3.7800000000000002,4.0075,3.71,2022-02-03 05:00:00,433,CISO
128967,4.0213,3.95,3.9,4.21,3.71,2022-02-04 05:00:00,858,CISO
47280,3.8369999999999997,3.96,3.9,3.96,3.71,2022-02-07 05:00:00,401,CISO
53688,3.8278,3.81,3.93,3.99,3.73,2022-02-08 05:00:00,440,CISO
127984,3.6557,3.9,3.62,3.9,3.41,2022-02-09 05:00:00,989,CISO
62687,3.585,3.51,3.55,3.7,3.5,2022-02-10 05:00:00,572,CISO
100954,3.4705,3.61,3.47,3.63,3.4,2022-02-11 05:00:00,511,CISO
64029,3.2955,3.55,3.2800000000000002,3.55,3.15,2022-02-14 05:00:00,777,CISO
61961,3.3511,3.35,3.46,3.55,3.23,2022-02-15 05:00:00,498,CISO
88041,3.3002000000000002,3.46,3.25,3.46,3.2,2022-02-16 05:00:00,558,CISO
87188,3.1622,3.24,2.99,3.39,2.95,2022-02-17 05:00:00,651,CISO
