volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
960986,10.1416,10.8,10.1,10.8,9.51,2021-11-08 05:00:00,4575,DCGO
1329215,8.9668,9.88,9.28,10.05,8.01,2021-11-09 05:00:00,6253,DCGO
1989552,9.7259,8.91,8.94,11.0,8.75,2021-11-10 05:00:00,8499,DCGO
632383,8.7262,9.1,8.63,9.17,8.42,2021-11-11 05:00:00,3441,DCGO
664082,9.5857,8.65,9.7,10.01,8.65,2021-11-12 05:00:00,3026,DCGO
1595775,9.5325,9.65,9.45,9.85,9.01,2021-11-15 05:00:00,7936,DCGO
1505700,9.9866,10.35,10.09,10.37,9.8,2021-11-16 05:00:00,8479,DCGO
497440,9.5942,9.8,9.57,10.0,9.3,2021-11-17 05:00:00,3464,DCGO
515189,9.6039,9.67,9.87,9.9624,9.01,2021-11-18 05:00:00,3383,DCGO
319739,9.5551,9.91,9.49,9.91,9.3516,2021-11-19 05:00:00,2072,DCGO
776830,8.5366,9.41,8.4,9.5,8.315,2021-11-22 05:00:00,4750,DCGO
680168,8.0409,8.4,8.06,8.53,7.67,2021-11-23 05:00:00,4406,DCGO
400599,7.7622,7.98,7.95,8.05,7.52,2021-11-24 05:00:00,2777,DCGO
184780,7.63,7.7,7.64,7.78,7.52,2021-11-26 05:00:00,1416,DCGO
370696,7.5805,7.63,7.67,8.13,7.14,2021-11-29 05:00:00,2941,DCGO
851375,7.9952000000000005,7.92,8.0,8.71,7.53,2021-11-30 05:00:00,5758,DCGO
928381,8.2567,8.15,8.25,8.56,8.0,2021-12-01 05:00:00,6758,DCGO
498732,8.2809,8.14,8.35,8.47,8.0,2021-12-02 05:00:00,3664,DCGO
443908,8.0541,8.39,8.02,8.42,7.85,2021-12-03 05:00:00,3847,DCGO
1014343,8.9184,7.96,8.8,9.44,7.8,2021-12-06 05:00:00,9547,DCGO
306409,8.862,9.01,8.86,9.182,8.58,2021-12-07 05:00:00,3599,DCGO
329343,9.0455,8.88,8.97,9.33,8.75,2021-12-08 05:00:00,4001,DCGO
454874,9.2117,8.88,9.0,9.48,8.85,2021-12-09 05:00:00,3825,DCGO
328147,9.2046,9.02,9.06,9.45,9.01,2021-12-10 05:00:00,2912,DCGO
434741,8.4952,8.99,7.92,9.31,7.82,2021-12-13 05:00:00,3664,DCGO
291864,8.1792,7.9,8.14,8.65,7.9,2021-12-14 05:00:00,2566,DCGO
343213,8.189,8.06,8.16,8.495,7.88,2021-12-15 05:00:00,3721,DCGO
446574,7.8709,8.19,7.71,8.32,7.52,2021-12-16 05:00:00,4531,DCGO
5439644,8.4808,7.61,8.53,8.7,7.435,2021-12-17 05:00:00,7539,DCGO
592524,8.5368,8.33,8.23,9.09,8.16,2021-12-20 05:00:00,4955,DCGO
286479,8.5833,8.65,8.47,8.74,8.4,2021-12-21 05:00:00,2986,DCGO
425351,8.6083,8.5,8.5,8.9122,8.3101,2021-12-22 05:00:00,3514,DCGO
258931,8.5038,8.5,8.71,8.73,8.3287,2021-12-23 05:00:00,1868,DCGO
457899,9.1648,8.91,9.42,9.59,8.65,2021-12-27 05:00:00,5367,DCGO
207712,9.3382,9.35,9.38,9.56,9.116,2021-12-28 05:00:00,1973,DCGO
384552,9.1497,9.29,9.16,9.46,9.05,2021-12-29 05:00:00,2451,DCGO
283691,9.1293,9.19,9.04,9.42,8.891,2021-12-30 05:00:00,2267,DCGO
393324,9.3025,9.07,9.35,9.5,8.892,2021-12-31 05:00:00,3023,DCGO
926839,9.4652,9.52,9.53,9.58,9.16,2022-01-03 05:00:00,4754,DCGO
5983976,9.2545,9.58,9.28,9.61,8.91,2022-01-04 05:00:00,25274,DCGO
811339,9.091,9.22,8.89,9.5548,8.79,2022-01-05 05:00:00,6066,DCGO
776703,8.8516,8.82,9.01,9.04,8.57,2022-01-06 05:00:00,7963,DCGO
1199963,8.9483,9.05,8.95,9.2,8.75,2022-01-07 05:00:00,11044,DCGO
787534,8.4266,9.03,8.58,9.28,8.18,2022-01-10 05:00:00,7597,DCGO
679091,8.45,8.58,8.29,8.89,8.22,2022-01-11 05:00:00,5424,DCGO
1028682,7.9351,8.27,7.95,8.38,7.64,2022-01-12 05:00:00,9321,DCGO
854069,7.7619,8.01,7.74,8.23,7.5,2022-01-13 05:00:00,7598,DCGO
682153,7.6193,7.62,7.71,7.78,7.26,2022-01-14 05:00:00,7213,DCGO
404307,7.3541,7.69,7.3,7.69,7.16,2022-01-18 05:00:00,4358,DCGO
780584,7.051,7.53,6.9,7.7,6.77,2022-01-19 05:00:00,5968,DCGO
372679,6.9369,6.9,6.69,7.2,6.67,2022-01-20 05:00:00,3077,DCGO
447638,6.5514,6.77,6.4,6.86,6.36,2022-01-21 05:00:00,4330,DCGO
502705,6.2808,6.2,6.69,6.75,5.96,2022-01-24 05:00:00,4175,DCGO
326176,6.4989,6.64,6.39,6.91,6.29,2022-01-25 05:00:00,3005,DCGO
288437,6.3792,6.45,6.29,6.59,6.24,2022-01-26 05:00:00,2817,DCGO
577400,5.904,6.31,5.87,6.31,5.63,2022-01-27 05:00:00,4875,DCGO
808296,6.3281,6.14,6.48,6.53,5.96,2022-01-28 05:00:00,7397,DCGO
1125727,6.8321000000000005,6.99,7.08,7.11,6.48,2022-01-31 05:00:00,8698,DCGO
