volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
157320,9.841,9.73,9.76,10.11,9.66,2021-03-05 05:00:00,1200,DLCA
162352,9.7715,9.77,9.83,10.0,9.75,2021-03-08 05:00:00,483,DLCA
45588,9.8151,9.88,9.81,9.88,9.78,2021-03-09 05:00:00,383,DLCA
193274,9.8305,9.81,9.81,9.9,9.75,2021-03-10 05:00:00,1592,DLCA
98739,9.7838,9.83,9.85,9.85,9.72,2021-03-11 05:00:00,536,DLCA
131527,9.7951,9.83,9.77,9.91,9.75,2021-03-12 05:00:00,783,DLCA
337502,9.7623,9.8001,9.76,9.85,9.72,2021-03-15 04:00:00,1429,DLCA
31456,9.7719,9.79,9.77,9.8,9.76,2021-03-16 04:00:00,157,DLCA
15379,9.8138,9.84,9.83,9.84,9.75,2021-03-17 04:00:00,109,DLCA
2367,9.7954,9.88,9.81,9.88,9.78,2021-03-18 04:00:00,16,DLCA
29062,9.7913,9.78,9.77,9.84,9.77,2021-03-19 04:00:00,213,DLCA
96490,9.7703,9.77,9.81,9.83,9.75,2021-03-22 04:00:00,463,DLCA
61087,9.7737,9.79,9.765,9.81,9.75,2021-03-23 04:00:00,251,DLCA
152101,9.7366,9.75,9.74,9.77,9.65,2021-03-24 04:00:00,983,DLCA
214606,9.6322,9.71,9.69,9.75,9.53,2021-03-25 04:00:00,1030,DLCA
269682,9.7514,9.71,9.74,9.78,9.71,2021-03-26 04:00:00,450,DLCA
13608,9.6596,9.62,9.67,9.69,9.62,2021-03-29 04:00:00,95,DLCA
187251,9.728,9.67,9.75,9.77,9.65,2021-03-30 04:00:00,935,DLCA
180606,9.7294,9.73,9.8,9.8,9.66,2021-03-31 04:00:00,605,DLCA
212361,9.7927,9.79,9.75,9.83,9.75,2021-04-01 04:00:00,700,DLCA
154364,9.7945,9.83,9.79,9.86,9.75,2021-04-05 04:00:00,772,DLCA
212491,9.7561,9.76,9.74,9.8,9.7,2021-04-06 04:00:00,804,DLCA
26388,9.7558,9.75,9.76,9.786200000000001,9.75,2021-04-07 04:00:00,99,DLCA
67336,9.8023,9.8071,9.86,9.86,9.79,2021-04-08 04:00:00,114,DLCA
17017,9.856,9.84,9.88,9.88,9.84,2021-04-09 04:00:00,92,DLCA
1517,9.8268,9.8659,9.82,9.8659,9.82,2021-04-12 04:00:00,21,DLCA
8160,9.8256,9.85,9.85,9.85,9.8,2021-04-13 04:00:00,31,DLCA
109401,9.8485,9.81,9.85,9.85,9.78,2021-04-14 04:00:00,249,DLCA
770,9.8156,9.8,9.81,9.825,9.8,2021-04-15 04:00:00,9,DLCA
6250,9.8785,9.8,9.850999999999999,9.96,9.8,2021-04-16 04:00:00,34,DLCA
4272,9.8197,9.815,9.82,9.845,9.8001,2021-04-19 04:00:00,30,DLCA
70617,9.7839,9.84,9.795,9.85,9.78,2021-04-20 04:00:00,110,DLCA
53017,9.7998,9.8,9.78,9.81,9.78,2021-04-21 04:00:00,106,DLCA
13682,9.7934,9.78,9.79,9.8,9.78,2021-04-22 04:00:00,40,DLCA
8453,9.7977,9.79,9.81,9.81,9.79,2021-04-23 04:00:00,55,DLCA
14481,9.7742,9.78,9.785,9.785,9.77,2021-04-26 04:00:00,34,DLCA
14072,9.7616,9.77,9.75,9.782399999999999,9.75,2021-04-27 04:00:00,225,DLCA
14224,9.7508,9.75,9.75,9.775,9.74,2021-04-28 04:00:00,77,DLCA
2298,9.7498,9.76,9.75,9.76,9.74,2021-04-29 04:00:00,17,DLCA
1812,9.7659,9.75,9.78,9.78,9.75,2021-04-30 04:00:00,8,DLCA
5167,9.79,9.78,9.78,9.82,9.745,2021-05-03 04:00:00,58,DLCA
44707,9.7746,9.78,9.8,9.81,9.76,2021-05-04 04:00:00,62,DLCA
66390,9.7192,9.76,9.75,9.79,9.7,2021-05-05 04:00:00,374,DLCA
76427,9.7531,9.73,9.75,9.83,9.71,2021-05-06 04:00:00,424,DLCA
19107,9.7384,9.75,9.75,9.755,9.71,2021-05-07 04:00:00,131,DLCA
1066,9.7408,9.68,9.74,9.74,9.68,2021-05-10 04:00:00,17,DLCA
32057,9.699,9.71,9.7,9.725,9.63,2021-05-11 04:00:00,94,DLCA
118744,9.7047,9.7,9.7,9.76,9.69,2021-05-12 04:00:00,156,DLCA
18065,9.7175,9.68,9.76,9.77,9.68,2021-05-13 04:00:00,171,DLCA
91994,9.7026,9.73,9.71,9.75,9.7,2021-05-14 04:00:00,48,DLCA
35878,9.713,9.7,9.77,9.78,9.68,2021-05-17 04:00:00,208,DLCA
120824,9.6835,9.68,9.65,9.73,9.64,2021-05-18 04:00:00,570,DLCA
369382,9.62,9.67,9.62,9.67,9.6,2021-05-19 04:00:00,560,DLCA
196693,9.6215,9.62,9.65,9.658,9.62,2021-05-20 04:00:00,655,DLCA
37380,9.6402,9.64,9.64,9.66,9.63,2021-05-21 04:00:00,240,DLCA
24384,9.6565,9.6558,9.65,9.68,9.65,2021-05-24 04:00:00,180,DLCA
66650,9.666,9.65,9.67,9.67,9.65,2021-05-25 04:00:00,53,DLCA
7783,9.6808,9.66,9.69,9.7,9.66,2021-05-26 04:00:00,61,DLCA
12653,9.6769,9.66,9.67,9.7,9.66,2021-05-27 04:00:00,90,DLCA
20754,9.6646,9.66,9.7,9.73,9.65,2021-05-28 04:00:00,117,DLCA
1878,9.6981,9.7,9.695,9.7,9.68,2021-06-01 04:00:00,19,DLCA
8717,9.664,9.6809,9.68,9.6809,9.65,2021-06-02 04:00:00,42,DLCA
212416,9.681000000000001,9.67,9.69,9.72,9.67,2021-06-03 04:00:00,56,DLCA
3839,9.6876,9.6811,9.6801,9.69,9.68,2021-06-04 04:00:00,16,DLCA
1005,9.6828,9.68,9.68,9.69,9.68,2021-06-07 04:00:00,10,DLCA
32002,9.6616,9.66,9.67,9.69,9.648,2021-06-08 04:00:00,130,DLCA
11359,9.6769,9.6614,9.7,9.7,9.6614,2021-06-09 04:00:00,61,DLCA
12123,9.6801,9.68,9.68,9.69,9.68,2021-06-10 04:00:00,75,DLCA
5700,9.6864,9.69,9.68,9.6953,9.68,2021-06-11 04:00:00,67,DLCA
30060,9.6864,9.68,9.7,9.7018,9.68,2021-06-14 04:00:00,100,DLCA
9438,9.6923,9.7,9.69,9.7,9.68,2021-06-15 04:00:00,45,DLCA
5691,9.6803,9.69,9.68,9.69,9.68,2021-06-16 04:00:00,4,DLCA
494,9.6781,9.68,9.68,9.68,9.68,2021-06-17 04:00:00,4,DLCA
12508,9.6656,9.66,9.68,9.68,9.66,2021-06-18 04:00:00,81,DLCA
303,9.6701,9.67,9.67,9.67,9.67,2021-06-21 04:00:00,3,DLCA
35995,9.6877,9.675,9.68,9.7,9.675,2021-06-22 04:00:00,110,DLCA
12566,9.6867,9.71,9.68,9.71,9.68,2021-06-23 04:00:00,38,DLCA
1819,9.6842,9.68,9.68,9.6964,9.68,2021-06-24 04:00:00,17,DLCA
3052,9.6912,9.72,9.68,9.72,9.68,2021-06-25 04:00:00,30,DLCA
19120,9.6783,9.68,9.68,9.68,9.67,2021-06-28 04:00:00,103,DLCA
713,9.6772,9.67,9.68,9.68,9.67,2021-06-29 04:00:00,6,DLCA
2304,9.6812,9.685,9.68,9.685,9.68,2021-06-30 04:00:00,30,DLCA
35890,9.6712,9.68,9.66,9.68,9.66,2021-07-01 04:00:00,84,DLCA
29052,9.6641,9.68,9.665,9.68,9.65,2021-07-02 04:00:00,77,DLCA
29433,9.6767,9.65,9.66,9.68,9.65,2021-07-06 04:00:00,141,DLCA
20790,9.6691,9.65,9.66,9.67,9.65,2021-07-07 04:00:00,49,DLCA
29136,9.6632,9.66,9.69,9.7,9.65,2021-07-08 04:00:00,48,DLCA
19900,9.6704,9.67,9.68,9.68,9.67,2021-07-09 04:00:00,62,DLCA
15199,9.6833,9.72,9.68,9.72,9.68,2021-07-12 04:00:00,51,DLCA
3338,9.6816,9.68,9.68,9.69,9.68,2021-07-13 04:00:00,26,DLCA
14669,9.6758,9.67,9.675,9.68,9.67,2021-07-14 04:00:00,65,DLCA
13729,9.6952,9.65,9.7,9.707,9.65,2021-07-15 04:00:00,68,DLCA
3408,9.7086,9.707,9.705,9.71,9.705,2021-07-16 04:00:00,12,DLCA
4294,9.6554,9.65,9.67,9.675,9.65,2021-07-19 04:00:00,28,DLCA
4877,9.6675,9.67,9.66,9.68,9.66,2021-07-20 04:00:00,36,DLCA
17938,9.6571,9.66,9.65,9.68,9.65,2021-07-21 04:00:00,40,DLCA
280058,9.6496,9.71,9.66,9.71,9.63,2021-07-22 04:00:00,184,DLCA
8877,9.663,9.66,9.66,9.665,9.66,2021-07-23 04:00:00,37,DLCA
12938,9.6649,9.6689,9.66,9.6689,9.66,2021-07-26 04:00:00,16,DLCA
5556,9.6693,9.67,9.66,9.67,9.66,2021-07-27 04:00:00,7,DLCA
132526,9.66,9.66,9.665,9.665,9.66,2021-07-28 04:00:00,15,DLCA
1672,9.6521,9.64,9.65,9.66,9.64,2021-07-29 04:00:00,19,DLCA
142037,9.671,9.65,9.7,9.7,9.65,2021-07-30 04:00:00,89,DLCA
5428,9.7038,9.7,9.72,9.72,9.7,2021-08-02 04:00:00,32,DLCA
62971,9.6704,9.68,9.67,9.6832,9.66,2021-08-03 04:00:00,234,DLCA
10933,9.6848,9.66,9.67,9.7,9.66,2021-08-04 04:00:00,91,DLCA
6065,9.678,9.66,9.67,9.69,9.6501,2021-08-05 04:00:00,31,DLCA
10983,9.6727,9.655,9.67,9.68,9.655,2021-08-06 04:00:00,87,DLCA
1138,9.665,9.66,9.67,9.67,9.66,2021-08-09 04:00:00,14,DLCA
2120,9.6882,9.7,9.66,9.7,9.66,2021-08-10 04:00:00,11,DLCA
3653,9.6584,9.66,9.67,9.67,9.65,2021-08-11 04:00:00,30,DLCA
1152,9.657,9.66,9.68,9.68,9.65,2021-08-12 04:00:00,9,DLCA
1894,9.6613,9.66,9.68,9.68,9.66,2021-08-13 04:00:00,17,DLCA
8095,9.6604,9.66,9.66,9.67,9.66,2021-08-16 04:00:00,109,DLCA
51475,9.6536,9.65,9.7,9.7,9.64,2021-08-17 04:00:00,445,DLCA
242162,9.6503,9.71,9.66,9.71,9.63,2021-08-18 04:00:00,173,DLCA
169156,9.6496,9.63,9.69,9.7018,9.63,2021-08-19 04:00:00,202,DLCA
4339,9.6518,9.63,9.65,9.6809,9.63,2021-08-20 04:00:00,45,DLCA
248915,9.6226,9.64,9.635,9.66,9.6,2021-08-23 04:00:00,937,DLCA
46955,9.6405,9.637,9.63,9.68,9.63,2021-08-24 04:00:00,260,DLCA
718,9.6441,9.63,9.68,9.68,9.63,2021-08-25 04:00:00,7,DLCA
183,9.6651,9.68,9.68,9.68,9.68,2021-08-26 04:00:00,3,DLCA
2584,9.6397,9.65,9.66,9.66,9.63,2021-08-27 04:00:00,24,DLCA
347,9.6406,9.64,9.64,9.64,9.64,2021-08-30 04:00:00,34,DLCA
1168,9.664,9.68,9.68,9.68,9.64,2021-08-31 04:00:00,27,DLCA
102016,9.6698,9.67,9.68,9.68,9.65,2021-09-01 04:00:00,11,DLCA
255573,9.669,9.67,9.67,9.7,9.66,2021-09-02 04:00:00,40,DLCA
16177,9.6748,9.6647,9.71,9.71,9.6647,2021-09-07 04:00:00,42,DLCA
59543,9.6895,9.69,9.72,9.72,9.67,2021-09-08 04:00:00,131,DLCA
415451,9.69,9.69,9.7,9.7,9.69,2021-09-09 04:00:00,8,DLCA
1776,9.7092,9.72,9.71,9.72,9.69,2021-09-10 04:00:00,22,DLCA
4714,9.7028,9.7,9.7,9.71,9.7,2021-09-13 04:00:00,35,DLCA
107538,9.7061,9.7,9.74,9.75,9.7,2021-09-14 04:00:00,273,DLCA
42950,9.7285,9.75,9.75,9.75,9.72,2021-09-15 04:00:00,159,DLCA
41560,9.763,9.76,9.78,9.84,9.75,2021-09-16 04:00:00,177,DLCA
466,9.7897,9.79,9.79,9.79,9.79,2021-09-17 04:00:00,5,DLCA
409,9.761800000000001,9.769,9.74,9.769,9.74,2021-09-21 04:00:00,4,DLCA
5476,9.7094,9.69,9.74,9.74,9.69,2021-09-22 04:00:00,32,DLCA
5610,9.7004,9.7,9.73,9.73,9.69,2021-09-23 04:00:00,104,DLCA
494,9.702,9.7,9.7,9.7,9.7,2021-09-24 04:00:00,5,DLCA
108,9.7,9.7,9.7,9.7,9.7,2021-09-27 04:00:00,4,DLCA
400,9.7058,9.7058,9.7058,9.7058,9.7058,2021-09-28 04:00:00,1,DLCA
1247,9.7141,9.72,9.73,9.73,9.7,2021-09-29 04:00:00,41,DLCA
2408,9.7396,9.73,9.74,9.74,9.73,2021-09-30 04:00:00,8,DLCA
2639,9.7357,9.74,9.74,9.74,9.73,2021-10-01 04:00:00,43,DLCA
4614,9.7474,9.74,9.77,9.77,9.74,2021-10-04 04:00:00,48,DLCA
363919,9.7617,9.77,9.78,9.78,9.74,2021-10-05 04:00:00,491,DLCA
214750,9.7594,9.76,9.77,9.77,9.75,2021-10-06 04:00:00,12,DLCA
4140,9.7478,9.78,9.77,9.78,9.74,2021-10-07 04:00:00,14,DLCA
601,9.7434,9.74,9.76,9.76,9.74,2021-10-08 04:00:00,3,DLCA
72089,9.7068,9.74,9.72,9.74,9.7,2021-10-13 04:00:00,524,DLCA
4954,9.7245,9.72,9.73,9.73,9.72,2021-10-15 04:00:00,61,DLCA
8285,9.7245,9.71,9.73,9.74,9.71,2021-10-18 04:00:00,92,DLCA
2713,9.7182,9.72,9.72,9.72,9.71,2021-10-19 04:00:00,22,DLCA
124,9.71,9.71,9.71,9.71,9.71,2021-10-20 04:00:00,1,DLCA
6919,9.733,9.7173,9.75,9.75,9.7173,2021-10-21 04:00:00,29,DLCA
43502,9.7699,9.76,9.75,9.78,9.74,2021-10-25 04:00:00,71,DLCA
13983,9.7632,9.78,9.75,9.78,9.75,2021-10-26 04:00:00,47,DLCA
17163,9.7522,9.74,9.75,9.76,9.74,2021-10-27 04:00:00,65,DLCA
1784,9.7451,9.74,9.76,9.77,9.74,2021-10-28 04:00:00,16,DLCA
10533,9.7598,9.75,9.78,9.78,9.75,2021-10-29 04:00:00,47,DLCA
122,9.7607,9.76,9.76,9.76,9.76,2021-11-01 04:00:00,2,DLCA
200,9.75,9.75,9.75,9.75,9.75,2021-11-03 04:00:00,1,DLCA
102,9.75,9.75,9.75,9.75,9.75,2021-11-04 04:00:00,1,DLCA
5533,9.7509,9.75,9.75,9.77,9.75,2021-11-09 05:00:00,35,DLCA
1567,9.7674,9.74,9.78,9.78,9.74,2021-11-10 05:00:00,16,DLCA
107,9.7608,9.76,9.76,9.76,9.76,2021-11-11 05:00:00,5,DLCA
612,9.7518,9.75,9.76,9.76,9.75,2021-11-12 05:00:00,9,DLCA
4585,9.7782,9.78,9.76,9.78,9.76,2021-11-15 05:00:00,13,DLCA
20585,9.7506,9.75,9.76,9.76,9.75,2021-11-16 05:00:00,13,DLCA
29401,9.7603,9.75,9.76,9.78,9.75,2021-11-17 05:00:00,47,DLCA
51586,9.7501,9.75,9.78,9.78,9.75,2021-11-19 05:00:00,4,DLCA
1688,9.7616,9.75,9.78,9.78,9.75,2021-11-22 05:00:00,17,DLCA
5622,9.7787,9.76,9.78,9.78,9.76,2021-11-23 05:00:00,53,DLCA
5507,9.7719,9.78,9.78,9.78,9.75,2021-11-24 05:00:00,33,DLCA
11076,9.7652,9.75,9.79,9.79,9.749,2021-11-26 05:00:00,27,DLCA
248,9.77,9.77,9.77,9.77,9.77,2021-11-29 05:00:00,3,DLCA
125,9.7681,9.7701,9.7701,9.7701,9.7701,2021-11-30 05:00:00,2,DLCA
20491,9.7678,9.77,9.76,9.78,9.76,2021-12-01 05:00:00,100,DLCA
24959,9.7603,9.75,9.76,9.79,9.75,2021-12-02 05:00:00,176,DLCA
25957,9.761,9.76,9.77,9.78,9.76,2021-12-03 05:00:00,269,DLCA
19424,9.7532,9.75,9.75,9.765,9.75,2021-12-06 05:00:00,197,DLCA
82339,9.7566,9.75,9.78,9.78,9.74,2021-12-07 05:00:00,84,DLCA
25672,9.7535,9.75,9.77,9.78,9.75,2021-12-08 05:00:00,90,DLCA
1139,9.7535,9.75,9.77,9.77,9.75,2021-12-09 05:00:00,11,DLCA
2501,9.7677,9.75,9.77,9.77,9.75,2021-12-10 05:00:00,6,DLCA
105702,9.7513,9.75,9.79,9.79,9.74,2021-12-13 05:00:00,249,DLCA
108623,9.7316,9.74,9.75,9.75,9.71,2021-12-14 05:00:00,432,DLCA
20936,9.7321,9.73,9.75,9.75,9.73,2021-12-15 05:00:00,63,DLCA
15300,9.7511,9.75,9.76,9.76,9.75,2021-12-16 05:00:00,50,DLCA
2833,9.7599,9.76,9.76,9.77,9.7598,2021-12-17 05:00:00,19,DLCA
949,9.7421,9.74,9.76,9.76,9.74,2021-12-22 05:00:00,13,DLCA
1571,9.7349,9.73,9.76,9.76,9.73,2021-12-28 05:00:00,18,DLCA
3761,9.7416,9.74,9.76,9.76,9.74,2021-12-29 05:00:00,54,DLCA
16922,9.7452,9.7401,9.78,9.78,9.74,2021-12-31 05:00:00,83,DLCA
229525,9.7604,9.76,9.79,9.79,9.76,2022-01-03 05:00:00,49,DLCA
3336,9.7729,9.77,9.78,9.78,9.77,2022-01-04 05:00:00,23,DLCA
19208,9.7657,9.76,9.78,9.79,9.76,2022-01-05 05:00:00,24,DLCA
692,9.7696,9.7601,9.76,9.7601,9.76,2022-01-07 05:00:00,9,DLCA
14219,9.7506,9.75,9.79,9.79,9.75,2022-01-10 05:00:00,27,DLCA
2306,9.754,9.75,9.78,9.78,9.75,2022-01-11 05:00:00,13,DLCA
907,9.7582,9.75,9.78,9.78,9.75,2022-01-12 05:00:00,12,DLCA
622,9.7616,9.76,9.7699,9.7699,9.76,2022-01-13 05:00:00,6,DLCA
7192,9.7375,9.74,9.74,9.75,9.73,2022-01-18 05:00:00,24,DLCA
2750,9.7392,9.7389,9.7399,9.74,9.735,2022-01-19 05:00:00,32,DLCA
31512,9.7398,9.74,9.74,9.7401,9.73,2022-01-20 05:00:00,83,DLCA
87608,9.7312,9.75,9.73,9.75,9.73,2022-01-21 05:00:00,137,DLCA
103758,9.7297,9.73,9.71,9.73,9.71,2022-01-24 05:00:00,149,DLCA
161595,9.7097,9.71,9.71,9.71,9.71,2022-01-25 05:00:00,38,DLCA
29335,9.7102,9.71,9.72,9.72,9.71,2022-01-26 05:00:00,96,DLCA
658,9.7126,9.72,9.71,9.72,9.71,2022-01-27 05:00:00,16,DLCA
423,9.7102,9.7107,9.71,9.7107,9.71,2022-01-28 05:00:00,9,DLCA
866,9.7677,9.77,9.77,9.77,9.77,2022-01-31 05:00:00,2,DLCA
7633,9.7569,9.76,9.755,9.76,9.74,2022-02-01 05:00:00,56,DLCA
404,9.7247,9.69,9.75,9.75,9.69,2022-02-03 05:00:00,4,DLCA
5668,9.7488,9.7431,9.75,9.77,9.74,2022-02-07 05:00:00,57,DLCA
21473,9.7507,9.74,9.75,9.76,9.74,2022-02-09 05:00:00,44,DLCA
521393,9.75,9.75,9.75,9.75,9.75,2022-02-10 05:00:00,19,DLCA
