volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1418867,3.7815000000000003,3.8,3.8,3.86,3.7,2021-07-30 04:00:00,7449,DPRO
1093473,3.5437000000000003,3.85,3.66,3.85,3.32,2021-08-02 04:00:00,6184,DPRO
205192,3.5794,3.58,3.6,3.63,3.44,2021-08-03 04:00:00,1312,DPRO
1087708,3.7283,3.74,3.51,4.04,3.45,2021-08-04 04:00:00,4404,DPRO
144910,3.5923,3.48,3.59,3.7,3.45,2021-08-05 04:00:00,801,DPRO
624178,3.8334,3.65,3.83,4.05,3.5633,2021-08-06 04:00:00,2781,DPRO
258108,3.8136,3.907,3.79,3.99,3.71,2021-08-09 04:00:00,1005,DPRO
455751,3.6719,3.95,3.52,3.96,3.46,2021-08-10 04:00:00,1691,DPRO
429280,3.332,3.6,3.26,3.6079,3.12,2021-08-11 04:00:00,2014,DPRO
265282,3.3739,3.23,3.4,3.48,3.22,2021-08-12 04:00:00,1228,DPRO
148545,3.3055,3.4,3.26,3.4,3.25,2021-08-13 04:00:00,740,DPRO
249103,3.0784,3.29,2.98,3.29,2.92,2021-08-16 04:00:00,1261,DPRO
199760,2.9221,2.93,2.86,3.1,2.8,2021-08-17 04:00:00,851,DPRO
270700,2.9646,2.8,2.88,3.05,2.8,2021-08-18 04:00:00,1065,DPRO
429836,2.7345,2.86,2.69,2.98,2.61,2021-08-19 04:00:00,2280,DPRO
120647,2.7343,2.74,2.7800000000000002,2.85,2.65,2021-08-20 04:00:00,692,DPRO
131343,2.8887,2.75,2.934,2.99,2.75,2021-08-23 04:00:00,621,DPRO
105283,2.8689999999999998,2.98,2.86,2.98,2.77,2021-08-24 04:00:00,573,DPRO
256349,3.0254,2.83,2.9492000000000003,3.16,2.83,2021-08-25 04:00:00,1236,DPRO
214201,2.878,3.0,2.81,3.0,2.77,2021-08-26 04:00:00,1029,DPRO
267712,2.8182,2.81,2.7800000000000002,2.93,2.7199999999999998,2021-08-27 04:00:00,964,DPRO
307928,2.935,2.8,2.87,3.08,2.8,2021-08-30 04:00:00,1145,DPRO
220308,3.005,2.93,3.03,3.1321,2.92,2021-08-31 04:00:00,981,DPRO
263770,3.0963,3.12,3.02,3.2399,3.0,2021-09-01 04:00:00,934,DPRO
292219,3.1423,3.13,3.07,3.23,3.0542,2021-09-02 04:00:00,1455,DPRO
8184145,3.7852,3.21,3.81,4.11,3.07,2021-09-03 04:00:00,29603,DPRO
1134470,3.7681,3.935,4.02,4.09,3.51,2021-09-07 04:00:00,5409,DPRO
513242,3.8341000000000003,3.95,3.83,4.08,3.65,2021-09-08 04:00:00,2091,DPRO
