volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
9948,23.3477,23.3,23.8,23.8,23.0,2020-02-20 05:00:00,134,ESQ
8959,23.7421,23.7,24.05,24.05,23.36,2020-02-21 05:00:00,100,ESQ
13831,23.5664,23.71,23.88,23.984,23.2332,2020-02-24 05:00:00,106,ESQ
17652,23.1757,23.9,22.8,24.0,22.76,2020-02-25 05:00:00,181,ESQ
14332,23.1439,22.96,23.185,23.29,22.96,2020-02-26 05:00:00,203,ESQ
36924,23.188,22.87,23.22,24.5,22.5,2020-02-27 05:00:00,344,ESQ
19307,22.9539,23.0,22.91,23.39,22.6844,2020-02-28 05:00:00,289,ESQ
13514,22.9808,23.3,22.76,23.55,22.5,2020-03-02 05:00:00,221,ESQ
19488,22.2517,22.75,21.61,22.75,21.61,2020-03-03 05:00:00,290,ESQ
24353,21.9688,21.9,22.29,22.6858,20.5843,2020-03-04 05:00:00,346,ESQ
44673,22.1141,21.8655,22.0,22.5,21.75,2020-03-05 05:00:00,352,ESQ
7623,22.0917,21.82,22.13,22.57,21.3,2020-03-06 05:00:00,129,ESQ
25349,20.8613,21.45,20.29,21.85,19.35,2020-03-09 04:00:00,322,ESQ
23980,20.9613,20.74,20.8,21.68,20.25,2020-03-10 04:00:00,334,ESQ
18874,19.4823,20.49,19.39,20.9,18.33,2020-03-11 04:00:00,223,ESQ
31796,18.6601,18.54,18.81,19.655,17.23,2020-03-12 04:00:00,345,ESQ
114700,16.2303,19.64,17.51,19.8,14.49,2020-03-13 04:00:00,1025,ESQ
45601,15.5164,15.98,15.01,16.0,15.0,2020-03-16 04:00:00,506,ESQ
37122,16.6078,14.7,19.46,19.46,14.48,2020-03-17 04:00:00,482,ESQ
24093,15.2221,16.56,14.67,16.56,14.5,2020-03-18 04:00:00,398,ESQ
58572,15.3207,14.01,16.77,17.265,14.01,2020-03-19 04:00:00,498,ESQ
46144,15.4411,16.49,15.0,16.49,14.5,2020-03-20 04:00:00,470,ESQ
37807,13.8909,15.01,12.56,15.89,11.7,2020-03-23 04:00:00,425,ESQ
45309,14.4352,13.61,14.81,15.025,13.585,2020-03-24 04:00:00,398,ESQ
15667,14.7616,14.24,14.82,14.95,14.24,2020-03-25 04:00:00,224,ESQ
38408,15.7827,15.25,16.0,16.5,15.01,2020-03-26 04:00:00,434,ESQ
15764,15.2627,16.0,14.7,16.2,14.7,2020-03-27 04:00:00,289,ESQ
