volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
7377,28.3261,28.56,28.5,29.11,27.31,2020-02-20 05:00:00,147,FMAO
9255,28.2453,28.59,28.01,28.59,27.99,2020-02-21 05:00:00,153,FMAO
7296,27.3502,27.55,27.32,27.6,27.3,2020-02-24 05:00:00,162,FMAO
7843,26.9899,27.2109,27.18,27.2885,26.165,2020-02-25 05:00:00,107,FMAO
14999,27.1319,27.33,27.8,27.8,27.0,2020-02-26 05:00:00,141,FMAO
13931,26.9149,27.46,26.73,27.46,26.5,2020-02-27 05:00:00,240,FMAO
17783,26.489,26.875,26.6,26.92,26.22,2020-02-28 05:00:00,257,FMAO
6352,26.5318,26.22,26.64,27.0,26.22,2020-03-02 05:00:00,111,FMAO
13729,26.7353,26.58,26.4,27.944,26.035,2020-03-03 05:00:00,201,FMAO
5138,27.6403,27.315,27.85,27.85,27.05,2020-03-04 05:00:00,91,FMAO
9778,25.976,26.7075,25.5,27.7815,24.88,2020-03-05 05:00:00,173,FMAO
7099,25.1859,24.65,25.35,25.83,24.65,2020-03-06 05:00:00,157,FMAO
10521,22.4564,23.95,22.38,24.7313,21.31,2020-03-09 04:00:00,157,FMAO
18407,21.6301,22.46,22.0,22.9899,21.0,2020-03-10 04:00:00,261,FMAO
18365,20.2071,21.48,19.9,21.98,19.3,2020-03-11 04:00:00,380,FMAO
24698,18.8928,19.78,17.4,20.22,17.4,2020-03-12 04:00:00,458,FMAO
31114,19.1045,18.12,21.0,21.0,17.55,2020-03-13 04:00:00,414,FMAO
28020,21.4131,19.73,21.35,22.8,19.73,2020-03-16 04:00:00,417,FMAO
28847,24.3833,21.555,26.01,26.01,21.52,2020-03-17 04:00:00,512,FMAO
21496,23.0559,23.7,21.91,24.58,21.9,2020-03-18 04:00:00,390,FMAO
33324,24.5942,22.03,26.73,26.73,22.01,2020-03-19 04:00:00,502,FMAO
45670,24.2922,26.28,22.0,26.28,22.0,2020-03-20 04:00:00,474,FMAO
24423,21.7931,22.12,22.4,23.0,20.9,2020-03-23 04:00:00,364,FMAO
21005,24.3044,23.7349,25.21,25.21,21.94,2020-03-24 04:00:00,265,FMAO
13840,25.9027,24.76,26.08,26.24,24.76,2020-03-25 04:00:00,249,FMAO
21076,27.3654,26.25,27.9,27.98,26.01,2020-03-26 04:00:00,249,FMAO
