volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3302098,10.3,10.3,10.25,10.56,10.25,2020-12-04 05:00:00,3887,FTCVU
298742,10.3185,10.35,10.4,10.4,10.28,2020-12-07 05:00:00,1028,FTCVU
150513,10.3432,10.4,10.34,10.4,10.3,2020-12-08 05:00:00,1060,FTCVU
261592,10.3293,10.34,10.4,10.4,10.28,2020-12-09 05:00:00,308,FTCVU
236145,10.3566,10.38,10.36,10.425,10.35,2020-12-10 05:00:00,498,FTCVU
33801,10.3693,10.45,10.37,10.45,10.33,2020-12-11 05:00:00,147,FTCVU
21042,10.3593,10.37,10.38,10.3999,10.3,2020-12-14 05:00:00,95,FTCVU
148122,10.3368,10.35,10.35,10.4,10.25,2020-12-15 05:00:00,410,FTCVU
32842,10.4213,10.26,10.4,10.45,10.26,2020-12-16 05:00:00,93,FTCVU
2826,10.3998,10.4022,10.37,10.415,10.37,2020-12-17 05:00:00,27,FTCVU
33727,10.3829,10.35,10.43,10.49,10.33,2020-12-18 05:00:00,92,FTCVU
17932,10.3722,10.41,10.38,10.41,10.36,2020-12-21 05:00:00,50,FTCVU
294162,10.4346,10.38,10.45,10.49,10.375,2020-12-22 05:00:00,169,FTCVU
7184,10.4689,10.48,10.47,10.4899,10.42,2020-12-23 05:00:00,46,FTCVU
25792,10.5104,10.4999,10.5654,10.6,10.4636,2020-12-24 05:00:00,31,FTCVU
105152,10.5613,10.57,10.72,10.73,10.49,2020-12-28 05:00:00,454,FTCVU
37412,10.5688,10.75,10.52,10.75,10.38,2020-12-29 05:00:00,122,FTCVU
39065,10.6799,10.605,10.7,10.715,10.59,2020-12-30 05:00:00,128,FTCVU
25683,10.6838,10.7,10.67,10.7,10.65,2020-12-31 05:00:00,128,FTCVU
24516,10.657399999999999,10.7,10.63,10.7,10.62,2021-01-04 05:00:00,79,FTCVU
67487,10.5364,10.62,10.5,10.65,10.49,2021-01-05 05:00:00,71,FTCVU
6486,10.5062,10.55,10.5,10.55,10.5,2021-01-06 05:00:00,24,FTCVU
20744,10.5834,10.5002,10.55,10.645,10.5002,2021-01-07 05:00:00,33,FTCVU
22718,10.6842,10.55,10.7,10.74,10.55,2021-01-08 05:00:00,56,FTCVU
16364,10.7102,10.75,10.7,10.75,10.7,2021-01-11 05:00:00,57,FTCVU
75747,10.6992,10.7,10.72,10.74,10.5201,2021-01-12 05:00:00,43,FTCVU
170607,10.7488,10.75,10.74,10.87,10.675,2021-01-13 05:00:00,255,FTCVU
146358,10.8511,10.77,10.88,10.98,10.77,2021-01-14 05:00:00,159,FTCVU
34189,10.7655,10.9,10.75,10.935,10.74,2021-01-15 05:00:00,235,FTCVU
31728,10.8251,11.0,10.78,11.0,10.76,2021-01-19 05:00:00,147,FTCVU
176794,10.9291,10.8159,11.06,11.27,10.76,2021-01-20 05:00:00,351,FTCVU
425617,11.1411,11.15,11.27,11.27,11.11,2021-01-21 05:00:00,324,FTCVU
75382,11.3345,11.2074,11.45,11.5,11.15,2021-01-22 05:00:00,166,FTCVU
86030,11.4309,11.55,11.45,11.55,11.23,2021-01-25 05:00:00,281,FTCVU
176889,11.3053,11.49,11.21,11.55,11.0,2021-01-26 05:00:00,809,FTCVU
117843,10.9623,11.09,10.85,11.09,10.7051,2021-01-27 05:00:00,266,FTCVU
53519,10.7324,10.8001,10.8,10.84,10.62,2021-01-28 05:00:00,224,FTCVU
55881,11.0014,10.8021,11.0,11.01,10.8021,2021-01-29 05:00:00,149,FTCVU
213528,10.954,10.95,11.22,11.22,10.8875,2021-02-01 05:00:00,71,FTCVU
7076,11.1158,11.19,11.375,11.375,10.9001,2021-02-02 05:00:00,69,FTCVU
42512,11.5552,11.49,11.65,11.74,10.9575,2021-02-03 05:00:00,203,FTCVU
18797,11.5051,11.6173,11.61,11.7,11.3401,2021-02-04 05:00:00,84,FTCVU
60391,11.6739,11.7399,11.48,11.78,11.48,2021-02-05 05:00:00,189,FTCVU
170631,11.662700000000001,11.5,11.33,11.7866,11.33,2021-02-08 05:00:00,136,FTCVU
11779,11.4827,11.39,11.5,11.6,11.39,2021-02-09 05:00:00,60,FTCVU
3069,11.623,11.56,11.7921,11.7921,11.5,2021-02-10 05:00:00,20,FTCVU
3039,11.6218,11.69,11.63,11.8,11.545,2021-02-11 05:00:00,36,FTCVU
35052,11.5473,11.575,11.49,11.66,11.38,2021-02-12 05:00:00,255,FTCVU
27589,11.6109,11.46,11.64,11.7003,11.46,2021-02-16 05:00:00,110,FTCVU
17451,11.8419,11.6,11.73,12.0,11.5967,2021-02-17 05:00:00,83,FTCVU
3074,11.7393,11.18,11.76,11.875,11.18,2021-02-18 05:00:00,30,FTCVU
39286,11.8382,11.42,11.85,11.96,11.4035,2021-02-19 05:00:00,167,FTCVU
5835,11.6832,11.69,11.66,11.8,11.5,2021-02-22 05:00:00,30,FTCVU
7143,11.5271,11.24,11.79,11.79,11.24,2021-02-23 05:00:00,39,FTCVU
55043,11.706900000000001,11.7945,11.5101,11.7945,11.3805,2021-02-24 05:00:00,178,FTCVU
157254,11.5397,11.6576,11.59,11.8,11.4,2021-02-25 05:00:00,817,FTCVU
70129,11.537,11.6,11.6,11.6,11.39,2021-02-26 05:00:00,435,FTCVU
54677,11.8017,11.7,11.7,11.95,11.67,2021-03-01 05:00:00,275,FTCVU
29834,11.3276,11.79,11.14,11.79,11.1,2021-03-02 05:00:00,189,FTCVU
32682,10.9531,11.1001,10.9,11.31,10.66,2021-03-03 05:00:00,175,FTCVU
73946,10.5967,10.88,10.5,10.8804,10.5,2021-03-04 05:00:00,415,FTCVU
41967,10.7439,10.77,10.68,10.99,10.27,2021-03-05 05:00:00,139,FTCVU
19490,10.7075,10.75,10.845,10.845,10.665,2021-03-08 05:00:00,102,FTCVU
88920,10.5021,10.63,10.6034,10.67,10.5,2021-03-09 05:00:00,17,FTCVU
2506,10.8963,10.83,10.7,11.0,10.7,2021-03-10 05:00:00,19,FTCVU
11783,10.9068,10.85,10.94,10.96,10.85,2021-03-11 05:00:00,78,FTCVU
15663,10.9838,10.94,10.86,11.0,10.86,2021-03-12 05:00:00,57,FTCVU
24822,11.6654,11.2,11.24,11.3897,11.1504,2021-03-15 04:00:00,97,FTCVU
2381069,14.5704,13.65,16.87,17.08,13.22,2021-03-16 04:00:00,10654,FTCVU
83425,14.4591,15.54,14.52,15.54,13.8,2021-03-17 04:00:00,604,FTCVU
99479,14.0827,14.45,13.91,15.0,13.5,2021-03-18 04:00:00,854,FTCVU
321682,13.6103,13.75,13.81,14.13,12.83,2021-03-19 04:00:00,2102,FTCVU
43498,13.9352,14.02,14.0,14.27,13.63,2021-03-22 04:00:00,385,FTCVU
67934,13.4118,14.1,13.25,14.1,13.16,2021-03-23 04:00:00,475,FTCVU
67058,12.7812,13.21,12.63,13.714,12.5501,2021-03-24 04:00:00,462,FTCVU
58436,12.146,12.35,12.16,12.55,11.83,2021-03-25 04:00:00,487,FTCVU
80996,12.5184,12.35,12.8,13.05,12.01,2021-03-26 04:00:00,748,FTCVU
63504,12.484,12.9,12.36,13.0199,12.25,2021-03-29 04:00:00,480,FTCVU
49868,12.3028,12.23,12.38,12.5,12.07,2021-03-30 04:00:00,337,FTCVU
169003,12.035,12.2942,11.95,12.48,11.78,2021-03-31 04:00:00,1169,FTCVU
17127,11.9445,12.0,11.92,12.1,11.85,2021-04-01 04:00:00,125,FTCVU
20137,12.9543,12.09,12.92,13.27,12.09,2021-04-05 04:00:00,197,FTCVU
3627,12.7858,12.85,12.8905,12.8905,12.65,2021-04-06 04:00:00,45,FTCVU
34352,14.0651,12.95,14.22,14.8,12.95,2021-04-07 04:00:00,158,FTCVU
117800,15.1772,14.1,14.91,15.71,14.1,2021-04-08 04:00:00,733,FTCVU
18210,16.1144,15.52,15.88,17.0361,15.52,2021-04-09 04:00:00,185,FTCVU
84932,15.4083,16.15,15.16,16.15,15.06,2021-04-12 04:00:00,699,FTCVU
14702,14.6792,15.25,15.06,15.4159,14.155,2021-04-13 04:00:00,123,FTCVU
9670,14.7655,15.56,14.295,15.56,14.2,2021-04-14 04:00:00,90,FTCVU
5763,13.7712,14.08,13.63,14.1,13.3,2021-04-15 04:00:00,93,FTCVU
4204,13.1823,13.34,13.19,13.34,13.05,2021-04-16 04:00:00,43,FTCVU
14892,12.6252,12.71,12.75,12.75,12.4,2021-04-19 04:00:00,57,FTCVU
25308,12.4623,12.75,12.295,12.75,12.285,2021-04-20 04:00:00,139,FTCVU
30642,12.0553,12.428,12.21,12.54,11.89,2021-04-21 04:00:00,214,FTCVU
5898,12.0797,12.16,12.02,12.2911,12.0,2021-04-22 04:00:00,40,FTCVU
24575,11.9808,12.05,11.94,12.1558,11.93,2021-04-23 04:00:00,161,FTCVU
5187,12.141,11.63,12.08,12.5999,11.63,2021-04-26 04:00:00,46,FTCVU
15920,12.3238,12.2,12.86,13.43,12.2,2021-04-27 04:00:00,83,FTCVU
9855,12.4426,13.0643,12.23,13.07,12.2,2021-04-28 04:00:00,79,FTCVU
14917,12.1492,12.5717,12.22,12.5717,11.94,2021-04-29 04:00:00,106,FTCVU
1071,12.3106,12.45,12.3,12.45,12.3,2021-04-30 04:00:00,11,FTCVU
1037,12.1996,12.29,12.15,12.29,12.15,2021-05-03 04:00:00,16,FTCVU
16132,12.165,11.7,11.97,12.4954,11.7,2021-05-04 04:00:00,54,FTCVU
44938,12.0272,12.0,12.07,12.31,11.94,2021-05-05 04:00:00,114,FTCVU
2689,11.7934,11.68,11.77,12.016,11.6685,2021-05-06 04:00:00,26,FTCVU
1655,11.9623,12.01,11.86,12.01,11.86,2021-05-07 04:00:00,19,FTCVU
8490,11.8849,11.8,12.09,12.17,11.6,2021-05-10 04:00:00,59,FTCVU
6011,11.7767,11.63,12.12,12.12,11.49,2021-05-11 04:00:00,42,FTCVU
1332,11.7433,12.151,11.55,12.151,11.55,2021-05-12 04:00:00,18,FTCVU
7525,11.3916,11.66,11.23,11.66,11.23,2021-05-13 04:00:00,70,FTCVU
15098,11.386800000000001,11.35,11.32,11.4499,11.3,2021-05-14 04:00:00,75,FTCVU
8652,11.23,11.18,11.31,11.6447,11.12,2021-05-17 04:00:00,50,FTCVU
18169,11.2827,11.01,11.21,11.485,11.01,2021-05-18 04:00:00,103,FTCVU
12796,11.3108,11.0433,11.67,11.98,11.0433,2021-05-19 04:00:00,107,FTCVU
20492,11.6952,11.68,11.55,11.98,11.55,2021-05-20 04:00:00,90,FTCVU
139,12.0538,12.19,12.19,12.19,12.19,2021-05-21 04:00:00,8,FTCVU
834,11.5605,11.505,11.61,11.61,11.5,2021-05-24 04:00:00,13,FTCVU
60267,11.6025,11.62,11.95,11.95,11.44,2021-05-25 04:00:00,133,FTCVU
1599,11.6293,11.8191,11.79,11.8191,11.46,2021-05-28 04:00:00,19,FTCVU
311120,11.4195,11.6,11.59,11.6,11.315,2021-06-01 04:00:00,2530,FTCVU
5110,11.5973,11.58,11.68,11.68,11.42,2021-06-02 04:00:00,35,FTCVU
3557,11.6565,11.6,11.57,11.8,11.42,2021-06-03 04:00:00,15,FTCVU
6956,11.6565,11.6001,11.65,11.69,11.6,2021-06-04 04:00:00,56,FTCVU
3501,12.2301,11.97,12.63,12.63,11.93,2021-06-07 04:00:00,35,FTCVU
19227,12.6874,12.5957,13.01,13.08,12.5957,2021-06-08 04:00:00,34,FTCVU
8101,12.9205,13.4,12.93,13.4,12.85,2021-06-09 04:00:00,79,FTCVU
429,13.2061,13.165,13.37,13.37,13.165,2021-06-10 04:00:00,7,FTCVU
2038,12.9533,13.0,12.77,13.0,12.74,2021-06-11 04:00:00,9,FTCVU
7753,13.3745,13.95,12.82,13.95,12.82,2021-06-14 04:00:00,42,FTCVU
1044,12.912,12.895,12.49,13.24,12.49,2021-06-15 04:00:00,11,FTCVU
555,13.1049,13.0083,13.1747,13.1747,13.0083,2021-06-17 04:00:00,9,FTCVU
200,12.8991,13.04,13.04,13.04,13.04,2021-06-18 04:00:00,4,FTCVU
933,12.6804,12.555,12.635,13.0,12.555,2021-06-22 04:00:00,10,FTCVU
5785,13.0046,13.0,13.138,13.138,13.0,2021-06-23 04:00:00,41,FTCVU
2233,13.0403,12.72,13.3954,13.3954,12.72,2021-06-24 04:00:00,10,FTCVU
5526,13.0419,13.03,13.2,13.2,12.7144,2021-06-25 04:00:00,32,FTCVU
1860,12.9596,12.69,13.09,13.09,12.69,2021-06-28 04:00:00,26,FTCVU
3484,13.3257,13.31,13.2,13.6499,13.135,2021-06-29 04:00:00,20,FTCVU
1668,13.1566,13.08,13.08,13.08,13.08,2021-06-30 04:00:00,10,FTCVU
2651,13.4914,13.28,13.48,13.65,13.28,2021-07-01 04:00:00,13,FTCVU
7477,13.3775,13.48,13.613,13.68,12.8279,2021-07-02 04:00:00,36,FTCVU
18415,13.6105,13.62,13.555,13.6838,13.465,2021-07-06 04:00:00,94,FTCVU
1924,13.5889,13.3994,13.89,13.89,13.37,2021-07-07 04:00:00,15,FTCVU
2478,12.7876,12.9,12.46,13.5,12.46,2021-07-08 04:00:00,41,FTCVU
212,12.8592,12.88,12.88,12.88,12.88,2021-07-09 04:00:00,4,FTCVU
7826,12.4118,12.96,11.91,12.96,11.9,2021-07-13 04:00:00,79,FTCVU
608,12.2312,11.86,12.3989,12.3989,11.86,2021-07-14 04:00:00,7,FTCVU
869,11.7459,11.69,11.9,11.9,11.69,2021-07-15 04:00:00,8,FTCVU
1669,12.0778,11.5988,12.53,12.53,11.5988,2021-07-16 04:00:00,11,FTCVU
3375,11.5709,11.32,11.5788,11.645,11.31,2021-07-19 04:00:00,23,FTCVU
10796,11.7095,11.799900000000001,11.36,11.799900000000001,11.36,2021-07-20 04:00:00,83,FTCVU
2592,11.5222,11.475,11.5001,11.6499,11.4,2021-07-21 04:00:00,15,FTCVU
476,11.4955,11.515,11.515,11.515,11.515,2021-07-22 04:00:00,6,FTCVU
1793,11.4732,11.6,11.2601,11.6,11.2601,2021-07-23 04:00:00,14,FTCVU
1163,11.4974,11.26,11.52,11.65,11.26,2021-07-26 04:00:00,9,FTCVU
1425,11.2841,11.16,11.5955,11.6,11.05,2021-07-27 04:00:00,13,FTCVU
902,11.5292,11.552,11.5999,11.5999,11.3001,2021-07-28 04:00:00,4,FTCVU
2977,11.0195,11.03,10.99,11.04,10.99,2021-07-29 04:00:00,18,FTCVU
1647,10.9841,11.0764,10.98,11.1,10.76,2021-07-30 04:00:00,14,FTCVU
124,10.9829,10.99,10.99,10.99,10.99,2021-08-02 04:00:00,3,FTCVU
3503,10.8984,10.81,10.9399,10.9399,10.81,2021-08-03 04:00:00,10,FTCVU
26357,12.1214,11.25,12.65,13.1,11.25,2021-08-04 04:00:00,128,FTCVU
10241,11.5361,11.37,11.46,12.005,11.33,2021-08-05 04:00:00,60,FTCVU
1770,11.8682,11.8735,11.81,11.9,11.81,2021-08-06 04:00:00,5,FTCVU
104,11.8312,11.83,11.83,11.83,11.83,2021-08-09 04:00:00,2,FTCVU
930,11.5065,11.51,11.51,11.51,11.5,2021-08-11 04:00:00,5,FTCVU
225,11.4701,11.51,11.4311,11.51,11.4311,2021-08-12 04:00:00,5,FTCVU
765,11.5988,11.88,11.5,11.88,11.5,2021-08-13 04:00:00,9,FTCVU
2120,11.2483,11.25,11.25,11.25,11.25,2021-08-16 04:00:00,11,FTCVU
806,11.6364,11.7762,11.1818,11.8714,11.1818,2021-08-17 04:00:00,6,FTCVU
692,10.96,10.96,10.96,10.96,10.96,2021-08-19 04:00:00,9,FTCVU
211,11.0098,10.96,10.96,10.96,10.96,2021-08-20 04:00:00,5,FTCVU
