volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1001,0.8601000000000001,0.86,0.86,0.86,0.86,2021-08-19 04:00:00,3,FTVIW
78208,0.9602,0.9999,0.985,1.0,0.9500000000000001,2021-08-20 04:00:00,36,FTVIW
50100,0.9606,0.99,0.96,0.99,0.96,2021-08-23 04:00:00,49,FTVIW
60297,0.9345,0.96,0.9399000000000001,0.96,0.8501000000000001,2021-08-24 04:00:00,155,FTVIW
4763,0.9113,0.91,0.91,0.9409000000000001,0.909601,2021-08-26 04:00:00,49,FTVIW
3392,1.0834,1.01,1.1,1.1,1.01,2021-08-31 04:00:00,29,FTVIW
24639,1.05,1.03,1.06,1.06,1.03,2021-09-01 04:00:00,30,FTVIW
43240,1.0329,1.08,1.03,1.08,0.9978500000000001,2021-09-02 04:00:00,89,FTVIW
5151,1.0109,0.8503000000000001,1.03,1.03,0.8503000000000001,2021-09-03 04:00:00,28,FTVIW
113778,1.0228,0.9452,1.04,1.04,0.9452,2021-09-07 04:00:00,149,FTVIW
1285,1.05,1.05,1.05,1.05,1.05,2021-09-09 04:00:00,13,FTVIW
100,0.9651000000000001,0.9651000000000001,0.9651000000000001,0.9651000000000001,0.9651000000000001,2021-09-13 04:00:00,1,FTVIW
800,1.0113,1.03,1.00005,1.03,1.00005,2021-09-14 04:00:00,10,FTVIW
41698,1.0279,1.05,1.06,1.06,0.9800500000000001,2021-09-15 04:00:00,29,FTVIW
1916,1.0456,1.05,1.05,1.05,1.05,2021-09-16 04:00:00,33,FTVIW
1192,1.0602,1.0621,1.0621,1.0621,1.0621,2021-09-17 04:00:00,17,FTVIW
1188,1.0084,1.01,1.01,1.01,1.01,2021-09-23 04:00:00,16,FTVIW
2100,0.3185,0.0152,1.1,1.1,0.0152,2021-09-27 04:00:00,3,FTVIW
433,1.0619,1.035,1.07,1.07,1.035,2021-09-30 04:00:00,3,FTVIW
4461,1.036,0.9607,1.05,1.05,0.9607,2021-10-01 04:00:00,19,FTVIW
17871,1.056,1.05,1.07,1.11,1.05,2021-10-04 04:00:00,23,FTVIW
400,1.12,1.12,1.12,1.12,1.12,2021-10-05 04:00:00,1,FTVIW
61401,0.9994000000000001,0.99,1.03,1.03,0.95015,2021-10-07 04:00:00,99,FTVIW
1379,1.0192,1.01,1.02,1.02,1.01,2021-10-11 04:00:00,5,FTVIW
139408,1.0358,1.01,1.0101,1.04,1.01,2021-10-15 04:00:00,69,FTVIW
1600,1.0319,1.04,1.03,1.04,1.03,2021-10-20 04:00:00,5,FTVIW
21756,1.0424,1.045,1.04,1.045,1.04,2021-10-21 04:00:00,23,FTVIW
1000,1.0593,1.0593,1.0593,1.0593,1.0593,2021-10-25 04:00:00,1,FTVIW
3200,1.1966,1.21,1.145,1.24,1.145,2021-10-27 04:00:00,50,FTVIW
83251,1.0578,1.53,1.06,1.53,1.05,2021-11-01 04:00:00,347,FTVIW
1116,1.0249,1.03,1.02,1.03,1.02,2021-11-02 04:00:00,6,FTVIW
1835,1.0637,1.065,1.05,1.065,1.05,2021-11-04 04:00:00,90,FTVIW
6807,1.0506,1.06,1.05,1.06,1.05,2021-11-05 04:00:00,9,FTVIW
6598,1.05,1.05,1.05,1.05,1.05,2021-11-12 05:00:00,26,FTVIW
100,1.07,1.07,1.07,1.07,1.07,2021-11-18 05:00:00,1,FTVIW
4900,1.0703,1.08,1.07,1.08,1.07,2021-11-19 05:00:00,2,FTVIW
4275,1.0774,1.0999,1.06,1.0999,1.06,2021-11-23 05:00:00,34,FTVIW
10100,1.0636,1.07,1.06,1.07,1.06,2021-11-24 05:00:00,10,FTVIW
13200,1.0599,1.06,1.06,1.06,1.05,2021-11-26 05:00:00,4,FTVIW
23513,1.0555,1.06,1.04,1.06,1.02,2021-11-29 05:00:00,22,FTVIW
26900,1.0347,1.05,1.05,1.05,1.01,2021-12-01 05:00:00,43,FTVIW
1200,1.0569,1.07,1.0,1.07,1.0,2021-12-03 05:00:00,6,FTVIW
900,1.01,1.01,1.01,1.01,1.01,2021-12-06 05:00:00,6,FTVIW
1552,0.9797,1.0,0.97,1.0099,0.97,2021-12-13 05:00:00,20,FTVIW
103523,1.1245,0.96,1.15,1.35,0.96,2021-12-14 05:00:00,237,FTVIW
18798,1.1009,1.09,1.1400000000000001,1.1400000000000001,1.08,2021-12-15 05:00:00,18,FTVIW
100,1.0799,1.0799,1.0799,1.0799,1.0799,2021-12-16 05:00:00,1,FTVIW
20379,0.9195000000000001,0.9601000000000001,0.91,0.9601000000000001,0.8784000000000001,2021-12-21 05:00:00,43,FTVIW
7050,0.8575,0.859899,0.87,0.87,0.8501000000000001,2021-12-22 05:00:00,45,FTVIW
4322,0.8596,0.86,0.830098,0.87,0.830098,2021-12-28 05:00:00,16,FTVIW
100,0.8902,0.8902,0.8902,0.8902,0.8902,2022-01-04 05:00:00,1,FTVIW
10500,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,2022-01-05 05:00:00,2,FTVIW
300,0.8761,0.8642000000000001,0.899999,0.899999,0.8642000000000001,2022-01-07 05:00:00,3,FTVIW
300,0.8601000000000001,0.8601000000000001,0.8601000000000001,0.8601000000000001,0.8601000000000001,2022-01-10 05:00:00,4,FTVIW
1026,0.9286000000000001,0.8312,0.96,0.96,0.8312,2022-01-13 05:00:00,9,FTVIW
100,0.8211,0.8211,0.8211,0.8211,0.8211,2022-01-14 05:00:00,1,FTVIW
1035,0.8898,0.8898,0.8898,0.8898,0.8898,2022-01-20 05:00:00,2,FTVIW
1218,0.809,0.86,0.8,0.86,0.8,2022-01-21 05:00:00,17,FTVIW
502,0.7601,0.7601,0.7601,0.7601,0.7601,2022-01-24 05:00:00,1,FTVIW
1242,0.7493000000000001,0.76,0.74,0.76,0.74,2022-01-25 05:00:00,9,FTVIW
2524,0.708,0.7888000000000001,0.6701,0.7888000000000001,0.6701,2022-01-26 05:00:00,32,FTVIW
600,0.67,0.67,0.67,0.67,0.67,2022-01-27 05:00:00,3,FTVIW
1400,0.6204000000000001,0.6095,0.6478,0.6478,0.6095,2022-02-01 05:00:00,4,FTVIW
7903,0.7348,0.67,0.75,0.7505000000000001,0.67,2022-02-02 05:00:00,32,FTVIW
242682,0.6704,0.6501,0.6637000000000001,0.682,0.6501,2022-02-04 05:00:00,36,FTVIW
1400,0.75,0.75,0.75,0.7505000000000001,0.75,2022-02-07 05:00:00,8,FTVIW
6173,0.7493000000000001,0.73,0.76,0.76,0.73,2022-02-08 05:00:00,10,FTVIW
1500,0.8133,0.8200000000000001,0.8,0.8200000000000001,0.8,2022-02-09 05:00:00,5,FTVIW
5660,0.7357,0.81,0.67,0.81,0.67,2022-02-14 05:00:00,11,FTVIW
16600,0.6706000000000001,0.68,0.67,0.68,0.67,2022-02-15 05:00:00,25,FTVIW
1322,0.6564,0.65,0.65,0.67,0.65,2022-02-17 05:00:00,7,FTVIW
