volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
8697155,66.7398,67.26,67.0,67.36,66.1,2020-02-20 05:00:00,69275,GILD
22562012,68.9936,67.18,69.7,69.78,66.81,2020-02-21 05:00:00,141563,GILD
42905034,72.8337,73.885,72.9,74.52,71.59,2020-02-24 05:00:00,267175,GILD
39199212,70.4102,73.73,70.1,73.85,69.02,2020-02-25 05:00:00,260961,GILD
35415184,73.3342,71.32,74.7,75.47,70.72,2020-02-26 05:00:00,216410,GILD
51482511,75.0285,78.31,72.66,78.88,72.26,2020-02-27 05:00:00,374365,GILD
33804796,68.6698,70.17,69.36,71.08,66.63,2020-02-28 05:00:00,254619,GILD
31112986,73.1957,70.32,75.4,75.405,70.08,2020-03-02 05:00:00,219722,GILD
24481979,73.4759,74.27,74.21,74.82,71.51,2020-03-03 05:00:00,180635,GILD
23741669,75.1824,74.9,76.01,76.01,72.59,2020-03-04 05:00:00,170463,GILD
22727406,76.2675,75.0,76.13,77.5,74.53,2020-03-05 05:00:00,161151,GILD
31704662,78.5932,75.3189,80.22,80.3959,75.1,2020-03-06 05:00:00,242895,GILD
32839430,74.7853,77.92,73.52,78.1899,73.09,2020-03-09 04:00:00,259280,GILD
27659952,71.0967,75.51,72.34,75.56,68.78,2020-03-10 04:00:00,226416,GILD
32056873,73.9562,73.9,73.7,75.38,72.78,2020-03-11 04:00:00,253004,GILD
26364595,69.6411,70.44,68.58,72.865,67.88,2020-03-12 04:00:00,208821,GILD
30116086,70.095,71.93,70.75,72.0,67.5,2020-03-13 04:00:00,260108,GILD
26764609,69.4299,67.24,68.9,72.8,64.41,2020-03-16 04:00:00,196623,GILD
28823718,73.5912,70.0,74.52,76.0797,69.0,2020-03-17 04:00:00,237859,GILD
34965866,77.1187,73.61,79.42,80.0,72.97,2020-03-18 04:00:00,268908,GILD
46268223,81.9482,80.98,78.55,85.97,78.29,2020-03-19 04:00:00,354120,GILD
35110162,75.7842,79.5,73.26,81.6,72.17,2020-03-20 04:00:00,265223,GILD
19875221,72.4848,75.3,72.61,75.3,68.86,2020-03-23 04:00:00,179681,GILD
20608137,73.5642,75.13,73.96,75.83,72.11,2020-03-24 04:00:00,169217,GILD
24138069,71.1664,73.87,69.66,74.49,69.34,2020-03-25 04:00:00,187568,GILD
18366575,72.031,69.9,73.86,73.91,69.75,2020-03-26 04:00:00,144895,GILD
16521581,73.8171,73.71,72.85,75.39,71.91,2020-03-27 04:00:00,155679,GILD
15929392,75.4774,75.35,75.93,76.42,73.89,2020-03-30 04:00:00,126732,GILD
12120987,74.9192,75.95,74.76,76.33,73.79,2020-03-31 04:00:00,108268,GILD
12177608,72.8313,74.32,72.51,74.39,72.0,2020-04-01 04:00:00,112635,GILD
20482067,75.6836,71.81,76.98,77.48,71.38,2020-04-02 04:00:00,141395,GILD
19421772,78.1158,77.41,78.21,79.47,76.36,2020-04-03 04:00:00,141986,GILD
19101056,77.5025,79.24,77.73,79.65,75.88,2020-04-06 04:00:00,140944,GILD
19917872,74.5646,77.3,74.67,77.68,72.5,2020-04-07 04:00:00,176820,GILD
12215371,74.4297,74.73,74.99,75.13,73.57,2020-04-08 04:00:00,114441,GILD
12821062,73.4859,74.37,73.51,74.6025,72.95,2020-04-09 04:00:00,118031,GILD
16255637,74.7595,75.8,75.28,76.0,73.715,2020-04-13 04:00:00,135822,GILD
14379326,76.7721,75.98,77.75,77.85,75.34,2020-04-14 04:00:00,117621,GILD
11397411,75.0597,76.16,74.63,76.59,74.47,2020-04-15 04:00:00,102797,GILD
20935364,80.7571,74.84,76.54,76.96,74.45,2020-04-16 04:00:00,170156,GILD
94348495,83.4046,85.17,83.99,85.79,81.01,2020-04-17 04:00:00,656204,GILD
31003570,82.8618,82.99,81.26,85.18,80.65,2020-04-20 04:00:00,241614,GILD
19989360,79.7167,80.25,78.53,82.24,78.26,2020-04-21 04:00:00,168874,GILD
13987945,80.4446,79.58,81.31,81.56,78.81,2020-04-22 04:00:00,109707,GILD
65412340,78.4159,82.17,77.78,84.0,74.4,2020-04-23 04:00:00,443298,GILD
24440501,78.3317,77.1,79.64,80.15,76.25,2020-04-24 04:00:00,167118,GILD
14640727,79.3529,79.9,79.9,80.4,78.241,2020-04-27 04:00:00,106773,GILD
9778161,78.9516,79.89,78.67,80.07,78.08,2020-04-28 04:00:00,80808,GILD
78230230,83.2071,83.97,83.14,85.01,80.05,2020-04-29 04:00:00,538415,GILD
39332601,83.5239,85.47,84.0,85.67,81.33,2020-04-30 04:00:00,295527,GILD
34496926,79.6244,81.2,79.95,81.4,77.62,2020-05-01 04:00:00,290284,GILD
19202990,80.0849,81.6165,80.25,81.76,79.19,2020-05-04 04:00:00,162711,GILD
14925932,79.2292,79.33,79.14,79.835,78.51,2020-05-05 04:00:00,128871,GILD
12591869,77.8585,78.9,77.47,79.36,77.26,2020-05-06 04:00:00,106005,GILD
13491715,77.6899,77.9,77.61,78.43,76.81,2020-05-07 04:00:00,108959,GILD
10554683,77.4773,77.76,77.49,78.44,76.87,2020-05-08 04:00:00,94162,GILD
13322086,79.8724,77.77,80.8,80.92,77.6152,2020-05-11 04:00:00,104829,GILD
12140798,79.2049,80.21,77.95,80.48,77.91,2020-05-12 04:00:00,97327,GILD
11166292,77.9635,79.3,77.06,79.35,76.9,2020-05-13 04:00:00,99628,GILD
10711935,76.8181,76.55,77.23,77.81,75.83,2020-05-14 04:00:00,93216,GILD
12350773,76.2274,76.47,76.26,76.85,75.45,2020-05-15 04:00:00,89216,GILD
16609135,74.9557,76.46,74.76,76.5,73.86,2020-05-18 04:00:00,143962,GILD
14151975,73.3591,73.6735,72.34,74.85,72.3,2020-05-19 04:00:00,126055,GILD
13229450,73.4575,72.81,73.89,74.09,72.71,2020-05-20 04:00:00,102431,GILD
7193461,73.4601,73.4693,73.5,73.93,72.89,2020-05-21 04:00:00,68583,GILD
5868461,73.0801,73.09,73.34,73.49,72.7116,2020-05-22 04:00:00,54740,GILD
12308074,73.4583,73.98,73.18,74.3,72.41,2020-05-26 04:00:00,105932,GILD
11752331,73.9908,72.38,74.9,74.98,72.38,2020-05-27 04:00:00,100507,GILD
10517036,75.5731,74.99,75.32,76.17,74.91,2020-05-28 04:00:00,91718,GILD
24381897,77.1038,75.77,77.83,78.12,74.61,2020-05-29 04:00:00,99919,GILD
14677006,75.2522,75.47,75.16,76.9,74.38,2020-06-01 04:00:00,121998,GILD
16897922,73.5942,74.37,73.26,74.64,72.96,2020-06-02 04:00:00,120283,GILD
12654488,74.047,74.38,74.4,74.55,73.36,2020-06-03 04:00:00,99032,GILD
14740940,76.5507,74.12,77.54,78.18,73.94,2020-06-04 04:00:00,128263,GILD
11047082,76.9292,76.75,76.75,77.53,76.2,2020-06-05 04:00:00,103902,GILD
17972822,77.6094,79.3,76.97,79.31,76.73,2020-06-08 04:00:00,145332,GILD
7804283,77.4681,77.0,77.59,78.13,76.69,2020-06-09 04:00:00,65433,GILD
7790780,77.4935,77.8,77.07,78.39,76.88,2020-06-10 04:00:00,65862,GILD
12086174,73.8975,75.9445,72.84,76.21,72.75,2020-06-11 04:00:00,108487,GILD
8375593,72.8709,73.33,73.2,73.72,71.91,2020-06-12 04:00:00,84255,GILD
6420790,73.6106,73.26,73.97,74.47,72.41,2020-06-15 04:00:00,62676,GILD
9626874,74.8251,74.59,74.62,75.66,73.7,2020-06-16 04:00:00,84165,GILD
7534094,74.0773,74.53,73.76,74.81,73.65,2020-06-17 04:00:00,53847,GILD
5516087,73.8363,73.39,74.04,74.18,73.01,2020-06-18 04:00:00,45318,GILD
19322728,76.4671,74.52,77.47,78.0,74.1,2020-06-19 04:00:00,89822,GILD
8943039,75.835,76.48,75.67,76.75,75.04,2020-06-22 04:00:00,77193,GILD
7117136,75.3921,75.67,75.05,76.07,74.81,2020-06-23 04:00:00,59293,GILD
7982005,75.5991,74.9018,75.93,76.05,74.73,2020-06-24 04:00:00,65036,GILD
7172942,75.0971,75.8,75.49,75.8765,74.33,2020-06-25 04:00:00,63208,GILD
10389232,74.4338,75.1,74.57,75.37,73.73,2020-06-26 04:00:00,65484,GILD
8775267,75.1899,76.53,74.56,76.555,74.135,2020-06-29 04:00:00,79404,GILD
9402600,76.3083,74.34,76.94,77.16,73.91,2020-06-30 04:00:00,72549,GILD
7786921,76.4276,77.1,76.06,77.23,75.9,2020-07-01 04:00:00,68506,GILD
6380965,76.4183,76.31,76.35,77.09,75.65,2020-07-02 04:00:00,59134,GILD
7056597,76.9809,77.51,76.76,77.6622,76.07,2020-07-06 04:00:00,62153,GILD
5055744,76.5882,76.49,76.42,76.96,76.31,2020-07-07 04:00:00,47265,GILD
6293450,75.7514,76.7,75.61,77.0,74.93,2020-07-08 04:00:00,52168,GILD
5199791,74.8095,75.11,74.71,75.84,73.95,2020-07-09 04:00:00,52742,GILD
9553834,76.3041,76.1,76.32,76.85,75.52,2020-07-10 04:00:00,84733,GILD
9626602,77.2002,76.52,76.68,78.34,75.95,2020-07-13 04:00:00,83747,GILD
6904189,76.5941,76.21,77.19,77.35,75.44,2020-07-14 04:00:00,60778,GILD
