volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
434891,3.311,4.99,3.18,5.25,2.81,2021-12-02 05:00:00,2053,GRABW
342340,2.8875,3.18,2.6,3.36,2.5999,2021-12-03 05:00:00,1447,GRABW
270653,2.6286,2.69,2.65,2.96,2.51,2021-12-06 05:00:00,1244,GRABW
153291,2.7081,2.71,2.8200000000000003,2.8200000000000003,2.56,2021-12-07 05:00:00,601,GRABW
91586,2.6855,2.62,2.65,2.87,2.55,2021-12-08 05:00:00,347,GRABW
319701,2.4158,2.8200000000000003,2.5,2.8200000000000003,2.21,2021-12-09 05:00:00,1583,GRABW
381841,2.1053,2.48,2.09,2.48,2.01,2021-12-10 05:00:00,1796,GRABW
163308,1.9946000000000002,2.08,1.98,2.08,1.9500000000000002,2021-12-13 05:00:00,302,GRABW
242224,1.8863,2.0095,2.0,2.0095,1.76,2021-12-14 05:00:00,699,GRABW
52082,2.047,2.0,2.02,2.11,1.82,2021-12-15 05:00:00,255,GRABW
90300,2.0447,2.19,2.04,2.19,1.94,2021-12-16 05:00:00,214,GRABW
140669,2.0883,1.85,2.07,2.18,1.85,2021-12-17 05:00:00,331,GRABW
25251,1.9559000000000002,1.87,2.02,2.02,1.87,2021-12-20 05:00:00,116,GRABW
32711,1.9751,2.06,1.94,2.0686,1.9,2021-12-21 05:00:00,147,GRABW
53349,1.9233,2.0,1.88,2.0,1.8599999999999999,2021-12-22 05:00:00,220,GRABW
53620,1.9454,1.8399999999999999,1.92,2.15,1.8399999999999999,2021-12-23 05:00:00,202,GRABW
102928,1.9952,2.06,1.98,2.1,1.9300000000000002,2021-12-27 05:00:00,331,GRABW
111800,1.9665,2.08,1.99,2.1,1.9,2021-12-28 05:00:00,480,GRABW
78218,1.9393,2.02,1.9500000000000002,2.02,1.88,2021-12-29 05:00:00,208,GRABW
70301,2.017,2.0,2.05,2.05,1.97,2021-12-30 05:00:00,316,GRABW
51374,2.0678,2.04,2.11,2.14,1.9500000000000002,2021-12-31 05:00:00,355,GRABW
29181,2.0579,2.14,2.04,2.14,2.0,2022-01-03 05:00:00,99,GRABW
80056,2.0697,2.03,2.05,2.11,1.98,2022-01-04 05:00:00,211,GRABW
100661,1.8135,2.03,1.82,2.03,1.75,2022-01-05 05:00:00,410,GRABW
114863,1.6503999999999999,1.82,1.695,1.82,1.54,2022-01-06 05:00:00,291,GRABW
4451,1.7507000000000001,1.7121,1.78,1.78,1.7121,2022-01-07 05:00:00,26,GRABW
24162,1.6232,1.65,1.65,1.6992,1.58,2022-01-10 05:00:00,74,GRABW
30442,1.6960000000000002,1.75,1.69,1.77,1.56,2022-01-11 05:00:00,114,GRABW
17396,1.6817000000000002,1.77,1.69,1.83,1.6400000000000001,2022-01-12 05:00:00,103,GRABW
52521,1.6739000000000002,1.67,1.6701000000000001,1.71,1.65,2022-01-13 05:00:00,166,GRABW
94155,1.6534,1.6099999999999999,1.69,1.7399,1.58,2022-01-14 05:00:00,235,GRABW
53986,1.5487000000000002,1.53,1.5101,1.6800000000000002,1.5,2022-01-18 05:00:00,141,GRABW
81742,1.425,1.52,1.4,1.65,1.35,2022-01-19 05:00:00,301,GRABW
43551,1.4816,1.45,1.56,1.63,1.4,2022-01-20 05:00:00,177,GRABW
24587,1.4268,1.5,1.45,1.51,1.32,2022-01-21 05:00:00,183,GRABW
105047,1.2754,1.4,1.3,1.4399,1.22,2022-01-24 05:00:00,299,GRABW
17674,1.3287,1.25,1.4,1.47,1.25,2022-01-25 05:00:00,77,GRABW
69839,1.4871,1.4,1.6099999999999999,1.6099999999999999,1.4,2022-01-26 05:00:00,323,GRABW
26034,1.4964,1.53,1.5003000000000002,1.53,1.46,2022-01-27 05:00:00,57,GRABW
184269,1.2758,1.45,1.3,1.475,1.16,2022-01-28 05:00:00,747,GRABW
13628,1.3758,1.2999,1.38,1.4100000000000001,1.2999,2022-01-31 05:00:00,61,GRABW
6792,1.4231,1.44,1.42,1.44,1.4,2022-02-01 05:00:00,33,GRABW
5702,1.3628,1.42,1.335,1.445,1.3,2022-02-02 05:00:00,38,GRABW
18722,1.2908,1.3,1.32,1.32,1.2201,2022-02-03 05:00:00,82,GRABW
10928,1.332,1.23,1.3669,1.3669,1.23,2022-02-04 05:00:00,55,GRABW
3473,1.3811,1.4,1.4,1.4,1.3301,2022-02-07 05:00:00,26,GRABW
14719,1.3128,1.34,1.26,1.3900000000000001,1.24,2022-02-08 05:00:00,93,GRABW
7690,1.3251,1.26,1.4100000000000001,1.4100000000000001,1.26,2022-02-09 05:00:00,57,GRABW
66504,1.6589,1.4999,1.6099999999999999,1.79,1.4764,2022-02-10 05:00:00,296,GRABW
17377,1.451,1.6,1.46,1.6,1.4,2022-02-11 05:00:00,81,GRABW
13223,1.4722,1.425,1.49,1.5297,1.42,2022-02-14 05:00:00,66,GRABW
15138,1.495,1.47,1.5002,1.52,1.47,2022-02-15 05:00:00,65,GRABW
17407,1.5152999999999999,1.51,1.545,1.5495999999999999,1.47,2022-02-16 05:00:00,56,GRABW
3675,1.5093,1.505,1.5,1.53,1.4201000000000001,2022-02-17 05:00:00,29,GRABW
