volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
652,1.3073000000000001,1.28,1.3299,1.3299,1.28,2020-02-20 05:00:00,14,HBP
12663,1.3009,1.34,1.29,1.34,1.29,2020-02-21 05:00:00,29,HBP
12476,1.2993999999999999,1.29,1.3099,1.324,1.26,2020-02-24 05:00:00,23,HBP
27037,1.196,1.34,1.1801,1.34,1.13,2020-02-25 05:00:00,135,HBP
37497,1.1817,1.17,1.2,1.23,1.1400000000000001,2020-02-26 05:00:00,150,HBP
6199,1.1863000000000001,1.18,1.23,1.23,1.18,2020-02-27 05:00:00,55,HBP
8981,1.2677,1.23,1.34,1.34,1.224,2020-02-28 05:00:00,54,HBP
24681,1.3256999999999999,1.25,1.21,1.42,1.21,2020-03-02 05:00:00,104,HBP
24932,1.2545,1.19,1.34,1.4100000000000001,1.18,2020-03-03 05:00:00,125,HBP
15795,1.1979,1.29,1.15,1.29,1.1400000000000001,2020-03-04 05:00:00,100,HBP
69303,1.3931,1.15,1.28,1.65,1.0648,2020-03-05 05:00:00,327,HBP
16217,1.1874,1.3,1.13,1.3,1.13,2020-03-06 05:00:00,79,HBP
13005,1.1003,1.09,1.06,1.1401,1.06,2020-03-09 04:00:00,116,HBP
57516,0.9914000000000001,1.04,0.9301,1.1548,0.88,2020-03-10 04:00:00,130,HBP
95900,0.9664,0.91,0.998,1.04,0.864,2020-03-11 04:00:00,118,HBP
12484,0.8968,0.97,0.9480000000000001,0.98,0.8,2020-03-12 04:00:00,38,HBP
20820,0.912,0.9500000000000001,0.93,0.9500000000000001,0.8,2020-03-13 04:00:00,49,HBP
19112,0.8449000000000001,0.92,0.75,0.92,0.75,2020-03-16 04:00:00,130,HBP
12615,0.7801,0.72,0.85,0.906,0.6679,2020-03-17 04:00:00,86,HBP
22886,0.7799,0.79,0.68,0.88,0.68,2020-03-18 04:00:00,73,HBP
6374,0.7372000000000001,0.6950000000000001,0.6900000000000001,0.8280000000000001,0.6900000000000001,2020-03-19 04:00:00,34,HBP
57485,0.6687000000000001,0.7000000000000001,0.640199,0.7000000000000001,0.62,2020-03-20 04:00:00,104,HBP
28169,0.5751000000000001,0.7000000000000001,0.59,0.7000000000000001,0.493,2020-03-23 04:00:00,71,HBP
222482,0.6866,0.6900000000000001,0.6301,0.81,0.53,2020-03-24 04:00:00,234,HBP
208565,0.6792,0.6900000000000001,0.65985,0.701351,0.6063000000000001,2020-03-25 04:00:00,140,HBP
223683,0.6715,0.6928000000000001,0.7288,0.7468,0.5645,2020-03-26 04:00:00,164,HBP
103209,0.7158,0.71,0.7029000000000001,0.985,0.6553,2020-03-27 04:00:00,142,HBP
159523,0.7068,0.72,0.7000000000000001,0.8249000000000001,0.7000000000000001,2020-03-30 04:00:00,350,HBP
20362,0.7145,0.6401,0.7000000000000001,0.77,0.6401,2020-03-31 04:00:00,144,HBP
39160,0.7037,0.6556000000000001,0.7231000000000001,0.79,0.64,2020-04-01 04:00:00,231,HBP
26590,0.7012,0.6900000000000001,0.7000000000000001,0.76,0.68,2020-04-02 04:00:00,250,HBP
15301,0.6826,0.621,0.6557000000000001,0.76,0.621,2020-04-03 04:00:00,115,HBP
22063,0.709,0.768,0.7099000000000001,0.768,0.7000000000000001,2020-04-06 04:00:00,105,HBP
34953,0.7287,0.715,0.75,0.75,0.7000000000000001,2020-04-07 04:00:00,212,HBP
