volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
6122,1.2343,1.25,1.2,1.3,1.1999,2021-04-20 04:00:00,23,HIIIW
10602,0.8499,0.875,0.831295,0.875,0.831295,2021-04-23 04:00:00,48,HIIIW
28250,0.8022,0.84,0.772701,0.84,0.76,2021-04-26 04:00:00,88,HIIIW
271525,0.7472000000000001,0.75,0.75,0.75,0.739197,2021-04-27 04:00:00,286,HIIIW
21350,0.7267,0.7507,0.7201000000000001,0.7507,0.71,2021-04-28 04:00:00,107,HIIIW
399168,0.77,0.7201000000000001,0.77,0.779899,0.7201000000000001,2021-04-29 04:00:00,12,HIIIW
9200,0.8007000000000001,0.8299000000000001,0.775,0.84255,0.77,2021-04-30 04:00:00,51,HIIIW
31196,0.8924000000000001,0.8301000000000001,0.9001,1.0,0.8300000000000001,2021-05-03 04:00:00,72,HIIIW
10069,0.9199,0.93,0.91,0.9301,0.9,2021-05-06 04:00:00,60,HIIIW
99427,0.9839,0.91,1.0,1.01,0.91,2021-05-07 04:00:00,205,HIIIW
6250,1.1905000000000001,1.07,0.9761000000000001,1.345,0.9761000000000001,2021-05-10 04:00:00,39,HIIIW
14422,1.0001,1.0001,1.0,1.002,1.0,2021-05-11 04:00:00,11,HIIIW
34465,0.9054000000000001,1.0,0.93,1.0,0.9,2021-05-12 04:00:00,36,HIIIW
60950,0.8615,0.88,0.86,0.88,0.8166,2021-05-13 04:00:00,324,HIIIW
405,0.8594,0.86,0.86,0.86,0.86,2021-05-14 04:00:00,8,HIIIW
64382,0.8241,0.81,0.9103,1.08,0.785,2021-05-17 04:00:00,170,HIIIW
514,0.8935000000000001,0.8995000000000001,0.91,0.91,0.88,2021-05-18 04:00:00,10,HIIIW
1235,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.9400000000000001,2021-05-19 04:00:00,1,HIIIW
104391,0.8611000000000001,0.86,0.91,0.91,0.8501000000000001,2021-05-20 04:00:00,285,HIIIW
49847,0.8721,0.86,0.9500000000000001,1.02,0.86,2021-05-21 04:00:00,150,HIIIW
175,0.9514,0.9,0.9,0.9,0.9,2021-05-26 04:00:00,2,HIIIW
525,0.9152,0.9400000000000001,0.9,0.9400000000000001,0.9,2021-05-28 04:00:00,6,HIIIW
1057,0.9095000000000001,0.91,0.91,0.91,0.91,2021-06-01 04:00:00,2,HIIIW
2113,0.9414,0.9500000000000001,0.9400000000000001,0.9500000000000001,0.9400000000000001,2021-06-02 04:00:00,4,HIIIW
101,1.0,1.0,1.0,1.0,1.0,2021-06-11 04:00:00,1,HIIIW
171,1.02,1.02,1.02,1.02,1.02,2021-06-14 04:00:00,2,HIIIW
8640,1.1313,1.05,1.17,1.17,1.05,2021-06-18 04:00:00,26,HIIIW
14632,1.1281,1.16,1.18,1.18,1.1,2021-06-22 04:00:00,37,HIIIW
28922,1.1976,1.09,1.21,1.21,1.09,2021-06-25 04:00:00,26,HIIIW
15687,1.1556,1.23,1.155,1.25,1.13,2021-06-28 04:00:00,30,HIIIW
570,1.12,1.12,1.12,1.12,1.12,2021-06-29 04:00:00,3,HIIIW
85387,1.2702,1.12,1.16,1.28,1.11,2021-07-01 04:00:00,38,HIIIW
2502,1.23,1.25,1.24,1.25,1.2,2021-07-06 04:00:00,21,HIIIW
201,1.0677,1.03,1.104,1.104,1.03,2021-07-07 04:00:00,3,HIIIW
2165,1.3765,1.5,1.22,1.55,1.22,2021-07-12 04:00:00,17,HIIIW
3285,1.2146,1.24,1.21,1.24,1.18,2021-07-13 04:00:00,21,HIIIW
27501,1.274,1.1,1.3599999999999999,1.3599999999999999,1.05,2021-07-15 04:00:00,50,HIIIW
20793,1.1974,1.19,1.18,1.22,1.15,2021-07-19 04:00:00,31,HIIIW
1018,1.1,1.1,1.1,1.1,1.1,2021-07-22 04:00:00,1,HIIIW
2153,1.1356,1.15,1.11,1.15,1.11,2021-07-26 04:00:00,25,HIIIW
20479,1.0932,1.08,1.13,1.13,1.04,2021-07-27 04:00:00,308,HIIIW
4439,1.1202,1.08,1.1400000000000001,1.1400000000000001,1.075,2021-07-28 04:00:00,20,HIIIW
8059,1.1461999999999999,1.1400000000000001,1.19,1.19,1.01,2021-07-29 04:00:00,31,HIIIW
199,1.1011,1.1,1.1,1.1,1.1,2021-07-30 04:00:00,12,HIIIW
27748,1.0849,1.09,1.11,1.15,0.9551000000000001,2021-08-02 04:00:00,188,HIIIW
15966,1.0527,1.09,1.11,1.13,1.075,2021-08-03 04:00:00,46,HIIIW
2111,0.9576,1.0,1.0,1.0,0.8993,2021-08-04 04:00:00,28,HIIIW
47283,1.01,1.0,1.05,1.05,1.0,2021-08-05 04:00:00,13,HIIIW
39500,1.0002,1.03,1.0,1.03,1.0,2021-08-06 04:00:00,9,HIIIW
19741,1.0601,1.06,1.07,1.07,1.06,2021-08-09 04:00:00,6,HIIIW
102,1.1792,1.18,1.18,1.18,1.18,2021-08-10 04:00:00,2,HIIIW
157510,1.0131000000000001,1.01,1.06,1.06,0.9951000000000001,2021-08-11 04:00:00,19,HIIIW
21687,0.9857,1.06,1.04,1.11,0.9,2021-08-12 04:00:00,24,HIIIW
3204,0.9743,0.9751000000000001,0.97,1.05,0.9500000000000001,2021-08-16 04:00:00,35,HIIIW
1069,0.9775,0.97,0.99,0.99,0.97,2021-08-18 04:00:00,14,HIIIW
