volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1908.8571,31.7905,31.2025,32.69,33.95,30.45,2020-02-20 05:00:00,180,HSDT
1099.1143,31.4895,33.6,32.2,33.6,30.5375,2020-02-21 05:00:00,115,HSDT
1236.8286,32.102,33.1695,32.2,33.1695,30.45,2020-02-24 05:00:00,154,HSDT
1975.6286,31.941,31.6575,32.2,32.2,30.4535,2020-02-25 05:00:00,177,HSDT
604.6286,32.1195,32.004,31.57,32.9,31.15,2020-02-26 05:00:00,87,HSDT
1212.8286,30.1175,31.5,30.975,31.5,29.05,2020-02-27 05:00:00,108,HSDT
3020.8857,28.812,29.4,31.85,31.85,26.95,2020-02-28 05:00:00,287,HSDT
511.7714,30.6635,32.2,29.75,32.2,28.7,2020-03-02 05:00:00,67,HSDT
1434.2286,28.7455,29.75,28.6965,29.75,28.0,2020-03-03 05:00:00,204,HSDT
1482.8571,27.8005,28.35,26.425,29.75,26.425,2020-03-04 05:00:00,164,HSDT
30153.5143,26.2535,27.3,25.2,27.3,24.2235,2020-03-05 05:00:00,125,HSDT
1070.4571,25.4205,26.1345,25.9315,27.3,24.85,2020-03-06 05:00:00,97,HSDT
1103.5429,24.283,24.8535,23.38,25.249,23.1,2020-03-09 04:00:00,122,HSDT
6619.4286,20.4155,23.1,19.2885,25.9,18.2035,2020-03-10 04:00:00,470,HSDT
2777.6571,18.816,19.285,18.9035,19.8522,17.92,2020-03-11 04:00:00,196,HSDT
3981.6286,17.451,18.55,17.4755,21.525,15.785,2020-03-12 04:00:00,415,HSDT
5230.5143,17.416,19.25,16.45,20.3255,15.127,2020-03-13 04:00:00,339,HSDT
7669.3429,16.163,16.1,16.1,19.019,14.336,2020-03-16 04:00:00,548,HSDT
2732.4571,16.1665,17.5,15.953,17.5,15.4,2020-03-17 04:00:00,343,HSDT
24110.8571,11.466,13.125,10.5,14.0,9.1,2020-03-18 04:00:00,1879,HSDT
4805.4857,10.1185,10.5,10.5,10.843,9.135,2020-03-19 04:00:00,552,HSDT
19301.1714,10.7065,10.5,11.1125,11.2,9.8035,2020-03-20 04:00:00,1492,HSDT
17620.4571,10.836,10.92,10.9235,11.291,9.8,2020-03-23 04:00:00,1426,HSDT
25941.9429,11.417,11.2,10.85,11.9,10.15,2020-03-24 04:00:00,1649,HSDT
11789.6,10.7415,11.55,10.822,11.55,10.157,2020-03-25 04:00:00,1225,HSDT
39397.2,11.7425,10.85,11.725,12.467,10.626,2020-03-26 04:00:00,3311,HSDT
