volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
8914562,2.1429,2.33,1.52,2.68,1.3728,2020-06-24 04:00:00,33532,IPDN
3666846,2.7613000000000003,1.42,3.69,3.69,1.4,2020-06-25 04:00:00,13592,IPDN
2447608,2.9172000000000002,2.68,3.2,3.54,2.33,2020-06-26 04:00:00,7624,IPDN
2291586,3.425,2.8,3.36,3.98,2.7199999999999998,2020-06-29 04:00:00,6742,IPDN
761514,3.2913,3.5,2.86,3.6,2.8200000000000003,2020-06-30 04:00:00,2569,IPDN
242142,2.8444000000000003,2.81,2.9699999999999998,3.2,2.65,2020-07-01 04:00:00,692,IPDN
418522,2.991,3.06,2.88,3.1799,2.8,2020-07-02 04:00:00,1260,IPDN
304841,2.5516,2.87,2.33,2.88,2.33,2020-07-06 04:00:00,894,IPDN
90483,2.4121,2.32,2.3417,2.5899,2.32,2020-07-07 04:00:00,370,IPDN
230758,2.1486,2.29,2.06,2.33,2.05,2020-07-08 04:00:00,894,IPDN
90172,2.073,2.08,2.02,2.1968,1.98,2020-07-09 04:00:00,429,IPDN
168530,2.1559,1.98,2.21,2.27,1.98,2020-07-10 04:00:00,813,IPDN
270698,2.1247,2.18,1.94,2.4,1.9300000000000002,2020-07-13 04:00:00,1238,IPDN
60674,1.9144,2.03,1.8599999999999999,2.06,1.78,2020-07-14 04:00:00,322,IPDN
68816,1.9867,1.87,1.9500000000000002,2.09,1.87,2020-07-15 04:00:00,228,IPDN
217895,2.0229,1.9,1.96,2.14,1.79,2020-07-16 04:00:00,979,IPDN
36523,1.9536,2.15,1.88,2.15,1.88,2020-07-17 04:00:00,212,IPDN
73461,1.9624000000000001,1.88,1.92,2.12,1.8501,2020-07-20 04:00:00,321,IPDN
27158,1.9369,1.9100000000000001,1.88,2.03,1.88,2020-07-21 04:00:00,110,IPDN
86418,1.9278,1.87,1.81,2.07,1.8,2020-07-22 04:00:00,309,IPDN
25730,1.824,1.891,1.81,1.905,1.8,2020-07-23 04:00:00,101,IPDN
136536,1.9217,1.85,1.9300000000000002,2.09,1.8103,2020-07-24 04:00:00,551,IPDN
1361954,1.3723,1.85,1.33,1.85,1.18,2020-07-27 04:00:00,4215,IPDN
