volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
76283,7.0632,6.96,7.06,7.25,6.8306000000000004,2020-02-20 05:00:00,459,KERN
77040,7.1662,7.14,7.28,7.45,6.8714,2020-02-21 05:00:00,481,KERN
89318,6.991,7.16,7.12,7.23,6.5600000000000005,2020-02-24 05:00:00,503,KERN
164076,7.6336,7.24,7.67,7.87,7.24,2020-02-25 05:00:00,1093,KERN
82473,7.8164,7.65,7.89,7.99,7.55,2020-02-26 05:00:00,634,KERN
100927,7.4401,7.89,7.27,7.89,7.1,2020-02-27 05:00:00,918,KERN
105568,6.993,7.01,7.59,7.645,6.6,2020-02-28 05:00:00,883,KERN
116256,7.7839,7.6,8.27,8.35,7.51,2020-03-02 05:00:00,1048,KERN
110993,7.8966,8.37,7.36,8.43,7.25,2020-03-03 05:00:00,959,KERN
37080,7.7024,7.28,7.6,7.96,7.28,2020-03-04 05:00:00,321,KERN
25647,7.5747,7.61,7.45,7.8812,7.25,2020-03-05 05:00:00,282,KERN
39638,7.0882,7.33,6.91,7.33,6.91,2020-03-06 05:00:00,328,KERN
216781,5.3716,6.87,4.47,6.87,4.42,2020-03-09 04:00:00,1367,KERN
112629,5.04,5.0,4.9,5.31,4.75,2020-03-10 04:00:00,801,KERN
189588,6.0475,5.8,6.12,6.47,5.6,2020-03-11 04:00:00,1288,KERN
93435,5.5053,5.8,5.08,5.93,5.06,2020-03-12 04:00:00,664,KERN
91442,5.1044,5.48,5.07,5.48,4.9,2020-03-13 04:00:00,697,KERN
68404,4.4829,4.8100000000000005,4.16,4.8198,4.02,2020-03-16 04:00:00,597,KERN
68534,4.5207,4.38,4.7,4.7225,4.36,2020-03-17 04:00:00,571,KERN
76280,4.0448,4.5,4.0,4.6,3.75,2020-03-18 04:00:00,635,KERN
51341,4.289,4.09,4.36,4.69,3.7800000000000002,2020-03-19 04:00:00,454,KERN
92501,4.3856,4.61,4.03,4.72,4.03,2020-03-20 04:00:00,712,KERN
86840,3.8786,3.9699999999999998,4.07,4.08,3.74,2020-03-23 04:00:00,668,KERN
134047,4.3738,4.34,4.26,4.64,4.15,2020-03-24 04:00:00,823,KERN
156649,4.9435,4.18,5.04,5.48,4.01,2020-03-25 04:00:00,1212,KERN
204430,5.9266000000000005,5.29,5.97,6.43,5.2483,2020-03-26 04:00:00,1376,KERN
129708,5.3155,5.62,5.35,5.6795,5.01,2020-03-27 04:00:00,999,KERN
66881,5.0405,5.13,5.02,5.32,4.91,2020-03-30 04:00:00,459,KERN
34498,5.0675,5.0,5.12,5.5156,4.8001000000000005,2020-03-31 04:00:00,303,KERN
202919,5.4527,5.0,5.42,6.07,4.8,2020-04-01 04:00:00,1478,KERN
55701,5.5737,5.97,5.46,5.97,5.3,2020-04-02 04:00:00,597,KERN
35238,5.3608,5.49,5.35,5.83,5.29,2020-04-03 04:00:00,346,KERN
116427,6.0234,5.77,6.15,6.34,5.7543,2020-04-06 04:00:00,747,KERN
92113,6.5062,6.52,6.35,6.7,6.25,2020-04-07 04:00:00,767,KERN
124514,6.8658,6.5,7.1,7.1,6.37,2020-04-08 04:00:00,954,KERN
82003,7.2541,7.18,7.24,7.6,6.9136,2020-04-09 04:00:00,769,KERN
104389,7.8429,7.67,7.97,8.09,7.377,2020-04-13 04:00:00,962,KERN
84006,8.094,8.2,8.07,8.35,7.95,2020-04-14 04:00:00,778,KERN
98336,7.7747,8.0,7.76,8.19,7.57,2020-04-15 04:00:00,965,KERN
43227,7.7256,7.94,7.7,7.98,7.5,2020-04-16 04:00:00,553,KERN
47117,7.8213,7.89,7.86,8.0,7.511,2020-04-17 04:00:00,476,KERN
227458,8.0509,7.9,7.21,8.83,6.86,2020-04-20 04:00:00,1662,KERN
54240,7.526,6.91,7.48,7.74,6.91,2020-04-21 04:00:00,514,KERN
48296,7.7675,7.7,7.73,7.9,7.5866,2020-04-22 04:00:00,458,KERN
70021,8.1705,7.89,8.22,8.37,7.74,2020-04-23 04:00:00,668,KERN
66228,8.4313,8.3,8.24,8.7,8.22,2020-04-24 04:00:00,741,KERN
159781,8.9373,8.8,9.0,9.22,8.5201,2020-04-27 04:00:00,1090,KERN
93746,9.1389,9.2,9.05,9.4206,8.85,2020-04-28 04:00:00,1024,KERN
124510,8.8338,9.44,8.84,9.44,8.5,2020-04-29 04:00:00,1123,KERN
62756,8.3974,8.75,8.35,8.75,8.21,2020-04-30 04:00:00,779,KERN
257361,7.2282,8.08,7.29,8.08,6.8,2020-05-01 04:00:00,2212,KERN
70430,7.17,7.05,7.21,7.39,6.85,2020-05-04 04:00:00,664,KERN
64526,7.2301,7.37,7.2,7.4,7.11,2020-05-05 04:00:00,593,KERN
64939,7.3819,7.18,7.5,7.52,7.15,2020-05-06 04:00:00,614,KERN
44361,7.703,7.4,7.78,7.99,7.4,2020-05-07 04:00:00,552,KERN
116687,7.9926,7.98,7.87,8.33,7.8,2020-05-08 04:00:00,1088,KERN
55259,7.7698,7.87,7.74,8.0,7.5,2020-05-11 04:00:00,518,KERN
104367,7.7611,7.9,7.45,8.19,7.41,2020-05-12 04:00:00,772,KERN
62453,7.2059,7.4,7.43,7.47,7.0,2020-05-13 04:00:00,737,KERN
61808,7.0434,7.05,7.07,7.4,6.8100000000000005,2020-05-14 04:00:00,536,KERN
31122,7.1557,6.96,7.28,7.3,6.8100000000000005,2020-05-15 04:00:00,501,KERN
110560,7.5102,7.5,7.45,7.72,7.2461,2020-05-18 04:00:00,863,KERN
64932,7.8181,7.52,7.94,7.97,7.52,2020-05-19 04:00:00,618,KERN
31135,8.031,8.0,8.07,8.2,7.8609,2020-05-20 04:00:00,484,KERN
63994,7.8995,8.02,8.01,8.1683,7.66,2020-05-21 04:00:00,533,KERN
440731,8.7267,7.88,8.97,9.44,7.7732,2020-05-22 04:00:00,3008,KERN
420679,9.8372,9.3,10.06,10.655,9.0156,2020-05-26 04:00:00,2728,KERN
136248,10.3643,10.36,10.33,11.0,10.07,2020-05-27 04:00:00,1034,KERN
