volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
31573182,26.6855,25.24,26.83,29.03,24.32,2021-07-26 04:00:00,229209,LCID
16184064,25.9937,27.49,25.18,27.55,25.11,2021-07-27 04:00:00,126894,LCID
12580426,25.1066,25.7136,24.08,26.2,23.98,2021-07-28 04:00:00,90682,LCID
10494593,23.8122,24.54,23.35,24.6986,23.25,2021-07-29 04:00:00,88930,LCID
10844842,23.7441,22.9482,23.72,24.23,22.94,2021-07-30 04:00:00,75149,LCID
7894394,23.9542,24.1934,23.77,24.24,23.45,2021-08-02 04:00:00,58287,LCID
8579415,23.2751,23.93,23.58,23.95,22.955,2021-08-03 04:00:00,57992,LCID
7015099,22.9512,23.48,22.63,23.49,22.54,2021-08-04 04:00:00,65417,LCID
6511552,22.9071,22.92,22.75,23.29,22.7,2021-08-05 04:00:00,51220,LCID
7686486,23.4006,22.935,23.38,23.91,22.8,2021-08-06 04:00:00,53927,LCID
6489513,23.3794,23.4,23.5,23.62,23.03,2021-08-09 04:00:00,54583,LCID
11923635,24.4211,23.88,24.46,25.24,23.7,2021-08-10 04:00:00,85897,LCID
8009064,24.3451,24.97,24.47,25.0,24.02,2021-08-11 04:00:00,52717,LCID
7516851,24.0439,24.31,23.85,24.5,23.81,2021-08-12 04:00:00,48022,LCID
5877261,23.7142,23.71,23.48,24.25,23.42,2021-08-13 04:00:00,47082,LCID
7534740,22.6963,23.045,22.83,23.32,22.43,2021-08-16 04:00:00,72847,LCID
7076970,22.3895,22.24,22.56,22.77,22.13,2021-08-17 04:00:00,56403,LCID
5873884,22.468,22.93,22.55,22.93,22.1524,2021-08-18 04:00:00,51208,LCID
6413914,22.0291,22.18,21.71,22.61,21.51,2021-08-19 04:00:00,54374,LCID
5277663,21.7875,21.7508,21.67,22.1,21.6,2021-08-20 04:00:00,47999,LCID
7098570,21.7529,22.01,21.65,22.1095,21.42,2021-08-23 04:00:00,63026,LCID
10277871,22.5061,21.94,22.83,22.97,21.78,2021-08-24 04:00:00,64974,LCID
11667297,22.0461,22.25,21.81,22.5,21.77,2021-08-25 04:00:00,84516,LCID
9094854,21.6689,21.84,21.48,22.07,21.4,2021-08-26 04:00:00,70919,LCID
11926945,21.1896,21.45,21.03,21.53,20.9,2021-08-27 04:00:00,88339,LCID
14999202,20.2463,20.85,20.63,20.88,19.86,2021-08-30 04:00:00,130931,LCID
11454697,20.1721,20.28,19.96,20.68,19.92,2021-08-31 04:00:00,91259,LCID
149611887,17.3367,16.12,17.79,18.44,16.12,2021-09-01 04:00:00,923682,LCID
38521798,18.4406,18.44,18.66,18.919,18.0,2021-09-02 04:00:00,221234,LCID
25147802,19.2889,18.835,19.56,19.76,18.67,2021-09-03 04:00:00,145797,LCID
20110369,19.5768,19.8,19.89,19.95,19.01,2021-09-07 04:00:00,132882,LCID
20956100,19.1644,19.93,18.93,20.0259,18.7,2021-09-08 04:00:00,136716,LCID
21788593,19.7777,19.22,19.85,20.06,19.09,2021-09-09 04:00:00,126558,LCID
16229056,20.1978,20.1831,19.93,20.62,19.9,2021-09-10 04:00:00,107127,LCID
16181909,20.0614,20.265,20.06,20.59,19.66,2021-09-13 04:00:00,103371,LCID
24758520,19.057,19.19,18.95,19.74,18.7,2021-09-14 04:00:00,182479,LCID
32985870,19.7836,19.37,19.91,20.16,19.05,2021-09-15 04:00:00,160360,LCID
45927395,21.0963,20.845,21.17,21.6,20.36,2021-09-16 04:00:00,235543,LCID
104115605,22.9315,22.42,22.96,23.51,21.9033,2021-09-17 04:00:00,394483,LCID
68142971,23.3189,22.025,24.07,24.22,21.66,2021-09-20 04:00:00,323169,LCID
114795884,26.3735,24.78,26.81,27.93,24.57,2021-09-21 04:00:00,531414,LCID
87320505,25.903,27.735,24.95,28.21,24.28,2021-09-22 04:00:00,477974,LCID
38764878,25.3437,25.57,25.42,26.13,24.62,2021-09-23 04:00:00,197017,LCID
26633637,24.9995,25.26,25.43,25.66,24.3872,2021-09-24 04:00:00,151603,LCID
44696218,26.4527,25.86,25.89,27.27,25.7406,2021-09-27 04:00:00,248557,LCID
38136571,24.9903,25.97,24.54,26.41,24.15,2021-09-28 04:00:00,226596,LCID
120691832,27.0612,26.45,26.28,28.39,26.01,2021-09-29 04:00:00,600821,LCID
47539008,25.7641,27.1217,25.38,27.14,25.09,2021-09-30 04:00:00,258744,LCID
30696053,24.7444,25.51,24.61,25.75,24.21,2021-10-01 04:00:00,184685,LCID
28779609,24.104,24.76,24.14,25.03,23.535,2021-10-04 04:00:00,178911,LCID
21742706,24.2084,24.18,24.02,24.785,23.86,2021-10-05 04:00:00,120514,LCID
19270701,24.0758,23.55,24.29,24.55,23.41,2021-10-06 04:00:00,106600,LCID
17543525,24.3557,24.55,24.38,24.72,24.04,2021-10-07 04:00:00,103766,LCID
25915110,23.6513,24.32,23.23,24.53,23.0408,2021-10-08 04:00:00,181771,LCID
21974463,22.8983,23.63,22.87,23.64,22.68,2021-10-11 04:00:00,149553,LCID
23871710,23.0957,23.14,23.06,23.65,22.66,2021-10-12 04:00:00,125155,LCID
20437420,22.4837,22.85,22.59,23.02,22.11,2021-10-13 04:00:00,135448,LCID
20756120,23.4683,22.51,24.01,24.1,22.5,2021-10-14 04:00:00,124695,LCID
14891499,23.9272,23.84,24.08,24.2199,23.43,2021-10-15 04:00:00,92794,LCID
26253614,25.0334,23.99,25.34,25.66,23.97,2021-10-18 04:00:00,149624,LCID
16034672,24.811700000000002,25.41,24.73,25.61,24.48,2021-10-19 04:00:00,112600,LCID
15462937,24.6379,24.76,24.24,25.27,24.14,2021-10-20 04:00:00,108014,LCID
21810285,24.5329,24.3,24.46,25.05,24.04,2021-10-21 04:00:00,117389,LCID
16383975,23.7552,24.03,24.11,24.19,23.41,2021-10-22 04:00:00,118509,LCID
53941831,26.227,24.88,26.85,27.4,24.7021,2021-10-25 04:00:00,297451,LCID
40979455,27.0434,26.85,26.38,28.2,26.05,2021-10-26 04:00:00,237842,LCID
52224557,27.6783,27.69,27.02,28.94,26.73,2021-10-27 04:00:00,271664,LCID
377220783,34.481700000000004,28.54,35.48,39.78,28.08,2021-10-28 04:00:00,1821801,LCID
221097369,37.6684,38.25,36.99,41.6,35.43,2021-10-29 04:00:00,1296159,LCID
121435264,37.3678,39.995,36.53,40.17,35.73,2021-11-01 04:00:00,745505,LCID
75032517,34.1254,34.565,35.13,35.39,33.02,2021-11-02 04:00:00,472285,LCID
61133739,36.1929,34.23,36.545,37.38,34.23,2021-11-03 04:00:00,337415,LCID
40730351,36.8868,37.38,37.12,37.7,36.07,2021-11-04 04:00:00,260489,LCID
113881057,39.6083,37.5,41.8,41.92,36.17,2021-11-05 04:00:00,597531,LCID
154195405,45.2906,43.54,45.92,47.87,43.04,2021-11-08 05:00:00,971192,LCID
90177656,44.3122,47.48,44.78,48.04,42.15,2021-11-09 05:00:00,644794,LCID
79336000,42.2152,42.3,40.75,45.0,39.3405,2021-11-10 05:00:00,530507,LCID
69846270,44.2885,42.75,44.98,45.75,41.74,2021-11-11 05:00:00,418428,LCID
41015325,43.5862,44.0,43.93,45.19,42.74,2021-11-12 05:00:00,292251,LCID
77111001,44.7968,44.6,44.88,46.14,43.41,2021-11-15 05:00:00,504294,LCID
248654643,51.9698,49.93,55.52,55.68,46.5086,2021-11-16 05:00:00,1570481,LCID
198386225,54.31,56.2,52.55,57.75,50.31,2021-11-17 05:00:00,1483409,LCID
131634808,46.2326,49.03,47.05,49.67,43.0,2021-11-18 05:00:00,972048,LCID
166718435,52.0315,47.16,55.21,55.4,47.15,2021-11-19 05:00:00,993067,LCID
130761801,53.3092,53.035,51.12,57.44,50.08,2021-11-22 05:00:00,810126,LCID
87998830,51.831,51.675,52.44,54.33,49.52,2021-11-23 05:00:00,547900,LCID
