volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5016049,11.7952,12.75,11.76,13.52,10.3601,2021-10-14 04:00:00,28311,LUCD
1121890,10.7929,11.63,9.35,11.9799,9.2994,2021-10-15 04:00:00,8018,LUCD
528106,9.5036,9.7,9.35,9.843,9.22,2021-10-18 04:00:00,4393,LUCD
316752,9.5093,9.29,9.43,9.74,9.2001,2021-10-19 04:00:00,1924,LUCD
297301,9.4053,9.5,9.53,9.6569,9.1,2021-10-20 04:00:00,1473,LUCD
294494,10.2058,9.6,10.75,10.75,9.5378,2021-10-21 04:00:00,1693,LUCD
119435,10.7089,10.62,10.89,10.95,10.01,2021-10-22 04:00:00,1292,LUCD
135982,10.955400000000001,10.65,10.89,11.12,10.421,2021-10-25 04:00:00,1233,LUCD
221476,10.2875,10.89,9.9,11.0,9.6,2021-10-26 04:00:00,1765,LUCD
140715,9.7983,10.07,9.31,10.72,9.23,2021-10-27 04:00:00,1227,LUCD
224396,9.6811,9.59,10.07,10.09,9.44,2021-10-28 04:00:00,1622,LUCD
189432,9.7798,9.82,9.97,10.15,9.32,2021-10-29 04:00:00,1696,LUCD
360783,9.3329,9.93,9.6,10.23,8.91,2021-11-01 04:00:00,2623,LUCD
109324,9.3308,9.58,9.36,9.58,9.1,2021-11-02 04:00:00,1292,LUCD
113106,9.3782,9.29,9.54,9.54,9.161,2021-11-03 04:00:00,910,LUCD
167607,9.6359,9.55,9.99,9.99,9.3957,2021-11-04 04:00:00,1494,LUCD
95859,9.7587,9.9,9.52,10.1,9.52,2021-11-05 04:00:00,1038,LUCD
296623,10.1086,9.75,10.15,10.46,9.75,2021-11-08 05:00:00,2930,LUCD
227352,10.1813,10.58,10.12,10.6311,9.99,2021-11-09 05:00:00,2009,LUCD
455600,9.6439,10.25,9.56,10.62,8.8,2021-11-10 05:00:00,4075,LUCD
181859,9.6087,9.91,9.66,9.9659,9.31,2021-11-11 05:00:00,2226,LUCD
91084,9.7489,9.75,9.78,9.9699,9.6101,2021-11-12 05:00:00,1159,LUCD
189566,10.1416,9.95,10.44,10.59,9.67,2021-11-15 05:00:00,2083,LUCD
162633,10.3979,10.82,10.46,10.9,10.111,2021-11-16 05:00:00,1661,LUCD
555741,9.0679,9.73,9.19,9.8499,8.1637,2021-11-17 05:00:00,6939,LUCD
157239,9.7997,9.33,10.06,10.07,9.2501,2021-11-18 05:00:00,2035,LUCD
228274,9.6838,10.0,9.42,10.0075,9.05,2021-11-19 05:00:00,2914,LUCD
362559,8.2332,9.68,7.98,9.68,7.37,2021-11-22 05:00:00,4714,LUCD
229364,7.9275,7.8100000000000005,7.99,8.18,7.5600000000000005,2021-11-23 05:00:00,3418,LUCD
130390,8.0924,8.02,8.23,8.24,7.755,2021-11-24 05:00:00,1695,LUCD
95777,8.2233,8.09,8.44,8.49,7.9,2021-11-26 05:00:00,1094,LUCD
159663,8.1971,8.52,7.96,8.54,7.9,2021-11-29 05:00:00,2776,LUCD
205517,7.4791,7.91,7.71,8.3899,7.085,2021-11-30 05:00:00,2568,LUCD
114530,7.7035,7.76,7.67,7.9799,7.47,2021-12-01 05:00:00,1513,LUCD
167989,7.1625,7.58,7.19,7.725,6.95,2021-12-02 05:00:00,2264,LUCD
176590,6.7276,7.26,7.19,7.295,6.34,2021-12-03 05:00:00,2462,LUCD
245061,6.5609,7.29,7.0,7.29,6.25,2021-12-06 05:00:00,3211,LUCD
231040,7.1078,6.98,7.14,7.289,6.805,2021-12-07 05:00:00,3525,LUCD
134658,7.2342,7.32,7.1,7.465,7.001,2021-12-08 05:00:00,1770,LUCD
88032,6.8439,7.09,6.74,7.09,6.62,2021-12-09 05:00:00,1201,LUCD
166838,6.5829,6.95,6.62,7.0,6.27,2021-12-10 05:00:00,2236,LUCD
324107,5.9503,6.68,6.0,6.68,5.7,2021-12-13 05:00:00,3064,LUCD
163625,5.7327,5.98,5.62,6.0,5.49,2021-12-14 05:00:00,2273,LUCD
270532,5.6074,5.5,5.75,5.95,5.17,2021-12-15 05:00:00,3070,LUCD
203466,5.5567,5.85,5.5600000000000005,5.85,5.35,2021-12-16 05:00:00,2738,LUCD
694846,5.114,5.5,5.0,5.5600000000000005,4.97,2021-12-17 05:00:00,4165,LUCD
255245,4.8625,4.93,4.97,5.0699,4.61,2021-12-20 05:00:00,3185,LUCD
355690,5.01,5.0,5.0,5.29,4.85,2021-12-21 05:00:00,2605,LUCD
260871,4.8307,5.06,5.0,5.21,4.64,2021-12-22 05:00:00,2399,LUCD
206490,4.9239,5.0,4.92,5.0,4.8,2021-12-23 05:00:00,1520,LUCD
1632259,5.3997,5.33,5.23,5.87,5.15,2021-12-27 05:00:00,8868,LUCD
445639,4.9475,5.27,4.87,5.31,4.82,2021-12-28 05:00:00,3258,LUCD
386692,4.8661,4.9,4.9,5.04,4.63,2021-12-29 05:00:00,2687,LUCD
292586,5.0962,4.9,5.18,5.32,4.8100000000000005,2021-12-30 05:00:00,1986,LUCD
233729,5.3524,5.21,5.37,5.49,5.2095,2021-12-31 05:00:00,2291,LUCD
500701,5.2838,5.45,5.24,5.53,5.19,2022-01-03 05:00:00,2293,LUCD
165380,5.056,5.25,5.05,5.276,4.95,2022-01-04 05:00:00,1211,LUCD
