volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1518458,262.6023,262.93,263.68,266.2,258.75,2020-02-20 05:00:00,24405,LULU
1588000,257.3816,263.0,255.9,265.1,253.8001,2020-02-21 05:00:00,26902,LULU
1874983,244.4148,245.39,246.21,247.87,235.69,2020-02-24 05:00:00,34481,LULU
1550902,241.9191,248.38,238.81,250.4478,237.05,2020-02-25 05:00:00,28959,LULU
1219290,239.7521,239.15,238.56,244.13,237.04,2020-02-26 05:00:00,21058,LULU
2834887,227.1438,230.44,220.7,232.48,220.21,2020-02-27 05:00:00,43745,LULU
3748400,213.296,210.0,217.41,217.7,208.9,2020-02-28 05:00:00,60141,LULU
2333880,223.0152,219.19,228.9,229.21,216.486,2020-03-02 05:00:00,41501,LULU
3570747,230.2137,228.87,227.13,235.42,225.955,2020-03-03 05:00:00,45975,LULU
1723700,226.5773,231.51,231.62,232.88,221.235,2020-03-04 05:00:00,27075,LULU
2005034,220.9876,225.4,221.19,227.38,216.15,2020-03-05 05:00:00,39713,LULU
2494816,217.3411,213.26,218.55,223.35,212.235,2020-03-06 05:00:00,40207,LULU
2288665,202.5305,202.0,199.77,208.33,194.24,2020-03-09 04:00:00,34180,LULU
2273975,202.3461,206.37,204.12,206.99,197.1108,2020-03-10 04:00:00,33393,LULU
2116125,196.5221,199.39,193.74,201.49,191.39,2020-03-11 04:00:00,33469,LULU
3906790,172.2614,179.45,169.13,180.33,167.331,2020-03-12 04:00:00,54850,LULU
2933296,170.3445,175.9,176.75,176.79,162.3201,2020-03-13 04:00:00,45472,LULU
4568155,145.5535,155.49,138.98,155.89,138.29,2020-03-16 04:00:00,61318,LULU
3764726,144.8974,141.7,144.88,156.8,136.0853,2020-03-17 04:00:00,55613,LULU
3809564,135.1696,135.12,140.36,140.64,128.845,2020-03-18 04:00:00,45876,LULU
2989605,152.4189,136.33,154.86,162.7799,136.33,2020-03-19 04:00:00,40650,LULU
5337995,169.9144,163.51,165.01,182.53,162.6,2020-03-20 04:00:00,57745,LULU
4208466,170.929,165.55,172.3,180.3565,165.05,2020-03-23 04:00:00,54678,LULU
2912891,188.8469,183.25,192.74,194.9,180.1,2020-03-24 04:00:00,45329,LULU
3336430,197.4143,195.5,193.62,202.86,192.43,2020-03-25 04:00:00,41676,LULU
4135619,197.6197,197.05,200.8,202.84,189.05,2020-03-26 04:00:00,50627,LULU
3572149,190.048,192.5,188.84,195.55,184.0555,2020-03-27 04:00:00,51402,LULU
2197773,191.9636,188.5,193.94,196.96,183.03,2020-03-30 04:00:00,34225,LULU
2029234,190.0485,193.03,189.55,194.2015,188.19,2020-03-31 04:00:00,30468,LULU
1767758,183.5748,181.53,183.5,187.28,181.53,2020-04-01 04:00:00,27472,LULU
2311307,182.3741,182.0,185.49,185.5,177.77,2020-04-02 04:00:00,30170,LULU
2208530,181.2754,184.71,181.25,184.765,179.1,2020-04-03 04:00:00,27849,LULU
2479110,192.5355,188.22,194.95,195.7,185.75,2020-04-06 04:00:00,35127,LULU
2228471,198.3505,202.48,194.92,203.44,194.7,2020-04-07 04:00:00,31789,LULU
1243327,196.9821,196.8,196.01,200.5,194.33,2020-04-08 04:00:00,21956,LULU
1898353,202.7435,199.64,203.51,206.0,198.48,2020-04-09 04:00:00,28940,LULU
1008804,199.8002,202.76,199.27,203.44,197.66,2020-04-13 04:00:00,16751,LULU
1842423,204.9401,203.72,205.18,206.77,201.58,2020-04-14 04:00:00,22616,LULU
1888859,205.1119,200.2,207.95,208.5,199.6,2020-04-15 04:00:00,26623,LULU
2187037,209.9159,210.0,209.19,214.425,207.68,2020-04-16 04:00:00,31532,LULU
3555221,221.294,215.25,225.86,226.42,213.52,2020-04-17 04:00:00,43255,LULU
2086396,219.8245,222.793,218.59,224.51,216.79,2020-04-20 04:00:00,30017,LULU
2145157,210.3843,215.0,206.72,216.55,206.5,2020-04-21 04:00:00,30420,LULU
1350531,211.9453,210.91,212.09,214.22,210.01,2020-04-22 04:00:00,16579,LULU
1102585,213.3245,212.39,211.64,216.72,210.42,2020-04-23 04:00:00,18163,LULU
1521031,214.7827,213.76,214.55,216.5,212.1,2020-04-24 04:00:00,20295,LULU
2227548,224.4478,217.6,226.89,227.87,216.38,2020-04-27 04:00:00,27220,LULU
1340443,226.6172,231.3,224.47,231.95,224.1901,2020-04-28 04:00:00,23201,LULU
1393263,232.6574,229.84,232.43,237.49,227.51,2020-04-29 04:00:00,21651,LULU
1591228,225.8797,229.72,223.48,231.55,223.48,2020-04-30 04:00:00,23137,LULU
1744561,218.145,219.11,218.69,220.46,216.2,2020-05-01 04:00:00,24052,LULU
1059842,217.1318,215.08,218.69,218.84,213.97,2020-05-04 04:00:00,17070,LULU
1298956,218.5503,221.72,218.21,222.0,216.1835,2020-05-05 04:00:00,22399,LULU
1229909,222.9449,218.99,223.18,225.0,218.97,2020-05-06 04:00:00,19595,LULU
1700630,224.7693,224.53,225.99,228.59,220.57,2020-05-07 04:00:00,23030,LULU
2037708,234.5448,229.0,237.99,238.32,228.5001,2020-05-08 04:00:00,29396,LULU
1952128,242.15,237.57,245.62,246.84,234.53,2020-05-11 04:00:00,32766,LULU
1924551,246.2868,247.07,242.6,248.75,242.34,2020-05-12 04:00:00,29899,LULU
2240090,231.971,242.25,229.39,243.1,225.89,2020-05-13 04:00:00,37870,LULU
1453668,233.0573,226.56,237.57,237.74,225.81,2020-05-14 04:00:00,26515,LULU
1751147,243.1514,234.89,247.09,247.54,234.01,2020-05-15 04:00:00,27699,LULU
2319111,255.6606,253.7328,255.65,259.61,252.03,2020-05-18 04:00:00,31539,LULU
1480513,253.8617,256.89,251.41,257.38,251.03,2020-05-19 04:00:00,22728,LULU
1095930,257.7211,256.1,258.38,259.6,255.18,2020-05-20 04:00:00,19314,LULU
1808432,264.0592,259.37,267.53,268.265,257.565,2020-05-21 04:00:00,28378,LULU
2073940,273.6263,268.7,276.73,277.02,267.02,2020-05-22 04:00:00,33261,LULU
2118784,281.4827,282.55,281.41,284.92,279.31,2020-05-26 04:00:00,32734,LULU
2159041,277.8627,281.38,281.5,282.9,271.6,2020-05-27 04:00:00,37517,LULU
2309327,286.086,281.47,284.42,291.31,277.52,2020-05-28 04:00:00,38344,LULU
4877279,295.6635,285.91,300.095,301.49,284.1502,2020-05-29 04:00:00,58265,LULU
2391920,306.3266,299.77,308.69,310.22,297.25,2020-06-01 04:00:00,40097,LULU
2871989,309.8813,305.51,312.3,314.87,302.0101,2020-06-02 04:00:00,46432,LULU
2760314,319.6575,313.06,323.74,324.7,312.5001,2020-06-03 04:00:00,43808,LULU
2751968,318.3304,321.5,317.42,323.52,313.5,2020-06-04 04:00:00,46767,LULU
2385335,319.9831,319.16,319.78,323.8,317.0,2020-06-05 04:00:00,37677,LULU
2586733,315.5478,322.06,315.3,322.625,312.73,2020-06-08 04:00:00,42338,LULU
2375172,314.3799,313.2,316.4,318.9,307.8,2020-06-09 04:00:00,42458,LULU
1746789,322.0778,318.6,323.25,324.76,316.5401,2020-06-10 04:00:00,33799,LULU
3659551,308.1048,314.37,308.12,321.1,306.63,2020-06-11 04:00:00,66119,LULU
7634471,296.9077,302.84,296.36,308.38,289.55,2020-06-12 04:00:00,118144,LULU
2258670,297.8272,289.17,303.05,303.25,288.61,2020-06-15 04:00:00,38572,LULU
2107915,309.2133,310.79,310.61,312.802,303.27,2020-06-16 04:00:00,36700,LULU
1720259,307.6238,313.0,303.69,313.83,302.57,2020-06-17 04:00:00,30796,LULU
1573742,302.1331,303.99,302.98,305.66,299.0,2020-06-18 04:00:00,28066,LULU
2299817,299.3974,306.98,297.38,307.01,295.29,2020-06-19 04:00:00,31346,LULU
1580329,301.9499,298.01,304.69,306.57,293.85,2020-06-22 04:00:00,31568,LULU
1392147,304.5152,308.01,301.16,310.2136,300.73,2020-06-23 04:00:00,24860,LULU
1595010,295.3192,299.48,295.22,303.15,290.52,2020-06-24 04:00:00,29786,LULU
1268020,293.0021,294.3,295.13,295.26,288.5,2020-06-25 04:00:00,24433,LULU
1700776,291.0223,293.8,289.53,295.1,288.11,2020-06-26 04:00:00,26478,LULU
1860889,292.5889,290.11,294.35,295.67,284.29,2020-06-29 04:00:00,31949,LULU
5473598,311.3605,305.0,312.01,318.3236,304.2,2020-06-30 04:00:00,80619,LULU
1767472,310.28,314.5,308.62,316.99,306.355,2020-07-01 04:00:00,36667,LULU
1885128,306.2339,312.15,304.77,312.5917,302.4954,2020-07-02 04:00:00,32962,LULU
2557866,313.4684,309.0,314.35,316.12,308.6,2020-07-06 04:00:00,35815,LULU
1337039,310.2664,313.12,306.74,313.13,306.31,2020-07-07 04:00:00,26008,LULU
1269632,309.2492,310.88,309.88,311.25,306.575,2020-07-08 04:00:00,22016,LULU
3287280,312.2968,309.8,315.2,319.1099,303.68,2020-07-09 04:00:00,56123,LULU
1755644,311.6715,316.64,314.39,317.97,308.12,2020-07-10 04:00:00,33861,LULU
2212276,313.048,316.75,305.15,321.82,304.539,2020-07-13 04:00:00,40067,LULU
2051186,302.8465,303.53,308.32,309.445,295.01,2020-07-14 04:00:00,38487,LULU
1653998,309.9139,308.5944,312.51,314.0,304.14,2020-07-15 04:00:00,27524,LULU
1185609,311.4601,308.5,313.08,315.21,306.78,2020-07-16 04:00:00,22446,LULU
1674044,316.0953,315.02,316.82,319.04,310.86,2020-07-17 04:00:00,25075,LULU
1996945,325.5724,319.14,326.84,329.85,317.0,2020-07-20 04:00:00,38468,LULU
1471644,326.6495,330.36,325.39,330.9,324.07,2020-07-21 04:00:00,25226,LULU
901577,325.8746,325.89,326.72,329.484,322.534,2020-07-22 04:00:00,21651,LULU
2592475,326.7339,327.16,320.01,337.5673,316.0,2020-07-23 04:00:00,42369,LULU
1442306,320.9852,316.26,321.5,325.71,313.62,2020-07-24 04:00:00,26142,LULU
2029300,328.3291,324.28,331.55,333.18,323.04,2020-07-27 04:00:00,29130,LULU
1534178,326.024,331.22,322.64,333.8799,321.91,2020-07-28 04:00:00,28123,LULU
1318780,326.5864,322.2,325.74,329.5,321.5,2020-07-29 04:00:00,20296,LULU
1225433,322.6854,322.3,323.66,325.38,316.99,2020-07-30 04:00:00,20832,LULU
1282629,322.8835,326.17,325.59,326.2753,319.6,2020-07-31 04:00:00,21854,LULU
1362549,328.6389,327.99,328.59,331.17,324.01,2020-08-03 04:00:00,21270,LULU
1044557,327.9129,327.93,328.21,330.39,324.3201,2020-08-04 04:00:00,18644,LULU
2188813,339.023,330.94,340.42,343.59,328.265,2020-08-05 04:00:00,38863,LULU
1153164,338.9134,342.32,339.18,343.09,334.12,2020-08-06 04:00:00,24784,LULU
1580595,340.88,339.08,342.12,343.74,336.51,2020-08-07 04:00:00,27902,LULU
1612043,343.3162,342.47,344.32,347.354,337.3928,2020-08-10 04:00:00,26620,LULU
1518772,339.238,344.32,335.37,344.7802,334.87,2020-08-11 04:00:00,26378,LULU
1294837,343.4922,338.0,345.33,346.43,337.79,2020-08-12 04:00:00,22812,LULU
1439644,350.9085,349.99,350.29,354.59,346.27,2020-08-13 04:00:00,26314,LULU
877284,348.7853,350.15,349.12,351.69,345.03,2020-08-14 04:00:00,19183,LULU
729695,353.8888,350.49,354.87,355.82,350.0,2020-08-17 04:00:00,15238,LULU
1012956,358.1541,358.07,358.78,360.77,352.4549,2020-08-18 04:00:00,21976,LULU
920752,361.4475,360.58,360.84,364.89,356.17,2020-08-19 04:00:00,19259,LULU
1078403,364.8146,358.18,366.42,367.94,356.3,2020-08-20 04:00:00,21486,LULU
847465,367.7575,367.45,368.75,369.77,364.55,2020-08-21 04:00:00,18328,LULU
1565566,374.4534,372.2,376.31,377.84,369.395,2020-08-24 04:00:00,26716,LULU
1064280,377.6664,376.51,378.5,380.5896,372.21,2020-08-25 04:00:00,23253,LULU
1021812,380.6122,381.41,381.5,383.2,376.67,2020-08-26 04:00:00,23753,LULU
1694124,378.3441,384.0,374.84,384.05,373.892,2020-08-27 04:00:00,32988,LULU
1257397,378.3059,377.0,377.48,380.92,376.13,2020-08-28 04:00:00,24136,LULU
1672043,376.5754,377.5,375.67,379.31,372.5,2020-08-31 04:00:00,28956,LULU
1364372,384.9171,376.6,391.16,391.38,373.56,2020-09-01 04:00:00,30901,LULU
1631250,394.9788,398.11,398.29,399.8965,387.075,2020-09-02 04:00:00,32327,LULU
2412878,383.4063,393.39,377.87,396.83,376.37,2020-09-03 04:00:00,49570,LULU
3111650,360.0862,372.39,361.41,376.4,345.9703,2020-09-04 04:00:00,60619,LULU
3512467,352.5177,351.01,349.8,365.0,348.5,2020-09-08 04:00:00,69744,LULU
8543121,321.393,334.83,323.93,334.92,315.25,2020-09-09 04:00:00,139087,LULU
3416632,327.4679,326.9,320.0,336.2798,317.67,2020-09-10 04:00:00,66356,LULU
3090369,314.2163,322.9966,313.39,322.9966,308.63,2020-09-11 04:00:00,57186,LULU
1775569,313.8568,315.99,313.82,317.75,311.13,2020-09-14 04:00:00,36276,LULU
1836695,315.866,318.33,315.49,319.0,312.68,2020-09-15 04:00:00,36974,LULU
1691976,312.4604,316.32,309.99,317.43,309.58,2020-09-16 04:00:00,37728,LULU
2258120,304.4921,304.15,303.11,308.8385,301.55,2020-09-17 04:00:00,43337,LULU
3042766,296.134,304.73,294.76,304.8,290.57,2020-09-18 04:00:00,56627,LULU
