volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4217769,47.9797,45.51,49.0,52.83,43.25,2020-12-18 05:00:00,31710,MASS
1035657,54.8962,56.81,50.51,62.0,50.35,2020-12-21 05:00:00,18182,MASS
744574,55.753,52.12,56.29,59.75,51.2901,2020-12-22 05:00:00,9459,MASS
601591,62.2651,56.92,61.79,69.27,56.92,2020-12-23 05:00:00,9592,MASS
393574,67.714,64.6,67.92,71.11,64.6,2020-12-24 05:00:00,5155,MASS
631335,67.6098,72.0,66.86,74.0,59.24,2020-12-28 05:00:00,8940,MASS
413282,57.9229,62.75,55.98,64.91,55.7898,2020-12-29 05:00:00,6667,MASS
392989,56.8229,57.7,60.38,60.38,54.4,2020-12-30 05:00:00,3951,MASS
208488,56.5077,58.61,56.95,59.42,54.51,2020-12-31 05:00:00,3379,MASS
417344,53.8524,55.21,54.71,57.49,51.05,2021-01-04 05:00:00,4139,MASS
153306,58.0561,54.0,57.9,60.93,52.3601,2021-01-05 05:00:00,2604,MASS
242023,56.3685,56.98,55.85,57.53,54.49,2021-01-06 05:00:00,2955,MASS
222212,54.2109,54.86,54.81,55.75,52.12,2021-01-07 05:00:00,3972,MASS
286695,53.0265,55.01,52.91,55.195,51.06,2021-01-08 05:00:00,5084,MASS
255176,55.731700000000004,52.58,56.63,58.95,51.5135,2021-01-11 05:00:00,3219,MASS
215100,57.5993,57.42,57.14,59.33,56.16,2021-01-12 05:00:00,2494,MASS
264642,58.4417,57.59,57.59,60.5,57.08,2021-01-13 05:00:00,2805,MASS
271592,61.813,58.04,61.41,63.92,57.14,2021-01-14 05:00:00,3667,MASS
165824,60.3724,61.0,62.45,62.81,57.43,2021-01-15 05:00:00,3080,MASS
141563,64.9488,62.22,64.9,67.44,62.22,2021-01-19 05:00:00,3658,MASS
165826,65.7017,65.59,65.38,68.7699,64.9,2021-01-20 05:00:00,2952,MASS
194594,62.8475,65.0,62.5,65.37,60.73,2021-01-21 05:00:00,3342,MASS
206270,64.6693,61.88,65.45,66.26,60.92,2021-01-22 05:00:00,3133,MASS
162113,65.0169,64.63,63.93,67.86,63.0278,2021-01-25 05:00:00,2499,MASS
234246,59.8681,64.28,57.71,64.28,57.5,2021-01-26 05:00:00,3401,MASS
320847,53.6014,56.3,53.65,56.5368,50.75,2021-01-27 05:00:00,4968,MASS
237444,54.5904,53.97,55.03,55.89,53.65,2021-01-28 05:00:00,2681,MASS
257122,55.8904,54.98,55.11,57.996,53.31,2021-01-29 05:00:00,2342,MASS
117200,54.9694,55.81,54.84,56.36,53.9,2021-02-01 05:00:00,1849,MASS
382382,61.1489,55.29,63.55,64.86,55.29,2021-02-02 05:00:00,4544,MASS
279901,67.3853,63.89,66.32,69.99,63.5,2021-02-03 05:00:00,3753,MASS
213600,70.5054,66.31,68.5,73.665,66.3,2021-02-04 05:00:00,3444,MASS
308187,69.138,68.47,68.0,70.495,66.032,2021-02-05 05:00:00,3420,MASS
323666,72.6313,68.8,71.52,75.3399,68.4,2021-02-08 05:00:00,5095,MASS
314613,75.4264,72.76,74.8,79.6,72.13,2021-02-09 05:00:00,3691,MASS
439085,66.8254,75.93,68.41,77.35,63.33,2021-02-10 05:00:00,5114,MASS
131872,68.6476,68.5,70.65,70.9,66.37,2021-02-11 05:00:00,2378,MASS
123398,71.5056,70.54,73.15,73.2,69.13,2021-02-12 05:00:00,1697,MASS
207940,74.9647,74.04,75.0,76.4898,73.69,2021-02-16 05:00:00,3450,MASS
203919,72.8392,74.01,71.85,75.045,70.33,2021-02-17 05:00:00,3552,MASS
211573,64.8256,70.69,64.2,70.69,61.96,2021-02-18 05:00:00,3707,MASS
123652,67.6476,68.63,68.05,68.63,66.4,2021-02-19 05:00:00,2406,MASS
97152,65.8581,66.35,64.41,68.26,64.2,2021-02-22 05:00:00,2663,MASS
425983,57.9623,61.0,58.85,61.89,52.52,2021-02-23 05:00:00,6223,MASS
226013,61.8077,59.16,61.19,65.09,59.16,2021-02-24 05:00:00,3906,MASS
298350,56.7195,61.19,55.0,62.02,54.2,2021-02-25 05:00:00,5323,MASS
240689,54.0416,55.41,53.19,57.0,51.83,2021-02-26 05:00:00,3967,MASS
180941,57.2368,55.82,57.47,58.625,55.0001,2021-03-01 05:00:00,4201,MASS
115191,55.5673,57.14,55.11,57.92,54.67,2021-03-02 05:00:00,2847,MASS
424736,51.1773,55.12,50.2,55.66,48.5,2021-03-03 05:00:00,5137,MASS
436550,45.8068,49.46,43.01,50.75,42.02,2021-03-04 05:00:00,6623,MASS
397256,41.0382,44.34,41.46,44.68,38.88,2021-03-05 05:00:00,6793,MASS
498645,41.3274,43.7219,39.94,43.7219,39.67,2021-03-08 05:00:00,5792,MASS
445485,44.7239,41.27,42.8,48.08,41.27,2021-03-09 05:00:00,6228,MASS
307356,45.5019,45.2,46.9,46.9978,43.9,2021-03-10 05:00:00,4692,MASS
325794,52.4488,47.52,53.37,54.92,47.52,2021-03-11 05:00:00,5396,MASS
207479,53.214,52.61,54.29,54.79,51.0,2021-03-12 05:00:00,3672,MASS
184801,55.576,54.29,55.03,57.1,54.2,2021-03-15 04:00:00,3608,MASS
265269,55.6391,55.48,53.94,58.2,53.302,2021-03-16 04:00:00,4688,MASS
374311,52.1318,52.19,53.8,55.33,48.52,2021-03-17 04:00:00,5822,MASS
221122,51.1746,52.1,49.38,54.68,49.38,2021-03-18 04:00:00,4442,MASS
1282304,51.4657,50.83,51.28,53.97,49.45,2021-03-19 04:00:00,5204,MASS
191553,51.9019,51.66,51.28,53.7585,50.15,2021-03-22 04:00:00,3297,MASS
215144,47.9052,50.67,47.07,51.6077,46.41,2021-03-23 04:00:00,3585,MASS
147285,46.8659,48.35,46.13,48.35,46.01,2021-03-24 04:00:00,3412,MASS
213729,44.9263,44.5,45.39,46.32,42.88,2021-03-25 04:00:00,4063,MASS
131652,43.1963,45.39,43.04,45.845,41.0,2021-03-26 04:00:00,2990,MASS
201109,44.3505,43.09,44.99,45.62,42.5501,2021-03-29 04:00:00,3499,MASS
494558,43.7672,44.32,44.86,45.51,41.0,2021-03-30 04:00:00,7542,MASS
358207,47.7186,45.85,48.5,49.68,44.88,2021-03-31 04:00:00,4910,MASS
247503,51.7716,50.61,52.11,52.79,50.0,2021-04-01 04:00:00,4310,MASS
216865,51.782,53.06,52.49,53.27,49.57,2021-04-05 04:00:00,3569,MASS
92765,52.8922,52.52,52.92,53.99,51.22,2021-04-06 04:00:00,2341,MASS
