volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
18000,0.4455,0.45,0.45,0.45,0.41605000000000003,2021-06-21 04:00:00,21,MCAER
37135,0.45070000000000005,0.45,0.45,0.47050000000000003,0.445,2021-06-22 04:00:00,50,MCAER
321695,0.4999,0.4788,0.5,0.5,0.4788,2021-06-23 04:00:00,10,MCAER
1600,0.5001,0.5001,0.5001,0.5001,0.5001,2021-06-24 04:00:00,2,MCAER
54300,0.5096,0.5,0.51,0.52,0.5,2021-06-25 04:00:00,62,MCAER
14722,0.5436,0.51,0.54,0.64,0.48710000000000003,2021-06-28 04:00:00,93,MCAER
71647,0.5581,0.66,0.53,0.67,0.53,2021-06-29 04:00:00,172,MCAER
160100,0.5667,0.6000000000000001,0.55,0.6000000000000001,0.54,2021-06-30 04:00:00,62,MCAER
34237,0.5377000000000001,0.56,0.52,0.5700000000000001,0.5101,2021-07-01 04:00:00,82,MCAER
25498,0.52,0.52,0.52,0.52,0.519901,2021-07-02 04:00:00,49,MCAER
103782,0.5207,0.5001,0.54,0.54,0.5,2021-07-06 04:00:00,195,MCAER
66313,0.5437000000000001,0.54,0.61,0.61,0.536999,2021-07-07 04:00:00,180,MCAER
55703,0.5502,0.55,0.60124,0.60124,0.54,2021-07-08 04:00:00,158,MCAER
65106,0.5477000000000001,0.5601,0.6000000000000001,0.6000000000000001,0.5399,2021-07-09 04:00:00,207,MCAER
23659,0.5667,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,2021-07-12 04:00:00,25,MCAER
946,0.6087,0.607,0.614,0.614,0.607,2021-07-13 04:00:00,17,MCAER
38804,0.6399,0.564499,0.8297,0.93,0.564499,2021-07-14 04:00:00,103,MCAER
1819,0.7409,0.76,0.6955,0.77061,0.6602,2021-07-15 04:00:00,18,MCAER
500,0.6618,0.6602,0.6602,0.6602,0.63,2021-07-16 04:00:00,7,MCAER
26533,0.5908,0.7445,0.5749989999999999,0.7445,0.52,2021-07-19 04:00:00,58,MCAER
5968,0.5883,0.5750000000000001,0.63,0.63,0.5750000000000001,2021-07-20 04:00:00,8,MCAER
913,0.6075,0.6285000000000001,0.6095,0.6285000000000001,0.58,2021-07-23 04:00:00,20,MCAER
463,0.5842,0.5995,0.580001,0.5995,0.580001,2021-07-26 04:00:00,4,MCAER
10300,0.5856,0.615,0.585,0.615,0.585,2021-07-27 04:00:00,6,MCAER
372,0.6052000000000001,0.611251,0.5999,0.611251,0.5999,2021-07-28 04:00:00,3,MCAER
5830,0.5615,0.63,0.55,0.63,0.549899,2021-07-29 04:00:00,12,MCAER
2650,0.5802,0.6000000000000001,0.58,0.6000000000000001,0.58,2021-07-30 04:00:00,4,MCAER
100,0.54,0.54,0.54,0.54,0.54,2021-08-02 04:00:00,1,MCAER
110,0.5498000000000001,0.54,0.54,0.54,0.54,2021-08-03 04:00:00,2,MCAER
250,0.55,0.55,0.55,0.55,0.55,2021-08-04 04:00:00,1,MCAER
1182,0.45080000000000003,0.451,0.45,0.451,0.45,2021-08-05 04:00:00,3,MCAER
4500,0.52,0.5199,0.52,0.52,0.5199,2021-08-09 04:00:00,6,MCAER
2591,0.52,0.52,0.52,0.52,0.52,2021-08-16 04:00:00,3,MCAER
21500,0.5093,0.52,0.5,0.52,0.5,2021-08-23 04:00:00,24,MCAER
759,0.5671,0.54,0.5775,0.5775,0.54,2021-08-26 04:00:00,3,MCAER
200,0.5749000000000001,0.5775,0.5775,0.5775,0.5775,2021-08-27 04:00:00,2,MCAER
9797,0.5164,0.55,0.52,0.58,0.49,2021-08-30 04:00:00,64,MCAER
100,0.53,0.53,0.53,0.53,0.53,2021-09-01 04:00:00,1,MCAER
1000,0.5331,0.505,0.56,0.56,0.505,2021-09-17 04:00:00,6,MCAER
8137,0.6844,0.55,0.5700000000000001,0.5700000000000001,0.5283,2021-09-21 04:00:00,64,MCAER
2000,0.5075000000000001,0.46,0.51,0.51,0.46,2021-09-22 04:00:00,5,MCAER
1509,0.4887,0.5,0.46,0.5,0.46,2021-09-24 04:00:00,3,MCAER
2639,0.4778,0.4501,0.48,0.48050000000000004,0.4501,2021-09-27 04:00:00,8,MCAER
14909,0.47250000000000003,0.4501,0.5,0.5,0.45,2021-09-29 04:00:00,16,MCAER
1901,0.58,0.56,0.56,0.56,0.56,2021-10-19 04:00:00,12,MCAER
450,0.5535,0.5502,0.5502,0.5502,0.5502,2021-10-22 04:00:00,4,MCAER
496,0.5599000000000001,0.56,0.5599000000000001,0.56,0.5599000000000001,2021-10-25 04:00:00,5,MCAER
28747,0.5998,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.58,2021-10-29 04:00:00,61,MCAER
1400,0.6464000000000001,0.7095,0.627,0.71,0.627,2021-11-01 04:00:00,4,MCAER
1759,0.6159,0.6000000000000001,0.65,0.65,0.6000000000000001,2021-11-02 04:00:00,15,MCAER
15144,0.6071000000000001,0.6900000000000001,0.6002000000000001,0.7000000000000001,0.6000000000000001,2021-11-03 04:00:00,14,MCAER
340402,0.5864,0.58,0.59,0.7000000000000001,0.55,2021-11-04 04:00:00,754,MCAER
101860,0.6001000000000001,0.599899,0.6000000000000001,0.6000000000000001,0.599899,2021-11-05 04:00:00,15,MCAER
6827,0.6096,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.599999,2021-11-08 05:00:00,12,MCAER
559,0.7722,0.7616,0.8200000000000001,0.8200000000000001,0.7616,2021-11-09 05:00:00,4,MCAER
450,0.767,0.7699,0.7699,0.7699,0.7699,2021-11-10 05:00:00,5,MCAER
845,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,2021-11-11 05:00:00,8,MCAER
3461,0.5909,0.59,0.59,0.59,0.59,2021-11-12 05:00:00,45,MCAER
99320,0.6002000000000001,0.6000000000000001,0.7498,0.7498,0.6000000000000001,2021-11-15 05:00:00,3,MCAER
280,0.6095,0.61,0.61,0.61,0.61,2021-11-18 05:00:00,9,MCAER
2000,0.6128,0.6300009999999999,0.6002000000000001,0.6301,0.6002000000000001,2021-11-23 05:00:00,18,MCAER
300,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,2021-11-26 05:00:00,1,MCAER
836,0.6096,0.61,0.61,0.61,0.61,2021-11-30 05:00:00,55,MCAER
9040,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,2021-12-02 05:00:00,18,MCAER
16217,0.6013000000000001,0.601,0.6497,0.6497,0.6000000000000001,2021-12-03 05:00:00,20,MCAER
90375,0.6002000000000001,0.6000000000000001,0.65,0.65,0.6000000000000001,2021-12-06 05:00:00,25,MCAER
308,0.6001000000000001,0.6001000000000001,0.6001000000000001,0.6001000000000001,0.6001000000000001,2021-12-10 05:00:00,1,MCAER
5000,0.6001000000000001,0.6001000000000001,0.6001000000000001,0.6001000000000001,0.6001000000000001,2021-12-14 05:00:00,1,MCAER
200,0.55,0.55,0.55,0.55,0.55,2021-12-17 05:00:00,1,MCAER
8308,0.5504,0.55,0.58,0.58,0.55,2021-12-23 05:00:00,8,MCAER
100,0.55,0.55,0.55,0.55,0.55,2022-01-03 05:00:00,1,MCAER
1169,0.5462,0.55,0.5315,0.55,0.5315,2022-01-05 05:00:00,9,MCAER
351,0.5317000000000001,0.5315,0.5315,0.5315,0.5315,2022-01-13 05:00:00,2,MCAER
19242,0.5106,0.53,0.501,0.53,0.5,2022-01-21 05:00:00,7,MCAER
851,0.4339,0.5,0.42510000000000003,0.5,0.42510000000000003,2022-01-24 05:00:00,2,MCAER
2502,0.401,0.401,0.401,0.401,0.401,2022-01-25 05:00:00,3,MCAER
2962,0.3995,0.39,0.4,0.4,0.39,2022-01-26 05:00:00,5,MCAER
44749,0.38,0.38,0.38,0.38,0.38,2022-01-27 05:00:00,2,MCAER
434719,0.43420000000000003,0.45,0.45,0.45,0.4,2022-01-28 05:00:00,260,MCAER
851,0.4425,0.449,0.425,0.45,0.425,2022-02-01 05:00:00,6,MCAER
190,0.4368,0.425,0.425,0.425,0.425,2022-02-02 05:00:00,2,MCAER
2001,0.44870000000000004,0.4499,0.425,0.45,0.425,2022-02-03 05:00:00,4,MCAER
20500,0.4,0.4,0.4,0.4,0.4,2022-02-04 05:00:00,14,MCAER
4300,0.397,0.4,0.4,0.4,0.390999,2022-02-07 05:00:00,26,MCAER
31100,0.37,0.37,0.37,0.37,0.37,2022-02-08 05:00:00,21,MCAER
2101,0.3372,0.35000000000000003,0.3255,0.35000000000000003,0.3255,2022-02-09 05:00:00,4,MCAER
3800,0.34,0.34,0.34,0.34,0.34,2022-02-10 05:00:00,7,MCAER
52466,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.2997,2022-02-15 05:00:00,50,MCAER
200,0.29,0.29,0.29,0.29,0.29,2022-02-16 05:00:00,1,MCAER
