volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
500,10.1,10.1,10.1,10.1,10.1,2021-04-07 04:00:00,2,MSAC
8701,10.0568,10.1,10.25,10.25,9.8,2021-04-08 04:00:00,50,MSAC
14537,9.9442,10.15,9.94,10.15,9.81,2021-04-09 04:00:00,99,MSAC
364,9.9443,9.94,9.97,9.97,9.94,2021-04-12 04:00:00,5,MSAC
32327,10.1592,10.0,10.15,10.2936,10.0,2021-04-13 04:00:00,146,MSAC
107236,10.303,10.0,9.95,10.1499,9.9059,2021-04-14 04:00:00,1009,MSAC
9154,10.0106,9.9,9.95,10.06,9.9,2021-04-15 04:00:00,94,MSAC
11424,9.9277,9.9,9.81,10.1,9.81,2021-04-16 04:00:00,72,MSAC
6017,9.8111,9.82,9.81,9.82,9.81,2021-04-19 04:00:00,21,MSAC
1067,9.7992,9.8,9.8,9.8,9.8,2021-04-20 04:00:00,8,MSAC
1693,9.7787,9.76,9.83,9.83,9.74,2021-04-21 04:00:00,10,MSAC
556,9.794,9.74,9.81,9.81,9.74,2021-04-22 04:00:00,9,MSAC
5700,9.8146,9.74,9.89,9.91,9.71,2021-04-23 04:00:00,30,MSAC
11951,9.8501,9.85,9.85,9.85,9.85,2021-04-26 04:00:00,206,MSAC
83122,9.706900000000001,9.7575,9.89,9.89,9.66,2021-04-27 04:00:00,52,MSAC
12642,9.8265,9.8,9.85,9.85,9.8,2021-04-28 04:00:00,24,MSAC
9065,9.8104,9.85,9.82,9.85,9.755,2021-04-29 04:00:00,29,MSAC
6052,9.7192,9.72,9.82,9.82,9.7,2021-04-30 04:00:00,21,MSAC
32688,9.8356,9.845,9.82,9.845,9.71,2021-05-03 04:00:00,23,MSAC
96692,9.8338,9.7782,9.85,9.85,9.7782,2021-05-04 04:00:00,80,MSAC
233062,9.9109,9.8894,9.93,9.95,9.8894,2021-05-05 04:00:00,633,MSAC
23188,9.7444,9.76,9.77,9.85,9.667,2021-05-06 04:00:00,178,MSAC
85210,9.7026,9.755,9.77,9.78,9.67,2021-05-07 04:00:00,35,MSAC
1781,9.693,9.65,9.76,9.76,9.65,2021-05-10 04:00:00,11,MSAC
32429,9.6661,9.67,9.7,9.72,9.61,2021-05-11 04:00:00,81,MSAC
780,9.6679,9.64,9.7,9.7,9.64,2021-05-12 04:00:00,5,MSAC
15737,9.6862,9.63,9.7186,9.73,9.62,2021-05-13 04:00:00,39,MSAC
30716,9.7014,9.73,9.7,9.75,9.65,2021-05-14 04:00:00,57,MSAC
71824,9.6295,9.64,9.62,9.69,9.62,2021-05-17 04:00:00,255,MSAC
