volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
20796612,59.0256,59.88,59.0,59.99,57.69,2020-02-20 05:00:00,112719,MU
27051214,57.1105,58.63,56.99,58.73,55.89,2020-02-21 05:00:00,135636,MU
33321075,54.5996,53.31,55.01,55.46,52.61,2020-02-24 05:00:00,176739,MU
41894208,53.1565,54.84,52.1,55.45,51.55,2020-02-25 05:00:00,230242,MU
28100934,52.9589,52.65,52.37,54.27,51.88,2020-02-26 05:00:00,152513,MU
36349245,51.2581,50.63,50.58,52.85,49.99,2020-02-27 05:00:00,210662,MU
40288568,51.0771,48.65,52.56,52.916,48.39,2020-02-28 05:00:00,242488,MU
33247218,53.6672,53.2,54.59,54.69,52.1,2020-03-02 05:00:00,190108,MU
36893228,52.9259,54.6,51.8,55.4,51.1,2020-03-03 05:00:00,205976,MU
28222016,54.0921,53.02,55.29,55.3761,52.21,2020-03-04 05:00:00,149771,MU
26223045,54.219,53.45,53.72,55.61,53.34,2020-03-05 05:00:00,144996,MU
30313741,51.3448,52.2,51.47,53.19,50.0,2020-03-06 05:00:00,188317,MU
31260751,46.8734,45.48,45.97,48.6,44.9201,2020-03-09 04:00:00,177437,MU
31502856,46.732,48.15,47.86,48.26,45.29,2020-03-10 04:00:00,189111,MU
38512149,44.5048,46.2,43.72,46.32,42.845,2020-03-11 04:00:00,231205,MU
40117178,40.0671,39.4,38.81,42.5397,38.0,2020-03-12 04:00:00,235991,MU
35264761,40.5173,41.57,42.99,43.02,38.35,2020-03-13 04:00:00,221586,MU
36879094,36.793,37.35,34.47,39.14,34.45,2020-03-16 04:00:00,215919,MU
34869000,36.8294,35.49,37.38,39.13,34.0201,2020-03-17 04:00:00,231274,MU
36518999,34.2129,34.26,34.69,36.555,31.13,2020-03-18 04:00:00,199769,MU
31015192,36.1872,34.66,36.29,37.3,33.65,2020-03-19 04:00:00,167649,MU
37667447,37.1423,37.77,36.11,38.59,35.84,2020-03-20 04:00:00,202856,MU
45286038,37.5984,36.99,38.25,39.47,35.69,2020-03-23 04:00:00,228818,MU
45587995,42.7371,41.82,43.27,44.42,41.14,2020-03-24 04:00:00,248415,MU
54091017,43.0567,43.91,42.5,44.88,40.03,2020-03-25 04:00:00,295133,MU
62564931,44.4614,44.9,44.79,45.75,43.33,2020-03-26 04:00:00,318647,MU
39791531,43.8057,43.25,43.48,45.28,42.31,2020-03-27 04:00:00,212349,MU
33495446,44.565,44.17,44.52,45.57,43.1475,2020-03-30 04:00:00,173565,MU
36723661,43.4114,44.4,42.06,45.17,41.91,2020-03-31 04:00:00,210969,MU
37452839,40.6408,40.5503,39.89,42.3,39.33,2020-04-01 04:00:00,193440,MU
31457661,40.6172,39.79,41.09,41.59,39.52,2020-04-02 04:00:00,172187,MU
28522389,41.0635,40.97,41.22,41.86,40.55,2020-04-03 04:00:00,140865,MU
37899134,45.286,43.35,46.37,46.69,43.34,2020-04-06 04:00:00,200882,MU
34646388,47.1822,48.09,46.54,48.37,46.04,2020-04-07 04:00:00,181136,MU
27694408,48.047,47.08,48.29,48.69,46.8,2020-04-08 04:00:00,150399,MU
39840439,47.3409,49.2997,46.13,49.81,45.35,2020-04-09 04:00:00,203891,MU
30449948,45.4741,44.9,46.17,46.39,44.39,2020-04-13 04:00:00,154229,MU
25737981,47.5005,47.0,47.62,48.38,46.6242,2020-04-14 04:00:00,132642,MU
22389406,46.2236,46.4,46.43,46.66,45.635,2020-04-15 04:00:00,110761,MU
26588971,45.5416,47.02,45.53,47.2,44.66,2020-04-16 04:00:00,141209,MU
23388325,45.633,46.78,45.7,46.89,44.85,2020-04-17 04:00:00,130200,MU
30463349,44.1323,44.52,43.4,45.08,43.3,2020-04-20 04:00:00,170263,MU
32482200,41.8451,43.0,41.41,43.07,41.185,2020-04-21 04:00:00,196762,MU
21398338,43.5518,43.11,43.91,44.2,42.745,2020-04-22 04:00:00,121724,MU
22272404,44.0411,43.82,43.77,44.715,43.42,2020-04-23 04:00:00,118358,MU
16592827,43.6984,43.8,44.16,44.32,42.98,2020-04-24 04:00:00,87085,MU
16667220,45.0348,44.9965,45.28,45.39,44.58,2020-04-27 04:00:00,89178,MU
25234949,46.3197,46.21,45.31,47.69,45.28,2020-04-28 04:00:00,133205,MU
35742961,48.8056,46.58,49.83,50.14,46.33,2020-04-29 04:00:00,192795,MU
28585360,48.0373,49.48,47.89,49.58,47.37,2020-04-30 04:00:00,152198,MU
28193974,45.2734,46.36,45.06,46.92,44.52,2020-05-01 04:00:00,153509,MU
21377060,44.1005,44.19,44.46,44.69,43.61,2020-05-04 04:00:00,115003,MU
21007549,46.0118,45.45,45.41,46.95,45.11,2020-05-05 04:00:00,117005,MU
22011853,46.4704,46.07,46.08,47.12,45.92,2020-05-06 04:00:00,108858,MU
16372090,46.7495,47.1165,46.59,47.5,46.34,2020-05-07 04:00:00,87309,MU
17444957,48.0013,47.29,48.25,48.46,47.29,2020-05-08 04:00:00,97651,MU
17353524,48.145,47.74,48.2,48.73,47.44,2020-05-11 04:00:00,83166,MU
26738906,46.6909,48.52,45.69,48.5642,45.64,2020-05-12 04:00:00,135631,MU
35117460,44.0834,45.87,43.53,45.88,42.95,2020-05-13 04:00:00,177217,MU
27543459,44.3757,43.06,45.73,45.78,42.51,2020-05-14 04:00:00,142629,MU
28803929,44.1404,43.28,44.41,44.78,43.24,2020-05-15 04:00:00,141111,MU
20325856,45.7192,45.83,45.92,46.15,44.95,2020-05-18 04:00:00,111651,MU
17389546,45.6956,45.78,45.12,46.23,45.02,2020-05-19 04:00:00,94496,MU
17876492,46.5414,46.51,46.64,47.04,46.0933,2020-05-20 04:00:00,98796,MU
17445286,45.4828,46.5,45.22,46.5738,44.76,2020-05-21 04:00:00,104772,MU
13385403,44.7371,45.148,44.94,45.31,44.24,2020-05-22 04:00:00,82731,MU
24303857,45.9861,46.22,45.8,46.685,45.45,2020-05-26 04:00:00,121440,MU
55988472,47.175,45.95,49.45,49.58,43.9,2020-05-27 04:00:00,323081,MU
38331501,47.5762,48.7,46.47,48.79,46.07,2020-05-28 04:00:00,222338,MU
26354601,47.2789,46.62,47.91,48.02,46.212,2020-05-29 04:00:00,135104,MU
21901335,46.7934,47.49,46.34,47.67,46.32,2020-06-01 04:00:00,121464,MU
22963580,46.2858,46.49,46.82,46.85,45.57,2020-06-02 04:00:00,118985,MU
34662060,48.507,48.04,48.92,49.42,47.45,2020-06-03 04:00:00,167942,MU
34830807,50.8341,48.86,51.22,51.98,48.6034,2020-06-04 04:00:00,193356,MU
34110668,53.8249,52.66,53.72,54.82,52.59,2020-06-05 04:00:00,196309,MU
22850624,53.2463,54.495,53.7,54.64,52.231,2020-06-08 04:00:00,119500,MU
17840779,53.0026,52.65,53.15,53.5,52.45,2020-06-09 04:00:00,101939,MU
18766676,52.4721,52.92,52.47,53.3,51.57,2020-06-10 04:00:00,110332,MU
29897582,49.53,50.42,48.52,51.085,48.195,2020-06-11 04:00:00,183879,MU
24293576,48.7308,50.285,48.69,50.48,47.36,2020-06-12 04:00:00,150497,MU
18092296,48.7904,47.36,49.24,49.73,47.1,2020-06-15 04:00:00,114686,MU
20987219,51.0758,51.16,51.02,52.15,49.86,2020-06-16 04:00:00,132913,MU
13905124,51.109,51.3,50.96,51.51,50.535,2020-06-17 04:00:00,83869,MU
13220196,50.4607,50.5,50.48,51.04,50.02,2020-06-18 04:00:00,69466,MU
28081459,51.4617,51.16,50.83,52.75,50.75,2020-06-19 04:00:00,128856,MU
15952186,50.8907,51.1,51.15,51.4,50.24,2020-06-22 04:00:00,88519,MU
23194172,49.9681,50.69,49.84,50.89,49.5683,2020-06-23 04:00:00,129426,MU
19346521,48.717,49.65,48.29,50.1,48.02,2020-06-24 04:00:00,122626,MU
14971944,48.4086,48.2404,49.19,49.31,47.275,2020-06-25 04:00:00,92964,MU
16929665,48.5627,49.15,48.49,49.35,48.14,2020-06-26 04:00:00,99573,MU
24666247,49.2478,48.69,49.145,49.15,47.58,2020-06-29 04:00:00,142290,MU
47852081,51.7204,51.78,51.52,52.47,50.97,2020-06-30 04:00:00,248874,MU
25218352,50.2377,51.52,49.7,51.555,49.61,2020-07-01 04:00:00,148327,MU
18562396,50.1445,50.5,49.83,50.75,49.48,2020-07-02 04:00:00,113511,MU
16320963,50.9278,50.75,50.92,51.43,50.48,2020-07-06 04:00:00,99137,MU
19796384,49.7728,50.52,49.09,50.59,49.01,2020-07-07 04:00:00,120453,MU
15311881,49.4273,49.56,49.71,49.75,48.96,2020-07-08 04:00:00,92813,MU
18510811,49.66,49.85,49.98,50.39,48.73,2020-07-09 04:00:00,116904,MU
18091240,50.2423,50.01,50.7,50.71,49.4,2020-07-10 04:00:00,103454,MU
23296371,50.7383,51.31,49.46,52.283,49.38,2020-07-13 04:00:00,142424,MU
17455171,49.0795,49.08,49.71,49.79,47.95,2020-07-14 04:00:00,124518,MU
15911411,50.2065,50.21,50.51,50.65,49.405,2020-07-15 04:00:00,100963,MU
14014036,49.8484,49.82,50.1,50.285,49.23,2020-07-16 04:00:00,79947,MU
15003823,49.587,50.3066,49.47,50.43,49.28,2020-07-17 04:00:00,77105,MU
17604199,50.5487,49.66,51.21,51.32,49.535,2020-07-20 04:00:00,99916,MU
16665366,51.8459,51.62,51.52,52.66,51.23,2020-07-21 04:00:00,111005,MU
11412629,51.4204,51.58,51.65,51.77,51.02,2020-07-22 04:00:00,80709,MU
33399936,53.0605,51.74,52.64,54.2,51.57,2020-07-23 04:00:00,192622,MU
25348045,50.254,51.28,50.02,51.28,49.65,2020-07-24 04:00:00,153699,MU
15341714,51.2955,50.6,51.59,51.71,50.49,2020-07-27 04:00:00,92380,MU
15614360,50.5004,51.26,50.09,51.27,50.04,2020-07-28 04:00:00,93286,MU
14714763,50.215,50.39,50.39,50.63,49.78,2020-07-29 04:00:00,86432,MU
17644313,49.9575,49.74,50.74,50.75,49.11,2020-07-30 04:00:00,108881,MU
17436426,49.884,50.62,50.055,50.7,49.26,2020-07-31 04:00:00,111810,MU
15143482,50.3347,50.39,50.39,50.6246,50.02,2020-08-03 04:00:00,84109,MU
15701196,51.0708,50.35,51.3,51.48,50.29,2020-08-04 04:00:00,82503,MU
13260598,50.9194,51.09,51.05,51.28,50.63,2020-08-05 04:00:00,74532,MU
32204675,48.9911,50.0,48.7,50.03,48.32,2020-08-06 04:00:00,184970,MU
13637316,48.6335,48.69,48.75,49.1792,48.05,2020-08-07 04:00:00,84057,MU
15881467,49.0212,48.85,49.15,49.665,48.265,2020-08-10 04:00:00,90572,MU
21532825,48.5403,49.01,47.76,49.74,47.6317,2020-08-11 04:00:00,119855,MU
17224430,48.2504,48.38,48.48,48.73,47.66,2020-08-12 04:00:00,100445,MU
41051686,46.4714,47.16,46.14,47.23,45.93,2020-08-13 04:00:00,228875,MU
18167321,45.7191,45.6,45.6,46.0794,45.2975,2020-08-14 04:00:00,107419,MU
17303785,45.1969,45.9,45.22,45.94,44.74,2020-08-17 04:00:00,109885,MU
20083140,44.4901,45.06,44.4,45.16,44.05,2020-08-18 04:00:00,125828,MU
19455520,44.2174,44.3,44.05,44.7,43.85,2020-08-19 04:00:00,97099,MU
22445445,42.9706,42.68,42.985,43.655,42.25,2020-08-20 04:00:00,136492,MU
15476669,42.6449,42.85,42.66,43.06,42.4,2020-08-21 04:00:00,86397,MU
14972192,43.5405,43.12,43.76,43.815,42.8917,2020-08-24 04:00:00,88591,MU
21424906,44.9971,44.88,45.1,45.5399,44.6,2020-08-25 04:00:00,127715,MU
15328888,45.1184,45.6,44.96,45.82,44.685,2020-08-26 04:00:00,92322,MU
13776961,44.3755,44.55,44.62,44.83,43.67,2020-08-27 04:00:00,90303,MU
13459067,45.3873,44.62,45.69,45.7883,44.405,2020-08-28 04:00:00,88626,MU
13241826,45.4567,45.35,45.51,45.82,45.14,2020-08-31 04:00:00,90170,MU
14091221,45.4798,45.53,45.76,45.79,45.055,2020-09-01 04:00:00,87697,MU
24636210,47.5735,46.425,47.83,48.19,46.28,2020-09-02 04:00:00,163506,MU
20530830,46.5482,47.7597,46.33,47.83,45.85,2020-09-03 04:00:00,147014,MU
20608463,46.0988,46.19,46.48,46.95,44.89,2020-09-04 04:00:00,150953,MU
20893626,45.3929,44.99,45.03,46.23,44.53,2020-09-08 04:00:00,149121,MU
17529098,45.0202,45.88,45.15,45.88,44.45,2020-09-09 04:00:00,119168,MU
13744721,45.306,45.47,44.87,45.95,44.69,2020-09-10 04:00:00,101533,MU
18365511,45.9664,45.23,46.09,46.48,44.96,2020-09-11 04:00:00,125459,MU
26715417,49.0695,48.35,49.03,49.59,48.3,2020-09-14 04:00:00,163831,MU
14455967,49.1044,49.37,49.05,49.66,48.7,2020-09-15 04:00:00,92864,MU
23552413,50.496,49.11,50.21,51.22,48.96,2020-09-16 04:00:00,150675,MU
20556870,50.5206,49.16,50.98,51.29,48.81,2020-09-17 04:00:00,123507,MU
25548983,51.1357,51.5,50.74,52.17,49.97,2020-09-18 04:00:00,136765,MU
21257519,48.8625,49.61,49.15,49.78,47.89,2020-09-21 04:00:00,140218,MU
10845269,49.3234,49.27,49.7,49.78,48.78,2020-09-22 04:00:00,72053,MU
19159965,50.4969,51.01,49.85,51.61,49.64,2020-09-23 04:00:00,121444,MU
13842288,49.6151,49.52,49.47,50.36,49.09,2020-09-24 04:00:00,95733,MU
17772994,48.6192,49.565,49.14,49.6,47.78,2020-09-25 04:00:00,105849,MU
18876749,49.269,49.635,49.72,49.77,48.13,2020-09-28 04:00:00,109906,MU
36087184,50.7202,49.71,50.71,51.38,49.59,2020-09-29 04:00:00,205708,MU
55392583,47.8069,48.95,46.96,49.27,46.83,2020-09-30 04:00:00,286709,MU
24460003,47.6875,47.1,47.92,48.18,47.05,2020-10-01 04:00:00,140825,MU
20277462,46.9191,46.86,46.55,47.52,46.5,2020-10-02 04:00:00,127184,MU
16909667,47.4319,46.99,47.6,47.73,46.98,2020-10-05 04:00:00,99278,MU
17881198,48.0151,47.55,47.32,48.83,47.215,2020-10-06 04:00:00,109104,MU
13889331,48.5912,48.42,48.41,48.995,48.32,2020-10-07 04:00:00,85109,MU
14569659,49.4506,48.99,49.9,49.9999,48.22,2020-10-08 04:00:00,83277,MU
13933654,49.8475,50.24,49.89,50.6,49.31,2020-10-09 04:00:00,80663,MU
13108832,50.5279,50.58,50.68,50.84,50.08,2020-10-12 04:00:00,84150,MU
22179391,52.1735,51.89,51.85,52.75,51.64,2020-10-13 04:00:00,145946,MU
15905594,51.6589,52.005,51.63,52.25,51.35,2020-10-14 04:00:00,79652,MU
14000580,51.3929,50.76,51.94,51.97,50.32,2020-10-15 04:00:00,91511,MU
14228730,52.1257,52.15,51.61,52.55,51.58,2020-10-16 04:00:00,79247,MU
24176188,52.6929,51.97,52.63,54.0,51.3,2020-10-19 04:00:00,148476,MU
17343402,53.6445,53.14,53.53,54.195,52.75,2020-10-20 04:00:00,120905,MU
12922246,53.5408,53.3,53.31,53.955,53.18,2020-10-21 04:00:00,83755,MU
14842646,54.0508,53.29,54.38,54.85,53.08,2020-10-22 04:00:00,98244,MU
16175695,52.8677,54.0905,52.85,54.12,52.38,2020-10-23 04:00:00,106369,MU
11678896,52.0819,52.4,52.14,52.89,51.4,2020-10-26 04:00:00,77207,MU
8964755,51.9072,52.03,51.96,52.32,51.535,2020-10-27 04:00:00,67375,MU
15463712,50.1674,50.75,50.0,50.85,49.57,2020-10-28 04:00:00,99669,MU
12420700,50.3522,49.71,50.48,50.91,49.38,2020-10-29 04:00:00,85495,MU
15961140,49.9289,50.01,50.34,50.43,49.3,2020-10-30 04:00:00,95163,MU
13103224,49.8443,50.7865,49.71,50.7865,49.44,2020-11-02 05:00:00,86576,MU
11428516,51.1317,50.13,51.08,51.5902,50.01,2020-11-03 05:00:00,83453,MU
13554355,51.8553,51.73,51.96,52.5,50.93,2020-11-04 05:00:00,100229,MU
16373614,54.1327,52.88,54.58,54.779,52.78,2020-11-05 05:00:00,122191,MU
13866596,54.9611,54.46,55.16,55.41,54.33,2020-11-06 05:00:00,101697,MU
20968501,56.885,56.47,55.96,57.83,55.87,2020-11-09 05:00:00,153518,MU
14502115,55.2321,55.1292,55.41,55.94,54.36,2020-11-10 05:00:00,101681,MU
14765542,56.4872,55.97,56.36,56.94,55.85,2020-11-11 05:00:00,100604,MU
13766299,56.2828,56.6,56.25,56.97,55.89,2020-11-12 05:00:00,95596,MU
14328409,57.7924,56.79,57.93,58.19,56.75,2020-11-13 05:00:00,91622,MU
31397249,61.0326,59.715,61.86,61.91,59.61,2020-11-16 05:00:00,201485,MU
17703614,61.5225,61.0,61.99,62.2,60.3,2020-11-17 05:00:00,117250,MU
18734474,61.2562,61.5,60.74,62.04,60.625,2020-11-18 05:00:00,130414,MU
12723552,61.1712,60.035,61.83,61.97,59.65,2020-11-19 05:00:00,90844,MU
14122261,61.9739,61.48,61.4,62.635,61.35,2020-11-20 05:00:00,91391,MU
20612569,63.9212,62.61,64.18,64.5,62.3,2020-11-23 05:00:00,144668,MU
22625586,63.6188,64.288,63.95,64.288,62.89,2020-11-24 05:00:00,117835,MU
12468450,63.3752,63.66,63.43,64.0,62.61,2020-11-25 05:00:00,80834,MU
7500221,64.2518,63.83,64.23,64.8,63.51,2020-11-27 05:00:00,46617,MU
20373490,64.2853,64.56,64.09,65.25,63.58,2020-11-30 05:00:00,110639,MU
36204105,67.1789,65.245,67.08,68.625,65.14,2020-12-01 05:00:00,222755,MU
