volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
146745,88.3438,88.01,88.48,88.87,87.51,2020-02-20 05:00:00,2617,OMCL
152199,87.6212,88.24,88.13,88.265,86.88,2020-02-21 05:00:00,2413,OMCL
165988,86.7965,85.01,87.29,87.89,85.01,2020-02-24 05:00:00,2803,OMCL
272628,85.8743,87.11,85.2,87.84,85.08,2020-02-25 05:00:00,4780,OMCL
270815,85.0135,85.68,84.94,86.265,84.06,2020-02-26 05:00:00,3758,OMCL
249837,83.1483,83.73,81.52,85.9,81.35,2020-02-27 05:00:00,3666,OMCL
361731,81.0258,79.04,81.47,82.8,78.28,2020-02-28 05:00:00,6167,OMCL
258780,83.1315,81.86,83.2,84.44,81.09,2020-03-02 05:00:00,4386,OMCL
234398,81.2994,83.0,81.15,84.45,78.75,2020-03-03 05:00:00,4460,OMCL
233465,83.5138,82.61,84.4,84.53,81.68,2020-03-04 05:00:00,4909,OMCL
234859,84.4026,82.29,84.95,85.84,82.215,2020-03-05 05:00:00,4710,OMCL
173558,82.6954,82.42,82.96,85.12,80.4,2020-03-06 05:00:00,3862,OMCL
356750,80.5445,78.48,80.44,82.24,77.05,2020-03-09 04:00:00,6685,OMCL
347668,80.4409,82.31,80.96,82.67,78.44,2020-03-10 04:00:00,8011,OMCL
352167,77.4236,79.27,77.41,79.57,75.75,2020-03-11 04:00:00,5381,OMCL
418519,66.9998,73.02,65.5,73.4351,64.87,2020-03-12 04:00:00,7091,OMCL
545836,68.3138,68.23,74.48,74.83,64.51,2020-03-13 04:00:00,8220,OMCL
304971,65.3119,59.68,65.19,68.07,59.68,2020-03-16 04:00:00,6342,OMCL
432340,64.5628,65.97,64.58,68.06,62.4,2020-03-17 04:00:00,7747,OMCL
393769,61.9771,61.05,62.47,64.93,58.85,2020-03-18 04:00:00,6586,OMCL
493301,60.278,62.29,60.1,63.535,58.4,2020-03-19 04:00:00,6694,OMCL
576457,58.1848,60.5,55.41,62.2,54.24,2020-03-20 04:00:00,6802,OMCL
329415,57.3568,55.77,58.42,59.37,54.32,2020-03-23 04:00:00,6286,OMCL
345397,62.6191,59.88,63.61,64.93,59.88,2020-03-24 04:00:00,5864,OMCL
294917,63.2625,63.55,63.18,65.6599,60.5,2020-03-25 04:00:00,6127,OMCL
415232,61.7133,63.17,61.57,65.97,58.69,2020-03-26 04:00:00,5150,OMCL
422637,58.176,59.78,56.85,60.44,56.01,2020-03-27 04:00:00,6728,OMCL
506130,62.1751,57.43,63.94,64.39,56.86,2020-03-30 04:00:00,6981,OMCL
326936,65.1298,63.73,65.58,65.95,62.0,2020-03-31 04:00:00,5686,OMCL
327231,62.4749,63.02,62.19,64.115,60.85,2020-04-01 04:00:00,5429,OMCL
446749,65.9995,61.63,67.31,68.61,60.66,2020-04-02 04:00:00,6612,OMCL
787601,66.0949,66.91,65.23,68.43,64.23,2020-04-03 04:00:00,10084,OMCL
404083,67.298,67.33,67.23,68.4,65.86,2020-04-06 04:00:00,6025,OMCL
479178,67.8545,68.3,67.88,69.32,66.38,2020-04-07 04:00:00,5555,OMCL
217894,70.2101,68.78,70.98,71.64,66.6625,2020-04-08 04:00:00,3717,OMCL
313467,69.9974,71.0,69.71,73.94,68.49,2020-04-09 04:00:00,4647,OMCL
524215,68.923,69.0,68.87,70.64,67.41,2020-04-13 04:00:00,3883,OMCL
498652,69.714,70.57,69.12,71.42,68.9,2020-04-14 04:00:00,5067,OMCL
309935,70.2856,66.8,70.76,71.51,66.8,2020-04-15 04:00:00,5432,OMCL
296526,69.817,70.98,70.54,71.48,67.82,2020-04-16 04:00:00,4827,OMCL
263488,72.4434,71.61,72.99,73.18,70.7,2020-04-17 04:00:00,4751,OMCL
185052,72.6759,71.51,72.52,74.42,71.26,2020-04-20 04:00:00,3361,OMCL
283258,70.2815,70.94,69.62,71.42,69.17,2020-04-21 04:00:00,4278,OMCL
425097,69.6769,70.87,69.55,71.53,68.51,2020-04-22 04:00:00,6068,OMCL
186365,70.2965,70.0,70.69,70.99,69.045,2020-04-23 04:00:00,4004,OMCL
439308,69.5435,70.44,69.32,70.8,68.64,2020-04-24 04:00:00,4538,OMCL
232397,70.9011,70.23,71.47,72.0,69.155,2020-04-27 04:00:00,4599,OMCL
232940,70.5226,72.43,70.69,72.43,69.51,2020-04-28 04:00:00,5205,OMCL
321105,74.6079,72.74,74.43,75.9,71.3,2020-04-29 04:00:00,6033,OMCL
262797,73.1598,73.33,72.9,74.6154,71.91,2020-04-30 04:00:00,4573,OMCL
251893,71.4146,71.77,71.87,72.82,70.46,2020-05-01 04:00:00,5256,OMCL
217424,71.3409,71.3,71.63,71.87,70.41,2020-05-04 04:00:00,3614,OMCL
164799,72.97710000000001,72.09,72.31,74.43,71.47,2020-05-05 04:00:00,3531,OMCL
356060,73.3453,72.71,72.67,74.8,71.37,2020-05-06 04:00:00,5632,OMCL
287135,72.9872,73.74,73.06,74.43,71.325,2020-05-07 04:00:00,4256,OMCL
695309,69.0102,74.99,68.26,74.99,67.07,2020-05-08 04:00:00,12095,OMCL
383394,69.5227,67.9,68.89,71.19,67.58,2020-05-11 04:00:00,5825,OMCL
364840,65.6034,69.14,63.74,69.68,63.74,2020-05-12 04:00:00,7209,OMCL
493690,59.9516,63.51,59.36,63.51,58.88,2020-05-13 04:00:00,9600,OMCL
640897,58.8416,58.56,60.39,60.48,56.16,2020-05-14 04:00:00,11342,OMCL
578212,63.0682,60.8,62.63,64.5,60.52,2020-05-15 04:00:00,7693,OMCL
345215,65.0382,64.0,64.85,66.08,64.0,2020-05-18 04:00:00,5247,OMCL
304890,64.8038,64.68,64.0,65.59,63.91,2020-05-19 04:00:00,5386,OMCL
220784,64.7281,65.07,64.72,65.76,63.95,2020-05-20 04:00:00,3396,OMCL
193830,64.4936,64.35,64.53,65.15,63.14,2020-05-21 04:00:00,3193,OMCL
122454,65.2158,64.85,65.64,65.79,64.2,2020-05-22 04:00:00,2509,OMCL
292096,67.9938,67.36,68.11,68.67,66.28,2020-05-26 04:00:00,5193,OMCL
243051,68.3764,68.88,69.3,69.64,66.18,2020-05-27 04:00:00,4463,OMCL
349204,69.1024,70.1,67.96,70.73,67.72,2020-05-28 04:00:00,5232,OMCL
373508,66.4218,67.8,66.91,68.04,64.55,2020-05-29 04:00:00,5274,OMCL
312238,67.0292,66.5,66.9,67.83,65.61,2020-06-01 04:00:00,4925,OMCL
291234,67.3396,66.81,67.98,68.36,65.885,2020-06-02 04:00:00,5562,OMCL
185998,68.6743,68.72,68.34,69.48,68.17,2020-06-03 04:00:00,3707,OMCL
365319,67.0738,67.8,66.96,68.79,66.115,2020-06-04 04:00:00,5217,OMCL
511724,71.6927,68.81,72.33,73.18,66.9179,2020-06-05 04:00:00,8481,OMCL
313395,71.8763,72.61,71.78,73.02,71.14,2020-06-08 04:00:00,4885,OMCL
218630,70.563,71.41,70.04,71.62,69.82,2020-06-09 04:00:00,3898,OMCL
221301,68.2001,70.12,67.82,70.43,67.54,2020-06-10 04:00:00,4193,OMCL
314435,64.682,65.97,64.52,65.97,64.12,2020-06-11 04:00:00,5742,OMCL
254697,64.3886,66.39,64.22,66.39,63.0,2020-06-12 04:00:00,5380,OMCL
199865,65.0912,62.66,66.09,66.725,62.51,2020-06-15 04:00:00,4474,OMCL
215430,67.7459,68.38,67.84,68.73,66.64,2020-06-16 04:00:00,4713,OMCL
283893,69.3273,68.38,69.5,70.46,67.77,2020-06-17 04:00:00,4973,OMCL
309886,69.6586,68.39,69.88,70.36,67.47,2020-06-18 04:00:00,5456,OMCL
698012,69.9119,71.0,69.295,73.52,68.34,2020-06-19 04:00:00,7499,OMCL
299296,70.837,68.9,71.56,71.69,68.5171,2020-06-22 04:00:00,5506,OMCL
320965,71.0725,71.72,70.915,72.13,70.01,2020-06-23 04:00:00,6094,OMCL
248389,68.8298,70.04,68.48,70.839,68.05,2020-06-24 04:00:00,6971,OMCL
206132,68.0789,68.32,68.45,68.6499,67.04,2020-06-25 04:00:00,4582,OMCL
557543,65.8838,67.83,65.43,68.175,65.34,2020-06-26 04:00:00,5570,OMCL
327741,68.6269,66.34,68.65,69.42,65.74,2020-06-29 04:00:00,6124,OMCL
313287,70.1544,68.39,70.62,70.87,68.01,2020-06-30 04:00:00,5932,OMCL
375872,69.4045,70.94,68.59,72.0,68.205,2020-07-01 04:00:00,7831,OMCL
293523,67.5424,69.44,66.91,70.0,66.58,2020-07-02 04:00:00,6607,OMCL
355753,67.0787,68.18,66.76,68.26,66.65,2020-07-06 04:00:00,6567,OMCL
399794,66.7302,67.39,66.24,68.215,66.22,2020-07-07 04:00:00,5741,OMCL
344452,64.8397,66.01,65.12,67.615,63.8,2020-07-08 04:00:00,5758,OMCL
283951,64.9439,65.26,64.77,65.89,63.92,2020-07-09 04:00:00,5985,OMCL
138026,65.0224,65.22,64.83,65.84,64.6,2020-07-10 04:00:00,2878,OMCL
218302,64.6017,65.68,63.7,66.24,63.62,2020-07-13 04:00:00,4197,OMCL
249368,62.9358,63.32,63.15,63.75,62.24,2020-07-14 04:00:00,4038,OMCL
253002,66.4886,64.39,66.8,67.18,64.2415,2020-07-15 04:00:00,4747,OMCL
146821,65.9972,66.55,66.03,66.85,65.13,2020-07-16 04:00:00,2964,OMCL
191759,66.8876,65.92,67.18,67.31,65.92,2020-07-17 04:00:00,2568,OMCL
181931,67.233,67.46,67.57,67.73,66.22,2020-07-20 04:00:00,3617,OMCL
238815,68.1218,68.09,68.21,68.725,67.65,2020-07-21 04:00:00,4139,OMCL
218298,67.5304,68.06,67.2,68.6,66.89,2020-07-22 04:00:00,4067,OMCL
314792,67.239,66.92,67.35,68.57,65.21,2020-07-23 04:00:00,5070,OMCL
208414,66.7428,67.71,66.29,68.37,66.1,2020-07-24 04:00:00,3466,OMCL
508021,66.6522,66.12,66.6,67.54,65.64,2020-07-27 04:00:00,5152,OMCL
590054,68.9329,66.94,68.95,70.22,66.84,2020-07-28 04:00:00,7434,OMCL
635357,72.8597,70.33,72.65,75.79,67.5449,2020-07-29 04:00:00,10510,OMCL
259247,71.2578,71.38,71.33,72.005,69.76,2020-07-30 04:00:00,4795,OMCL
286300,69.9772,71.13,70.29,72.04,69.29,2020-07-31 04:00:00,5022,OMCL
165369,70.0566,70.75,70.22,70.75,69.22,2020-08-03 04:00:00,4433,OMCL
284398,68.5935,70.32,68.3,70.62,68.0061,2020-08-04 04:00:00,4711,OMCL
224137,68.2336,68.73,68.09,69.34,67.73,2020-08-05 04:00:00,4097,OMCL
171526,68.0273,67.99,68.04,68.49,67.53,2020-08-06 04:00:00,3697,OMCL
168577,68.0794,67.96,68.59,68.6,67.3,2020-08-07 04:00:00,3503,OMCL
208554,68.6628,68.82,68.78,69.01,67.87,2020-08-10 04:00:00,4581,OMCL
220703,70.0577,69.42,69.82,70.84,68.93,2020-08-11 04:00:00,4378,OMCL
263157,71.3462,70.65,71.43,72.99,70.52,2020-08-12 04:00:00,5582,OMCL
271574,71.936,71.32,71.73,72.51,70.95,2020-08-13 04:00:00,4237,OMCL
