volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
30871,2.6691000000000003,2.68,2.69,2.7,2.63,2020-02-20 05:00:00,230,OSS
31007,2.6473,2.67,2.69,2.7292,2.63,2020-02-21 05:00:00,134,OSS
57112,2.551,2.6,2.5700000000000003,2.65,2.41,2020-02-24 05:00:00,195,OSS
123397,2.38,2.52,2.46,2.56,2.2800000000000002,2020-02-25 05:00:00,596,OSS
44963,2.4726,2.39,2.49,2.6326,2.3605,2020-02-26 05:00:00,118,OSS
98378,2.345,2.49,2.34,2.49,2.25,2020-02-27 05:00:00,427,OSS
117227,2.13,2.26,2.13,2.27,1.9500000000000002,2020-02-28 05:00:00,752,OSS
103458,2.0806,2.06,2.19,2.24,2.0,2020-03-02 05:00:00,335,OSS
157913,2.0364,2.2800000000000002,1.9901,2.2800000000000002,1.9100000000000001,2020-03-03 05:00:00,792,OSS
156537,1.9923000000000002,1.99,2.08,2.13,1.92,2020-03-04 05:00:00,565,OSS
42301,1.9889999999999999,2.04,2.0,2.04,1.92,2020-03-05 05:00:00,171,OSS
372202,1.7308,1.8,1.75,2.06,1.55,2020-03-06 05:00:00,1306,OSS
54473,1.6723,1.75,1.67,1.75,1.6327,2020-03-09 04:00:00,151,OSS
52376,1.72,1.75,1.6600000000000001,1.81,1.63,2020-03-10 04:00:00,240,OSS
53500,1.6152000000000002,1.57,1.56,1.665,1.56,2020-03-11 04:00:00,260,OSS
76407,1.3980000000000001,1.56,1.4,1.56,1.33,2020-03-12 04:00:00,155,OSS
129437,1.4002,1.4,1.43,1.6,1.29,2020-03-13 04:00:00,296,OSS
166601,0.9023,0.59,1.03,1.2191,0.59,2020-03-16 04:00:00,426,OSS
74943,1.0636,1.05,1.03,1.25,0.96,2020-03-17 04:00:00,409,OSS
50175,1.0421,1.06,1.0,1.125,0.91,2020-03-18 04:00:00,158,OSS
42684,1.1145,1.02,1.07,1.15,1.02,2020-03-19 04:00:00,175,OSS
41529,1.1129,1.07,1.05,1.2,1.05,2020-03-20 04:00:00,97,OSS
38121,0.9883000000000001,0.99,1.0275,1.04,0.9,2020-03-23 04:00:00,73,OSS
