volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
128009,18.403,17.5,17.0,19.5,15.8519,2021-03-18 04:00:00,541,PCTTW
549151,18.9959,16.0,19.26,19.78,16.0,2021-03-19 04:00:00,4146,PCTTW
228933,19.4524,19.45,19.52,21.0,16.08,2021-03-22 04:00:00,1361,PCTTW
123415,18.9519,19.42,19.74,21.0,16.83,2021-03-23 04:00:00,1077,PCTTW
101541,19.0445,20.0,19.75,20.95,17.25,2021-03-24 04:00:00,885,PCTTW
97260,17.5071,18.5,17.2,19.0,15.0101,2021-03-25 04:00:00,1036,PCTTW
58996,15.392,16.99,15.02,17.55,13.95,2021-03-26 04:00:00,713,PCTTW
95506,14.065,15.55,12.51,15.58,12.35,2021-03-29 04:00:00,438,PCTTW
70298,11.8085,12.6,11.84,13.17,10.17,2021-03-30 04:00:00,631,PCTTW
25252,13.7093,12.93,13.92,14.12,12.54,2021-03-31 04:00:00,165,PCTTW
125037,13.7094,13.5,13.19,15.0,12.2153,2021-04-01 04:00:00,1328,PCTTW
28301,13.9418,14.42,14.1,14.59,12.43,2021-04-05 04:00:00,206,PCTTW
17216,13.4761,13.36,13.99,14.17,13.25,2021-04-06 04:00:00,153,PCTTW
20216,14.5281,13.76,14.75,15.4,13.76,2021-04-07 04:00:00,182,PCTTW
10818,15.1611,14.95,15.14,15.5657,14.81,2021-04-08 04:00:00,136,PCTTW
157894,16.1829,15.39,16.07,16.87,15.35,2021-04-09 04:00:00,837,PCTTW
24839,16.128,15.44,16.44,16.65,15.44,2021-04-12 04:00:00,272,PCTTW
110801,16.5506,16.46,16.8,17.0,16.25,2021-04-13 04:00:00,890,PCTTW
37620,17.5721,17.0,17.24,17.99,17.0,2021-04-14 04:00:00,263,PCTTW
49852,17.0629,17.1701,16.02,17.25,16.01,2021-04-15 04:00:00,312,PCTTW
18068,14.9961,16.19,14.21,16.19,14.21,2021-04-16 04:00:00,181,PCTTW
52059,12.3742,14.22,12.37,14.3,11.3901,2021-04-19 04:00:00,645,PCTTW
37034,11.3289,13.35,11.25,13.43,10.61,2021-04-20 04:00:00,323,PCTTW
287966,11.622,11.2,12.89,13.885,11.06,2021-04-21 04:00:00,2474,PCTTW
51245,14.1615,12.8,14.2,14.96,12.75,2021-04-22 04:00:00,450,PCTTW
120499,15.5402,14.95,14.75,15.93,14.61,2021-04-23 04:00:00,679,PCTTW
39728,15.7329,15.68,15.92,16.5,15.3,2021-04-26 04:00:00,509,PCTTW
70819,15.0742,16.05,15.6,16.05,13.73,2021-04-27 04:00:00,659,PCTTW
8494,15.8159,16.07,16.5,16.5,15.34,2021-04-28 04:00:00,78,PCTTW
5364,15.3878,15.8,15.15,15.8,14.86,2021-04-29 04:00:00,92,PCTTW
6720,14.402,14.47,13.89,15.05,13.89,2021-04-30 04:00:00,57,PCTTW
43802,14.3123,15.1,14.45,15.1,14.03,2021-05-03 04:00:00,220,PCTTW
31179,14.0554,14.58,14.2,14.58,13.41,2021-05-04 04:00:00,224,PCTTW
17980,13.3592,13.63,13.2,13.75,13.15,2021-05-05 04:00:00,148,PCTTW
1529581,5.4032,8.0,5.38,8.55,4.02,2021-05-06 04:00:00,9892,PCTTW
570990,5.58,4.51,5.64,6.6,4.51,2021-05-07 04:00:00,4746,PCTTW
366668,5.0475,5.89,4.22,5.97,4.14,2021-05-10 04:00:00,2493,PCTTW
166636,4.0473,4.0,4.85,5.01,3.58,2021-05-11 04:00:00,1237,PCTTW
63514,4.6604,4.97,4.5,4.97,4.25,2021-05-12 04:00:00,604,PCTTW
