volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
409581,30.3886,30.15,30.52,30.54,29.95,2020-02-20 05:00:00,6863,PPBI
333392,30.2669,30.42,30.26,30.6,29.93,2020-02-21 05:00:00,4012,PPBI
322997,29.1892,29.36,29.03,29.5,28.98,2020-02-24 05:00:00,6097,PPBI
550631,28.3917,29.11,28.35,29.28,28.07,2020-02-25 05:00:00,7515,PPBI
290735,28.3097,28.56,28.13,28.87,28.05,2020-02-26 05:00:00,4514,PPBI
513212,27.1888,27.52,26.76,28.17,26.745,2020-02-27 05:00:00,6581,PPBI
652644,25.868,26.1,25.83,26.49,25.34,2020-02-28 05:00:00,8255,PPBI
454881,26.5216,25.86,26.98,26.99,25.57,2020-03-02 05:00:00,5902,PPBI
942244,26.4056,26.7,26.2,27.19,25.95,2020-03-03 05:00:00,11981,PPBI
473702,26.1524,26.56,26.46,26.56,25.56,2020-03-04 05:00:00,5286,PPBI
526750,25.175,25.68,25.21,25.77,24.835,2020-03-05 05:00:00,7250,PPBI
786068,24.3558,24.35,24.25,25.0,23.88,2020-03-06 05:00:00,7713,PPBI
556606,20.5486,22.22,19.77,22.73,19.74,2020-03-09 04:00:00,6157,PPBI
611830,20.7093,20.61,21.21,21.4,19.82,2020-03-10 04:00:00,11243,PPBI
968745,19.1226,20.53,18.73,20.68,18.37,2020-03-11 04:00:00,9196,PPBI
1029205,17.9743,17.2,18.04,20.1,16.74,2020-03-12 04:00:00,12563,PPBI
833320,19.1215,19.35,19.9,20.07,18.06,2020-03-13 04:00:00,8546,PPBI
866872,16.7344,19.9,16.33,19.9,16.0,2020-03-16 04:00:00,8516,PPBI
831979,17.3942,16.72,18.01,18.27,15.67,2020-03-17 04:00:00,10156,PPBI
756918,16.0563,16.78,15.64,17.23,15.16,2020-03-18 04:00:00,8682,PPBI
930724,16.6571,15.52,16.63,17.23,15.12,2020-03-19 04:00:00,9431,PPBI
877125,16.1345,16.59,15.81,17.25,15.52,2020-03-20 04:00:00,9381,PPBI
685154,14.8041,16.24,14.93,16.24,13.93,2020-03-23 04:00:00,9521,PPBI
675888,16.3207,15.96,16.53,16.93,15.73,2020-03-24 04:00:00,8078,PPBI
1315851,16.9103,16.96,17.08,17.695,15.625,2020-03-25 04:00:00,11577,PPBI
890103,18.0857,17.29,18.41,18.56,17.12,2020-03-26 04:00:00,7035,PPBI
942168,18.3117,17.42,18.14,18.9,17.3,2020-03-27 04:00:00,10105,PPBI
