volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
765285,10.1893,10.79,10.21,11.25,9.7348,2021-07-23 04:00:00,3553,REE
1243369,10.5011,11.61,10.0,11.66,9.95,2021-07-26 04:00:00,6554,REE
752505,9.9863,10.41,9.97,10.41,9.85,2021-07-27 04:00:00,2128,REE
408011,9.4153,10.0,9.2,10.0,8.91,2021-07-28 04:00:00,3334,REE
431270,8.7269,9.95,8.35,9.95,8.3,2021-07-29 04:00:00,3242,REE
384605,7.9818,8.28,8.05,8.28,7.8100000000000005,2021-07-30 04:00:00,2904,REE
462882,8.532399999999999,8.3,8.84,8.94,8.19,2021-08-02 04:00:00,2883,REE
712610,9.6595,9.3,10.01,10.035,9.1001,2021-08-03 04:00:00,4511,REE
523040,10.203,10.15,10.35,10.48,9.96,2021-08-04 04:00:00,3374,REE
323923,10.3019,10.51,10.39,10.51,10.0,2021-08-05 04:00:00,1647,REE
318286,10.564,10.39,10.75,10.799,10.27,2021-08-06 04:00:00,1843,REE
304143,10.5843,10.92,10.82,10.92,10.2165,2021-08-09 04:00:00,2337,REE
158733,10.6538,10.88,10.74,10.89,10.3501,2021-08-10 04:00:00,1324,REE
172190,10.591,10.77,10.72,10.8161,10.4,2021-08-11 04:00:00,1439,REE
303173,10.603,10.53,10.81,10.92,10.21,2021-08-12 04:00:00,2050,REE
115898,10.4434,10.81,10.295,10.91,10.25,2021-08-13 04:00:00,698,REE
101204,10.0653,10.12,9.83,10.59,9.8,2021-08-16 04:00:00,750,REE
176616,9.5215,9.8,9.54,10.02,9.2,2021-08-17 04:00:00,1341,REE
220647,9.9836,9.9,9.96,10.15,9.85,2021-08-18 04:00:00,1679,REE
145093,9.3035,9.79,9.16,9.96,9.08,2021-08-19 04:00:00,1201,REE
461319,9.644,9.36,9.63,9.77,9.25,2021-08-20 04:00:00,1538,REE
329841,9.0736,9.46,9.07,9.5699,8.83,2021-08-23 04:00:00,2014,REE
245634,8.7206,9.0946,8.76,9.2,8.53,2021-08-24 04:00:00,1484,REE
610203,8.3976,8.7,8.7,8.94,8.06,2021-08-25 04:00:00,2935,REE
212535,8.2778,8.7,8.26,8.7,8.1362,2021-08-26 04:00:00,1464,REE
244430,8.5554,8.2,8.63,8.7,8.2,2021-08-27 04:00:00,2256,REE
211098,8.912700000000001,8.54,9.05,9.1,8.3501,2021-08-30 04:00:00,1748,REE
10839495,6.1317,8.7,6.0,8.7,5.82,2021-08-31 04:00:00,64986,REE
4777242,5.8813,6.16,5.74,6.189,5.66,2021-09-01 04:00:00,23472,REE
4423621,5.6139,5.85,5.49,5.88,5.48,2021-09-02 04:00:00,23734,REE
3787726,5.7097999999999995,5.65,5.77,5.9,5.52,2021-09-03 04:00:00,14231,REE
3707904,5.9527,5.851,6.03,6.15,5.78,2021-09-07 04:00:00,15214,REE
2196505,5.9947,6.1855,5.95,6.2,5.8,2021-09-08 04:00:00,9341,REE
3655416,6.2545,6.04,6.29,6.58,5.96,2021-09-09 04:00:00,14214,REE
2326215,6.036,6.44,5.89,6.4624,5.87,2021-09-10 04:00:00,9230,REE
1773551,5.8653,5.93,6.04,6.045,5.6,2021-09-13 04:00:00,8809,REE
2309053,5.5888,5.66,5.52,5.86,5.43,2021-09-14 04:00:00,9623,REE
1315277,5.3968,5.62,5.49,5.63,5.23,2021-09-15 04:00:00,5717,REE
722784,5.4806,5.45,5.51,5.59,5.37,2021-09-16 04:00:00,4019,REE
1725280,5.5461,5.52,5.52,5.87,5.39,2021-09-17 04:00:00,7048,REE
862949,5.3686,5.3649000000000004,5.35,5.5,5.2674,2021-09-20 04:00:00,4545,REE
1035881,5.3955,5.43,5.39,5.53,5.3,2021-09-21 04:00:00,4761,REE
1121401,5.5197,5.4,5.49,5.68,5.4,2021-09-22 04:00:00,5507,REE
1607798,5.3662,5.6,5.32,5.62,5.27,2021-09-23 04:00:00,6888,REE
