volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
670914,14.2091,14.92,14.1,15.67,13.2,2021-07-29 04:00:00,6476,RLYB
1804142,19.2458,16.2696,17.0,25.78,15.645,2021-07-30 04:00:00,23106,RLYB
310950,16.8333,16.51,18.0,19.0,14.5401,2021-08-02 04:00:00,6020,RLYB
332639,19.34,18.32,19.18,21.12,17.4,2021-08-03 04:00:00,3792,RLYB
138839,19.4475,19.18,19.5,20.345,18.01,2021-08-04 04:00:00,2091,RLYB
112685,21.8878,20.08,23.4,23.7199,19.71,2021-08-05 04:00:00,1773,RLYB
140352,19.8265,24.1,18.79,24.1,18.25,2021-08-06 04:00:00,2328,RLYB
94056,18.0946,18.06,18.78,19.475,17.25,2021-08-09 04:00:00,1873,RLYB
68251,18.1775,18.28,18.32,18.93,17.62,2021-08-10 04:00:00,1357,RLYB
149374,17.447,18.01,17.44,18.355,17.0,2021-08-11 04:00:00,2133,RLYB
86610,17.1306,17.4,17.15,18.2722,16.7,2021-08-12 04:00:00,1224,RLYB
82482,16.8803,16.52,17.1,17.235,16.52,2021-08-13 04:00:00,1146,RLYB
71818,16.2344,16.62,15.55,17.1828,15.21,2021-08-16 04:00:00,1491,RLYB
103453,15.3326,15.6,14.76,16.08,14.539,2021-08-17 04:00:00,2488,RLYB
121107,14.5715,15.21,14.18,15.39,13.765,2021-08-18 04:00:00,1487,RLYB
132771,13.1104,13.73,12.92,15.1,11.86,2021-08-19 04:00:00,1487,RLYB
64742,12.8089,13.05,12.69,13.435,12.26,2021-08-20 04:00:00,915,RLYB
176274,13.1725,13.4,12.88,13.71,12.82,2021-08-23 04:00:00,1975,RLYB
60161,12.9855,13.0,13.09,13.2144,12.67,2021-08-24 04:00:00,1112,RLYB
30916,12.975,12.86,12.83,13.195,12.7018,2021-08-25 04:00:00,734,RLYB
90312,12.9956,13.0,13.13,13.15,12.75,2021-08-26 04:00:00,1522,RLYB
102757,13.0081,13.0,13.0,13.4,12.8,2021-08-27 04:00:00,1477,RLYB
113292,12.9707,13.02,12.87,13.4014,12.67,2021-08-30 04:00:00,1379,RLYB
69166,12.9962,12.8,13.15,13.2389,12.77,2021-08-31 04:00:00,1075,RLYB
77214,13.0884,13.57,13.13,13.57,12.8,2021-09-01 04:00:00,1319,RLYB
90603,13.0182,13.01,13.04,13.15,12.9,2021-09-02 04:00:00,1601,RLYB
101759,13.4551,13.38,14.1,14.53,12.7753,2021-09-03 04:00:00,1627,RLYB
116301,15.6897,14.35,15.77,16.6912,14.03,2021-09-07 04:00:00,2490,RLYB
143295,13.4858,15.85,12.8,15.95,12.68,2021-09-08 04:00:00,2760,RLYB
88486,12.6057,12.9,12.31,12.9,12.2502,2021-09-09 04:00:00,1739,RLYB
95068,11.6087,12.58,11.4,12.99,10.8,2021-09-10 04:00:00,1890,RLYB
87852,11.1234,11.41,11.32,12.1111,10.85,2021-09-13 04:00:00,1861,RLYB
88692,11.5123,11.44,11.81,12.0,11.01,2021-09-14 04:00:00,1733,RLYB
167153,12.4903,11.8,12.77,12.81,11.51,2021-09-15 04:00:00,2327,RLYB
113024,13.3913,12.52,13.8,13.8,12.22,2021-09-16 04:00:00,1981,RLYB
871649,12.8793,13.69,12.79,13.87,12.52,2021-09-17 04:00:00,2530,RLYB
178083,11.6874,12.85,10.83,13.18,10.53,2021-09-20 04:00:00,2402,RLYB
142220,10.8166,10.84,11.0,11.36,10.05,2021-09-21 04:00:00,1513,RLYB
96791,11.6775,11.0,12.3,12.35,10.995,2021-09-22 04:00:00,1532,RLYB
78909,12.9673,12.25,13.58,13.7,11.975,2021-09-23 04:00:00,1148,RLYB
39586,13.7738,13.51,13.9,14.29,12.92,2021-09-24 04:00:00,782,RLYB
42667,13.8949,13.61,13.94,14.4,13.0025,2021-09-27 04:00:00,726,RLYB
95827,14.9884,13.57,15.77,15.98,13.57,2021-09-28 04:00:00,1437,RLYB
112384,15.2302,15.81,16.0,16.0,14.21,2021-09-29 04:00:00,1501,RLYB
105278,16.5382,15.68,17.58,17.58,14.7701,2021-09-30 04:00:00,1327,RLYB
104719,18.6487,17.65,19.58,19.88,17.011,2021-10-01 04:00:00,1863,RLYB
120760,19.529,19.25,19.5,19.83,18.0662,2021-10-04 04:00:00,853,RLYB
45520,19.2419,19.28,19.36,19.555,18.17,2021-10-05 04:00:00,853,RLYB
91072,19.027,19.06,19.31,19.8,18.57,2021-10-06 04:00:00,832,RLYB
54446,18.8809,19.39,18.95,19.39,18.5,2021-10-07 04:00:00,860,RLYB
75032,17.8211,18.99,17.73,18.99,17.29,2021-10-08 04:00:00,1078,RLYB
61597,16.5487,17.28,16.73,17.46,15.82,2021-10-11 04:00:00,1446,RLYB
29198,16.5276,16.79,16.71,16.79,16.14,2021-10-12 04:00:00,857,RLYB
121887,15.646,16.79,15.93,16.79,15.0,2021-10-13 04:00:00,2377,RLYB
102776,14.8485,16.03,14.48,16.68,14.0,2021-10-14 04:00:00,1817,RLYB
37196,15.2508,14.99,15.52,15.56,14.4687,2021-10-15 04:00:00,856,RLYB
45703,16.5183,15.71,16.98,17.09,14.665,2021-10-18 04:00:00,1876,RLYB
89341,16.4393,16.82,16.18,17.28,15.82,2021-10-19 04:00:00,2036,RLYB
72689,15.9092,16.17,15.59,16.71,15.14,2021-10-20 04:00:00,1746,RLYB
13770,15.9056,15.51,15.97,16.24,15.51,2021-10-21 04:00:00,396,RLYB
21285,15.9686,15.89,16.23,16.23,15.43,2021-10-22 04:00:00,1137,RLYB
32976,17.4221,16.14,17.83,17.85,15.55,2021-10-25 04:00:00,1305,RLYB
108333,18.1928,17.67,18.52,18.98,16.805,2021-10-26 04:00:00,2268,RLYB
40330,17.2587,18.4,16.92,18.4,16.53,2021-10-27 04:00:00,1196,RLYB
35232,17.0913,16.94,16.82,17.65,16.26,2021-10-28 04:00:00,1013,RLYB
26801,17.8641,17.17,17.85,18.085,17.17,2021-10-29 04:00:00,950,RLYB
10866,18.1059,18.06,18.19,18.39,17.15,2021-11-01 04:00:00,546,RLYB
72463,19.0966,18.3,19.0,19.5,18.3,2021-11-02 04:00:00,1811,RLYB
25921,18.5346,18.7,18.15,19.02,17.74,2021-11-03 04:00:00,1020,RLYB
37743,18.9749,18.41,19.0,19.47,17.56,2021-11-04 04:00:00,1199,RLYB
41666,19.1174,19.0,19.36,19.36,18.9,2021-11-05 04:00:00,1016,RLYB
22050,18.7962,19.25,18.31,19.25,17.36,2021-11-08 05:00:00,702,RLYB
16566,18.4428,18.56,18.95,18.97,17.63,2021-11-09 05:00:00,958,RLYB
96404,20.0165,19.0,19.91,21.0,19.0,2021-11-10 05:00:00,2061,RLYB
147998,18.4023,20.0,17.5,20.83,16.27,2021-11-11 05:00:00,2497,RLYB
64984,15.7349,17.63,15.0,17.635,14.8,2021-11-12 05:00:00,1875,RLYB
22063,14.1002,15.21,13.92,16.194,13.55,2021-11-15 05:00:00,1003,RLYB
40078,13.945,14.0,14.43,14.51,13.16,2021-11-16 05:00:00,1346,RLYB
27806,13.3826,14.44,13.19,14.44,13.09,2021-11-17 05:00:00,564,RLYB
41129,13.1158,13.43,12.86,14.08,12.82,2021-11-18 05:00:00,958,RLYB
32728,13.3008,12.87,13.55,13.69,12.87,2021-11-19 05:00:00,583,RLYB
13859,13.7774,13.79,13.64,14.65,13.36,2021-11-22 05:00:00,460,RLYB
23426,13.1953,13.57,13.31,13.57,12.9,2021-11-23 05:00:00,725,RLYB
8223,13.4483,14.36,13.44,14.36,13.0444,2021-11-24 05:00:00,287,RLYB
12881,12.9468,12.95,13.15,13.59,12.51,2021-11-26 05:00:00,318,RLYB
26329,13.3119,13.54,13.22,13.65,12.75,2021-11-29 05:00:00,675,RLYB
24061,12.7055,13.2524,12.87,13.285,12.05,2021-11-30 05:00:00,844,RLYB
34910,11.8792,13.55,11.84,13.55,11.51,2021-12-01 05:00:00,1234,RLYB
17467,11.9242,11.79,12.2,12.68,10.66,2021-12-02 05:00:00,844,RLYB
28363,11.5695,12.54,11.88,13.68,11.07,2021-12-03 05:00:00,1065,RLYB
23913,11.6935,12.08,11.89,12.35,11.25,2021-12-06 05:00:00,1024,RLYB
29718,12.4731,12.13,12.37,13.51,11.651,2021-12-07 05:00:00,868,RLYB
10497,12.2286,12.21,12.05,12.555,11.96,2021-12-08 05:00:00,384,RLYB
21372,11.7042,11.82,11.51,12.205,11.23,2021-12-09 05:00:00,414,RLYB
26646,10.9785,11.52,10.96,11.52,10.71,2021-12-10 05:00:00,846,RLYB
40138,10.1954,11.5,9.81,11.85,9.36,2021-12-13 05:00:00,857,RLYB
24906,9.964,9.81,10.08,10.46,9.81,2021-12-14 05:00:00,957,RLYB
30093,9.8973,9.9,10.22,10.31,8.87,2021-12-15 05:00:00,1451,RLYB
22852,10.2199,10.15,9.97,10.8,9.8173,2021-12-16 05:00:00,988,RLYB
220080,10.2866,10.06,10.29,10.88,9.79,2021-12-17 05:00:00,2441,RLYB
90412,10.0903,10.05,10.13,11.06,9.58,2021-12-20 05:00:00,3677,RLYB
28867,10.5135,10.06,10.76,11.09,9.8,2021-12-21 05:00:00,1130,RLYB
148117,10.8098,10.84,10.64,11.46,10.37,2021-12-22 05:00:00,3091,RLYB
89349,11.1252,10.55,11.45,11.9999,10.52,2021-12-23 05:00:00,3048,RLYB
38180,10.8082,11.37,10.54,11.44,10.25,2021-12-27 05:00:00,1011,RLYB
39600,9.7814,10.41,9.3,10.52,9.195,2021-12-28 05:00:00,1091,RLYB
32524,9.3621,9.6,10.0,10.035,8.61,2021-12-29 05:00:00,1166,RLYB
170450,9.8903,10.0,9.7,10.9,9.3,2021-12-30 05:00:00,3345,RLYB
176078,9.4827,9.59,9.54,10.0527,9.01,2021-12-31 05:00:00,1690,RLYB
68338,9.8393,9.54,10.38,10.7,9.3,2022-01-03 05:00:00,1575,RLYB
35851,9.9253,10.975,9.29,10.975,9.19,2022-01-04 05:00:00,1145,RLYB
109006,8.8703,9.15,8.43,10.29,8.06,2022-01-05 05:00:00,1972,RLYB
35066,8.848,8.5,9.0,9.08,8.5,2022-01-06 05:00:00,973,RLYB
31979,9.563,8.96,9.91,10.0,8.8101,2022-01-07 05:00:00,783,RLYB
46004,10.4472,9.8,10.64,10.84,9.25,2022-01-10 05:00:00,920,RLYB
28468,10.7318,10.63,10.79,11.09,10.2,2022-01-11 05:00:00,711,RLYB
37190,10.403,11.0,9.89,11.24,9.735,2022-01-12 05:00:00,1003,RLYB
69054,8.95,10.06,8.75,10.06,8.61,2022-01-13 05:00:00,1595,RLYB
17953,8.5974,8.69,8.87,8.89,8.35,2022-01-14 05:00:00,733,RLYB
27297,8.3835,8.65,8.33,8.65,8.2,2022-01-18 05:00:00,576,RLYB
42381,8.6279,8.35,8.68,8.93,8.22,2022-01-19 05:00:00,1059,RLYB
27141,9.489,8.9,9.72,9.88,8.715,2022-01-20 05:00:00,782,RLYB
47449,9.3436,9.86,9.2,10.14,8.82,2022-01-21 05:00:00,745,RLYB
26244,9.1388,8.98,9.4,9.74,8.48,2022-01-24 05:00:00,613,RLYB
47866,9.5007,9.26,9.4,9.94,9.26,2022-01-25 05:00:00,1340,RLYB
33956,9.1946,9.5,9.26,10.85,8.885,2022-01-26 05:00:00,987,RLYB
19878,9.7575,9.05,9.89,10.11,9.05,2022-01-27 05:00:00,486,RLYB
66340,11.644400000000001,10.03,12.02,12.59,9.9,2022-01-28 05:00:00,1360,RLYB
87463,12.1934,11.98,12.16,12.49,11.97,2022-01-31 05:00:00,1557,RLYB
73454,13.9314,12.28,13.9,14.92,12.0,2022-02-01 05:00:00,1829,RLYB
39420,13.5245,13.9,13.62,14.31,12.92,2022-02-02 05:00:00,1745,RLYB
57833,14.0717,13.3,14.03,14.54,13.3,2022-02-03 05:00:00,1574,RLYB
57336,14.6578,13.91,14.57,15.0,13.91,2022-02-04 05:00:00,1279,RLYB
64023,14.9539,14.55,15.04,15.34,14.12,2022-02-07 05:00:00,1229,RLYB
338313,13.6771,14.9,14.2,15.44,13.05,2022-02-08 05:00:00,2173,RLYB
222868,14.419,14.12,14.27,15.25,13.82,2022-02-09 05:00:00,2647,RLYB
113905,13.799900000000001,13.79,13.7,14.26,13.3201,2022-02-10 05:00:00,2546,RLYB
49329,14.0145,13.66,13.93,14.58,13.575,2022-02-11 05:00:00,967,RLYB
52015,12.9453,13.77,12.79,13.86,12.36,2022-02-14 05:00:00,1854,RLYB
96869,12.9196,12.87,12.9,13.13,12.63,2022-02-15 05:00:00,2667,RLYB
69454,12.9557,12.77,13.05,13.18,12.51,2022-02-16 05:00:00,2801,RLYB
47413,12.736,12.71,12.63,12.98,12.6,2022-02-17 05:00:00,1549,RLYB
