volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
14110404,10.9822,11.0,10.89,11.15,10.85,2021-02-05 05:00:00,24128,RMGCU
3081729,10.9816,11.01,10.99,11.15,10.9,2021-02-08 05:00:00,4663,RMGCU
375594,10.9202,11.0,10.9,11.06,10.76,2021-02-09 05:00:00,1426,RMGCU
233353,10.9197,10.85,10.88,11.0,10.83,2021-02-10 05:00:00,672,RMGCU
133187,10.9137,10.95,10.89,10.97,10.8,2021-02-11 05:00:00,400,RMGCU
300344,10.8942,10.87,10.95,10.95,10.85,2021-02-12 05:00:00,582,RMGCU
1698917,10.7983,11.02,10.75,11.055,10.66,2021-02-16 05:00:00,2114,RMGCU
402097,10.7094,10.74,10.74,10.8,10.67,2021-02-17 05:00:00,647,RMGCU
247847,10.7068,10.67,10.7,10.78,10.65,2021-02-18 05:00:00,377,RMGCU
1048640,10.7605,10.8,10.76,10.83,10.75,2021-02-19 05:00:00,1033,RMGCU
490212,10.7271,10.77,10.75,10.9301,10.7,2021-02-22 05:00:00,760,RMGCU
672220,10.6764,10.66,10.64,10.8,10.51,2021-02-23 05:00:00,1525,RMGCU
803937,10.7532,10.75,10.79,10.85,10.6,2021-02-24 05:00:00,1208,RMGCU
266630,10.6375,10.85,10.65,10.85,10.53,2021-02-25 05:00:00,867,RMGCU
659418,10.6605,10.605,10.5,10.78,10.46,2021-02-26 05:00:00,1465,RMGCU
676206,10.5185,10.54,10.53,10.64,10.47,2021-03-01 05:00:00,869,RMGCU
278638,10.3064,10.5,10.27,10.55,10.245,2021-03-02 05:00:00,642,RMGCU
267622,10.2531,10.28,10.28,10.35,10.23,2021-03-03 05:00:00,529,RMGCU
668927,10.119,10.3,10.08,10.325,10.04,2021-03-04 05:00:00,1262,RMGCU
592611,10.1942,10.09,10.32,10.33,10.07,2021-03-05 05:00:00,978,RMGCU
30351,10.2611,10.28,10.25,10.3,10.2,2021-03-08 05:00:00,172,RMGCU
1363760,10.1633,10.25,10.25,10.255,10.12,2021-03-09 05:00:00,629,RMGCU
303436,10.1638,10.25,10.16,10.25,10.1,2021-03-10 05:00:00,494,RMGCU
239009,10.1848,10.17,10.21,10.25,10.15,2021-03-11 05:00:00,237,RMGCU
199702,10.1586,10.14,10.22,10.265,10.08,2021-03-12 05:00:00,601,RMGCU
6853,10.1486,10.18,10.15,10.18,10.13,2021-03-15 04:00:00,28,RMGCU
55185,10.1274,10.15,10.12,10.2,10.1,2021-03-16 04:00:00,213,RMGCU
350633,10.1042,10.13,10.1,10.15,10.05,2021-03-17 04:00:00,1031,RMGCU
90811,10.108,10.12,10.12,10.12,10.05,2021-03-18 04:00:00,645,RMGCU
176468,10.1001,10.0713,10.07,10.12,10.07,2021-03-19 04:00:00,147,RMGCU
97397,10.0869,10.08,10.1,10.135,10.06,2021-03-22 04:00:00,334,RMGCU
112533,10.0335,10.0667,10.01,10.0667,10.0,2021-03-23 04:00:00,239,RMGCU
222906,9.956,10.04,9.94,10.04,9.91,2021-03-24 04:00:00,882,RMGCU
1130112,9.8068,9.72,9.91,9.94,9.72,2021-03-25 04:00:00,1967,RMGCU
251339,9.9227,9.91,10.03,10.05,9.8792,2021-03-26 04:00:00,472,RMGCU
134440,9.959,9.94,9.98,10.0,9.9205,2021-03-29 04:00:00,309,RMGCU
195480,9.9182,9.91,9.95,9.95,9.91,2021-03-30 04:00:00,258,RMGCU
223633,9.9142,9.9162,9.95,9.95,9.9,2021-03-31 04:00:00,404,RMGCU
287544,9.9588,9.91,9.99,10.0,9.91,2021-04-01 04:00:00,1027,RMGCU
432317,9.9678,9.9,9.99,10.06,9.9,2021-04-05 04:00:00,695,RMGCU
15595,10.0319,10.08,10.04,10.08,10.0,2021-04-06 04:00:00,158,RMGCU
158562,10.0526,10.035,10.06,10.1,10.0,2021-04-07 04:00:00,427,RMGCU
40395,10.0521,10.0,10.05,10.1,10.0,2021-04-08 04:00:00,176,RMGCU
87991,10.0735,10.05,10.15,10.19,10.0,2021-04-09 04:00:00,631,RMGCU
48897,10.154,10.16,10.17,10.17,10.103,2021-04-12 04:00:00,162,RMGCU
107268,10.1443,10.21,10.2,10.21,10.05,2021-04-13 04:00:00,200,RMGCU
2504,10.1111,10.06,10.16,10.16,10.06,2021-04-14 04:00:00,23,RMGCU
1705,10.1062,10.1,10.1,10.15,10.06,2021-04-15 04:00:00,20,RMGCU
133929,10.0707,10.0501,10.1,10.15,10.05,2021-04-16 04:00:00,340,RMGCU
37161,10.0611,10.14,10.06,10.14,10.02,2021-04-19 04:00:00,170,RMGCU
35582,10.0339,10.13,10.05,10.13,10.02,2021-04-20 04:00:00,290,RMGCU
79009,10.0598,10.05,10.06,10.09,10.05,2021-04-21 04:00:00,122,RMGCU
41937,10.0841,10.01,10.15,10.15,10.01,2021-04-22 04:00:00,90,RMGCU
77396,10.0825,10.101,10.06,10.101,10.05,2021-04-23 04:00:00,138,RMGCU
133269,9.9598,10.01,10.0,10.035,9.92,2021-04-26 04:00:00,325,RMGCU
12521,9.9832,9.9855,9.99,10.0,9.98,2021-04-27 04:00:00,138,RMGCU
5621,9.9772,9.96,10.0,10.01,9.95,2021-04-28 04:00:00,52,RMGCU
11032,9.9982,10.0,10.0,10.0,9.985,2021-04-29 04:00:00,137,RMGCU
217809,9.9619,9.99,10.03,10.03,9.92,2021-04-30 04:00:00,234,RMGCU
55659,9.9789,10.0,10.0,10.03,9.95,2021-05-03 04:00:00,257,RMGCU
14668,10.0038,10.05,10.05,10.05,9.9501,2021-05-04 04:00:00,128,RMGCU
7702,10.0163,10.05,10.0,10.05,9.97,2021-05-05 04:00:00,32,RMGCU
140090,10.005,9.99,10.02,10.025,9.98,2021-05-06 04:00:00,234,RMGCU
193463,9.9959,10.0,10.02,10.02,9.98,2021-05-07 04:00:00,829,RMGCU
4630,9.9999,9.97,10.01,10.01,9.97,2021-05-10 04:00:00,76,RMGCU
52800,9.9847,10.0,10.02,10.02,9.94,2021-05-11 04:00:00,232,RMGCU
290532,10.0321,10.04,10.0,10.05,10.0,2021-05-12 04:00:00,334,RMGCU
18957,10.0031,10.0,10.03,10.03,9.99,2021-05-13 04:00:00,184,RMGCU
27134,9.9911,9.98,9.99,10.0,9.98,2021-05-14 04:00:00,116,RMGCU
125649,9.9728,9.92,9.93,10.0,9.92,2021-05-17 04:00:00,529,RMGCU
71982,9.9138,9.92,9.95,10.02,9.91,2021-05-18 04:00:00,384,RMGCU
5604,9.944700000000001,9.97,9.99,9.99,9.9,2021-05-19 04:00:00,35,RMGCU
4683,9.9696,9.95,9.98,10.02,9.95,2021-05-20 04:00:00,89,RMGCU
1400,9.9563,9.95,9.98,9.98,9.95,2021-05-21 04:00:00,87,RMGCU
6184,9.9547,9.901,9.98,10.0,9.901,2021-05-24 04:00:00,19,RMGCU
6034,9.9467,9.91,9.95,9.95,9.91,2021-05-25 04:00:00,12,RMGCU
18505,9.9434,9.95,9.93,9.96,9.93,2021-05-26 04:00:00,251,RMGCU
3055,9.9531,9.96,9.97,10.0,9.9456,2021-05-27 04:00:00,10,RMGCU
13035,9.9699,9.95,9.95,10.0,9.94,2021-05-28 04:00:00,37,RMGCU
2020,9.9382,9.92,9.95,9.95,9.92,2021-06-01 04:00:00,17,RMGCU
1551,9.9561,9.92,9.99,9.99,9.92,2021-06-02 04:00:00,6,RMGCU
1662,9.9594,9.96,9.99,9.99,9.9395,2021-06-03 04:00:00,8,RMGCU
29255,9.9779,9.99,9.98,10.0,9.94,2021-06-04 04:00:00,82,RMGCU
26993,9.9993,9.98,10.0,10.0016,9.98,2021-06-07 04:00:00,135,RMGCU
203027,9.9901,9.98,10.0,10.01,9.98,2021-06-08 04:00:00,20,RMGCU
1601,10.0251,10.025,10.05,10.05,10.0,2021-06-09 04:00:00,15,RMGCU
22878,10.0449,10.03,10.06,10.06,10.03,2021-06-10 04:00:00,24,RMGCU
64766,10.0684,10.08,10.05,10.08,10.04,2021-06-11 04:00:00,157,RMGCU
5348,10.0462,10.04,10.05,10.07,10.04,2021-06-14 04:00:00,19,RMGCU
1242,10.0456,10.035,10.049,10.05,10.035,2021-06-15 04:00:00,8,RMGCU
27387,10.0139,10.02,10.01,10.03,10.0038,2021-06-16 04:00:00,79,RMGCU
6434,10.0,10.0,10.0,10.0,10.0,2021-06-17 04:00:00,7,RMGCU
2602,10.0104,9.9701,10.0,10.02,9.9701,2021-06-18 04:00:00,10,RMGCU
