volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
10283146,10.0699,10.05,10.05,10.085,10.05,2021-10-05 04:00:00,5232,RNERU
1173617,10.0669,10.06,10.08,10.08,10.05,2021-10-06 04:00:00,499,RNERU
129733,10.0806,10.09,10.09,10.09,10.08,2021-10-07 04:00:00,490,RNERU
947459,10.0879,10.085,10.08,10.09,10.07,2021-10-08 04:00:00,102,RNERU
3737,10.0948,10.1,10.07,10.1,10.07,2021-10-11 04:00:00,16,RNERU
295330,10.0711,10.07,10.08,10.09,10.07,2021-10-12 04:00:00,196,RNERU
247498,10.0703,10.07,10.06,10.11,10.06,2021-10-13 04:00:00,90,RNERU
86454,10.0704,10.09,10.07,10.1,10.07,2021-10-14 04:00:00,120,RNERU
231572,10.0697,10.07,10.06,10.075,10.06,2021-10-15 04:00:00,159,RNERU
279985,10.0705,10.07,10.12,10.12,10.07,2021-10-18 04:00:00,60,RNERU
900,10.1288,10.1437,10.08,10.1437,10.08,2021-10-19 04:00:00,5,RNERU
148272,10.08,10.08,10.08,10.08,10.08,2021-10-21 04:00:00,97,RNERU
260615,10.0803,10.07,10.08,10.085,10.07,2021-10-22 04:00:00,202,RNERU
44915,10.1212,10.09,10.15,10.19,10.08,2021-10-25 04:00:00,160,RNERU
108483,10.1883,10.2,10.15,10.2014,10.12,2021-10-26 04:00:00,176,RNERU
48391,10.1446,10.15,10.14,10.15,10.13,2021-10-27 04:00:00,179,RNERU
57000,10.1606,10.17,10.15,10.175,10.15,2021-10-28 04:00:00,177,RNERU
89988,10.1192,10.12,10.12,10.12,10.11,2021-10-29 04:00:00,20,RNERU
236,10.1134,10.11,10.11,10.11,10.11,2021-11-03 04:00:00,5,RNERU
800,10.14,10.14,10.14,10.14,10.14,2021-11-04 04:00:00,8,RNERU
2450,10.1354,10.13,10.16,10.16,10.13,2021-11-05 04:00:00,5,RNERU
365,10.1016,10.1,10.1,10.1,10.1,2021-11-09 05:00:00,2,RNERU
231,10.1485,10.14,10.14,10.14,10.14,2021-11-10 05:00:00,3,RNERU
210,10.18,10.18,10.18,10.18,10.18,2021-11-11 05:00:00,2,RNERU
226,10.1415,10.14,10.14,10.14,10.14,2021-11-15 05:00:00,2,RNERU
100,10.21,10.21,10.21,10.21,10.21,2021-11-18 05:00:00,1,RNERU
510,10.1943,10.15,10.15,10.15,10.15,2021-11-19 05:00:00,3,RNERU
9059,10.16,10.2,10.15,10.21,10.15,2021-11-22 05:00:00,56,RNERU
113,10.1582,10.1585,10.1585,10.1585,10.1585,2021-11-24 05:00:00,3,RNERU
1040,10.2,10.2,10.2001,10.2001,10.2,2021-11-26 05:00:00,2,RNERU
11550,10.1983,10.18,10.2,10.2,10.17,2021-12-02 05:00:00,32,RNERU
200405,10.17,10.1531,10.17,10.17,10.1531,2021-12-03 05:00:00,3,RNERU
10500,10.1699,10.17,10.17,10.17,10.165,2021-12-07 05:00:00,8,RNERU
112024,10.1819,10.185,10.18,10.185,10.16,2021-12-08 05:00:00,85,RNERU
87614,10.1941,10.18,10.2,10.2,10.155,2021-12-09 05:00:00,79,RNERU
250827,10.1961,10.18,10.19,10.2,10.16,2021-12-10 05:00:00,152,RNERU
232078,10.18,10.18,10.18,10.18,10.18,2021-12-13 05:00:00,27,RNERU
1700,10.1219,10.1219,10.1219,10.1219,10.1219,2021-12-14 05:00:00,1,RNERU
4005,10.178,10.18,10.18,10.18,10.12,2021-12-15 05:00:00,24,RNERU
965,10.0878,10.07,10.15,10.15,10.07,2021-12-16 05:00:00,2,RNERU
250,10.0809,10.0809,10.0809,10.0809,10.0809,2021-12-21 05:00:00,1,RNERU
232,10.0715,10.07,10.07,10.07,10.07,2021-12-22 05:00:00,2,RNERU
202,10.0727,10.07,10.07,10.07,10.07,2021-12-23 05:00:00,4,RNERU
106016,10.0807,10.07,10.1,10.1,10.06,2021-12-27 05:00:00,87,RNERU
8278,10.1146,10.1,10.13,10.13,10.06,2021-12-29 05:00:00,58,RNERU
15610,10.1158,10.1,10.14,10.14,10.09,2021-12-30 05:00:00,74,RNERU
117992,10.1483,10.14,10.17,10.17,10.11,2021-12-31 05:00:00,184,RNERU
67093,10.18,10.19,10.12,10.2,10.12,2022-01-03 05:00:00,148,RNERU
267920,10.1658,10.16,10.18,10.1818,10.13,2022-01-05 05:00:00,258,RNERU
80252,10.1901,10.19,10.19,10.1904,10.19,2022-01-06 05:00:00,66,RNERU
164299,10.2001,10.2,10.2,10.21,10.2,2022-01-07 05:00:00,209,RNERU
443,10.17,10.17,10.17,10.17,10.17,2022-01-10 05:00:00,3,RNERU
60095,10.1671,10.15,10.17,10.17,10.15,2022-01-14 05:00:00,26,RNERU
900,9.9575,10.15,10.15,10.15,10.15,2022-01-20 05:00:00,7,RNERU
22000,10.1293,10.13,10.12,10.1304,10.12,2022-01-21 05:00:00,20,RNERU
100,10.04,10.04,10.04,10.04,10.04,2022-01-26 05:00:00,1,RNERU
305,10.0832,10.09,10.07,10.09,10.07,2022-01-31 05:00:00,4,RNERU
30183,10.0901,10.11,10.09,10.11,10.09,2022-02-02 05:00:00,11,RNERU
