volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
27619334,44.3944,44.0,44.5,46.27,42.0,2020-06-16 04:00:00,111228,RPRX
9318701,48.9993,45.9,48.61,51.95,45.0,2020-06-17 04:00:00,72538,RPRX
11027946,52.9767,56.39,50.9,56.5,49.49,2020-06-18 04:00:00,81907,RPRX
5586487,49.1866,52.94,49.0,52.96,46.56,2020-06-19 04:00:00,48295,RPRX
2315137,50.4058,49.83,51.29,51.49,49.25,2020-06-22 04:00:00,17431,RPRX
2297758,52.5985,53.0,50.95,54.44,50.87,2020-06-23 04:00:00,16568,RPRX
4700267,50.0122,51.35,50.25,51.49,47.686,2020-06-24 04:00:00,16393,RPRX
1993094,50.4111,49.19,52.11,52.5,48.83,2020-06-25 04:00:00,15071,RPRX
1452097,50.3937,52.0,49.59,52.24,48.7,2020-06-26 04:00:00,10505,RPRX
1607524,48.6456,49.88,48.73,50.05,48.01,2020-06-29 04:00:00,10508,RPRX
1227368,48.6091,48.2,48.55,49.36,48.1801,2020-06-30 04:00:00,7557,RPRX
2094368,47.0773,48.54,46.47,48.68,46.15,2020-07-01 04:00:00,17970,RPRX
1231445,46.0978,46.94,45.73,47.55,45.6,2020-07-02 04:00:00,12483,RPRX
1424763,46.0131,46.66,46.11,46.95,45.58,2020-07-06 04:00:00,11075,RPRX
1177141,46.5626,45.57,47.05,47.38,45.52,2020-07-07 04:00:00,8801,RPRX
1045306,48.1646,47.0,48.02,48.88,47.0,2020-07-08 04:00:00,7538,RPRX
828365,48.0857,48.02,48.36,48.5,47.6,2020-07-09 04:00:00,5913,RPRX
692826,47.9768,48.59,47.64,48.62,47.47,2020-07-10 04:00:00,5033,RPRX
2099844,45.5029,47.2,44.06,47.6,43.76,2020-07-13 04:00:00,18532,RPRX
2658973,43.3493,44.0,43.52,44.99,41.53,2020-07-14 04:00:00,17146,RPRX
1316334,42.7283,43.82,43.0,44.52,41.61,2020-07-15 04:00:00,11880,RPRX
1096782,42.7545,43.34,42.2,43.875,41.95,2020-07-16 04:00:00,9752,RPRX
1763793,42.6032,42.8,44.19,44.42,41.21,2020-07-17 04:00:00,13233,RPRX
1160274,45.5483,44.42,45.87,46.29,44.03,2020-07-20 04:00:00,7601,RPRX
1547953,44.547,46.61,43.07,46.6299,42.6,2020-07-21 04:00:00,10815,RPRX
594475,42.9789,43.28,43.07,43.76,42.0,2020-07-22 04:00:00,5592,RPRX
1042811,43.3385,42.61,42.89,44.255,42.6,2020-07-23 04:00:00,8450,RPRX
1749942,41.1607,42.32,41.91,42.4,39.9,2020-07-24 04:00:00,15418,RPRX
515869,42.1112,41.43,43.22,43.28,40.65,2020-07-27 04:00:00,4851,RPRX
307752,42.0722,42.33,41.93,42.7994,41.83,2020-07-28 04:00:00,3301,RPRX
646769,42.8494,42.11,43.05,43.14,42.1,2020-07-29 04:00:00,4584,RPRX
753363,42.5985,42.26,42.78,43.07,41.905,2020-07-30 04:00:00,5174,RPRX
865979,42.6944,42.86,43.05,43.49,42.15,2020-07-31 04:00:00,6387,RPRX
606606,43.8253,42.94,44.12,44.45,42.51,2020-08-03 04:00:00,5100,RPRX
1649472,43.9913,43.97,43.2,45.33,42.42,2020-08-04 04:00:00,7616,RPRX
794010,42.2943,43.31,41.93,43.93,41.71,2020-08-05 04:00:00,6805,RPRX
837712,43.5264,43.0,43.9,44.0,42.77,2020-08-06 04:00:00,6704,RPRX
1523049,44.0632,43.9,43.76,45.25,43.13,2020-08-07 04:00:00,10002,RPRX
843529,45.2854,43.86,45.76,45.94,43.82,2020-08-10 04:00:00,8172,RPRX
1072036,45.7326,45.98,45.77,46.65,44.65,2020-08-11 04:00:00,10659,RPRX
1715031,45.3698,46.23,44.99,47.15,44.1,2020-08-12 04:00:00,14586,RPRX
819552,45.7816,44.99,45.48,46.4,44.91,2020-08-13 04:00:00,7981,RPRX
599321,45.4744,45.11,45.41,45.97,45.0012,2020-08-14 04:00:00,5040,RPRX
361544,45.8406,45.61,45.95,46.06,45.44,2020-08-17 04:00:00,3972,RPRX
732191,44.8389,46.3,44.62,46.3,43.79,2020-08-18 04:00:00,8277,RPRX
618891,44.5286,44.64,43.9,45.34,43.77,2020-08-19 04:00:00,6510,RPRX
579716,43.7068,44.0,43.26,44.38,43.15,2020-08-20 04:00:00,6024,RPRX
918783,42.1723,43.0,41.97,43.49,41.51,2020-08-21 04:00:00,10064,RPRX
771864,42.3542,42.47,42.73,42.92,41.8,2020-08-24 04:00:00,9995,RPRX
842866,41.7644,42.6,41.78,42.73,41.18,2020-08-25 04:00:00,10160,RPRX
602638,41.9476,41.7461,41.94,42.3,41.55,2020-08-26 04:00:00,5741,RPRX
623374,41.5505,42.12,41.0,42.16,40.99,2020-08-27 04:00:00,7490,RPRX
867026,41.8995,41.12,42.07,42.45,41.1,2020-08-28 04:00:00,6684,RPRX
947089,42.0137,42.25,41.38,42.98,41.2,2020-08-31 04:00:00,8870,RPRX
793584,41.4905,41.7,41.6,42.05,41.0,2020-09-01 04:00:00,9176,RPRX
470409,41.6855,41.75,41.75,41.95,41.24,2020-09-02 04:00:00,5905,RPRX
822255,40.8799,41.8,40.74,41.97,40.4,2020-09-03 04:00:00,9067,RPRX
1089362,39.883,40.36,39.78,40.5,38.91,2020-09-04 04:00:00,11100,RPRX
