volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
329639,1.1341,1.25,1.1,1.25,1.08,2022-01-19 05:00:00,659,RVLP
318219,1.1055,1.1,1.09,1.1400000000000001,1.07,2022-01-20 05:00:00,725,RVLP
430934,1.1372,1.25,1.2,1.25,1.0692,2022-01-21 05:00:00,1658,RVLP
380855,1.116,1.18,1.13,1.2,1.05,2022-01-24 05:00:00,966,RVLP
434511,1.1308,1.19,1.17,1.19,1.07,2022-01-25 05:00:00,893,RVLP
182338,1.1479,1.18,1.13,1.18,1.13,2022-01-26 05:00:00,556,RVLP
224144,1.1067,1.15,1.1,1.16,1.08,2022-01-27 05:00:00,515,RVLP
142624,1.0894,1.12,1.08,1.12,1.06,2022-01-28 05:00:00,483,RVLP
115677,1.1229,1.08,1.17,1.17,1.08,2022-01-31 05:00:00,347,RVLP
109275,1.1421000000000001,1.15,1.1400000000000001,1.16,1.11,2022-02-01 05:00:00,372,RVLP
109843,1.0936,1.1400000000000001,1.07,1.1400000000000001,1.07,2022-02-02 05:00:00,408,RVLP
93516,1.0493,1.07,1.04,1.0769,1.04,2022-02-03 05:00:00,350,RVLP
121151,1.0487,1.06,1.08,1.0964,1.01,2022-02-04 05:00:00,479,RVLP
133340,1.1152,1.06,1.13,1.15,1.04,2022-02-07 05:00:00,428,RVLP
166118,1.1063,1.13,1.11,1.13,1.08,2022-02-08 05:00:00,325,RVLP
159253,1.1586,1.08,1.1817,1.19,1.08,2022-02-09 05:00:00,313,RVLP
308293,1.2138,1.18,1.16,1.2499,1.1524,2022-02-10 05:00:00,522,RVLP
143199,1.1882,1.15,1.23,1.24,1.1400000000000001,2022-02-11 05:00:00,414,RVLP
283381,1.2615,1.27,1.26,1.29,1.2398,2022-02-14 05:00:00,416,RVLP
232131,1.2993000000000001,1.31,1.34,1.34,1.23,2022-02-15 05:00:00,469,RVLP
384527,1.4174,1.3900000000000001,1.5,1.5,1.33,2022-02-16 05:00:00,1013,RVLP
582338,1.5329000000000002,1.55,1.49,1.67,1.45,2022-02-17 05:00:00,1486,RVLP
