volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
276975,146.0737,145.46,146.47,146.705,144.64,2020-02-20 05:00:00,4917,SBNY
319687,145.357,145.82,145.37,145.96,144.145,2020-02-21 05:00:00,3888,SBNY
316188,143.3008,141.62,143.56,144.57,141.5005,2020-02-24 05:00:00,6133,SBNY
374845,138.7642,143.82,138.02,143.82,137.52,2020-02-25 05:00:00,5875,SBNY
376535,137.0988,139.05,136.37,139.59,135.57,2020-02-26 05:00:00,7742,SBNY
430239,132.9304,134.18,131.51,136.24,131.22,2020-02-27 05:00:00,7641,SBNY
909897,126.5079,127.85,125.1,130.39,123.01,2020-02-28 05:00:00,15151,SBNY
560460,129.6254,125.01,131.55,131.88,125.01,2020-03-02 05:00:00,10064,SBNY
713290,128.9264,131.83,128.31,132.34,126.73,2020-03-03 05:00:00,11056,SBNY
501463,128.5914,129.87,129.0,129.89,126.5,2020-03-04 05:00:00,7020,SBNY
554046,124.598,126.3,124.03,127.465,122.6,2020-03-05 05:00:00,9829,SBNY
893486,116.6811,119.48,116.0,121.91,114.3,2020-03-06 05:00:00,11677,SBNY
1117797,101.1072,109.0,98.46,109.0,97.88,2020-03-09 04:00:00,15529,SBNY
1098166,102.0287,100.7,104.28,104.79,98.65,2020-03-10 04:00:00,17819,SBNY
917617,101.9948,100.5,100.86,105.44,99.81,2020-03-11 04:00:00,16547,SBNY
760587,91.106,92.87,91.18,98.07,87.99,2020-03-12 04:00:00,14910,SBNY
764157,96.4579,97.44,98.18,98.84,94.2,2020-03-13 04:00:00,13539,SBNY
833157,89.6675,84.0,87.89,92.64,84.0,2020-03-16 04:00:00,13447,SBNY
955705,88.6439,89.55,94.01,94.26,80.61,2020-03-17 04:00:00,14111,SBNY
1071957,81.5546,85.87,80.22,89.49,75.85,2020-03-18 04:00:00,15409,SBNY
784400,87.669,78.02,92.66,92.67,74.37,2020-03-19 04:00:00,10355,SBNY
715359,85.9747,92.76,80.65,94.46,80.04,2020-03-20 04:00:00,9535,SBNY
741433,73.6394,80.37,73.08,80.37,69.49,2020-03-23 04:00:00,13905,SBNY
872154,77.196,77.14,78.9,79.7,74.49,2020-03-24 04:00:00,13722,SBNY
554465,82.7812,80.89,83.23,85.47,76.69,2020-03-25 04:00:00,8613,SBNY
785308,90.0931,84.16,92.0,93.42,81.995,2020-03-26 04:00:00,9910,SBNY
493751,87.5866,88.15,85.29,91.335,84.75,2020-03-27 04:00:00,7893,SBNY
627072,82.5495,84.8,83.02,87.42,80.6584,2020-03-30 04:00:00,10407,SBNY
548484,81.1697,82.46,80.39,84.275,79.545,2020-03-31 04:00:00,6880,SBNY
537589,73.1527,75.37,71.97,76.265,71.82,2020-04-01 04:00:00,8750,SBNY
521361,74.0506,72.24,73.8,76.24,70.4,2020-04-02 04:00:00,9021,SBNY
