volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
536956,19.2188,18.94,19.55,19.595,18.8,2020-02-20 05:00:00,4563,SGRY
335957,19.1092,19.5,18.56,19.74,18.46,2020-02-21 05:00:00,2985,SGRY
272376,18.0192,17.83,18.05,18.64,17.25,2020-02-24 05:00:00,2619,SGRY
395404,18.1258,18.12,17.89,18.94,17.56,2020-02-25 05:00:00,3897,SGRY
660252,17.3057,17.99,16.89,18.45,16.81,2020-02-26 05:00:00,4202,SGRY
479605,16.9868,16.47,17.1,17.83,15.86,2020-02-27 05:00:00,3699,SGRY
602762,16.5532,16.51,16.42,17.37,15.95,2020-02-28 05:00:00,6066,SGRY
735114,15.973,16.47,16.19,16.47,15.58,2020-03-02 05:00:00,6782,SGRY
506167,15.0226,15.55,14.75,16.08,14.59,2020-03-03 05:00:00,4967,SGRY
338764,15.1114,15.12,15.28,15.467600000000001,14.63,2020-03-04 05:00:00,3343,SGRY
1052850,12.705400000000001,15.2,12.14,15.2,11.71,2020-03-05 05:00:00,9478,SGRY
1067121,11.1794,11.74,10.76,11.9478,10.47,2020-03-06 05:00:00,10801,SGRY
877457,9.7448,10.11,9.77,10.46,9.13,2020-03-09 04:00:00,8291,SGRY
945962,9.8056,10.18,9.97,10.36,9.21,2020-03-10 04:00:00,8016,SGRY
967597,8.9519,9.64,8.86,9.93,8.59,2020-03-11 04:00:00,6975,SGRY
666507,7.3197,8.31,7.01,8.455,6.98,2020-03-12 04:00:00,6833,SGRY
677524,6.5111,7.44,6.39,7.5647,6.16,2020-03-13 04:00:00,6500,SGRY
1091906,5.0708,6.06,4.68,6.06,4.67,2020-03-16 04:00:00,7438,SGRY
1144382,5.033,4.9,5.5600000000000005,5.62,4.15,2020-03-17 04:00:00,8738,SGRY
774413,4.482,5.39,5.13,5.39,4.0,2020-03-18 04:00:00,6217,SGRY
779410,5.3444,5.04,5.8,5.93,4.5600000000000005,2020-03-19 04:00:00,6336,SGRY
1164469,5.3886,5.83,5.25,6.15,5.03,2020-03-20 04:00:00,6945,SGRY
785551,5.2023,5.27,5.42,5.46,4.9,2020-03-23 04:00:00,6974,SGRY
870977,6.1894,5.7,6.38,6.47,5.6,2020-03-24 04:00:00,7979,SGRY
1171654,7.2855,6.39,7.2,8.07,6.16,2020-03-25 04:00:00,8684,SGRY
943560,7.6861,7.36,7.0,8.6609,6.83,2020-03-26 04:00:00,7933,SGRY
968392,6.6627,6.78,6.62,6.9609000000000005,6.205,2020-03-27 04:00:00,6041,SGRY
623007,6.7141,6.59,6.8100000000000005,6.89,6.3401,2020-03-30 04:00:00,6429,SGRY
1054629,6.8552,6.8,6.53,7.61,6.32,2020-03-31 04:00:00,7470,SGRY
977104,5.5233,6.26,5.28,6.5471,5.1,2020-04-01 04:00:00,8622,SGRY
539975,5.3285,5.29,5.29,5.74,5.11,2020-04-02 04:00:00,4421,SGRY
539689,4.8999,5.29,4.8,5.46,4.75,2020-04-03 04:00:00,5379,SGRY
493097,5.2585,5.1,5.21,5.71,5.1,2020-04-06 04:00:00,4325,SGRY
827418,5.64,5.47,5.62,5.85,5.34,2020-04-07 04:00:00,9011,SGRY
1215335,7.228,5.74,7.82,8.04,5.51,2020-04-08 04:00:00,11856,SGRY
1426565,7.6183,8.01,7.54,8.395,7.13,2020-04-09 04:00:00,10282,SGRY
574926,7.1696,7.59,7.05,7.8499,6.77,2020-04-13 04:00:00,5632,SGRY
936940,7.1206,7.21,7.12,7.43,6.82,2020-04-14 04:00:00,4597,SGRY
460817,6.5882000000000005,6.95,6.76,6.95,6.32,2020-04-15 04:00:00,5348,SGRY
500219,6.4623,6.95,6.51,6.95,6.212,2020-04-16 04:00:00,4957,SGRY
