volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
618900,12.6456,12.0,12.85,13.07,11.8554,2021-05-06 04:00:00,2964,SKIN
898537,12.9338,12.98,12.87,13.14,12.59,2021-05-07 04:00:00,4232,SKIN
573249,12.4458,12.9,12.31,13.25,12.23,2021-05-10 04:00:00,3513,SKIN
627510,11.9648,11.9,12.35,12.58,11.1188,2021-05-11 04:00:00,5298,SKIN
460134,12.0251,12.39,11.98,12.39,11.71,2021-05-12 04:00:00,3865,SKIN
559367,12.087,11.91,12.15,12.3,11.72,2021-05-13 04:00:00,4544,SKIN
1418593,13.2683,12.15,13.51,13.66,12.15,2021-05-14 04:00:00,6555,SKIN
623362,13.8009,13.33,14.06,14.2,13.12,2021-05-17 04:00:00,5079,SKIN
694591,13.993,14.1,13.88,14.27,13.71,2021-05-18 04:00:00,5193,SKIN
439654,13.4623,13.82,13.36,13.82,13.28,2021-05-19 04:00:00,4138,SKIN
704898,13.8672,13.46,13.8,14.21,13.26,2021-05-20 04:00:00,6101,SKIN
513413,13.9202,13.75,13.9,14.09,13.7101,2021-05-21 04:00:00,4513,SKIN
909222,13.7881,13.98,13.82,14.115,13.11,2021-05-24 04:00:00,4906,SKIN
862092,13.9317,13.95,13.71,14.32,13.65,2021-05-25 04:00:00,6199,SKIN
725761,13.8918,13.63,13.73,14.05,13.4698,2021-05-26 04:00:00,3883,SKIN
1354902,14.4862,13.82,14.41,14.74,13.82,2021-05-27 04:00:00,5645,SKIN
801245,14.2717,14.25,14.24,14.45,14.1201,2021-05-28 04:00:00,3453,SKIN
2403492,14.9225,14.2,15.08,15.62,14.195,2021-06-01 04:00:00,14020,SKIN
946182,15.0634,15.11,15.05,15.44,14.6,2021-06-02 04:00:00,7837,SKIN
1043866,15.1298,15.55,14.96,15.55,14.9,2021-06-03 04:00:00,8870,SKIN
1793974,15.4293,15.01,15.62,15.74,14.93,2021-06-04 04:00:00,11529,SKIN
3021775,16.0786,15.88,16.14,16.35,15.42,2021-06-07 04:00:00,20613,SKIN
1433946,16.6565,16.18,16.75,16.97,16.18,2021-06-08 04:00:00,10686,SKIN
1085073,16.7818,16.86,16.6,17.1443,16.355,2021-06-09 04:00:00,10254,SKIN
976953,16.9337,16.74,17.0,17.19,16.53,2021-06-10 04:00:00,6760,SKIN
1439786,17.1928,17.15,17.33,17.44,16.85,2021-06-11 04:00:00,10048,SKIN
3912083,18.1427,17.59,17.79,18.86,17.36,2021-06-14 04:00:00,24898,SKIN
2117075,18.1683,18.09,18.18,18.47,17.72,2021-06-15 04:00:00,15829,SKIN
3222906,18.5686,18.35,18.76,18.91,17.83,2021-06-16 04:00:00,14696,SKIN
3364051,18.8087,18.62,18.68,19.44,18.51,2021-06-17 04:00:00,16218,SKIN
8364749,18.9123,18.53,18.8,19.37,18.53,2021-06-18 04:00:00,19945,SKIN
2671186,18.4268,18.81,18.44,18.85,17.8,2021-06-21 04:00:00,13996,SKIN
2915148,17.4897,18.39,17.37,18.535,17.21,2021-06-22 04:00:00,12572,SKIN
905855,17.6355,17.37,17.6,17.91,17.3,2021-06-23 04:00:00,8170,SKIN
1319978,17.8567,18.34,17.6,18.34,17.6,2021-06-24 04:00:00,9784,SKIN
7798082,17.6291,17.69,17.65,17.94,17.28,2021-06-25 04:00:00,14239,SKIN
827000,17.6117,17.65,17.69,17.88,17.41,2021-06-28 04:00:00,6278,SKIN
855551,17.6065,17.8,17.4,18.1586,17.3,2021-06-29 04:00:00,6429,SKIN
1355168,16.6787,16.95,16.8,17.35,16.31,2021-06-30 04:00:00,9632,SKIN
2466994,17.9357,17.86,18.05,18.19,17.57,2021-07-01 04:00:00,15428,SKIN
1288989,18.4057,18.4,18.27,18.93,18.12,2021-07-02 04:00:00,9034,SKIN
1593559,18.6352,18.3069,18.86,18.86,18.28,2021-07-06 04:00:00,10875,SKIN
3089103,19.596,19.52,19.5,20.02,19.03,2021-07-07 04:00:00,20249,SKIN
1349454,18.7054,19.27,18.69,19.27,18.38,2021-07-08 04:00:00,10156,SKIN
677653,18.6713,18.83,18.68,19.0,18.42,2021-07-09 04:00:00,4647,SKIN
1372783,19.4405,18.64,19.92,19.94,18.6,2021-07-12 04:00:00,8697,SKIN
1196290,19.3784,19.67,19.05,20.23,18.925,2021-07-13 04:00:00,8812,SKIN
1140140,18.5228,19.14,18.36,19.3099,18.15,2021-07-14 04:00:00,9698,SKIN
1152183,17.969,18.36,18.21,18.4599,17.66,2021-07-15 04:00:00,9952,SKIN
696160,18.3188,18.24,18.3,18.53,18.0909,2021-07-16 04:00:00,5452,SKIN
1746822,17.5502,18.22,17.45,18.22,17.11,2021-07-19 04:00:00,13334,SKIN
1018541,17.5347,17.52,17.6,17.76,17.31,2021-07-20 04:00:00,8588,SKIN
694137,18.0475,17.66,18.05,18.18,17.66,2021-07-21 04:00:00,6348,SKIN
524885,18.1256,18.12,18.23,18.27,17.9,2021-07-22 04:00:00,4824,SKIN
608966,18.2484,18.21,18.34,18.375,18.04,2021-07-23 04:00:00,5038,SKIN
1010805,18.4706,18.34,18.49,18.79,18.18,2021-07-26 04:00:00,6515,SKIN
4365271,17.2137,18.36,16.76,18.45,16.4,2021-07-27 04:00:00,27181,SKIN
1953579,16.9776,17.14,17.03,17.3,16.7,2021-07-28 04:00:00,15201,SKIN
656756,17.2858,17.07,17.36,17.43,17.0401,2021-07-29 04:00:00,6160,SKIN
903618,17.5154,17.31,17.56,17.7,17.13,2021-07-30 04:00:00,4370,SKIN
931034,17.9419,17.49,18.04,18.09,17.49,2021-08-02 04:00:00,7134,SKIN
1672638,18.4338,18.1,18.5,18.68,17.99,2021-08-03 04:00:00,10967,SKIN
1207823,18.5372,18.39,18.51,18.83,18.17,2021-08-04 04:00:00,9451,SKIN
881064,18.4743,18.73,18.5,18.81,18.19,2021-08-05 04:00:00,7415,SKIN
694199,18.4809,18.58,18.42,18.8,18.29,2021-08-06 04:00:00,5157,SKIN
1775449,18.5073,18.38,18.4,18.78,18.27,2021-08-09 04:00:00,8807,SKIN
2842743,18.5508,18.35,18.75,18.77,17.79,2021-08-10 04:00:00,17636,SKIN
6682014,20.1732,20.37,20.35,20.6199,19.48,2021-08-11 04:00:00,35996,SKIN
3739143,20.484,20.34,20.63,20.7,19.92,2021-08-12 04:00:00,21978,SKIN
8612840,22.6679,20.57,22.8,23.4,20.46,2021-08-13 04:00:00,48226,SKIN
2746699,22.2032,22.87,22.32,22.89,21.33,2021-08-16 04:00:00,20002,SKIN
1563426,21.8942,22.26,21.51,22.68,21.46,2021-08-17 04:00:00,13408,SKIN
2212850,22.231,21.57,22.15,22.85,21.27,2021-08-18 04:00:00,19322,SKIN
1257182,21.653,21.75,21.44,22.3114,21.32,2021-08-19 04:00:00,10130,SKIN
1132583,21.5553,21.25,21.57,21.9,21.02,2021-08-20 04:00:00,8676,SKIN
1444624,22.0341,22.32,21.93,22.54,21.61,2021-08-23 04:00:00,13827,SKIN
1730603,22.4365,22.0,22.72,22.74,21.64,2021-08-24 04:00:00,12886,SKIN
2351995,23.0969,22.91,23.01,23.94,22.66,2021-08-25 04:00:00,17588,SKIN
