volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
280,9.9353,10.0,10.0,10.0,10.0,2021-05-05 04:00:00,16,SPKB
728,10.0264,10.05,10.05,10.05,10.05,2021-05-12 04:00:00,14,SPKB
1236,9.8049,9.634,10.0,10.0,9.634,2021-05-17 04:00:00,18,SPKB
911,9.8878,9.85,9.9,9.9,9.85,2021-05-18 04:00:00,17,SPKB
538,9.7164,9.7001,9.77,9.77,9.7001,2021-05-19 04:00:00,16,SPKB
6568,9.7096,9.74,9.69,9.74,9.69,2021-05-24 04:00:00,39,SPKB
10888,9.99,9.99,10.0,10.0,9.9,2021-05-26 04:00:00,20,SPKB
3125,9.8408,10.0,9.85,10.0,9.85,2021-05-27 04:00:00,26,SPKB
2595,9.698,9.69,9.69,9.85,9.69,2021-05-28 04:00:00,32,SPKB
810,9.7059,9.69,9.69,9.69,9.69,2021-06-01 04:00:00,14,SPKB
11390,9.7262,9.73,9.72,9.73,9.72,2021-06-02 04:00:00,28,SPKB
23163,9.7601,9.76,9.86,9.86,9.76,2021-06-03 04:00:00,201,SPKB
1712,9.7807,9.75,9.75,9.805,9.75,2021-06-04 04:00:00,13,SPKB
3711,9.854,9.84,9.77,9.86,9.77,2021-06-07 04:00:00,17,SPKB
264,9.8457,9.8101,9.8101,9.8101,9.8101,2021-06-08 04:00:00,15,SPKB
61702,9.8024,10.0,9.8,10.0,9.77,2021-06-09 04:00:00,116,SPKB
4127,9.8455,9.99,9.84,9.99,9.8,2021-06-10 04:00:00,92,SPKB
4289,9.8501,9.85,9.84,9.905,9.84,2021-06-11 04:00:00,45,SPKB
19692,9.7989,9.73,9.8,9.82,9.7,2021-06-15 04:00:00,77,SPKB
4327,9.8135,9.9,9.8,9.9,9.8,2021-06-16 04:00:00,58,SPKB
5851,9.82,9.9,9.82,9.9,9.8014,2021-06-17 04:00:00,127,SPKB
708,9.7515,9.7894,9.7,9.7894,9.7,2021-06-18 04:00:00,24,SPKB
16899,9.7117,9.7643,9.71,9.780100000000001,9.7,2021-06-21 04:00:00,72,SPKB
15011,9.738,9.75,9.73,9.77,9.71,2021-06-22 04:00:00,46,SPKB
196623,9.7351,9.725,9.75,9.75,9.725,2021-06-23 04:00:00,39,SPKB
310619,9.9023,9.75,9.9,9.94,9.75,2021-06-24 04:00:00,222,SPKB
2829,9.8844,9.83,10.0,10.0,9.83,2021-06-25 04:00:00,31,SPKB
470,9.8976,9.93,9.93,9.93,9.93,2021-06-28 04:00:00,39,SPKB
8806,9.8332,9.87,9.75,9.87,9.75,2021-06-29 04:00:00,159,SPKB
872,9.7683,9.87,9.75,9.87,9.74,2021-06-30 04:00:00,17,SPKB
23755,9.7437,9.74,9.75,9.78,9.7,2021-07-01 04:00:00,199,SPKB
188684,9.8086,9.73,9.9,9.9,9.73,2021-07-02 04:00:00,233,SPKB
1320,9.7973,9.8,9.76,9.8,9.76,2021-07-06 04:00:00,14,SPKB
556,9.8506,9.8,9.8699,9.8699,9.8,2021-07-07 04:00:00,19,SPKB
4677,9.7954,9.815,9.74,9.815,9.74,2021-07-08 04:00:00,73,SPKB
5582,9.7454,9.865,9.83,9.865,9.7301,2021-07-09 04:00:00,92,SPKB
3384,9.7436,9.73,9.75,9.755,9.73,2021-07-12 04:00:00,42,SPKB
165,9.773,9.78,9.78,9.78,9.78,2021-07-13 04:00:00,8,SPKB
4293,9.8386,9.86,9.86,9.86,9.8274,2021-07-14 04:00:00,30,SPKB
12360,9.7615,9.83,9.8,9.83,9.7399,2021-07-16 04:00:00,96,SPKB
577,9.7426,9.8,9.7399,9.8,9.72,2021-07-19 04:00:00,18,SPKB
611,9.7615,9.77,9.77,9.77,9.77,2021-07-22 04:00:00,15,SPKB
2109,9.9097,9.9,9.93,9.93,9.9,2021-07-23 04:00:00,40,SPKB
1396,9.767,9.79,9.77,9.79,9.77,2021-07-26 04:00:00,17,SPKB
4381,9.7233,9.7246,9.73,9.73,9.72,2021-07-27 04:00:00,36,SPKB
5967,9.6915,9.67,9.72,9.75,9.67,2021-07-28 04:00:00,34,SPKB
9729,9.671,9.7,9.66,9.72,9.65,2021-07-29 04:00:00,61,SPKB
12529,9.6609,9.66,9.66,9.67,9.66,2021-07-30 04:00:00,56,SPKB
618,9.6962,9.695,9.695,9.695,9.695,2021-08-02 04:00:00,7,SPKB
31456,9.6294,9.66,9.63,9.66,9.62,2021-08-03 04:00:00,102,SPKB
3185,9.6493,9.65,9.65,9.65,9.65,2021-08-04 04:00:00,39,SPKB
4937,9.6601,9.66,9.66,9.66,9.66,2021-08-05 04:00:00,24,SPKB
3620,9.6526,9.67,9.66,9.67,9.65,2021-08-06 04:00:00,34,SPKB
4164,9.6774,9.67,9.68,9.68,9.66,2021-08-09 04:00:00,79,SPKB
646,9.7347,9.81,9.67,9.81,9.67,2021-08-10 04:00:00,10,SPKB
8863,9.6818,9.7,9.72,9.83,9.67,2021-08-11 04:00:00,60,SPKB
1388,9.6756,9.67,9.688,9.688,9.67,2021-08-12 04:00:00,19,SPKB
11566,9.6889,9.7,9.67,9.73,9.67,2021-08-13 04:00:00,70,SPKB
6524,9.671,9.67,9.67,9.71,9.67,2021-08-16 04:00:00,68,SPKB
12241,9.6708,9.67,9.6797,9.68,9.67,2021-08-17 04:00:00,104,SPKB
19120,9.6577,9.65,9.68,9.68,9.65,2021-08-18 04:00:00,65,SPKB
15183,9.6658,9.66,9.72,9.73,9.66,2021-08-19 04:00:00,61,SPKB
9800,9.6579,9.66,9.66,9.67,9.64,2021-08-20 04:00:00,131,SPKB
2445,9.653,9.66,9.63,9.66,9.63,2021-08-23 04:00:00,20,SPKB
408,9.6202,9.62,9.62,9.62,9.62,2021-08-24 04:00:00,6,SPKB
6681,9.6328,9.64,9.64,9.64,9.63,2021-08-27 04:00:00,36,SPKB
538,9.6312,9.63,9.63,9.63,9.63,2021-08-30 04:00:00,11,SPKB
2304,9.6479,9.63,9.65,9.65,9.63,2021-08-31 04:00:00,50,SPKB
7493,9.619,9.62,9.65,9.65,9.61,2021-09-01 04:00:00,44,SPKB
17611,9.6427,9.63,9.63,9.68,9.63,2021-09-02 04:00:00,47,SPKB
16357,9.6811,9.67,9.72,9.72,9.67,2021-09-07 04:00:00,235,SPKB
21951,9.6825,9.68,9.71,9.71,9.64,2021-09-08 04:00:00,224,SPKB
6059,9.7035,9.68,9.72,9.72,9.68,2021-09-09 04:00:00,56,SPKB
403,9.703,9.7,9.7,9.7,9.7,2021-09-10 04:00:00,15,SPKB
7256,9.7147,9.69,9.76,9.77,9.68,2021-09-13 04:00:00,142,SPKB
1866,9.7433,9.72,9.75,9.75,9.72,2021-09-14 04:00:00,44,SPKB
70498,9.7139,9.75,9.75,9.77,9.68,2021-09-15 04:00:00,320,SPKB
212983,9.7469,9.775,9.735,9.81,9.68,2021-09-16 04:00:00,1044,SPKB
4128,9.7465,9.76,9.75,9.76,9.7398,2021-09-17 04:00:00,75,SPKB
8866,9.7507,9.77,9.75,9.77,9.71,2021-09-20 04:00:00,128,SPKB
4414,9.7433,9.74,9.75,9.75,9.73,2021-09-21 04:00:00,97,SPKB
8597,9.7385,9.75,9.74,9.75,9.71,2021-09-22 04:00:00,92,SPKB
289854,9.7505,9.72,9.8,9.81,9.72,2021-09-23 04:00:00,269,SPKB
6785,9.7982,9.7989,9.79,9.8,9.79,2021-09-27 04:00:00,30,SPKB
1499,9.7653,9.7686,9.76,9.77,9.76,2021-09-28 04:00:00,36,SPKB
257900,9.7705,9.78,9.77,9.82,9.76,2021-09-29 04:00:00,82,SPKB
20544,9.7544,9.74,9.8,9.8,9.72,2021-09-30 04:00:00,74,SPKB
1810,9.7774,9.78,9.79,9.8,9.76,2021-10-01 04:00:00,51,SPKB
4924,9.7676,9.74,9.74,9.8,9.73,2021-10-04 04:00:00,63,SPKB
5694,9.7595,9.8,9.78,9.8,9.755,2021-10-06 04:00:00,22,SPKB
1744,9.7811,9.78,9.79,9.79,9.78,2021-10-07 04:00:00,23,SPKB
597,9.7346,9.74,9.73,9.74,9.73,2021-10-11 04:00:00,26,SPKB
7881,9.7535,9.75,9.75,9.78,9.75,2021-10-13 04:00:00,49,SPKB
1471,9.7358,9.78,9.74,9.78,9.72,2021-10-14 04:00:00,28,SPKB
1941,9.74,9.74,9.74,9.74,9.74,2021-10-15 04:00:00,8,SPKB
32273,9.7527,9.755,9.77,9.77,9.73,2021-10-18 04:00:00,94,SPKB
4241,9.7489,9.72,9.76,9.77,9.72,2021-10-19 04:00:00,88,SPKB
1659,9.7358,9.73,9.73,9.73,9.73,2021-10-21 04:00:00,31,SPKB
6269,9.7241,9.76,9.72,9.76,9.72,2021-10-25 04:00:00,39,SPKB
4210,9.749600000000001,9.73,9.75,9.76,9.73,2021-10-26 04:00:00,47,SPKB
2723,9.7402,9.72,9.76,9.76,9.72,2021-10-27 04:00:00,32,SPKB
581,9.7392,9.73,9.73,9.73,9.73,2021-10-28 04:00:00,51,SPKB
3793,9.7693,9.77,9.74,9.78,9.74,2021-10-29 04:00:00,101,SPKB
2500,9.7558,9.75,9.75,9.7748,9.75,2021-11-02 04:00:00,82,SPKB
789,9.7609,9.75,9.77,9.77,9.75,2021-11-03 04:00:00,28,SPKB
2486,9.771,9.78,9.78,9.78,9.75,2021-11-04 04:00:00,46,SPKB
17190,9.7788,9.76,9.79,9.8,9.76,2021-11-05 04:00:00,100,SPKB
2806,9.7761,9.75,9.79,9.79,9.75,2021-11-08 05:00:00,104,SPKB
891,9.7621,9.77,9.76,9.77,9.76,2021-11-09 05:00:00,47,SPKB
675,9.7538,9.75,9.75,9.7501,9.75,2021-11-10 05:00:00,10,SPKB
28874,9.769,9.7689,9.77,9.78,9.75,2021-11-15 05:00:00,47,SPKB
9320,9.7758,9.77,9.82,9.82,9.77,2021-11-16 05:00:00,34,SPKB
3186,9.7964,9.78,9.8,9.8,9.78,2021-11-17 05:00:00,40,SPKB
5305,9.8108,9.75,9.8001,9.82,9.75,2021-11-19 05:00:00,67,SPKB
3971,9.8052,9.81,9.76,9.82,9.76,2021-11-22 05:00:00,150,SPKB
13317,9.8306,9.81,9.83,9.84,9.76,2021-11-23 05:00:00,118,SPKB
7179,9.8022,9.76,9.8,9.81,9.76,2021-11-24 05:00:00,122,SPKB
2573,9.7662,9.77,9.78,9.78,9.76,2021-11-26 05:00:00,37,SPKB
1343,9.811,9.82,9.79,9.84,9.79,2021-11-29 05:00:00,44,SPKB
25172,9.7872,9.77,9.77,9.7902,9.74,2021-11-30 05:00:00,127,SPKB
16983,9.7792,9.79,9.780100000000001,9.79,9.78,2021-12-01 05:00:00,58,SPKB
5087,9.7886,9.785,9.78,9.79,9.78,2021-12-02 05:00:00,43,SPKB
8537,9.7822,9.78,9.78,9.79,9.76,2021-12-03 05:00:00,44,SPKB
17739,9.7645,9.73,9.77,9.79,9.73,2021-12-06 05:00:00,136,SPKB
920,9.7673,9.76,9.77,9.77,9.76,2021-12-07 05:00:00,11,SPKB
400,9.7712,9.77,9.77,9.77,9.77,2021-12-08 05:00:00,11,SPKB
10063,9.7688,9.77,9.77,9.78,9.74,2021-12-09 05:00:00,90,SPKB
145,9.77,9.77,9.77,9.77,9.77,2021-12-10 05:00:00,2,SPKB
415,9.7705,9.77,9.77,9.77,9.77,2021-12-13 05:00:00,19,SPKB
65335,9.7614,9.76,9.76,9.76,9.76,2021-12-14 05:00:00,278,SPKB
23448,9.7498,9.75,9.74,9.75,9.74,2021-12-15 05:00:00,120,SPKB
1694,9.7764,9.74,9.8,9.8,9.74,2021-12-17 05:00:00,35,SPKB
952,9.7299,9.74,9.73,9.74,9.73,2021-12-21 05:00:00,41,SPKB
2011,9.7303,9.73,9.73,9.73,9.73,2021-12-22 05:00:00,5,SPKB
2177,9.7218,9.72,9.7201,9.725,9.72,2021-12-23 05:00:00,22,SPKB
200,9.73,9.73,9.73,9.73,9.73,2021-12-27 05:00:00,1,SPKB
5400,9.7294,9.72,9.73,9.73,9.72,2021-12-28 05:00:00,38,SPKB
1536,9.7202,9.72,9.72,9.72,9.72,2021-12-29 05:00:00,37,SPKB
2886,9.7246,9.75,9.71,9.75,9.71,2021-12-30 05:00:00,15,SPKB
2834,9.7156,9.71,9.72,9.72,9.71,2021-12-31 05:00:00,47,SPKB
11726,9.7356,9.72,9.77,9.77,9.7,2022-01-05 05:00:00,95,SPKB
1330,9.7746,9.8,9.8,9.8,9.76,2022-01-10 05:00:00,53,SPKB
41640,9.7467,9.76,9.72,9.78,9.715,2022-01-12 05:00:00,184,SPKB
31644,9.7275,9.735,9.72,9.735,9.72,2022-01-13 05:00:00,38,SPKB
130601,9.7105,9.71,9.71,9.72,9.71,2022-01-14 05:00:00,39,SPKB
124041,9.7068,9.71,9.71,9.71,9.7,2022-01-18 05:00:00,134,SPKB
19064,9.701,9.7001,9.7,9.73,9.7,2022-01-19 05:00:00,35,SPKB
4014584,9.8132,9.81,9.78,9.82,9.76,2022-01-20 05:00:00,2189,SPKB
314884,9.7504,9.75,9.74,9.78,9.72,2022-01-21 05:00:00,630,SPKB
2719451,9.7211,9.7,9.745,9.76,9.7,2022-01-24 05:00:00,589,SPKB
28304,9.735,9.74,9.72,9.75,9.72,2022-01-25 05:00:00,327,SPKB
154898,9.719100000000001,9.75,9.73,9.75,9.7,2022-01-26 05:00:00,333,SPKB
1170244,9.7333,9.71,9.73,9.79,9.71,2022-01-27 05:00:00,697,SPKB
490451,9.7293,9.735,9.73,9.74,9.71,2022-01-28 05:00:00,552,SPKB
660258,9.7408,9.74,9.76,9.77,9.73,2022-01-31 05:00:00,363,SPKB
212293,9.8014,9.745,9.81,9.85,9.74,2022-02-01 05:00:00,715,SPKB
102990,9.8006,9.81,9.81,9.81,9.8,2022-02-02 05:00:00,382,SPKB
22907,9.8027,9.8,9.81,9.81,9.8,2022-02-03 05:00:00,358,SPKB
6785,9.8407,9.81,9.85,9.85,9.81,2022-02-04 05:00:00,107,SPKB
11464,9.8451,9.85,9.85,9.85,9.82,2022-02-07 05:00:00,143,SPKB
326094,9.8113,9.84,9.8,9.84,9.8,2022-02-08 05:00:00,482,SPKB
70179,9.8107,9.82,9.81,9.82,9.81,2022-02-09 05:00:00,188,SPKB
85367,9.8108,9.81,9.82,9.82,9.81,2022-02-10 05:00:00,220,SPKB
64757,9.7735,9.82,9.75,9.82,9.74,2022-02-11 05:00:00,288,SPKB
249175,9.8352,9.82,9.84,9.85,9.81,2022-02-14 05:00:00,425,SPKB
839725,9.8,9.78,9.83,9.83,9.78,2022-02-15 05:00:00,54,SPKB
1144,9.8191,9.83,9.82,9.83,9.82,2022-02-16 05:00:00,62,SPKB
614,9.7735,9.78,9.75,9.78,9.75,2022-02-17 05:00:00,22,SPKB
