volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
97281,171.0857,174.25,167.92,176.39,167.475,2020-02-20 05:00:00,2312,STRA
67880,165.9678,168.63,165.72,168.94,163.42,2020-02-21 05:00:00,1995,STRA
59128,159.4032,160.96,158.31,162.46,158.0,2020-02-24 05:00:00,1318,STRA
77023,154.9398,158.96,154.24,159.57,153.52,2020-02-25 05:00:00,2014,STRA
64944,152.1297,155.07,150.46,158.43,149.47,2020-02-26 05:00:00,2064,STRA
166770,147.4886,147.45,146.22,152.585,142.76,2020-02-27 05:00:00,3093,STRA
464236,146.0993,141.63,147.38,152.84,135.48,2020-02-28 05:00:00,6366,STRA
136798,147.2528,147.0,149.18,149.96,144.45,2020-03-02 05:00:00,2809,STRA
164403,146.6588,147.23,144.05,152.795,143.34,2020-03-03 05:00:00,3302,STRA
126590,152.2102,146.23,155.26,155.46,146.23,2020-03-04 05:00:00,2284,STRA
90082,151.3302,151.39,151.41,155.06,148.6,2020-03-05 05:00:00,1832,STRA
77771,149.4849,146.48,150.37,153.12,146.02,2020-03-06 05:00:00,2043,STRA
100110,142.4124,141.0,142.48,147.23,135.0,2020-03-09 04:00:00,2323,STRA
88721,142.7956,145.28,143.5,148.7,138.0,2020-03-10 04:00:00,1901,STRA
147474,145.8194,142.98,146.96,148.89,140.59,2020-03-11 04:00:00,2492,STRA
195692,142.5965,138.62,141.8,149.03,138.62,2020-03-12 04:00:00,4176,STRA
183672,150.8636,145.37,158.09,158.5,139.59,2020-03-13 04:00:00,3454,STRA
224717,133.7432,143.4,129.0,151.32,125.0,2020-03-16 04:00:00,4050,STRA
326688,121.652,129.67,124.36,135.08,112.85,2020-03-17 04:00:00,5029,STRA
242025,116.0763,118.89,117.28,126.14,108.9,2020-03-18 04:00:00,4274,STRA
188929,126.8514,116.74,132.8,134.9,115.3,2020-03-19 04:00:00,3589,STRA
203554,126.2694,132.42,115.13,151.85,111.29,2020-03-20 04:00:00,3213,STRA
146654,117.6922,115.91,120.02,123.24,109.01,2020-03-23 04:00:00,3276,STRA
125788,128.3207,126.37,128.23,137.44,120.43,2020-03-24 04:00:00,2221,STRA
174212,123.2668,129.24,117.12,133.2,115.58,2020-03-25 04:00:00,2914,STRA
140765,127.7897,119.5,130.35,132.33,119.5,2020-03-26 04:00:00,3157,STRA
90288,127.3024,125.51,126.36,130.99,122.33,2020-03-27 04:00:00,1920,STRA
113432,135.3432,128.0,140.11,141.31,127.47,2020-03-30 04:00:00,2084,STRA
181689,139.483,139.6,139.76,142.25,134.43,2020-03-31 04:00:00,4005,STRA
156032,126.6033,133.77,123.28,136.02,120.81,2020-04-01 04:00:00,4142,STRA
