volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1793334,67.6292,67.86,67.89,68.57,66.25,2020-02-20 05:00:00,21214,TER
2329956,66.1388,67.56,66.0,67.56,65.64,2020-02-21 05:00:00,21849,TER
4037275,63.899,63.185,63.88,64.51,62.675,2020-02-24 05:00:00,30406,TER
2879526,62.2894,64.7,61.63,64.78,61.19,2020-02-25 05:00:00,37788,TER
1973074,61.7728,61.98,61.43,62.96,61.1196,2020-02-26 05:00:00,21174,TER
4047688,58.9281,59.53,58.41,60.2,57.58,2020-02-27 05:00:00,38051,TER
3649402,57.818,55.77,58.76,58.97,55.32,2020-02-28 05:00:00,37905,TER
2780288,59.3981,59.41,60.49,60.68,57.58,2020-03-02 05:00:00,24926,TER
2071551,59.3539,60.51,58.47,61.44,57.9,2020-03-03 05:00:00,26144,TER
2588617,61.4468,59.59,62.47,62.5,59.57,2020-03-04 05:00:00,29016,TER
1637732,60.6096,60.64,60.62,61.54,59.79,2020-03-05 05:00:00,23747,TER
1917185,58.4002,58.66,58.92,59.71,57.25,2020-03-06 05:00:00,26182,TER
2484204,55.2118,53.4,55.08,56.51,53.0101,2020-03-09 04:00:00,33750,TER
2713884,57.3293,56.88,59.01,59.16,55.08,2020-03-10 04:00:00,37729,TER
2535144,55.9212,57.29,54.88,58.09,54.67,2020-03-11 04:00:00,30230,TER
3130232,50.85,50.8,49.83,53.06,49.6,2020-03-12 04:00:00,37803,TER
2910590,52.0228,53.23,54.53,54.88,48.68,2020-03-13 04:00:00,33356,TER
2791912,50.1994,48.1,48.15,53.92,46.775,2020-03-16 04:00:00,30915,TER
2535439,50.2977,49.55,51.72,52.145,47.39,2020-03-17 04:00:00,29225,TER
2665228,45.8102,47.57,46.18,51.1,42.87,2020-03-18 04:00:00,29658,TER
2558466,47.6003,45.77,47.0,50.08,45.57,2020-03-19 04:00:00,26923,TER
2663741,46.6534,48.39,44.29,49.92,44.07,2020-03-20 04:00:00,24594,TER
2652540,45.4715,44.61,45.97,47.38,43.32,2020-03-23 04:00:00,28036,TER
3422632,51.2001,48.33,52.82,52.98,47.83,2020-03-24 04:00:00,38506,TER
3288069,54.5502,53.25,54.24,56.99,51.05,2020-03-25 04:00:00,35384,TER
2442560,56.3599,54.97,57.51,57.54,54.72,2020-03-26 04:00:00,26547,TER
2156721,55.2362,55.63,54.85,56.61,54.56,2020-03-27 04:00:00,22397,TER
1872103,55.1101,54.98,55.24,56.09,53.74,2020-03-30 04:00:00,22227,TER
2192726,54.5804,55.97,54.17,56.07,53.41,2020-03-31 04:00:00,20486,TER
1839552,52.5783,52.39,52.14,53.935,51.43,2020-04-01 04:00:00,19741,TER
1387342,52.5919,51.21,53.43,53.54,51.15,2020-04-02 04:00:00,16971,TER
1426542,52.7211,52.71,52.86,54.02,51.89,2020-04-03 04:00:00,15708,TER
2591870,58.2082,55.06,59.2,59.46,55.06,2020-04-06 04:00:00,31008,TER
2910605,59.8287,61.57,59.19,62.15,58.93,2020-04-07 04:00:00,23511,TER
1911981,61.7446,59.95,62.78,62.98,59.12,2020-04-08 04:00:00,20656,TER
2686599,62.1302,63.61,61.15,64.89,60.44,2020-04-09 04:00:00,25858,TER
908208,60.7916,60.81,60.96,61.43,59.82,2020-04-13 04:00:00,10132,TER
1557507,63.5112,62.71,63.31,64.61,62.56,2020-04-14 04:00:00,17231,TER
1727458,60.9659,60.92,61.1,61.82,59.23,2020-04-15 04:00:00,17823,TER
3100168,63.4974,62.43,63.86,64.59,61.96,2020-04-16 04:00:00,27126,TER
2944499,64.378,65.375,63.83,66.44,63.25,2020-04-17 04:00:00,24650,TER
1362925,63.0275,63.11,62.47,63.81,62.46,2020-04-20 04:00:00,17127,TER
3005237,61.3354,61.47,60.93,62.47,60.23,2020-04-21 04:00:00,26536,TER
6689916,61.7732,66.2835,62.78,66.2835,57.49,2020-04-22 04:00:00,58276,TER
2608671,61.6188,60.43,61.2,62.55,60.43,2020-04-23 04:00:00,24874,TER
1564837,61.607,61.22,62.0,62.17,60.28,2020-04-24 04:00:00,17711,TER
1626676,64.0218,62.64,63.75,65.1058,62.4588,2020-04-27 04:00:00,18479,TER
1755337,63.2057,64.58,63.19,64.84,61.8,2020-04-28 04:00:00,21568,TER
2598459,66.7,63.09,67.32,67.54,63.09,2020-04-29 04:00:00,21577,TER
2207599,63.6052,66.7,62.54,66.87,62.53,2020-04-30 04:00:00,22802,TER
3333279,57.9348,60.73,57.85,61.0607,56.71,2020-05-01 04:00:00,35291,TER
