volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
9696761,10.2902,10.3,10.27,10.38,10.25,2021-01-20 05:00:00,12881,TZPSU
1232602,10.2995,10.28,10.3,10.39,10.28,2021-01-21 05:00:00,2632,TZPSU
773718,10.2868,10.3,10.35,10.37,10.22,2021-01-22 05:00:00,1838,TZPSU
929036,10.3903,10.4,10.45,10.45,10.35,2021-01-25 05:00:00,1459,TZPSU
344354,10.4306,10.43,10.47,10.56,10.37,2021-01-26 05:00:00,591,TZPSU
982806,10.4363,10.35,10.45,10.5,10.2,2021-01-27 05:00:00,929,TZPSU
128736,10.3664,10.43,10.4,10.49,10.35,2021-01-28 05:00:00,1273,TZPSU
253652,10.3614,10.43,10.44,10.46,10.3,2021-01-29 05:00:00,394,TZPSU
179194,10.3799,10.43,10.45,10.49,10.32,2021-02-01 05:00:00,283,TZPSU
124645,10.4168,10.49,10.38,10.5,10.38,2021-02-02 05:00:00,462,TZPSU
115379,10.3986,10.34,10.35,10.45,10.3,2021-02-03 05:00:00,187,TZPSU
217468,10.3471,10.32,10.44,10.45,10.3,2021-02-04 05:00:00,213,TZPSU
142264,10.4748,10.46,10.47,10.53,10.38,2021-02-05 05:00:00,254,TZPSU
119065,10.5343,10.5,10.53,10.59,10.4901,2021-02-08 05:00:00,213,TZPSU
64062,10.4933,10.51,10.53,10.65,10.45,2021-02-09 05:00:00,156,TZPSU
119936,10.496,10.59,10.56,10.59,10.435,2021-02-10 05:00:00,641,TZPSU
130033,10.4393,10.5,10.45,10.535,10.39,2021-02-11 05:00:00,750,TZPSU
31709,10.4572,10.5,10.48,10.5,10.4,2021-02-12 05:00:00,100,TZPSU
125988,10.4484,10.49,10.4,10.49,10.395,2021-02-16 05:00:00,65,TZPSU
25880,10.4276,10.45,10.42,10.4687,10.4,2021-02-17 05:00:00,124,TZPSU
90515,10.4149,10.4,10.3999,10.43,10.36,2021-02-18 05:00:00,299,TZPSU
33767,10.3899,10.4,10.37,10.4,10.37,2021-02-19 05:00:00,151,TZPSU
142526,10.4103,10.39,10.3904,10.4699,10.39,2021-02-22 05:00:00,216,TZPSU
119984,10.3454,10.31,10.38,10.39,10.3,2021-02-23 05:00:00,722,TZPSU
109036,10.319,10.37,10.38,10.39,10.3,2021-02-24 05:00:00,69,TZPSU
340698,10.2966,10.39,10.24,10.39,10.2,2021-02-25 05:00:00,807,TZPSU
147030,10.2696,10.25,10.3001,10.34,10.19,2021-02-26 05:00:00,476,TZPSU
105977,10.2246,10.23,10.22,10.33,10.16,2021-03-01 05:00:00,384,TZPSU
42127,10.1508,10.17,10.1499,10.17,10.12,2021-03-02 05:00:00,89,TZPSU
50092,10.1589,10.19,10.1,10.35,10.1,2021-03-03 05:00:00,224,TZPSU
58215,10.0642,10.06,10.07,10.1001,10.05,2021-03-04 05:00:00,97,TZPSU
260317,10.0584,10.0501,10.05,10.12,10.03,2021-03-05 05:00:00,209,TZPSU
163631,10.0587,10.0578,10.05,10.15,10.03,2021-03-08 05:00:00,117,TZPSU
138284,10.1361,10.1,10.15,10.25,10.1,2021-03-09 05:00:00,285,TZPSU
61317,10.0979,10.125,10.1,10.125,10.085,2021-03-10 05:00:00,50,TZPSU
38683,10.0375,10.06,10.03,10.07,10.01,2021-03-11 05:00:00,237,TZPSU
47949,10.046,10.03,10.04,10.05,10.03,2021-03-12 05:00:00,89,TZPSU
24711,10.0399,10.04,10.0,10.1,9.985,2021-03-15 04:00:00,50,TZPSU
241,10.001,10.02,10.02,10.02,10.02,2021-03-16 04:00:00,13,TZPSU
3709,10.0571,9.9911,10.1,10.115,9.9911,2021-03-17 04:00:00,25,TZPSU
88372,10.0082,10.035,9.98,10.05,9.96,2021-03-18 04:00:00,176,TZPSU
19725,9.9799,9.9501,9.97,9.99,9.95,2021-03-19 04:00:00,57,TZPSU
3749,9.9514,9.95,9.93,9.97,9.926,2021-03-22 04:00:00,33,TZPSU
87426,9.8748,9.91,9.88,9.916,9.82,2021-03-23 04:00:00,272,TZPSU
40011,9.8703,9.91,9.88,9.91,9.81,2021-03-24 04:00:00,278,TZPSU
3422,9.8396,9.8109,9.85,9.87,9.81,2021-03-25 04:00:00,37,TZPSU
28919,9.9082,9.83,9.94,9.94,9.82,2021-03-26 04:00:00,109,TZPSU
18954,9.8834,9.78,9.91,9.93,9.78,2021-03-29 04:00:00,119,TZPSU
50671,9.8838,9.83,9.94,9.94,9.78,2021-03-30 04:00:00,387,TZPSU
33234,9.9546,9.94,9.96,9.98,9.93,2021-03-31 04:00:00,166,TZPSU
9530,9.9417,9.8,9.96,9.97,9.77,2021-04-01 04:00:00,54,TZPSU
148533,9.9594,9.96,9.91,10.0,9.85,2021-04-05 04:00:00,256,TZPSU
18396,9.9695,9.91,9.96,9.98,9.91,2021-04-06 04:00:00,49,TZPSU
3184,9.9832,9.98,9.99,10.0,9.98,2021-04-07 04:00:00,32,TZPSU
13499,9.9599,9.98,9.9,9.99,9.89,2021-04-08 04:00:00,50,TZPSU
21247,10.0002,10.0,10.0,10.0332,10.0,2021-04-12 04:00:00,111,TZPSU
1383,10.0154,10.0179,10.01,10.05,10.0,2021-04-13 04:00:00,20,TZPSU
7756,10.0765,10.0,10.1,10.1,10.0,2021-04-14 04:00:00,35,TZPSU
1626,9.9527,9.9201,9.99,10.08,9.92,2021-04-15 04:00:00,24,TZPSU
34607,10.0111,10.0,10.0,10.0,9.99,2021-04-16 04:00:00,60,TZPSU
6325,9.9917,9.9999,10.03,10.03,9.9501,2021-04-19 04:00:00,16,TZPSU
6862,9.9503,9.97,10.0,10.0,9.919,2021-04-20 04:00:00,37,TZPSU
7472,9.9909,9.91,10.02,10.02,9.91,2021-04-21 04:00:00,39,TZPSU
123474,9.9203,9.92,9.98,9.98,9.92,2021-04-22 04:00:00,9,TZPSU
475,9.9788,9.9764,9.9764,9.9764,9.9764,2021-04-23 04:00:00,37,TZPSU
11945,9.9507,9.95,9.96,9.96,9.95,2021-04-26 04:00:00,31,TZPSU
2963,9.9543,9.95,10.0,10.0,9.94,2021-04-27 04:00:00,18,TZPSU
9186,9.9892,9.91,10.0,10.0,9.91,2021-04-28 04:00:00,34,TZPSU
1524,9.9621,9.93,9.96,9.995,9.93,2021-04-29 04:00:00,21,TZPSU
3086,9.955400000000001,9.96,9.95,9.96,9.95,2021-04-30 04:00:00,33,TZPSU
1269,9.9991,10.0,10.0,10.0,10.0,2021-05-03 04:00:00,24,TZPSU
2535,9.9514,9.96,9.96,9.96,9.94,2021-05-04 04:00:00,27,TZPSU
