volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2893884,80.3104,79.3,79.91,81.67,79.3,2020-02-20 05:00:00,32633,UAL
4545057,78.088,79.4,78.01,79.4,77.32,2020-02-21 05:00:00,42329,UAL
6332868,75.1053,75.08,75.47,76.02,73.65,2020-02-24 05:00:00,66349,UAL
8076210,71.9728,75.76,70.57,76.18,70.32,2020-02-25 05:00:00,70432,UAL
9372177,67.801,71.75,66.53,71.91,65.89,2020-02-26 05:00:00,83927,UAL
10256790,65.3186,62.9,64.94,69.02,61.2,2020-02-27 05:00:00,98170,UAL
9957999,62.4907,62.85,61.59,64.8799,60.825,2020-02-28 05:00:00,98213,UAL
13015179,59.4631,61.13,61.26,61.27,57.0425,2020-03-02 05:00:00,107653,UAL
9208799,60.0299,63.14,58.29,63.53,57.96,2020-03-03 05:00:00,78830,UAL
10671198,58.0838,59.51,59.47,59.74,56.315,2020-03-04 05:00:00,91723,UAL
13974729,53.7429,57.11,51.59,57.16,50.93,2020-03-05 05:00:00,111633,UAL
16492236,52.9339,48.61,52.1,56.0,48.2601,2020-03-06 05:00:00,131909,UAL
12307563,48.1742,49.585,46.78,50.99,45.915,2020-03-09 04:00:00,113018,UAL
15642906,50.8208,51.0,52.56,54.33,46.62,2020-03-10 04:00:00,135229,UAL
10917056,49.2437,50.53,49.34,51.23,48.05,2020-03-11 04:00:00,104595,UAL
19423635,40.5384,42.77,37.08,44.31,37.01,2020-03-12 04:00:00,145757,UAL
24135263,38.0736,41.33,41.64,42.49,34.0,2020-03-13 04:00:00,159661,UAL
28259544,34.8539,34.34,35.47,39.37,30.38,2020-03-16 04:00:00,188725,UAL
21078874,32.7002,36.49,30.67,38.14,30.05,2020-03-17 04:00:00,153614,UAL
35372666,22.3382,28.81,21.38,28.97,17.8,2020-03-18 04:00:00,228951,UAL
31611169,21.9021,21.34,21.28,23.99,18.09,2020-03-19 04:00:00,194361,UAL
37407966,25.509,23.37,24.5,30.74,22.2,2020-03-20 04:00:00,223774,UAL
25585768,25.2947,25.97,26.25,26.6,23.37,2020-03-23 04:00:00,168470,UAL
31502493,32.1209,31.99,33.0,34.15,30.01,2020-03-24 04:00:00,206399,UAL
32988796,36.9561,38.0,36.6,39.47,33.29,2020-03-25 04:00:00,238890,UAL
