volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3618,32.8249,33.45,32.65,33.66,32.3,2020-02-20 05:00:00,138,VALU
7443,32.084,32.85,31.6,32.94,31.3,2020-02-21 05:00:00,110,VALU
9216,29.8872,30.8,30.0,30.8,29.11,2020-02-24 05:00:00,198,VALU
13692,30.0715,29.63,29.4,31.51,28.52,2020-02-25 05:00:00,208,VALU
2197,30.6942,29.96,30.65,32.21,29.96,2020-02-26 05:00:00,60,VALU
10206,28.8851,30.65,27.95,30.85,27.645,2020-02-27 05:00:00,145,VALU
18421,27.5255,27.0,28.84,29.2875,25.006,2020-02-28 05:00:00,270,VALU
8768,30.7083,28.52,31.4,31.9642,28.5,2020-03-02 05:00:00,182,VALU
3087,31.4005,32.0,32.3,32.3,30.5636,2020-03-03 05:00:00,95,VALU
7219,32.8809,31.51,34.9,35.5,31.23,2020-03-04 05:00:00,147,VALU
9688,33.4189,34.17,32.47,34.257,32.47,2020-03-05 05:00:00,174,VALU
2657,32.2324,34.085,30.85,34.5,29.91,2020-03-06 05:00:00,113,VALU
2572,27.8808,28.53,29.97,29.97,26.265,2020-03-09 04:00:00,58,VALU
2614,29.3688,26.81,30.7,30.7,26.81,2020-03-10 04:00:00,95,VALU
4722,30.2615,30.3,29.13,31.0,29.13,2020-03-11 04:00:00,127,VALU
5216,26.5277,26.6,26.69,29.33,25.41,2020-03-12 04:00:00,126,VALU
12572,27.8948,26.35,30.6,30.98,25.85,2020-03-13 04:00:00,245,VALU
13091,27.4962,29.5,27.5,29.5,25.455,2020-03-16 04:00:00,255,VALU
10078,28.3417,27.07,29.65,30.4749,26.61,2020-03-17 04:00:00,258,VALU
10084,29.0698,29.6,27.3,32.53,26.3,2020-03-18 04:00:00,226,VALU
5532,27.7836,27.5,29.02,29.02,26.58,2020-03-19 04:00:00,164,VALU
14840,26.7398,28.5,24.18,30.81,20.95,2020-03-20 04:00:00,208,VALU
12404,23.1029,24.25,22.35,27.24,20.01,2020-03-23 04:00:00,173,VALU
7618,24.3302,22.1,26.85,26.85,20.9,2020-03-24 04:00:00,124,VALU
8387,26.0984,27.7,26.87,27.7,24.5,2020-03-25 04:00:00,245,VALU
5878,28.9569,27.0,31.75,31.99,25.58,2020-03-26 04:00:00,104,VALU
13657,27.8268,31.0,28.5,31.0,26.1,2020-03-27 04:00:00,227,VALU
18770,31.3146,28.4,31.98,33.3,28.4,2020-03-30 04:00:00,350,VALU
10263,32.5339,33.04,32.35,33.9,31.71,2020-03-31 04:00:00,210,VALU
5924,31.1745,32.35,30.07,32.35,30.0,2020-04-01 04:00:00,227,VALU
18201,30.4263,30.49,31.28,32.5,27.7,2020-04-02 04:00:00,702,VALU
8064,29.2683,30.5,28.46,31.0,27.005,2020-04-03 04:00:00,189,VALU
3466,30.3907,29.8835,31.3,31.3,29.5993,2020-04-06 04:00:00,128,VALU
9567,30.5022,31.49,31.14,32.1,29.51,2020-04-07 04:00:00,176,VALU
1972,30.673000000000002,29.52,31.7,31.7,29.0201,2020-04-08 04:00:00,69,VALU
9171,31.5862,30.63,31.5,33.33,30.25,2020-04-09 04:00:00,240,VALU
6495,31.3586,31.8,31.6,31.8,29.6263,2020-04-13 04:00:00,114,VALU
2873,31.8454,32.0,32.0,32.0177,31.3,2020-04-14 04:00:00,80,VALU
3313,30.689,30.0,30.0,31.0035,30.0,2020-04-15 04:00:00,114,VALU
4261,30.3755,33.01,30.92,33.01,29.3226,2020-04-16 04:00:00,230,VALU
3578,30.5092,31.2,33.9,33.9,28.08,2020-04-17 04:00:00,104,VALU
1315,31.4629,31.99,30.89,31.99,30.73,2020-04-20 04:00:00,70,VALU
6641,29.656,29.85,30.0,30.8,29.5,2020-04-21 04:00:00,368,VALU
5044,30.04,30.0,30.9,30.9,28.815,2020-04-22 04:00:00,126,VALU
1264,30.7896,30.77,30.6,30.77,30.6,2020-04-23 04:00:00,126,VALU
2694,30.2292,30.01,30.4,30.75,29.93,2020-04-24 04:00:00,166,VALU
2109,30.741,30.28,30.98,31.4426,30.28,2020-04-27 04:00:00,125,VALU
4308,31.1301,31.28,31.75,31.75,29.4001,2020-04-28 04:00:00,110,VALU
3168,33.8126,31.75,34.1,34.99,31.75,2020-04-29 04:00:00,286,VALU
3626,30.9166,33.5599,30.98,33.5599,29.57,2020-04-30 04:00:00,177,VALU
1594,28.1881,28.49,28.1,28.49,28.1,2020-05-01 04:00:00,201,VALU
2056,28.4976,28.0,28.7,29.7621,27.0,2020-05-04 04:00:00,387,VALU
4340,28.4564,30.8771,27.1,30.8771,26.7102,2020-05-05 04:00:00,414,VALU
2953,27.9536,28.47,27.61,28.47,27.487,2020-05-06 04:00:00,69,VALU
3778,28.2427,27.9277,28.19,28.75,27.9277,2020-05-07 04:00:00,121,VALU
1848,28.3012,27.355,28.84,28.84,27.305,2020-05-08 04:00:00,63,VALU
1636,27.8809,28.16,27.52,28.16,27.52,2020-05-11 04:00:00,92,VALU
5831,26.7851,27.1,25.91,27.55,25.91,2020-05-12 04:00:00,216,VALU
2050,25.602899999999998,26.2,25.0,26.445,25.0,2020-05-13 04:00:00,134,VALU
7024,24.3644,25.34,24.1,25.34,23.6354,2020-05-14 04:00:00,244,VALU
6205,26.066,24.58,27.28,27.295,24.58,2020-05-15 04:00:00,120,VALU
6974,28.5316,28.0,29.2,29.3,27.97,2020-05-18 04:00:00,224,VALU
3215,28.6276,29.05,28.39,30.25,27.7,2020-05-19 04:00:00,126,VALU
5544,28.9435,29.79,28.95,30.4,28.01,2020-05-20 04:00:00,167,VALU
1773,28.7294,29.0,28.5,29.0,27.945,2020-05-21 04:00:00,37,VALU
1301,27.3431,27.33,27.0125,27.33,27.0125,2020-05-22 04:00:00,48,VALU
965,27.8812,27.07,27.5,27.97,27.07,2020-05-26 04:00:00,59,VALU
7087,29.5035,28.29,30.54,30.75,28.025,2020-05-27 04:00:00,175,VALU
6966,30.3226,29.91,28.51,31.11,28.51,2020-05-28 04:00:00,198,VALU
1372,28.6628,29.31,28.5,29.31,27.5001,2020-05-29 04:00:00,68,VALU
