volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3058429,14.3679,14.11,14.41,14.44,14.09,2020-02-20 05:00:00,12487,VIAV
2469425,14.166,14.37,14.18,14.4,14.04,2020-02-21 05:00:00,14420,VIAV
2408498,13.6945,13.69,13.7,13.8665,13.49,2020-02-24 05:00:00,17292,VIAV
3388282,13.4895,13.71,13.41,13.76,13.26,2020-02-25 05:00:00,22819,VIAV
3351854,13.8362,13.54,13.68,14.06,13.5,2020-02-26 05:00:00,19439,VIAV
2984651,13.2457,13.26,13.04,13.6007,13.03,2020-02-27 05:00:00,19805,VIAV
4513323,13.0782,12.57,13.19,13.435,12.5,2020-02-28 05:00:00,28108,VIAV
2302053,13.3666,13.24,13.55,13.58,13.0,2020-03-02 05:00:00,17066,VIAV
3203429,13.3427,13.51,13.185,13.8,13.1,2020-03-03 05:00:00,23760,VIAV
1324602,13.4881,13.42,13.62,13.64,13.145,2020-03-04 05:00:00,10156,VIAV
2130699,13.1396,13.26,13.11,13.5,12.98,2020-03-05 05:00:00,15614,VIAV
3739860,13.0457,12.7,13.09,13.355,12.6,2020-03-06 05:00:00,25618,VIAV
4834047,12.6999,12.34,12.6,13.11,12.32,2020-03-09 04:00:00,34712,VIAV
5939118,12.6536,12.95,12.71,13.06,12.38,2020-03-10 04:00:00,36117,VIAV
2334252,12.1465,12.43,12.01,12.62,11.83,2020-03-11 04:00:00,19945,VIAV
3583058,10.6491,11.39,10.12,11.39,10.09,2020-03-12 04:00:00,20484,VIAV
3224215,10.7294,10.62,11.22,11.22,10.035,2020-03-13 04:00:00,24723,VIAV
3528294,9.8972,8.52,9.91,10.41,8.0801,2020-03-16 04:00:00,23779,VIAV
4336612,10.235,10.16,10.41,10.725,9.545,2020-03-17 04:00:00,32443,VIAV
4477676,9.464,9.72,9.0,10.35,8.95,2020-03-18 04:00:00,26704,VIAV
3767622,9.6924,8.95,9.87,10.15,8.5261,2020-03-19 04:00:00,25544,VIAV
