volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
177918,7.6146,7.55,7.49,7.77,7.47,2020-02-20 05:00:00,1068,VIOT
111803,7.3015,7.47,7.3,7.53,7.23,2020-02-21 05:00:00,700,VIOT
216458,6.9251000000000005,7.23,6.73,7.23,6.7,2020-02-24 05:00:00,1363,VIOT
171758,6.9261,6.76,6.8100000000000005,7.1,6.71,2020-02-25 05:00:00,930,VIOT
82954,6.8359000000000005,6.77,6.7,7.0,6.7,2020-02-26 05:00:00,498,VIOT
228457,6.561,6.75,6.62,6.78,6.35,2020-02-27 05:00:00,927,VIOT
178809,6.3344000000000005,6.41,6.26,6.57,6.17,2020-02-28 05:00:00,1165,VIOT
114804,6.3734,6.32,6.35,6.48,6.27,2020-03-02 05:00:00,878,VIOT
68814,6.2189,6.35,6.26,6.4369,6.06,2020-03-03 05:00:00,533,VIOT
61264,6.1641,6.19,6.19,6.32,6.045,2020-03-04 05:00:00,354,VIOT
39257,6.1543,6.14,6.11,6.24,6.08,2020-03-05 05:00:00,264,VIOT
70421,5.9593,6.04,5.89,6.08,5.82,2020-03-06 05:00:00,526,VIOT
197710,5.3568999999999996,5.52,5.3,5.59,5.11,2020-03-09 04:00:00,958,VIOT
90178,5.4621,5.5,5.47,5.59,5.36,2020-03-10 04:00:00,654,VIOT
76820,5.3915,5.4,5.38,5.58,5.3,2020-03-11 04:00:00,747,VIOT
152523,4.9305,5.02,4.8,5.35,4.76,2020-03-12 04:00:00,1125,VIOT
133234,5.0272,5.02,5.2,5.39,4.8100000000000005,2020-03-13 04:00:00,848,VIOT
86472,4.8324,4.7,4.65,5.11,4.62,2020-03-16 04:00:00,626,VIOT
107133,4.6985,4.61,4.46,5.0,4.44,2020-03-17 04:00:00,748,VIOT
167303,4.4692,4.36,4.3035,4.66,4.2,2020-03-18 04:00:00,1012,VIOT
47245,4.4462,4.31,4.4,4.5600000000000005,4.31,2020-03-19 04:00:00,396,VIOT
153309,4.6562,4.66,4.58,4.9499,4.55,2020-03-20 04:00:00,770,VIOT
89244,4.5164,4.6,4.5,4.69,4.44,2020-03-23 04:00:00,655,VIOT
117938,4.7136,4.8100000000000005,4.58,4.89,4.55,2020-03-24 04:00:00,637,VIOT
919173,4.781,4.83,4.74,4.975,4.64,2020-03-25 04:00:00,1676,VIOT
1746593,5.547,5.49,5.12,6.05,5.11,2020-03-26 04:00:00,8243,VIOT
291870,4.8007,5.01,4.55,5.12,4.53,2020-03-27 04:00:00,1734,VIOT
373323,4.5109,4.7,4.46,4.72,4.3,2020-03-30 04:00:00,1511,VIOT
459323,4.4718,4.55,4.35,4.55,4.35,2020-03-31 04:00:00,1433,VIOT
302467,4.4181,4.31,4.47,4.5600000000000005,4.25,2020-04-01 04:00:00,1360,VIOT
204646,4.626,4.55,4.63,4.74,4.54,2020-04-02 04:00:00,910,VIOT
154816,4.6622,4.66,4.67,4.73,4.6,2020-04-03 04:00:00,860,VIOT
231645,4.8962,4.8,4.86,4.96,4.7101,2020-04-06 04:00:00,914,VIOT
478254,5.0413,4.9,4.98,5.11,4.9,2020-04-07 04:00:00,1344,VIOT
291672,5.2016,5.04,5.2,5.34,5.03,2020-04-08 04:00:00,1522,VIOT
417039,5.4543,5.25,5.6,5.7,5.22,2020-04-09 04:00:00,1498,VIOT
222559,5.2326,5.57,5.26,5.5977,5.0,2020-04-13 04:00:00,1095,VIOT
102557,5.4272,5.26,5.44,5.57,5.26,2020-04-14 04:00:00,1024,VIOT
56409,5.3413,5.41,5.38,5.49,5.22,2020-04-15 04:00:00,439,VIOT
111048,5.4108,5.38,5.48,5.54,5.34,2020-04-16 04:00:00,822,VIOT
82758,5.7332,5.65,5.78,5.85,5.58,2020-04-17 04:00:00,746,VIOT
131475,5.7064,5.69,5.64,5.84,5.55,2020-04-20 04:00:00,1268,VIOT
378139,5.3958,5.59,5.3,5.79,5.2,2020-04-21 04:00:00,1634,VIOT
114511,5.6143,5.42,5.68,5.72,5.42,2020-04-22 04:00:00,814,VIOT
75499,5.7887,5.7,5.71,5.9173,5.7,2020-04-23 04:00:00,510,VIOT
67633,5.752,5.8,5.76,5.85,5.66,2020-04-24 04:00:00,485,VIOT
63191,5.8215,5.85,5.8,5.89,5.76,2020-04-27 04:00:00,433,VIOT
93083,5.7714,5.8,5.69,5.85,5.67,2020-04-28 04:00:00,541,VIOT
100594,5.9366,5.75,5.94,6.04,5.72,2020-04-29 04:00:00,708,VIOT
50069,5.976,5.93,6.04,6.05,5.899,2020-04-30 04:00:00,751,VIOT
111884,5.8355,5.9,5.77,6.038,5.72,2020-05-01 04:00:00,509,VIOT
91347,5.8657,5.76,5.8100000000000005,5.98,5.7,2020-05-04 04:00:00,532,VIOT
33304,5.9474,5.85,5.89,6.02,5.85,2020-05-05 04:00:00,277,VIOT
120321,5.9791,5.89,5.85,6.06,5.85,2020-05-06 04:00:00,503,VIOT
28285,5.9691,5.96,5.94,6.0,5.91,2020-05-07 04:00:00,246,VIOT
105734,5.9941,5.95,5.97,6.08,5.91,2020-05-08 04:00:00,518,VIOT
69506,5.9704,5.96,6.09,6.14,5.9,2020-05-11 04:00:00,368,VIOT
65023,6.1329,6.15,6.13,6.22,6.01,2020-05-12 04:00:00,576,VIOT
135016,6.1266,6.14,6.1,6.22,6.03,2020-05-13 04:00:00,725,VIOT
134946,5.8616,6.01,5.92,6.155,5.62,2020-05-14 04:00:00,487,VIOT
258645,5.7866,5.86,5.72,5.99,5.64,2020-05-15 04:00:00,1200,VIOT
180733,5.8847000000000005,5.91,5.96,6.01,5.715,2020-05-18 04:00:00,1471,VIOT
245175,5.797,5.98,5.77,6.05,5.7,2020-05-19 04:00:00,1252,VIOT
230799,5.7152,5.86,5.68,5.89,5.61,2020-05-20 04:00:00,1450,VIOT
114789,5.5961,5.65,5.58,5.71,5.51,2020-05-21 04:00:00,695,VIOT
87596,5.4622,5.58,5.45,5.58,5.41,2020-05-22 04:00:00,519,VIOT
142607,5.5919,5.6,5.47,5.785,5.47,2020-05-26 04:00:00,654,VIOT
82977,5.5245,5.5,5.51,5.64,5.4,2020-05-27 04:00:00,426,VIOT
174735,5.3186,5.52,5.23,5.53,5.2,2020-05-28 04:00:00,1177,VIOT
197018,5.1699,5.24,5.17,5.24,5.05,2020-05-29 04:00:00,919,VIOT
82773,5.1556,5.15,5.29,5.3,5.01,2020-06-01 04:00:00,622,VIOT
74914,5.3126,5.33,5.22,5.4027,5.1,2020-06-02 04:00:00,541,VIOT
167056,5.301,5.25,5.31,5.39,5.2,2020-06-03 04:00:00,1127,VIOT
96301,5.395,5.31,5.36,5.45,5.31,2020-06-04 04:00:00,455,VIOT
183220,5.529,5.43,5.55,5.6,5.39,2020-06-05 04:00:00,1001,VIOT
97999,5.6399,5.62,5.65,5.72,5.55,2020-06-08 04:00:00,543,VIOT
77119,5.5476,5.63,5.57,5.68,5.4,2020-06-09 04:00:00,454,VIOT
75330,5.4988,5.69,5.42,5.69,5.31,2020-06-10 04:00:00,378,VIOT
243985,5.0578,5.4,5.02,5.4,4.84,2020-06-11 04:00:00,1196,VIOT
107125,5.1381,5.2,5.25,5.34,5.05,2020-06-12 04:00:00,621,VIOT
112661,5.0759,5.2,5.12,5.2,4.96,2020-06-15 04:00:00,622,VIOT
54370,5.2429,5.17,5.19,5.34,5.14,2020-06-16 04:00:00,389,VIOT
