volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3564783,12.0686,13.8,11.38,13.8,10.49,2021-11-19 05:00:00,19177,WEJO
1865543,9.6721,11.0699,8.25,11.31,8.25,2021-11-22 05:00:00,11878,WEJO
1057811,7.6665,8.48,7.69,8.63,7.15,2021-11-23 05:00:00,7334,WEJO
918658,7.1205,7.5,7.43,7.63,6.79,2021-11-24 05:00:00,5600,WEJO
350740,7.4308,7.14,7.43,7.88,6.964,2021-11-26 05:00:00,2261,WEJO
531940,7.0008,7.34,7.0,7.4989,6.68,2021-11-29 05:00:00,2863,WEJO
1220754,6.2875,6.99,6.12,7.0,5.8,2021-11-30 05:00:00,5319,WEJO
1014160,5.6856,6.41,5.39,6.41,5.2,2021-12-01 05:00:00,5788,WEJO
1071986,4.9633,5.35,4.76,5.35,4.6514,2021-12-02 05:00:00,5147,WEJO
2247115,5.8732,4.82,6.23,6.61,4.75,2021-12-03 05:00:00,10006,WEJO
898488,6.0986,6.04,6.02,6.63,5.5600000000000005,2021-12-06 05:00:00,4784,WEJO
380511,6.1267,6.24,5.8100000000000005,6.5,5.8,2021-12-07 05:00:00,2413,WEJO
1016151,6.7503,6.19,6.5600000000000005,7.17,6.07,2021-12-08 05:00:00,5042,WEJO
1236189,7.3464,6.72,7.26,7.98,6.63,2021-12-09 05:00:00,6063,WEJO
688027,7.0761,7.58,6.59,7.77,6.53,2021-12-10 05:00:00,3129,WEJO
271567,6.5724,6.78,6.47,7.17,6.22,2021-12-13 05:00:00,1686,WEJO
963466,5.8151,6.37,5.47,6.5,5.08,2021-12-14 05:00:00,5490,WEJO
457367,5.4454,5.41,5.5,5.75,5.25,2021-12-15 05:00:00,2547,WEJO
759813,5.2158,5.64,4.9,5.66,4.85,2021-12-16 05:00:00,3669,WEJO
641046,5.1259,4.94,5.21,5.326,4.83,2021-12-17 05:00:00,2845,WEJO
423345,5.0784,5.0,5.26,5.26,4.88,2021-12-20 05:00:00,2132,WEJO
764917,5.4239,5.85,5.28,5.85,5.16,2021-12-21 05:00:00,4439,WEJO
987016,6.0161,5.33,6.48,6.6321,5.27,2021-12-22 05:00:00,4659,WEJO
712407,6.6772,6.79,6.55,6.95,6.32,2021-12-23 05:00:00,3959,WEJO
1080809,7.066,7.0,7.09,7.2491,6.8,2021-12-27 05:00:00,4833,WEJO
415432,7.0755,7.3925,7.25,7.3925,6.7600999999999996,2021-12-28 05:00:00,2737,WEJO
1344395,7.7364,7.25,7.5,8.1,7.18,2021-12-29 05:00:00,6079,WEJO
1060286,7.1295,8.06,6.75,8.0998,6.5764,2021-12-30 05:00:00,5275,WEJO
482411,6.5928,6.84,6.84,6.95,6.25,2021-12-31 05:00:00,2659,WEJO
512694,6.671,6.89,6.5600000000000005,6.89,6.5,2022-01-03 05:00:00,2054,WEJO
3246122,8.345,6.5600000000000005,6.3,6.69,6.06,2022-01-04 05:00:00,19068,WEJO
6644952,7.2599,7.16,6.61,7.72,6.44,2022-01-05 05:00:00,50307,WEJO
633999,6.2575,6.49,6.24,6.5867,6.08,2022-01-06 05:00:00,4656,WEJO
417098,5.9624,5.91,6.05,6.2054,5.78,2022-01-07 05:00:00,2754,WEJO
557740,5.5933,5.95,5.85,5.97,5.33,2022-01-10 05:00:00,3716,WEJO
536135,5.9098,5.75,6.0,6.09,5.74,2022-01-11 05:00:00,4851,WEJO
493467,5.7346,6.01,5.72,6.05,5.6099,2022-01-12 05:00:00,3006,WEJO
1307483,5.5368,5.66,5.54,5.8921,5.45,2022-01-13 05:00:00,1694,WEJO
447561,5.4218,5.51,5.45,5.6699,5.25,2022-01-14 05:00:00,1790,WEJO
712220,5.1789,5.39,5.18,5.39,5.04,2022-01-18 05:00:00,3210,WEJO
673605,5.0627,5.16,5.04,5.25,4.94,2022-01-19 05:00:00,2691,WEJO
373156,5.1888,5.0,5.1,5.44,4.9655000000000005,2022-01-20 05:00:00,2120,WEJO
444897,5.0262,5.01,4.9,5.3713,4.85,2022-01-21 05:00:00,2217,WEJO
1320378,4.2157,4.69,4.31,4.83,3.86,2022-01-24 05:00:00,4640,WEJO
296285,4.2517,4.18,4.3,4.43,4.13,2022-01-25 05:00:00,1758,WEJO
337353,4.4533000000000005,4.44,4.23,4.66,4.13,2022-01-26 05:00:00,1711,WEJO
461404,3.8702,4.2,3.69,4.25,3.66,2022-01-27 05:00:00,2701,WEJO
430413,3.7231,3.54,3.7,3.9,3.54,2022-01-28 05:00:00,2484,WEJO
414449,3.9318,3.75,3.95,4.08,3.7,2022-01-31 05:00:00,2233,WEJO
427449,4.2065,3.9699999999999998,4.28,4.42,3.9699999999999998,2022-02-01 05:00:00,1944,WEJO
348480,4.3303,4.54,4.2,4.7061,4.15,2022-02-02 05:00:00,2047,WEJO
161001,4.1227,4.06,4.05,4.26,3.98,2022-02-03 05:00:00,1085,WEJO
192382,4.1292,4.02,4.18,4.29,3.95,2022-02-04 05:00:00,1293,WEJO
425605,4.1675,4.22,4.03,4.39,3.9699999999999998,2022-02-07 05:00:00,2438,WEJO
208157,4.296,3.98,4.36,4.44,3.95,2022-02-08 05:00:00,1799,WEJO
472538,4.6172,4.5699000000000005,4.58,4.78,4.425,2022-02-09 05:00:00,3211,WEJO
421844,4.591,4.52,4.38,4.93,4.33,2022-02-10 05:00:00,2185,WEJO
481387,4.4242,4.354,4.19,4.73,4.15,2022-02-11 05:00:00,3351,WEJO
570013,4.3286999999999995,4.31,4.19,4.5396,4.15,2022-02-14 05:00:00,4347,WEJO
