volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
38007,83.5739,83.55,83.69,84.89,81.42,2020-02-20 05:00:00,958,WRLD
40177,84.365,83.39,84.6,85.095,82.7,2020-02-21 05:00:00,1216,WRLD
63919,82.687,81.53,84.07,84.4,81.06,2020-02-24 05:00:00,1361,WRLD
84880,80.65090000000001,83.91,80.5,83.91,80.15,2020-02-25 05:00:00,1645,WRLD
66667,80.3961,80.87,80.37,81.45,79.79,2020-02-26 05:00:00,979,WRLD
63715,81.6232,78.87,81.44,83.35,77.815,2020-02-27 05:00:00,1397,WRLD
76006,78.9546,79.03,78.1,81.71,77.28,2020-02-28 05:00:00,1370,WRLD
52622,77.1956,78.2,78.44,79.615,75.2,2020-03-02 05:00:00,2874,WRLD
63431,75.6141,78.36,75.16,78.82,74.27,2020-03-03 05:00:00,1847,WRLD
42409,77.9435,76.0,79.27,79.95,74.91,2020-03-04 05:00:00,932,WRLD
72785,76.232,77.84,76.56,77.84,75.13,2020-03-05 05:00:00,1334,WRLD
82896,74.65,74.55,73.99,76.32,73.41,2020-03-06 05:00:00,1297,WRLD
101374,67.5823,69.68,67.71,69.68,66.05,2020-03-09 04:00:00,2030,WRLD
72373,69.7685,69.96,70.54,71.205,67.91,2020-03-10 04:00:00,1582,WRLD
127795,64.0045,69.03,64.22,69.38,61.97,2020-03-11 04:00:00,1827,WRLD
86730,57.697,60.12,58.0,60.12,55.455,2020-03-12 04:00:00,1362,WRLD
182516,61.1798,61.68,62.61,70.82,52.42,2020-03-13 04:00:00,2763,WRLD
134320,58.1573,56.52,57.89,59.2,55.76,2020-03-16 04:00:00,2441,WRLD
96028,62.2631,59.09,64.52,65.62,56.91,2020-03-17 04:00:00,1741,WRLD
97347,57.1293,60.28,56.18,61.935,55.04,2020-03-18 04:00:00,2336,WRLD
107909,56.8304,55.36,55.62,65.02,54.265,2020-03-19 04:00:00,1902,WRLD
137703,55.4106,55.81,55.4,58.53,52.48,2020-03-20 04:00:00,1932,WRLD
134168,53.1541,55.72,54.1,55.72,50.7,2020-03-23 04:00:00,2346,WRLD
90092,59.1566,57.2,58.63,61.77,56.9501,2020-03-24 04:00:00,1456,WRLD
117180,58.9763,59.14,58.15,61.2,57.38,2020-03-25 04:00:00,1586,WRLD
72285,58.5073,58.13,58.0,61.42,55.71,2020-03-26 04:00:00,1358,WRLD
116351,54.3895,55.94,55.58,58.33,51.29,2020-03-27 04:00:00,1638,WRLD
72503,54.8807,55.66,57.5,58.02,52.92,2020-03-30 04:00:00,1312,WRLD
136760,54.9396,57.23,54.61,57.245,54.29,2020-03-31 04:00:00,1940,WRLD
116945,50.6656,53.65,50.01,54.39,48.96,2020-04-01 04:00:00,1960,WRLD
100402,49.1788,49.34,48.04,52.8,46.82,2020-04-02 04:00:00,2300,WRLD
99627,44.9106,47.73,44.35,47.89,43.16,2020-04-03 04:00:00,1867,WRLD
115318,49.7498,46.16,50.29,50.64,45.46,2020-04-06 04:00:00,1982,WRLD
101626,53.1906,51.19,53.32,55.085,51.19,2020-04-07 04:00:00,1709,WRLD
170998,58.0136,54.05,59.03,59.46,53.41,2020-04-08 04:00:00,2374,WRLD
146520,62.7154,61.17,61.73,68.7,60.87,2020-04-09 04:00:00,2250,WRLD
105054,59.5897,61.1,60.04,62.81,57.88,2020-04-13 04:00:00,1625,WRLD
102509,58.5108,61.22,59.26,61.22,56.5,2020-04-14 04:00:00,2109,WRLD
154350,56.2956,56.8,56.02,58.345,54.33,2020-04-15 04:00:00,2614,WRLD
85666,55.5795,56.12,56.26,58.0,54.412,2020-04-16 04:00:00,1465,WRLD
72694,58.2848,58.64,58.11,59.02,57.56,2020-04-17 04:00:00,1497,WRLD
