volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
875813,4.5221,4.5600000000000005,4.49,4.62,4.4,2020-02-20 05:00:00,4427,XNET
634524,4.3023,4.48,4.34,4.49,4.22,2020-02-21 05:00:00,2334,XNET
682358,4.2574,4.2,4.34,4.35,4.19,2020-02-24 05:00:00,3484,XNET
663771,4.2812,4.35,4.28,4.37,4.22,2020-02-25 05:00:00,3509,XNET
778573,4.4185,4.33,4.45,4.53,4.25,2020-02-26 05:00:00,3079,XNET
635318,4.3672,4.4,4.28,4.46,4.24,2020-02-27 05:00:00,2985,XNET
956650,4.1634,4.24,4.35,4.35,4.0,2020-02-28 05:00:00,4250,XNET
1098314,4.0511,4.27,3.99,4.285,3.9,2020-03-02 05:00:00,4042,XNET
580590,4.0509,4.02,3.98,4.16,3.95,2020-03-03 05:00:00,2625,XNET
347611,4.0433,3.99,4.07,4.11,3.955,2020-03-04 05:00:00,1634,XNET
447212,3.9931,4.03,4.01,4.08,3.9,2020-03-05 05:00:00,2244,XNET
719527,3.8337,4.02,3.7199999999999998,4.06,3.6111,2020-03-06 05:00:00,2693,XNET
767118,3.4252000000000002,3.37,3.45,3.62,3.18,2020-03-09 04:00:00,2592,XNET
536397,3.4182,3.5300000000000002,3.49,3.62,3.2801,2020-03-10 04:00:00,2226,XNET
374961,3.3768000000000002,3.41,3.37,3.49,3.2800000000000002,2020-03-11 04:00:00,2014,XNET
958631,2.9957000000000003,3.1,3.02,3.14,2.7,2020-03-12 04:00:00,2307,XNET
707985,2.938,3.27,2.88,3.27,2.8,2020-03-13 04:00:00,2539,XNET
789969,2.4888,2.56,2.38,2.63,2.38,2020-03-16 04:00:00,2814,XNET
604543,2.6079,2.5,2.83,2.85,2.385,2020-03-17 04:00:00,2881,XNET
314105,2.5811,2.54,2.48,2.7199999999999998,2.45,2020-03-18 04:00:00,1641,XNET
397953,2.5894,2.45,2.64,2.65,2.45,2020-03-19 04:00:00,1507,XNET
1204311,2.7989,2.68,2.69,2.98,2.68,2020-03-20 04:00:00,3586,XNET
361674,2.7459,2.7,2.8200000000000003,2.89,2.61,2020-03-23 04:00:00,2079,XNET
355054,3.0122,2.89,3.06,3.14,2.86,2020-03-24 04:00:00,1480,XNET
465327,3.1924,3.12,3.25,3.35,2.92,2020-03-25 04:00:00,2122,XNET
499794,3.3674,3.2,3.43,3.48,3.1638,2020-03-26 04:00:00,2454,XNET
264928,3.2173,3.21,3.18,3.3,3.14,2020-03-27 04:00:00,1640,XNET
280659,3.1658,3.19,3.19,3.245,3.09,2020-03-30 04:00:00,1777,XNET
401012,3.3757,3.14,3.3,3.5300000000000002,3.14,2020-03-31 04:00:00,2036,XNET
339323,3.0805,3.16,3.05,3.29,2.9699999999999998,2020-04-01 04:00:00,1932,XNET
357823,3.2022,3.18,3.22,3.34,3.05,2020-04-02 04:00:00,1517,XNET
306833,3.0924,3.27,2.99,3.3529999999999998,2.95,2020-04-03 04:00:00,1678,XNET
484455,3.1718,3.12,3.14,3.3,3.095,2020-04-06 04:00:00,2513,XNET
507932,3.1814,3.31,3.19,3.33,3.05,2020-04-07 04:00:00,2013,XNET
334800,3.2351,3.19,3.25,3.31,3.13,2020-04-08 04:00:00,2150,XNET
375540,3.1692,3.25,3.09,3.33,3.03,2020-04-09 04:00:00,1824,XNET
464400,3.129,3.15,3.16,3.21,3.05,2020-04-13 04:00:00,1979,XNET
299736,3.2862999999999998,3.19,3.29,3.37,3.141,2020-04-14 04:00:00,1627,XNET
292909,3.2681,3.25,3.3,3.35,3.12,2020-04-15 04:00:00,1401,XNET
1721709,3.5417,3.84,3.34,3.9,3.2800000000000002,2020-04-16 04:00:00,6453,XNET
637202,3.527,3.41,3.56,3.64,3.37,2020-04-17 04:00:00,2886,XNET
482913,3.5261,3.54,3.39,3.73,3.35,2020-04-20 04:00:00,2158,XNET
607001,3.1205,3.29,3.14,3.35,2.92,2020-04-21 04:00:00,2294,XNET
454076,3.3405,3.19,3.43,3.48,3.1698,2020-04-22 04:00:00,1981,XNET
358998,3.4059,3.36,3.31,3.52,3.29,2020-04-23 04:00:00,1583,XNET
172129,3.3533,3.4,3.35,3.4050000000000002,3.24,2020-04-24 04:00:00,1164,XNET
246016,3.4008000000000003,3.45,3.34,3.5,3.32,2020-04-27 04:00:00,1255,XNET
225197,3.3247,3.35,3.33,3.42,3.235,2020-04-28 04:00:00,1190,XNET
715243,3.6377,3.36,3.7,3.8200000000000003,3.34,2020-04-29 04:00:00,2853,XNET
343438,3.6292,3.68,3.66,3.77,3.5300000000000002,2020-04-30 04:00:00,2028,XNET
529343,3.2905,3.6,3.16,3.6,3.14,2020-05-01 04:00:00,2039,XNET
114361,3.1986,3.22,3.21,3.31,3.13,2020-05-04 04:00:00,663,XNET
254219,3.19,3.3,3.15,3.34,3.125,2020-05-05 04:00:00,1324,XNET
264885,3.2418,3.14,3.23,3.33,3.14,2020-05-06 04:00:00,1372,XNET
511245,3.3778,3.2,3.4,3.52,3.2,2020-05-07 04:00:00,1840,XNET
693589,3.6689,3.47,3.81,3.84,3.45,2020-05-08 04:00:00,2316,XNET
466367,3.6102,3.64,3.52,3.7,3.51,2020-05-11 04:00:00,2118,XNET
452010,3.6159,3.55,3.5700000000000003,3.77,3.44,2020-05-12 04:00:00,1740,XNET
384137,3.45,3.56,3.4,3.58,3.33,2020-05-13 04:00:00,2130,XNET
441860,3.3333,3.43,3.45,3.5789,3.22,2020-05-14 04:00:00,2343,XNET
255862,3.4476,3.39,3.49,3.52,3.3,2020-05-15 04:00:00,1733,XNET
233598,3.4556,3.5700000000000003,3.41,3.61,3.365,2020-05-18 04:00:00,1684,XNET
240704,3.47,3.39,3.42,3.525,3.38,2020-05-19 04:00:00,990,XNET
432477,3.5086,3.45,3.54,3.65,3.45,2020-05-20 04:00:00,2224,XNET
397511,3.4876,3.47,3.47,3.56,3.4401,2020-05-21 04:00:00,2199,XNET
705026,3.2868,3.43,3.24,3.5,3.205,2020-05-22 04:00:00,3491,XNET
