Date,Open,High,Low,Close,Volume,Currency
2018-02-02,0.99621,1.29664,0.9905,1.01958,368619,USD
2018-02-03,1.01958,1.08245,0.99804,1.00034,152940,USD
2018-02-04,1.00034,1.02892,0.99811,0.99858,71956,USD
2018-02-05,0.99858,1.01803,0.98401,1.01675,64736,USD
2018-02-06,1.01667,1.213,0.9874,1.02029,325179,USD
2018-02-07,1.02029,1.04393,0.99794,0.99794,225201,USD
2018-02-08,0.99794,1.01942,0.99794,1.0036,47227,USD
2018-02-09,1.0036,1.01843,0.9972,0.9987,54059,USD
2018-02-10,0.9987,1.01559,0.995,1.01369,123322,USD
2018-02-11,1.01369,1.01499,0.91355,1.00099,36768,USD
2018-02-12,1.00099,1.00497,0.99999,1.00497,20673,USD
2018-02-13,1.00497,1.00806,0.9961,1.00789,7448,USD
2018-02-14,1.00789,1.00789,0.99501,0.99501,13709,USD
2018-02-15,0.99501,1.00297,0.99401,1.00201,12232,USD
2018-02-16,1.00201,1.0046,0.99352,0.99401,40509,USD
2018-02-17,0.99401,1.00161,0.99215,0.99893,11423,USD
2018-02-18,0.99893,1.00091,0.98903,0.99102,29987,USD
2018-02-19,0.99102,1.00151,0.99102,0.9943,1923,USD
2018-02-20,0.9943,1.01098,0.9943,1.00111,17689,USD
2018-02-21,1.00111,1.00769,0.99715,1.00004,6270,USD
2018-02-22,1.00004,1.003,0.99301,0.99691,61714,USD
2018-02-23,0.99691,1.00461,0.99301,1.00461,3579,USD
2018-02-24,1.00461,1.00461,0.99303,0.99303,19251,USD
2018-02-25,0.99303,0.99991,0.99224,0.99454,290,USD
2018-02-26,0.99454,0.99984,0.99319,0.99319,7167,USD
2018-02-27,0.99319,1.00104,0.99319,0.99505,10502,USD
2018-02-28,0.99505,1.00122,0.99353,0.99494,14267,USD
2018-03-01,0.99494,1.00002,0.99449,0.99449,6184,USD
2018-03-02,0.99449,0.99985,0.99447,0.99683,3392,USD
2018-03-03,0.99683,1.00006,0.99508,1.00006,4371,USD
2018-03-04,1.00006,1.00006,0.99511,0.99814,2663,USD
2018-03-05,0.99814,1.00163,0.99455,1.00162,11836,USD
2018-03-06,1.00162,1.00203,0.99356,0.99356,17412,USD
2018-03-07,0.99356,1.01198,0.99356,1.00001,25556,USD
2018-03-08,1.00001,1.0024,0.99352,0.99672,14855,USD
2018-03-09,0.99672,1.0043,0.9949,0.995,6639,USD
2018-03-10,0.995,1.01599,0.9949,1.00999,3490,USD
2018-03-11,1.00999,1.00999,0.9949,0.998,2914,USD
2018-03-12,0.998,1.01558,0.995,1.00275,10542,USD
2018-03-13,1.00275,1.00275,0.99531,0.9963,10946,USD
2018-03-14,0.9963,1.00108,0.99553,0.99558,10483,USD
2018-03-15,0.99558,1.002,0.9934,0.9934,9834,USD
2018-03-16,0.9934,0.9971,0.9934,0.99709,1657,USD
2018-03-17,0.99709,0.99709,0.99444,0.99703,4860,USD
2018-03-18,0.99703,0.99703,0.99393,0.99394,4842,USD
2018-03-19,0.99394,1.0045,0.9921,1.0044,107354,USD
2018-03-20,1.0044,1.0044,0.9921,0.99366,8676,USD
2018-03-21,0.99366,1.00327,0.99278,0.99432,16030,USD
2018-03-22,0.99432,1.00312,0.99417,0.99445,5472,USD
2018-03-23,0.99445,0.99645,0.99442,0.99564,4147,USD
2018-03-24,0.99564,0.99814,0.99497,0.99586,4236,USD
2018-03-25,0.99586,1.00145,0.9953,1.00009,7374,USD
2018-03-26,1.00009,1.00171,0.99643,0.99734,3396,USD
2018-03-27,0.99734,0.99786,0.99513,0.99514,3700,USD
2018-03-28,0.99514,0.99852,0.99412,0.99412,1906,USD
2018-03-29,0.99412,1.0043,0.994,0.994,6115,USD
2018-03-30,0.994,1.0043,0.994,0.99404,713,USD
2018-03-31,0.99404,0.99781,0.99402,0.99403,1026,USD
2018-04-01,0.99403,1.00266,0.99403,0.99406,537,USD
2018-04-02,0.99406,1.00416,0.99406,0.99408,380,USD
2018-04-03,0.99408,0.9998,0.99407,0.99424,217,USD
2018-04-04,0.99424,0.99862,0.99424,0.99862,444,USD
2018-04-05,0.99862,0.99862,0.99103,0.99502,1627,USD
2018-04-06,0.99502,1.0,0.995,0.995,5353,USD
2018-04-07,0.995,1.18995,0.9919,1.0289,39746,USD
